Wczesne wstawanie jest zdrowe TYLE ŻE NIE
🔗 https://www.youtube.com/watch?v=M6FASU9Luyg

1:  Miguel de Cervantes Saavedra, Benjamin Franklin, Elon Musk oraz Jeff Bezos.
15:  Co łączy wszystkich naszych bohaterów obecnego vloga?
20:  Mianowicie przekonanie o tym, że im wcześniej wstajemy, tym więcej złapiemy słońca, tym będziemy zdrowsi, tym dłużej będziemy mogli pracować efektywniej i produktywniej i kreatywniej.
35:  Narracja ta cokolwiek kulminuje w naszych niespokojnych czasach, gdzie dziennikarze coraz częściej zaczynają zadawać pytanie, czy rzeczywiście wstawanie wczesne jest dobre dla naszego zdrowia, czy też jest złe dla naszego zdrowia.
48:  I oczywiście jak to bywa w tych naszych skomplikowanych czasach, odpowiedzi tej udzielają nam autorytety publiczne.
55:  Współczesności, czyli oczywiście CEO wielkich korporacji oraz celebryci.
59:  Oto Tim Cook.
60:  Szef Apple chwali się tym, że wstaje już o 3.45 i już pędzi, pędzi, pędzi do maila i sprawdza szybciutko, czy nie ma jakichś ważnych listów.
71:  Oprah Winfrey z kolei wstaje o bardzo precyzyjnej godzinie.
75:  O godzinie 6.02.
75:  Rozumiecie?
76:  Nie 6.00, 0.01, nie, nawet nie 5 po 6.00.
83:  6.02.
83:  I dopiero potem zaczyna medytować, dokonuje autorefleksji i potem zapiera się dopiero koło dziewiątej za pracę.
93:  A z kolei Mark Wahlberg, wtedy kiedy wy smacznie chrapiecie albo rżniecie sobie w League of Legends o godzinie 2.30 nad ranem, Mark Wahlberg już wtedy zapierdziela do siłowni
106:  i ćwiczy swoje muskularne ciało.
109:  Gdyby zrobił to o godzinie 3.30 albo 4.30, miałby mniej muskularne ciało i robiłby to oczywiście mniej efektywnie.
117:  I dlaczego poruszam w ten złośliwy sposób temat na niniejszym vlogu?
122:  Oczywiście, że z tego względu, że przez całe swe życie robiłem coś dokładnie odwrotnego.
127:  To znaczy wstawałem o godzinie 10, jeśli mogłem oczywiście, albo o godzinie 11 i wtedy zabierałem się do pracy.
134:  Tylko, że właśnie
