Dlaczego testy na czas są ZAWSZE głupie
🔗 https://www.youtube.com/watch?v=WRX9AiaZwBg

0:  Czy egzaminy na czas są skuteczne?
2:  Pięć, cztery, trzy, dwa, jeden, zero, koniec czasu!
8:  Co, łatwiej było odpowiedzieć na to pytanie?
11:  Poczuliście się mniej zestresowani?
13:  Skupiliście wszystkie swe siły umysłowe?
16:  Przypomnieliście sobie informacje przyswajane w dzieciństwie czy w czasach nauki do tego, żeby teraz, w tym momencie zmobilizować się
24:  I rozwiać wątpliwości egzaminatora, tak?
27:  Z pewnością tak się stało, znaczy tak myślą wszyscy w Polsce.
31:  Egzaminujący w Centralnej Komisji Egzaminacyjnej, profesorowie, którzy zajmują się tego rodzaju również egzaminowaniem na studiach, ludzie, którzy przyjmują bardzo często do pracy w HR-ze, czyli Human Resources, rekruterzy, szkoleniowcy.
47:  Dużo ludzi tak myśli.
48:  Podejrzanie dużo, biorąc pod uwagę badania, które sobie za moment przejrzymy, ale zastanówmy się dlaczego.
55:  Przecież jest to całkowicie przeciwskuteczne.
57:  Chcemy faktycznie dowiedzieć się czy ktoś coś wie, czy ktoś coś umie, czy ktoś coś potrafi, a nie chcemy wyłącznie dowiedzieć się tego czy potrafi odpowiadać na pytania pod presją czasu.
71:  Bo prawda jest taka, że egzaminy na czas efektywnie i skutecznie tylko to sprawdzają naszą odporność na gigantyczny stres, na ograniczenia czasowe, a także na ograniczenia naszego własnego ciała, które może być całkowicie nieprzystosowane do tego rodzaju funkcjonowania.
90:  I zanim pomyślicie nawet, że to się ogranicza do egzaminów, ho, ho, obawiam się, że nie.
96:  Obawiam się, że będę zmuszony przekłuć waszą banieczkę.
100:  Questy na czas w grach wideo?
103:  Zebranie na czas wystarczającej liczby lśniących kuleczek nie różni się przesadnie od stresu wiążącego się z tym, że jeśli nie ukończymy jakiegoś zadania w danym czasie, to ono na zawsze przepadnie, a zatem przepadnie cały czas zainwestowany przez nas w grę wideo, ale oczywiście znam realia i wiem, że sporo ludzi może machnąć i na to ręką.
121:  Proszę uprzejmie, nasze wątpliwości czy czytamy dość szybko?
126:  Krzysztof na przykład rzuci sobie niezobowiązująco w rozmowie, że przeczytał właśnie dzisiaj 800 czy 1000 stron książki, bo tak czyta mniej więcej i od razu panikę widzi w oczach rozmówców.
137:  Ale ja, jak tak szybko, o ja taki głupi, ja tak nie szybko, nie, to nie umiem.
143:  I to jest znaczące, że myślimy o sobie w takich sytuacjach, że z nami jest coś nie tak, że jesteśmy głupsi, gorzej rozwinięci.
151:  Zaraz do tego wątku wrócimy w drugiej części materiału, ponieważ są odpowiedzi naukowe na te pytania.
157:  Albo ktoś inny szybciej wykona jakieś zadanie, nawet jeżeli to będzie pokrojenie rzodkiewki, a ktoś inny będzie mieć z tym problem, że nie sieka dość szybko.
168:  Ba, jesteśmy skłonni nawet miary czasowe narzucać sobie wtedy, kiedy odpoczywamy i zastanawiamy się nad tym, czy efektywnie w ciągu dwóch godzin obejrzymy wystarczająco dużo rzeczy na YouTubie i oczywiście, że włączymy prędkość razy dwa.
182:  Ciekawy jestem, ile z was słucha tego materiału na prędkości razy dwa.
186:  I ja wiem dobrze, że możemy to usprawiedliwić na tysiąc różnych sposobów, że tak wolimy, że tak jest lepiej nam słuchać, może muzyka też jest przyspieszona dwukrotnie, że w ten sposób obejrzymy więcej filmów w ciągu godziny.
199:  Ja to wszystko rozumiem, ale zauważcie, że to jest presja czasowa, którą sobie sami w którymś momencie zaczynamy narzucać, żeby organizować nasze życie.
207:  Oczywiście wszystko jest w porządku, kiedy my sami sobie narzucamy presję czasową i sami sobie wyznaczamy tego rodzaju albo kamienie milowe, albo wyzwania.
216:  Przecież i w gry wideo ludzie grają w trybie speedruningu, sprawdzając jak szybko można dany tytuł ukończyć.
224:  No ale teraz wyobraźcie sobie, że nagle ktoś każe wam wszystkim ukończyć grę w dwie minuty.
232:  Bylibyście zainteresowani takim wyzwaniem?
235:  Potraktowalibyście to wciąż jako wyzwanie?
237:  Czy to nie jest ta sama dyskusja, którą mamy w odniesieniu do wychowania fizycznego i sportu, że wszyscy powinni ćwiczyć, ale nie wszyscy są sportowcami?
247:  to sportowiec musi osiągnąć w danym czasie dany wynik.
253:  Sportowcy to jest procent społeczeństwa.
255:  To nie jest 80 ani 90%, bynajmniej to nie jest całość populacji.
261:  A tak się składa, że w ten sposób edukujemy.
265:  Narzucamy limit 45 minut na godzinę lekcyjną, potem na studiach niewiele lepiej, półtorej godziny.
273:  Potem szkolenie też będzie trwało 3 godziny, 4 godziny.
278:  A co jeśli na przykład ktoś będzie zainteresowany tematem na tyle, żeby nie chcieć, żeby się zajęcia skończy po półtorej godzinie?
285:  Miewałem tak wiele razy ze swoimi studentami, którzy mówili, że chcieliby jeszcze dłużej, a ja nie mogłem, bo ktoś mi narzucił harmonogram i zorganizował czas w taki sposób, że nie mogę fizycznie przedłużyć zajęć.
298:  Podejrzewam, że ktoś z was też mógł mieć kiedyś taką sytuację, że jedna lekcja ciągnęła się na te 45 minut w nieskończoność, a inna była tak interesująca, że fajniej byłoby, gdyby były ich dwie.
312:  Dlaczego tak nie może być?
315:  W czym jest problem?
318:  I dlaczego z tym problemem w żaden sposób nie walczymy w czasach, kiedy ta walka jest już całkowicie realna, ponieważ nie mamy żadnych ograniczeń cywilizacyjnych, które narzucałyby nam taki, a nie inny tryb życia.
330:  I ponieważ staram się zawsze przytaczać Wam konkretne badania naukowe,
335:  to mam dla was tekst, który mnie osobiście bardzo uporządkował myślenie na ten temat, ale równocześnie pozwolił mi, żebym nie tylko opierał się na swoim własnym doświadczeniu, kiedy walczę z egzaminami na czas.
350:  Doświadczeniu, które jest już dość długie, ponieważ od co najmniej 6 lat zawodowo, a wcześniej jeszcze 4 do 5 lat podczas studiów doktoranckich, też egzaminowałem.
361:  I nigdy na czas.
364:  Moje egzaminy rekordowo trwały dwa tygodnie, natomiast jeżeli chodzi o egzamin stacjonarny na miejscu, był on od godziny 10 do 20.
373:  To znaczy oczywiście każdy mógł wyjść wtedy, kiedy chciał.
376:  Po prostu ja byłem dostępny od 10 do 20.
378:  I była jedna osoba.
382:  która siedziała do godziny 19, mimo że cały czas tłumaczyłem, że możemy skończyć, nie ma problemu, niczego nie narzucam.
389:  O, ja miałem zajęcie, bo ja sobie grałem na laptopie, zadowolony.
392:  Natomiast ten człowiek cały czas pisał i potrzebował tego, oddał jakieś dziesiątki zapisanych stron papieru, to była analiza utworu pt.
401:  Gormengas Merwina Peaka, swoją drogą do dzisiaj pamiętam.
405:  I to była dobra praca, była tak samo dobra pod wieloma względami jak te oddane po godzinie czy dwóch.
412:  Wreszcie pamiętam inne swoje doświadczenie, które wpłynęło na takie moje modus operandi, a mianowicie moje doświadczenie słynnej matury na 20% z polskiego, której nie byłem w stanie nawet ukończyć miejscami, a potem tak się złożyło, że na etapie wojewódzkim Olimpiady Języka Polskiego miałem ten sam utwór do analizy.
430:  To też był Herbert, esej konkretnie któryś.
433:  Dostałem tam 100% i zastanowiło mnie, jakim cudem jest możliwe to, że analizuję te same utwory dwa razy.
441:  Tylko, że raz mam 45 minut, a raz mam 4 godziny.
445:  I za tym drugim razem oddaję tekst lepiej napisany i teraz najlepsze.
450:  Oddałem go po 45 minutach.
455:  Dlatego, że nie było tego widma, tego miecza Damoklesa, który by nade mną wisiał.
459:  5, 4, 3, 2, 1!
464:  który jest na tyle wryty w naszą psychikę, że już nikt nie kwestionuje tego, że nauczyciel pisze sobie na tablicy godzinę rozpoczęcia egzaminu nawet, żebyśmy wiedzieli co do minuty i sekundy, kiedy tenże ma się skończyć.
475:  A tymczasem, moi drodzy, jak czytamy w literaturze naukowej, jest to mit.
482:  Mit, który ma cztery, przynajmniej empirycznie ugruntowane...
488:  polemiczne argumenty przedstawione przez tych autorów, no nie byle gdzie, ponieważ mowa o National Library of Medicine, więc to jest tekst medyczny, zresztą wydany później w artykule, do którego was odsyłam, będziecie mieć wszystko jak zawsze podlinkowane.
503:  Po pierwsze, na podstawie, jak widzicie, to jest za każdym razem bardzo dogłębnego przeglądu literaturowego i to sięgającego lat 60. i zaktualizowanego do późnych lat 2000.
514:  Testy, które są...
518:  w jakikolwiek sposób obarczone limitami czasowymi, nie są rzetelne.
522:  To jest silna teza.
523:  Dlaczego nie są rzetelne?
524:  Mianowicie empiryczne dowody sugerują, że wcale nie jest prawdą, iż tylko szybki student będzie mieć najlepsze osiągnięcia.
534:  Były bowiem badania, tutaj znowu od 1923 roku w górę przedstawione,
540:  które udowadniają, że tak jest zupełnie inaczej.
543:  Ale jednak, moi drodzy, mamy takie przeczucie, i nie mówcie mi, że tak nie jest, że jeśli ktoś sobie z czymś poradzi szybko, to jest automatycznie lepszy.
552:  W moim przekonaniu, jeżeli coś się zrobi szybko, to na pewno się to zrobi mało rzetelnie.
556:  Z bardzo prostego powodu.
558:  który kiedyś zresztą jednemu z egzaminatorów wyłuszczyłem wprost jako student.
562:  Gdybym miał po przecinku, powiedziałem wtedy temu egzaminatorowi, napisać to, co wiem, to i tak bym się nie zmieścił w limitecie czasowym, ponieważ akurat mój temat wymaga o wiele bardziej rozbudowanej wypowiedzi.
574:  Przykład szybki.
576:  W Polsce jest bardzo niewiele badań na temat gier wideo.
579:  Do tego wszystkiego, jak piszecie na temat gier wideo, musicie od razu, macie na starcie dwa argumenty, z którymi się będzie trzeba mierzyć.
587:  To znaczy, po pierwsze, ludzie uważają, że gry wideo wywołują agresję, co nie jest prawdą.
591:  Po drugie, uważają, że gry wideo uzależniają, co nie jest prawdą.
593:  Dlaczego nie jest to prawdą?
594:  Ponieważ mówimy o całym medium i jest to mega nieprecyzyjne i dlatego nie jest prawdą.
599:  Zresztą robiłem na ten temat film, który ma mieć drugą część i pewnie kiedyś będzie miał, jak się do tego zbiorę.
605:  Ale to jest właśnie szybki przykład na to, z jakim wielkim problemem możemy mieć do czynienia.
611:  A ja chcę na przykład pisać to nie o tym, czy gry wideo będą traktowane jako medium uzależniające czy nie i dlaczego dużo ludzi, którzy tak twierdzą, nawet nie liznęło tematu od strony naukowej, tylko ja chcę na przykład napisać o designie interfejsu.
625:  albo chcę powiedzieć o tym, jaka jest korelacja między projektem świata w grze komputerowej, a tym, w jaki sposób było to robione na potrzeby literatury fantasy.
