Eskapizm w fantastyce
🔗 https://www.youtube.com/watch?v=43q2cOhqVhU

1:  eskapizm.
3:  Nie jest to pojęcie słyszane tak często jak fantasy czy science fiction, ale co charakterystyczne z tymi dwoma pojęciami bardzo często się łączy, bo przywykliśmy myśleć o fantastyce we wszelkich jej odmianach jako o sposobie ucieczki od rzeczywistości.
22:  Ucieczki więc od problemów, które w tej rzeczywistości nas dotykają i którymi się przejmujemy i z którymi się borykamy.
31:  I zauważmy, co to pojęcie mówi o naszej kulturze.
35:  Bo mówi przede wszystkim to, że wydzieliliśmy sobie jakiś jej obszar, w którym możemy bezpiecznie nie sprzejmować się tym, co nas otacza.
45:  I szczerze mówiąc, trudno się dziwić, biorąc pod uwagę to, co się dzieje dzień po dniu i biorąc pod uwagę to, że w XXI stuleciu, a wcześniej w XX, no jak nigdy wcześniej mamy dostęp do informacji, coraz szybciej one obiegają świat
60:  Nic dziwnego, powtórzę, że ludzie chcą od tego uciec, a ściślej mówiąc, szukają wytchnienia.
68:  Pewną nieuczciwością jednak, i o tym będzie dzisiejszy vlog, jest to, że uczucie to, czy pragnienie to zostało permanentnie powiązane z bardzo
78:  szczególnym wycinkiem kultury i działalności artystycznej.
81:  Bo zauważcie, że nikt nie powie o człowieku, który w niedzielę pójdzie z rodziną do muzeum, o jaki eskapista, on ucieka od rzeczywistości, idzie do takiego dziwnego budynku, magazynu rzeczy nieużywanych,
94:  którym wiszą na ścianach albo pałętają się po podłodze jakieś dziwne obiekty, dość starawe, i będzie tam popatrywał sobie na tabliczki i dumał, o, jakie to stare, jakie to zabytkowe, o, sztuka.
111:  Nie powiemy o tym eskapizm, mimo że dokładnie to będzie to właśnie oznaczało.
118:  To jest człowiek, który w danym momencie nie zarabia, nie zajmuje się rodziną, zakładając oczywiście, że nie jest z rodziną w muzeum, nie przygotowuje obiadu, nie zastanawia się, w co zainwestować na giełdzie.
132:  Krótko mówiąc, oddaje się temu, co tradycyjna etyka protestancka nazywa gnuśnością i acedią.
140:  Bo tak, z etyki protestanckiej wywodzi się ten nasz podział na rozrywkę, z którą związane jest lenistwo i na pracę, z którą związane jest, no właśnie, wszystko to, co dobre.
152:  To znaczy ten, kto wcześniej wstaje, idzie do pracy z samego rana, zarabia,
159:  provides for his family, powiedzą anglosasi.
162:  Dostarcza zatem rodzinie i pieniądze i pokarm i... No cóż, dla wielu ludzi również sens życia, którym jest praca.
172:  I dopiero potem, jak już zje obiad, opowie o tej swojej pracy, zrzuci z siebie ten cały bagaż, dopiero wtedy sobie może zasiąść przed przysłowiowym Netflixem, wziąć pada do rąk albo otworzyć książkę.
185:  Tylko problem polega na tym, że
188:  Pewne przejawy naszego wypoczynku i pewne obszary rozrywki traktowane są no właśnie jako rozrywka niezobowiązująca, a inne jako sztuka.
200:  I obcowanie ze sztuką czy obcowanie z kulturą traktowane jest jako przejaw pewnej, nie oszukujmy się, klasowej wyższości.
209:  Ktoś, kto chodzi do muzeów, ktoś, kogo teraz trzeba dopowiedzieć stać na chodzenie do teatrów, bo sorry, ale 300-200 zł za bilet na jeden spektakl to nie jest to samo, co cztery dychy za Netflixa miesięcznie.
224:  Ktoś więc, kto...
227:  Oddaje się temu, co dawniej było, no cóż, domeną arystokracji, klasy mieszczańskiej.
234:  Ten obcuje z kulturą.
238:  To jest swoją drogą o wiele ciekawszy i głębszy i bardziej skomplikowany problem, zresztą jak wszystkie problemy w świecie, bo chociażby mało kto zdaje sobie sprawę z tego, że na literaturę, na książki, na powieści stać było nielicznych.
250:  Jeszcze w XVIII wieku średni koszt książki, gdzieś to usiłowałem obliczyć, używając rozmaitych kalkulatorów robionych przy internecie przez zapaleńców, polecam to swoją drogą.
260:  Może mi się uda taki link wrzucić w deskrypcji do tego filmu.
264:  Ile kosztuje książka XVIII-wieczna w przeliczeniu oczywiście na dzisiaj?
269:  I mniej więcej jest ona ekwiwalentem powiedzmy kilku gier komputerowych AAA albo połowy karty graficznej.
277:  Krótko mówiąc, to był znaczący wydatek.
280:  I to nie było coś, na co mógł sobie pozwolić chłop małorolny.
283:  To nie było coś, na co mógł sobie pozwolić nawet średnio prosperujący kupczyk jak Wokulski w lalce.
291:  Nie, no na to mogła sobie pozwolić wyłącznie, no cóż, tak jak w Mr. Robot, top 1% of the 1%.
300:  Mogła sobie na to pozwolić, krótko mówiąc, elita.
303:  I tak się złożyło, że w którymś momencie zapomnieliśmy, oczywiście wraz z upowszechnieniem się druku na taką większą skalę, XIX i XX wiek to oczywiście przyniósł,
312:  XX wieku książki były, zwłaszcza w Polsce po okresie II wojny światowej, paradoksalnie bardzo tanie.
318:  Czytelnik był znany z tego, że wydał takie książki na prawie gazetowym papierze.
323:  I nagle to się wszystko upowszechniło, ale zostało z nami coś z tamtych czasów.
327:  To znaczy została ta, no właśnie, ten poblask, ten polor literatury jako czegoś, czegoś, co sprawia, że jesteśmy traktowani jako intelektualiści.
340:  Przypominam, jak zaczęły się prace zdalne i telekonferencje, bywali ludzie, którzy rozlepiali sobie za sobą regał albo specjalnie się fotografowali na ten regał.
353:  Ja nie mam wielkiego wyboru, bo mnie otaczają regały ze wszystkich stron, więc gdzie się zwrócę, tam będą.
358:  ale wyśmiewaliśmy się z ludzi w telewizji, bo dobrze, że czuliśmy, po co oni to robią, prawda?
363:  To znaczy, starają się pozować na kogoś, kto właśnie otoczony jest przez książki i wydawałoby się, że to nie powinno być nic zaskakującego i dziwnego.
372:  No, otaczają go książki.
374:  Czyli, nie wiem, lubi czytać akurat to medium i temu się oddaje, no ale z jakiegoś powodu ludzie się nie fotografują na tle telewizora albo na tle konsoli.
385:  Wyjąwszy Kowala z Fakes Forge, pozdrowienia dla Kowala i jego gigantycznego zbioru gier wideo na tle ogromnego telewizora z konsolami.
394:  Ale zmierzam tutaj do bardzo zasadniczej kwestii, tzn.
396:  coś takiego jest w naszej kulturze, że pewne jej obszary, jak już sobie powiedzieliśmy, są zarezerwowane dla elity, a inne no tak niekoniecznie.
404:  I tu wracamy do eskapizmu, tzn.
406:  dlaczego znowuż ten człowiek w muzeum, którego stać na pójście do muzeum, ten człowiek w teatrze, którego stać na pójście do teatru i wreszcie ten, kto ma gigantyczną bibliotekę i stać go na tę bibliotekę, bo pamiętajmy, że książki robią się coraz, coraz droższe,
420:  Dlaczego on jest traktowany jako ktoś, kto uczestniczy w kulturze, jak to się mówi?
425:  Dlaczego w trakcie pandemii był rwetest i zgiełk związany z tym, że teatry upadają, że muzea są zamknięte, gdy tymczasem o wiele rzadziej mówiliśmy o tym, ale co z multiplexami, ale co z firmami sprzedającymi gry komputerowe stacjonarnymi.
445:  Wprawdzie jest ich niewiele w Polsce, bo nie mamy GameStopu, no ale jednak nie było tego rodzaju głosów.
452:  Bo to nie jest ta kultura, za którą byśmy się chcieli dyskursywnie ujmować.
456:  To nie jest ta kultura, za którą będziemy chcieli umierać dosłownie i w przenośni.
462:  To nie jest ta kultura, którą będziemy chcieli za wszelką cenę ratować.
467:  Nazywamy tą kulturą coś innego.
471:  I ta kultura właśnie, która w taki, a nie inny sposób jest traktowana, która kojarzy się z wyższymi warstwami społecznymi, ona nie jest eskapistyczna.
481:  Jak byłem na studiach polonistycznych, to jest jedna z tych nielicznych rzeczy, które wyniosłem ze studiów i mi się przydały, to zrozumiałem jedną zasadniczą rysę.
489:  Tak mi się wydaje w rozumieniu i w rozumowaniu, powiedzmy,
494:  hucznie i elit kulturalnych i akademickich.
499:  Mianowicie mam wrażenie, że przekonane są one w stu procentach o tym, że kultura dzieli się na dwa obozy, dwie grupy.
507:  Jeden, który służy rozrywce i najczęściej jest określany mianem komerchy.
512:  Przypominam na przykład takie pogardliwe określenie multipleps na określenie multiplexu.
518:  Przypominam wszystkie związane z tym dyskursywne zróżnicowania, że erudytą będzie ten, kto sobie obejrzy Cronenberga na off-camera, natomiast ten, który sobie pójdzie na Avengersów do multikina, tak niekoniecznie.
533:  I oczywiście ta opozycja będzie się pojawiała także i we wszystkich innych przypadkach.
537:  To znaczy, znowuż ten, kto opłaca Netflixa, prawdopodobnie nie pomyśli sobie jako o, ja uczestniczę w kulturze.
546:  Natomiast ktoś, kto pójdzie na, nie wiem, na przykład weźmy ten festiwal kina niezależnego ponownie albo festiwal muzyki jazzowej, już to spyta kultury.
557:  trudniej nie pomyśli.
560:  A co to jest w takim razie po tej drugiej stronie, skoro po jednej mamy rozrywkę?
564:  Usłyszałem takie pojęcie właśnie na zrzeczonych studiach polonistycznych, które sprawiło, że coś mi przekliknęło w mózgu.
571:  Mianowicie literatura interwencyjna społecznie.
574:  Narracja interwencyjna społecznie, co to oznacza?
577:  Czy uświadomiona społecznie?
578:  Różne są pojęcia, ale ta sama jest intencja.
581:  Oznacza to taką kulturę, taką działalność artystyczną, która komentuje ważne zjawiska w świecie.
590:  I teraz oczywiście wiem, że macie różne poglądy polityczne, ale teraz powiem coś, co będzie bardzo niespolaryzowane i bardzo symetrystyczne.
599:  Zwróćcie uwagę na to, jakie książki bardzo często dostają nagrody, o jakich książkach się mówi, jakie filmy są głośne, jakie tematy stają się istotne w kulturze i o jakich się dyskutuje.
613:  Najczęściej te, które są również politycznie nośne.
