🔴 Q&A Natrętne pytania i dygresyjne odpowiedzi | LIVE #1
🔗 https://www.youtube.com/watch?v=_gC75KS7O9s

2:  Witam wszystkich tłumnie przybyłych na pierwszym live.
7:  Niespodzianka, nie ma w tle Gioma Davida i Warhammera Mechanicusa, nie ma w tle Warhammera Fantasy, nawet nie ma w tle Mass Effecta, żadnej gry nie ma w tle.
17:  Jestem tylko ja i wy, tłumnie przybyli.
20:  Bardzo dziękuję wam za obecność dzisiaj.
22:  Widzę, że na czacie już się dzieją niesamowite rzeczy.
26:  Proponuję, że będziemy od razu przechodzić w takim razie do pytań.
30:  Ja tylko jeszcze raz serdecznie wszystkim podziękuję za tak duże zaufanie, bo nie ukrywam, że jak czas jakiś temu, to był październik 2020, zakładałem ten kanał, to nie sądziłem, że
42:  spotkamy się tutaj tak tłumnie, a jest nas już nie 10 tysięcy, co chciałem świętować, tylko ponad 13, więc jeszcze raz dzięki wszystkim wielkie.
50:  Od razu kwestia techniczna, czat, żeby uniknąć ataku botów i ataku klonów został zaprogramowany tak, że tylko subskrybenci mogą pisać, ale nie martwcie się, jeśli nie subujecie, można po 60 sekundach od subskrypcji już pisać, mam nadzieję, że boty tego nie słuchają, więc jeszcze raz
68:  Serdecznie, serdecznie wszystkich witam.
71:  Pierwsze pytanie, jakie złowiłem, które mi się pojawia na samej górze, oczywiście dotyczy Age of Sigmar i Warhammera, więc wszyscy ci, którzy przyszli tutaj i myśleli, że nie będziemy mówić o Warhammerze, to aha, mówimy.
84:  Mówię od razu, że ja w świecie Warhammera siedzę dlatego, że bardzo polubiłem Warhammera Total War i jeżeli został zrobiony w świecie Age of Sigmar, to w porządku.
94:  Natomiast od strony wiedzy o tym świecie najbardziej mi przeszkadzało to, że
98:  Wybite zostały wszystkie moje ulubione postaci i parę innych nielogiczności się tam pojawiło.
104:  Od razu też wspominam, że zaraz dojdę na dół tego czatu, tylko nadawiam to, co jest na górze.
111:  W tle nam się sączy bodajże Jesse Gallagher, maestro Takelel.
116:  Wybrałem coś takiego minimalistycznego, żeby nam za bardzo nie przebijało tutaj.
123:  Czytam dalej.
124:  Natalii Minimalism pisze, co my jako ludzie możemy zrobić, żeby system edukacji był lepszy?
131:  To jest trudne pytanie.
136:  Jaż sobie popiję.
137:  Dlaczego trudne?
138:  Dlatego, że ja zwyczaj koncentruję się na pokazywaniu, gdzie jest problem, żeby lepsi ode mnie coś z tym problemem zrobili.
146:  Bo gdybym ja miał to zrobić, to zaprowadziłbym dystopijną dyktaturę i zażądał tego.
151:  Tak jest najprościej.
152:  Natomiast od wewnątrz strasznie ciężko to się zmienia.
155:  Są tacy reformatorzy, którzy to umieją, którzy radzą sobie z takimi konstruktywnymi pomysłami, więc ja mogę tylko po nich powtarzać.
161:  Mogę na przykład powtarzać po Mikołaju Marcelli.
164:  Was to interesuje, bardzo polecam jego książki.
169:  To usiłuję sobie przypomnieć tytuł oczywiście.
171:  Jak nie spieprzyć życia swojemu dziecku o edukacji, która ma sens i wiele innych.
175:  I on generalnie jest zwolennikiem szkoły demokratycznej przejścia
179:  na tryb projektowy, zniesienie obowiązku szkolnego.
