🔴 Czy po cudzej ścieżce da się iść własną drogą? | LIVE #19
🔗 https://www.youtube.com/watch?v=qePHzF4tPUM

140:  KONIEC
165:  Witam wszystkich na naszym comiesięcznym Q&A, kiedy w trzecią niedzielę miesiąca już się zrobiła z tego tradycja.
173:  Spotykamy się, moi drodzy, żeby rozmawiać o rzeczach, a witam Was dzisiaj z jedną ważną innowacją, która się pojawia, mianowicie wreszcie udało mi się uzyskać prawidłowy różowy kolor ledów, ale co jeszcze ważniejsze, co najważniejsze, jest jamnik.
189:  Jamnik zrobiony przez moją seminarzystkę na seminarium dyplomowym z ucieczka, która sprowadza do domu.
194:  Dzięki serdeczne dla Eli za wspaniałe dzieło, które będzie teraz na każdym Q&A, moi drodzy, z nami.
200:  To jest jamnik wydrukowany 3D, żeby nie było.
203:  W związku z powyższym wiemy już, gdzie jesteśmy.
205:  Jesteśmy w uniwersum jamniczym, gdzie popija się herbatkę, rozmawia o rzeczach ważnych.
209:  Dziękuję Wam jak zawsze za przybycie.
211:  Dziękuję i serdecznie wszystkim wspierającym kanał za nieustające wsparcie.
216:  Witam was dzisiaj zbiorczo, nie na naszych streamach gamingowych, zwykle się wyczytujemy, ale dzisiaj zbiorcze powitanie, a przede wszystkim witam widzów, którzy się pojawili.
225:  Jak zawsze czekam tradycyjnie na wasze pytania.
228:  Jest zaplanowane parę rzeczy, jak zwykle to u nas bywa.
232:  Jak będzie czas, to pokażę wam nową wersję czatu GPT, która jest w teraz przeglądarce Microsoft Edge.
239:  więc nie musicie się przejmować tym, czy jest dostępna, płatna, niedostępna, tylko jest po prostu zaimplementowana na większości systemów operacyjnych, czyli ten Microsoft nieszczęsny, który wmusza w nas przeglądarkę Microsoft Edge od dawna, teraz zaczyna mieć bardzo dobry argument ku temu, żeby z niej korzystać, ponieważ w odróżnieniu od czatu GPT-4, ta wersja jest podpięta do internetu.
264:  Co daje różne możliwości.
266:  Z moich złośliwych obserwacji wynika, że w tym momencie wersja Microsoftowa czatu GPT jest bardziej rzetelna niż praktycznie każdy polski codziennikarz, ponieważ daje przypisy do swoich tezy.
278:  Więc...
279:  Tak, będziemy sobie to oglądać, moi drodzy, a przy okazji mam też dla was info.
283:  Tradycyjnie pojawi się w którymś momencie na kanale Mikołaja Marcela, już dogadujemy szczegóły, więc możecie się spodziewać, że na Karcie Społeczności będzie otwarty wątek na pytania specjalne do Mikołaja.
293:  Tymczasem bardzo dziękuję Juusowi za podarowanie wsparć.
296:  Grim Lukas, TikTak, O2K, Sara Gawrońska i Atin otrzymali wsparcie od Jan Mikołaja i Juusa, za co serdecznie wam dziękuję.
305:  I ostatnia zapowiedź na dzisiejsze Q&A, mianowicie jak pewnie widzieliście, chociaż nie, nie miejmy żadnych złudzeń, algorytm YouTube'a wam tego nie pokazał, więc nie widzieliście, wpadła na kanał recenzja Shadow and Bone, czyli Cienia i Kości, sezon drugi, to jest adaptacja powieści Libardugo, w związku z powyższym na dzisiaj mam dla was...
323:  żywoty świętych tejże Libardugo.
325:  Krótkie, małe opowiastki, które może wprowadzą was w klimat tego świata, a są one o tyle wdzięczne, że dotyczą najpotężniejszych griszów w tym świecie, a więc magów operujących czymś w rodzaju małej nauki.
338:  Problem ze świętymi polegał na tym, że oni operowali magią zanim pojawiła się mała nauka, która dopiero magię skodyfikowała.
345:  Takie są, moi drodzy, plany.
349:  Dziękuję za jamniczą plejkę na Spotify.
350:  Słuchamy cały czas, moi drodzy, plejki, która się nazywa po prostu Q&A, ona jest podpięta pod mój kanał na Spotify, więc możecie sobie do tego zaglądać bez żadnego problemu, tak się to nazywa.
362:  Tych jamniczych playlist trochę już jest i trochę się nazbierało, więc tradycyjnie jest link, moi drodzy, w opisie live'a.
370:  Widzę dwa paproszki na mikrofonie.
372:  To jest nieuniknione, moi drodzy.
373:  Paprochy prędzej czy później się pojawiają.
375:  To jest w razie czego wasza wina, bo gdyby nie było wsparcia kanału, to bym nie mógł kupować nowych mikrofonów.
380:  W związku z tym, przede wszystkim nie mógłbym kupować nowej kamery, wskutek czego widzicie każdą niedoskonałość wszędzie.
385:  Dramat.
387:  Dzięki, Wagwaran, za wsparcie od pięciu miesięcy.
389:  Hevelio indeed.
