🔴 Okno na świat można zasłonić gazetą | LIVE #29
🔗 https://www.youtube.com/watch?v=x8IefhhaVxk

82:  Dzięki za uwagę!
141:  KONIEC!
165:  Witam wszystkich przybyłych dzisiaj na nasze comiesięczne Q&A, gdzie wy pytacie o rzeczy, a Krzysztof stara się odpowiadać.
174:  Witam wszystkich wspierających kanał, witam trybutariuszy, witam stałych i niestałych widzów, ale przede wszystkim witam wszystkich, którzy nowo przybyli na kanał, ponieważ sporo was się tutaj pojawiło.
186:  Witam zbiorczo, tym razem nie wyczytujemy się, jak to bywa czasami.
191:  zgodnie z tradycją na naszych live'ach gamingowych, na których teraz ogrywamy rzeczy straszne, ponieważ jest to, moi drodzy, Dark Souls 2 i inne gry FromSoftu.
201:  No, ale o tym, o tym inną razą.
204:  Teraz, moi drodzy, zanim zaczniemy pytania, zanim zaczniemy sobie pogawędki, mała informacja dla Was wszystkich, którzy nie śledzicie Karty Społeczności, a mianowicie...
214:  jest już rozstrzygnięta praktycznie sonda, którą mamy.
219:  Sonda ważna, wośpowa, bowiem dotycząca naszych live'ów charytatywych, na których nawiasem mówiąc zebraliście jako społeczność ponad grubo 200 tysięcy, jak ostatnio sprawdziłem, ponieważ zbieraliśmy nie tylko na portalu Się Pomaga, ale także na innych, więc jak wszystko to zsumowałem, to za ostatnie, moi drodzy, 2,5 roku streamów
237:  Ponad 200 tysięcy zebrane, więc brawa dla Was i serdeczne jamniki dla wszystkich zaangażowanych.
242:  W sobotę i w niedzielę zatem, o godzinie 18, gramy razem z Wośpem i ponieważ gramy, no to będziemy też grać w gry, ale to będzie takie grańsko, wiecie, na poły, grańsko na poły robienie szalonych rzeczy w ramach osiągania kolejnych progów.
256:  Skarbonka już jest i podlinkuję ją w najbliższych dniach.
259:  Wygrało, moi drodzy, Hollow Knight.
262:  Na moje szczęście lub nieszczęście, nie, to jest piękna gra, umówmy się, a niezależnie twierdza.
266:  W związku z powyższym, pierwszego dnia w sobotę zagramy sobie w Hollow Knighta, a potem zagramy sobie w twierdzę.
271:  Natomiast głosy, które posypałeś na Disco Elysium, uwzględnię, nie martwcie się, ale to tak zwaną inną razą.
278:  To tyle w ramach ogłoszeń drobnych w takim razie.
281:  Zapraszam Was serdecznie, jak nigdy nie zachęcam do wpadania bezpośrednio na live'y, gdzie sobie gramy, to naprawdę w przyszłym tygodniu Was zachęcam, ponieważ cel to ważny i charytatywny.
291:  Poza tym możemy pokazać, że w internecie jesteśmy w stanie zrobić dużo więcej bardzo często niż w świecie fizycznym, do którego nie każdy może chcieć i mieć możliwość wyjść.
301:  I tak dalej.
302:  Dawajcie mi znać, moi mili, czy jest dobrze z muzyką.
305:  Staram się, żeby te poziomy były mniej więcej wyregulowane, ale żeby też muzyka nie dominowała za bardzo.
312:  Ada Cynthia ma pytanko na sam początek.
314:  Jak poradzić sobie z ADHD?
316:  Mam do jutra prezentację.
317:  Bardzo łatwa, ale nie jestem w stanie jej zrobić przez poziom rozproszenia mózgowego.
