🔴 Przed jamnikiem uderz czołem, jamnik górą chociaż dołem | LIVE #2
🔗 https://www.youtube.com/watch?v=n62fW7lX9yc

1:  Witajcie serdecznie na drugim livestreamie w trybie Q&A.
8:  Drugim o tyle szczególnym, że towarzyszącym otwarciu naszego programu wspierania kanału, w którym ku mojemu absolutnemu zdumieniu i zaskoczeniu jest już niesamowicie dużo z Was.
20:  Widzę, że się zazieleniło pod tym kątem na czacie.
23:  Bardzo, bardzo za to serdecznie dziękuję.
26:  Tak, obraz jest z jamnikiem.
28:  Został zrobiony przez tę samą osobę, która odpowiada za to, że możecie, jak już uczyniła to Grabka tudzież Mikołaj, używać jamniczych emoji.
38:  Taż sama osoba to zrobiła.
40:  Dominika Klimczak, Miszka Foto na Instagramie.
43:  Bardzo polecam, jeżeli macie cokolwiek do zaprojektowania graficznego, żeby odezwać się do niej.
50:  Witam was jeszcze raz, bardzo się cieszę, że jesteśmy tutaj zgromadzeni, tak, i ostatnim razem.
54:  Dziś jest bez gry wideo, nie będzie Wiedźminy, nie będzie Warhammera nawet, nie będzie Warhammera Mechanicus, nie będzie dalej Dark Soulsów i nieprędko.
63:  Jestem tylko ja i wasze pytania.
66:  Jest jamnik ognia, jest jamnik powietrza, nie wiem, jamnika powietrza jeszcze nie ma, ale jest jamnik Sherlock.
73:  I są inne jamniki.
74:  Zresztą, co ja tutaj będę wam opowiadał, pokażę może i zrobię krótkie wprowadzenie na sam początek, zanim przejdziemy do pytań.
80:  Tutaj macie grafikę przedstawiającą wszystkie rangi.
83:  One są zrobione zgodnie ze szkołami magii, to znaczy na początku jest magia Ziemi.
89:  No wtedy, kiedy zaczyna się wsparcie, tak, jest się zielonym w związku z powyższym, dlatego magia Ziemi na samym końcu po 24 miesiącach jest magia ognia, haha.
99:  I te wszystkie glify zostały zaprojektowane przez Dominikę, której mega, mega jeszcze raz serdecznie dziękuję za to wszystko.
104:  Natomiast, co dla nas zrobiła?
106:  Natomiast jeżeli chodzi o emoji, których używacie, to na razie są cztery.
110:  Wszystkie są jamnicze, łączą w sobie, jak widać zresztą, nie tylko jamnika, ale także jakiś element popkulturalny, więc oczywiście jest jamnik Mag Ognia, jamnik Sherlock, jamnik Pirat i jamnik Pato Wróżka.
123:  Cztery zatem jamniki na razie są.
125:  Będzie ich coraz więcej, tak w każdym razie zostało nam przeobiecane, więc czemu jamniki?
131:  Pytacie, słusznie, że pytacie, czemu jamniki?
135:  To już się wiąże z bardzo długą historią, ale chyba live to jest taki moment, kiedy się opowiada długie historie.
141:  Długa historia jest związana z jamnikiem, któremu na imię było Sonia i mieli go moi sąsiedzi.
146:  I to był najlepszy jamnik pod słońcem, ponieważ jamnika mieli, jako się rzekło, moi sąsiedzi.
151:  W związku z powyższym my, znaczy moja rodzina i ja wtedy, kiedy jeszcze mieszkałem z rodzicami,
156:  mieliśmy tą najlepszą stronę psa, to znaczy psa, który przychodzi, je, wychodzi się z nim na spacery, a nie ma weterynarza, płacenia za wszystko i tak dalej, i tak dalej.
163:  Plus bycie na osiedlu, gdzie nie ma płotów i pies mógł sobie hasać swobodnie i stąd się zaczęła moja obsesja na punkcie jamników.
171:  Potem do tego oczywiście, jak to bywa w wypadku dobrych narracji światotwórczych, został dopisany cały lore, to znaczy zacząłem czytać na temat tych niezwykłych zwierząt.
179:  Przeczytałem między innymi, że jamniki jako jedyne psy myśliwskie są totalnie samodzielne,
184:  W związku z powyższym, jeżeli taki jamnik jest wypuszczany do nory za borsukiem, to nie może się zdawać w żaden sposób na myśliwego, prawda?
191:  Myśliwy jest sobie, a jamnik jest sobie i dlatego one wyrobiły sobie taką niezależność trochę jak koty.
198:  Cieszę się, że wam się podobają emoji.
