🔴 Czy nieprzemyślane myśli to niepomyśli? | LIVE #32
🔗 https://www.youtube.com/watch?v=fX2qmtlw5Qg

202:  KONIEC
231:  Witam wszystkich najserdeczniej przybyłych na nasze comiesięczne Q&A, czyli Questions and Answers w obrzydliwym kolonialnym języku anglosasów.
241:  Powinniśmy w Polsce będąc mówić PO, znaczy pytania i odpowiedzi.
246:  Witam wszystkich najserdeczniej.
248:  Jak zawsze mam nadzieję, że
250:  Spędzacie dobrze niedzielę.
251:  Moi drodzy, od razu uprzedzam, że zapomniałem ustawić małego opóźnienia w ustawieniach transmisji.
257:  W związku z powyższym od następnego Q&A będziemy działać.
260:  YouTube nie pozwala na zmienienie szybkości transmisji, ale to powiedziawszy mam ogromną nadzieję, że poziom muzyki jest adekwatny, że głos się wyróżnia.
269:  Jeżeli nie, to wiecie co robić.
270:  Krzyczeć i apelować.
272:  Witam wszystkich wspierających kanał.
273:  Dziękuję Jamnikołajom za jamnikołajenie, czyli obdarowywanie wsparciem i jamniczymi emojami tradycyjnie.
280:  I usprawiedliwiam się, pamiętajcie, że usprawiedliwianie nieobecności ważne, haha, żartowałem tak naprawdę, to nie, więc usprawiedliwiam się, że nie było streamów w ciągu tego tygodnia, dlatego że Krzysztof miał wyrywaną dolną ósemkę.
293:  Generalnie nie polecam, zwłaszcza wtedy, kiedy trzeba ósemkę rżnąć na pół i następnie wydobywać z dziąsła, skutkiem czego wydrywa się dwie ósemki zamiast jednej.
300:  więc nie mogłem ani prowadzić zajęć, ani transmisji, ale to się zmienia i Krzysztof wraca na dobre i na złe, to znaczy będziemy mieli Hollow Knighta znowu i God of War, Boże, jak się stęskniłem za tą grą, ale przede wszystkim za naszymi rozmowami, które, tak wiem, bardzo długi wstęp będą, pamiętajcie, nie tylko już orbitowały wokół tematów edukacyjno-lifestyle'owo i innych, ale...
322:  Będą także wydzielone, to znaczy o fantastyce będziemy sobie mówić niebawem znacznie więcej, bowiem w maju i już teraz oświadczę, moi drodzy, 1 maja, haha, będzie pierwszy stream z cyklu Q&A, ale o fantastyce.
336:  Jeżeli jesteście zainteresowani tym, co się będzie wtedy działo, to dajcie znać.
339:  Ja od razu jeszcze zaznaczę, że mieliśmy sondę.
343:  W sprawie tego, jaki będzie termin rzeczonych streamów o fantastyce, termin rzeczonych streamów o fantastyce został oczywiście, jak to bywa w demokracjach, bezsprzecznie i bez żadnych problemów rozstrzygnięty, a tak naprawdę to nie, to znaczy daliście znać, że możecie jakby to ująć,
