🔴 Czy myśląc pod klucz żyjemy pod kluczem? | LIVE #21
🔗 https://www.youtube.com/watch?v=eRxdvaeEeaw

140:  Dzięki za oglądanie!
163:  Witam wszystkich najserdeczniej na naszym comiesięcznym już, moi kochani, Q&A, czyli takim szczególnym czasie, kiedy wy zadajecie pytania, a ja odpowiadam i staram się nie irytować i nie rozsierdzać faktem, że moja praca jest skutecznie utrudniana przez Centralną Komisję Egzaminacyjną, o której działaniach dzisiaj
183:  Zrobiłem odcinek dla każdego coś przykrego, wyjątkowo w niedzielę i przy okazji od razu w pakiecie macie dowód na to, że Krzysztof miał te 22% z matury, co to mi nikt nie wierzy w to, ponieważ omawiam jedno z zadań i nie zauważyłem nawet tam, że polecenie polegało na znalezieniu błędu interpunkcyjnego, co ja oczywiście zrobiłem.
201:  Natomiast myślałem, że nie na tym polegało polecenie.
205:  Chaos czysty mianowicie może i sprawdza się, moi drodzy, w twórczości.
209:  Na pewno jednak nie sprawdza się w myśleniu pod kluczyk i schematycznym, hahaha.
214:  Więc jeszcze raz witajcie, moi drodzy, witajcie.
218:  Cieszę się, że przybyliście.
220:  Jamnik był montowany na mikrofonie wcześniej, więc mogliście słyszeć dziwne dźwięki podczas muzyki czekoladyłkowej.
225:  Jak zawsze, upominajcie mnie, jeżeli będzie coś za głośno muzycznie lub za cicho.
232:  Ledów nie zmieniamy, moi drodzy, ponieważ ledy magentowe to jest barwa tego kanału.
237:  Nie wiem, dlaczego tak akurat się złożyło, ale przyzwyczaiłem się, natomiast teraz już nie mamy wyjścia, moi drodzy, ponieważ ten jamnik również jest magentowy, w związku z powyższym wszystko się ze sobą zgrywa i koordynuje.
248:  Nie ma innego wyjścia.
250:  Przy okazji, w ramach jeszcze ogłoszeń drobnych na początek strumyka,
255:  Będę w tym roku na Pyrkonie.
257:  To już jest postanowione, mam kupione bilety, mam kupiony potwornie drogi hotel w Poznaniu, bo nie było żadnego innego i będę tam w piątek.
265:  Więc już jestem w programie Pyrkonu i w piątek przez cały w zasadzie konwent jestem od początku do końca, do końca dlatego, że moje dwa programy są o miłych godzinach w stylu 21 albo 20 czy 19.
278:  Czy słyszałem o typotece?
279:  Pyta Wojciech Francisz-Żurawski.
280:  Nie mam zielonego pojęcia, czym jest, moi drodzy, typoteka.
285:  Puel pyta, o co chodzi z Jamnikiem.
287:  W liceum dyrektorka chodziła z Jamnikiem do szkoły, kiedyś wbił nam na lekcje.
290:  Niesamowicie ci zazdroszczę.
291:  Jedyny mój kontakt z psem w Instytucie Edukacyjnym to było wtedy, kiedy profesor Jolanta Antas, incydentalnie jeden z normalnych ludzi na Wydziale Polonistyki UJ, wbijała razem ze swoim Golden Red Riverem, Traszką,
305:  który to nosił za nią również paczkę papierosów.
307:  Przeinteligentny pies.
309:  Wiedział, co jest ważne w procesie dydaktycznym.
311:  Klosik, dzięki serdeczne za wsparcie od 18 miesięcy nie będzie podpalone na wieki wieków spaczeń.
317:  Odpowiem ci naszą tradycją za ikitem Chloe z kawenami.
321:  Witam oczywiście także wszystkich wspierających kanał.
323:  Tym razem was nie wyczytuję zgodnie z naszą tradycją.
326:  Robimy to na streamach gameplayowych.
328:  I co powiedziawszy, zapowiadam, że będzie Diablo 4 ogrywane na kanale niebawem i zapowiem również, że prawdopodobnie w sobotę przyszło streamu nie będzie z przyczyn moich zdrowotnych.
340:  Muszę jeszcze zedytować w opisie filmu, że Graf jako pierwszy zauważył wpadkę CKE.
344:  Nie wiedziałem o tym, ale znowu jest to asumptem dla nas do podkreślenia, jakim problemem jest brak uczenia kultury cytowania w Polsce.
352:  Bo przecież, ja się też opieram na doniesieniach prasowych i doniesienia prasowe wzajemnie potwierdzały, że chodziło o dziennikarza z RN.eu.
360:  No i widzicie, to jest właśnie problem cytowania i braku przede wszystkim docierania do tego pierwotnego cytatu, co jest pierwszą rzeczą, jaką każdy dziennikarz powinien robić.
370:  weryfikując informacje.
371:  Ponieważ my też jesteśmy w stanie zrobić tylko tyle.
374:  Gdyby na przykład nie fakt, że na premierę odcinka wpadli ludzie, którzy byli też na strumyku Grafa, to ja bym się o tym nie dowiedział.
380:  Ale widzicie, przewaga internetu nad mediami utrwalonymi w piśmie i
386:  tradycyjnym jest taka, żeby coś zedytować.
389:  Natomiast w programie informacyjnym tego nie zedytują.
391:  Dziennikarze w prasie tradycyjnej, drukowanej, tego nie zedytują.
396:  Jak widać, również komisja egzaminacyjna, centralna skądinąd, może sobie edytować PDF-y na swojej stronie, ale nie zedytuje już tego nieszczęsnego egzaminu, który poszedł do wszystkich ludzi.
