🔴 Studzimy nasz zapał, dmuchając na zimne | LIVE #14
🔗 https://www.youtube.com/watch?v=WL6pr7S-N1I

90:  Dziękujemy.
144:  Witam wszystkich, witam wszystkich przybyłych, witam wspierających kanał, witam stałych widzów, witam niestałych widzów, witam tych, którzy będą oglądać w przyszłości zapis tych naszych rozmów, comiesięcznych już.
159:  Witajcie najserdeczniej w ten wieczór niedzielny, kiedy Krzysztof zdołał już się przynajmniej nieznacznie
167:  I częściowo ozdrowić po wyjeździe.
170:  Wyjazdy szkodzą, mogę oficjalnie, moi kochani, powiedzieć.
174:  Tak właśnie jest.
175:  Nic na to nie poradzę.
178:  I tak najwyraźniej również będzie.
181:  Witajcie i gra już nam w tym momencie ambient.
184:  Wcześniej słuchaliście Silver Maple, jednej z moich ulubionych kompozycji z serwisu Epidemic Sound, bo czasem pytacie skąd biorę muzykę.
192:  Witam wszystkich, którzy teraz się zajamniczają i wszystkich, którzy się nie zajamniczają.
198:  Pierwsza i najważniejsza kwestia, bo to zobaczyłem na samym początku, jak zaczęliśmy jeszcze sobie gawędzić tekstowo, a nie rozmawialiśmy jeszcze słownie.
206:  Mianowicie mówicie o edukacji domowej, znana jest mi ta sprawa i bardzo bliska, więc będzie zajmowane w tej sprawie stanowisko w tej czy innej postaci.
215:  Na vlogu jestem w kontakcie z Dopaminą Lab, czyli ludźmi, którzy się też zajmują na stałe propagowaniem edukacji domowej i także, bo to się łączy z tym bardzo, piętnowaniem...
227:  Nieprawidłowości prawnych, tak chyba można byłoby to najłagodniej nazwać w szkolnych statutach, więc możecie się spodziewać jakiegoś kontentu z tym związanego, tylko miejcie na uwadze to, że październik nie sprzyja podejmowaniu nowych tematów, bo się dzieje dużo na uczelni.
243:  Witam przy okazji Faurin w gronie Trybutariuszy jako i, jako i, Magdalenę S. Obydwoje bądźcie powitani.
251:  Jamniki na czatach pisze, InCreative, któremu dziękuję za wsparcie od czterech miesięcy.
256:  Więc tak, moi drodzy, będzie zajmowane stanowisko w tej sprawie i będzie podejmowany ten temat, bo dla tych z Was, którzy nie wiedzą, co się dzieje, ostatnio niestety doszły mnie słuchy o tym, że nowe projekty zmian w edukacji, może nawet mi się uda to szybko znaleźć,
276:  uderzają w projekty, które w moim przekonaniu były jednymi z najbardziej istotnych, które w ogóle rewolucjonizowały w jakikolwiek sposób polskie nauczanie, a mianowicie w projekt edukacji domowej.
289:  Dla tych z Was, którzy nie wiedzą, czym jest edukacja domowa, polecam inicjatywę szkółową w Chmurze, która to tłumaczy.
294:  W edukacji domowej chodzi o to, że zdaje się egzaminy końcowe, natomiast cała
299:  Podstawa programowa jest nauczana indywidualnie.
302:  To powinno być realizowane w każdym własnym zakresie, każdemu według potrzeb i każdemu wedle możliwości czasowych.
311:  W związku z powyższym, oczywiście, że to jest zbyt dużo swobody, jak możecie się zapewne już domyślać.
318:  I mamy, o Boże drogi, przepraszam Was za grafikę, która się teraz Waszym oczom ukaże.
323:  Przepraszam, nie mam żadnego wpływu na to, jak ilustrowane są, moi drodzy, rzeczy.
328:  To, że ilustrowane rzeczy są obrzydliwym...
333:  Nie mam z tym nic wspólnego, okej?
335:  Nic wspólnego z tym nie mam.
337:  No więc idea jest następująca, że w projekcie tej ustawy, która teraz będzie niebawem, nie wiem, tutaj mignęła mi ta edukacja domowa.
347:  Czemu tego tutaj nie widzę?
349:  Czemu tutaj tego nie widzę?
351:  Dlaczego Google mnie oszukuje?
352:  Dlaczego Google mnie oszukuje?
