🔴 NIE KUPUJCIE TEJ 💩 GRY — DRAGON'S DOGMA II Livestream
🔗 https://www.youtube.com/watch?v=igWJJgW2ho0

3:  i jej.
159:  Zdjęcia i montaż
189:  Zdjęcia i montaż
372:  © PTA & TVP
586:  Straszna to historia, gdy recenzenci otrzymują kopię Dragon's Dogma bez informacji, że są mikrotransakcje i muszą wycofać się z pozytywnych ocen gry.
604:  Na szczęście Krzysztof nie ocenia pozytywnie żadnych gier w związku z powyższym.
609:  Nie ma się co przejmować.
611:  A mikrotransakcji na tym kanale jak nie było, tak nie będzie.
614:  Będziemy grać, moi drodzy, jak należy.
616:  Będziemy grać dobrze, nie będziemy kupować żadnych slotów na szybkie podróże i innych bzdur.
622:  Nie kupujcie gry Capcomu!
624:  Korzystajcie z tego, że jest stream.
626:  Oglądajcie to, jak grają inni, a sami zbojkotujcie.
629:  Tak należy zrobić, a sam bym to zrobił, gdybym nie miał już wykupionego preorderu.
633:  Remember no preorders.
634:  Witam serdecznie wszystkich na streamie.
636:  Catherine, Dawid Wojacki, Płonąca Pyrka oraz Melanie eHarmony, Dawid.
642:  Wszystkich nowych witam na streamie, również wszystkich wspierających na kanał stałych i niestałych widzów.
647:  Thomas5648, Szejk Truskawkowy, Zły Czarownik, Aldo Naka, Java S, Rediaga,
671:  Fugo oraz Tududut, już byli wyczytani, Max W, dzięki za torcia 25 miesięcy, Pol Polikot 222, Jakub Janikowski, Hudinius oraz Jamnika Kapłanka z Allenstein, której dziękuję za bycie Jamnikołajką, Radosław Małko, Adrian Kellner oraz dziękuję za dołączenie do grana wspierające Gorgonie, proszę bardzo, The Flipper, Szymon Wrólewski, reszta naszych wspaniałych moderatorów, Jacek Witek, Artin Jezłomny, Ryskowalski, wszystkich, którzy piszą Jamnik, wszystkich, którzy nie piszą Jamnik, Paytween, zmieniamy grę, pisze GG.
696:  W którymś momencie tak zrobimy na pewno, ale nie będziemy mieli żadnego pay-to-win, nie ma takiej opcji.
700:  Poza tym Krzysztof wygrał już we wszystkich grach, w których można było wygrać, w związku z powyższym nie ma potrzeby opłacania wygranej, ponieważ i tak wygrana nas czeka po prostu Grzegorz Sikora, Tomas5648, Mio Kun, Kraken z Jeziora, jaka jest twoja mądrość, Marcia Wix, Zornarin, Nielitościwy, Wenzant, Ruwa oraz Siwy Dym i The Fenestrator i Rapture, Krzysztof S, Alisan Imperium i Wild...
723:  APG Garen oraz Radosaw Małko i Zibydym Longinex, Arwen Winchester, Adrian Sapkowski, Anna, Majster Różyło, FatPandalf, Krzysztof S., Jakub Janikowski, Potwór Spod Łóżka, Nemeczek, Noob, Ślimak i Wewe Darius, moi drodzy.
741:  Informacja piękna jest taka, że udało się stworzyć już postać Niedomagiamniks.
746:  Mam nadzieję, że postać Niedomagiamniks będę mógł zaimportować z kreatora postaci Niedomagiamniksa, który został udostępniony wcześniej.
754:  W każdym razie w tym kreatorze Niedomagiamniks został stworzony.
756:  Nie wiem, czy to się uda, ale zobaczymy, moi drodzy.
760:  W każdym razie to jest słynna Dragon's Dogma.
769:  Zobaczymy, moi drodzy, jak to się skończy.
771:  4 godziny mamy z głowy, nieprawda.
773:  Więc teraz ja stworzyłem postać i pytanie, czy to się zaimportuje.
777:  Jeżeli się nie zaimportuje, to jestem jamnik.
781:  Na razie mamy film.
782:  Dad Kramer, dziękuję za wsparcie od 26 miesięcy.
789:  Conviction is the human.
793:  Nie przeczytałem całości.
800:  Różowy maku, dziękuję za wsparcie, tylko nie przepierdzisz na was travel w życiu!
809:  Ile godzin w kreatorze?
810:  Dwie i pół.
817:  Gdzie jest moja postać?
820:  To nie jest moja postać, to nie jest Dnie do Magii Amnix!
828:  Pożyczcie mi swe uszy.
835:  Oczywiście, napisów polskich nie ma, ponieważ Capcom Nie da się zrobić drugiego startu gry, żartujecie Za ładny na nie domaga
862:  Przede wszystkim ma za dużo, moi drodzy, breastplate'ów, czyli cycometali.
905:  Ten metal mu się bardzo rozciąga.
909:  Gra została przygłośniona.
911:  Po prostu pyta, kiedy ja odpoczywam.
913:  Pytasz mnie akurat po pięciu godzinach wykładów.
923:  Mamy, moi drodzy, już hobbitów w tym świecie.
925:  Bardzo dobrze, że usługują lepszym od siebie.
933:  Czy ja muszę wiedzieć, co się działo w Dragon's Dogma 1?
938:  Wszyscy hajlujcie suwerenowi.
967:  O, zaczyna się.
977:  I tak byś nie pamiętał, co było w Dragon Storm 1, to prawda.
993:  Czy to jest wampir?
1007:  To jest ten moment, kiedy... Tak, to jest ten moment, kiedy będziemy mieli kreatora postaci, mówię wam.
1013:  Otóż to jest ten moment, w którym nie będziemy mieli kreatora postaci, mówię wam.
1017:  Teraz trafiliśmy do pierdla.
1018:  Początek każdej gry fantasy B-like.
1022:  Jeszcze głośniej?
1023:  Już nie mogę głośniej.
1026:  Teraz to się mogę tylko już sam przeciszyć.
1037:  Jest kostur.
1045:  Dobrze.
1045:  Kreator postaci, dobrze.
1046:  You finally awake.
1057:  Dobrze, przy okazji nadrabiam trybuty.
1060:  Posolona dzięki za stwarcie od 12 miesięcy zamiast dogmy kupicie Baldura trójkę.
1064:  Jeżeli tego nie zrobiliście, to absolutnie kto poskromił smoczycę.
1067:  Pamiętajcie o antykoncepcji, dodaje Artosa, wspierając się od jednego miesiąca.
1070:  Cieszę się, że nadrobiłem trybuty.
1072:  Dobrze, zamknijmy teraz tak.
1074:  To się musi udać, moi drodzy.
1080:  Zaraz, zaraz, zaraz, zaraz.
1082:  Przecież ja stworzyłem...
1086:  Ja stworzyłem postać!
1089:  Gdzie jest moja postać?
1096:  Ale ja stworzyłem wcześniej postać, czy ja teraz będę musiał to zrobić jeszcze raz?
1101:  Nieee!
1102:  Dlaczego?
1122:  Ok, sprawdźmy tę.
1124:  Postać w kapturze?
1129:  Tak!
1132:  Niedomag Jamnix!
1134:  Po czym poznacie Niedomaga Jamnixa?
1136:  Po nieprawdopodobnie rozbudowanej muskulaturze.
1140:  Po celowniku na Glacy Łysej.
1143:  Celownik jest po to, żeby wrogowie wiedzieli, gdzie celować, moi drodzy.
1146:  Otóż tu jest celownik.
1149:  Następnie potężnym magicznym tatuażu na łysej glacy, potężnym magicznym tatuażu na udzie, potężnym magicznym tatuażu na ramieniu, który mówi hendożyć preordery.
1161:  Tutaj macie napisane z kolei hendożyć Capcom i jego mikrotransakcje.
1167:  To prawda.
1169:  Mamy głos.
1170:  Niestety rycerza znycerza, nie było innej opcji.
1179:  Zwyciężył śmiech.
1181:  To znaczy stwierdziłem, że... To jest dokładnie śmiech Niedomaga Jamnixa.
1187:  Proszę.
1188:  Wszystko jest idealnie, moi drodzy.
1190:  Tak jest.
1192:  Tak jest!
1193:  Płaskodupie, płaskostopie i zero sześciopaków.
1199:  Tak powinien wyglądać każdy mak.
1200:  To trwało 2,5 godziny, Padem i Furnes.
1203:  Dzisiaj specjalnie wstałem przed wykładem o godzinie 14, więc wstałem o godzinie 10, żeby mieć zapas czasowy i do godziny 12.30 rzeźbiłem tę wspaniałą postać.
1214:  Rzeźbiłem Niedomaga Jamnixa na podobieństwo Niedomaga Jamnixa z El Nendringa.
1219:  Niedomak Jamnix ma na imię Steven.
1222:  Trzeba było wybrać Moniker, który jest podobny do gry sieciowej.
