🔴 Detroit. Detroit never changes | DEUS EX: HUMAN REVOLUTION Livestream #5
🔗 https://www.youtube.com/watch?v=GjLx3KIstuk

268:  Witam wszystkich niedzielnie!
270:  Witam z jamnikiem tradycyjnie!
273:  Witam Maćka Iskrę, Stalowego Guźca, Ty Diena!
277:  Dlaczego wszyscy publikują wielokropki?
279:  Szymona Półtoraka, Pełcio, Wilkera, Elgiona, Stachuchaca, Aleksandrę Żakiewicz, Lemona, Ariksowatego, Maćka Iskierkę, Stalowego Guźca po raz drugi, Weronikę Aleksandrę.
295:  Dlaczego wciąż wielokropki?
296:  Palitkę usza dygresywnego wilka, wszystkich wstawiających wielokropki, Maś, Astrey, Ole Kustre, dygresywnego wilka Marcina Zająca, My Lady Witch, Martynę Łopuszyńską i całe szlachetne, jakże szlachetne grono moderatorskie dbające o to,
313:  żeby się moderatorzyło, czy co tam robicie.
315:  Palitkeusz, Zoner20, Ola Pietrzyk, Zosia Wilman, Banuj, Pan Karmazyn, Polpoliko, Abelek, Rychu.pl, niech będą powitani jako i Genius Galiks, Fucking Posum, Wojtek Pszczelarz, Aśku,
334:  Aśku, wyjaśnia, że się skończył mecz.
337:  A ja wiem.
338:  Piłka, piłka, piłka.
340:  Piłka, piłka, piłka.
343:  Kopać piłkę.
344:  Podrzucać piłkę.
345:  Wiem.
346:  Źle za coś, coś złego było.
348:  Tak zakładam, że jakoś coś się musiało złego zdarzyć.
352:  Niespodzianka.
353:  Dobrze, jeszcze nie będę włączał muzyki w 100%, bo wiecie jak to jest z Deus Exem.
357:  Mianowicie Deus Ex lubi się nie odpalać.
360:  I nie wiem dlaczego.
362:  Więc przekonamy się jak to będzie dzisiaj.
375:  Jakim cudem?
376:  Jakim cudem od razu wszystko zadziałało?
379:  Nawet mi nie mówcie.
388:  Co tu się dzieje się?
393:  A co oznacza laga na Robercika?
395:  Wiecie, że ja nic nie wiem z tego uniwersum, jest ono mi nieznane.
399:  Ja trzymałem się bardzo daleko od piłki nożnej.
406:  Lubi się nie odpalać w odróżnieniu od Krzysztofa, pisze Alison Poland o Deus Exie.
410:  Coś w tym jest.
415:  Laga na Robercika to jest gildia piłkarska w Holistycznej Agencji Eskapistycznej, link w opisie.
420:  Jak widzicie, są miejsca w Holistycznej Agencji Eskapistycznej, o których nie śniło się magom.
428:  Witamy wampira w gronie trybutariuszy.
430:  To jest okazja.
432:  To jest okazja do tego, żeby się zajamniczyć.
436:  Nie pisać o piłkach.
438:  To nie jest taka normalna piłka nożna.
440:  Nie wiem, moi drodzy.
441:  Jedyny obiekt, który przypomina piłkę, to jest nos jamnika.
447:  Cokolwiek plus Robert oznacza tyle, że Lewandowski musi mieć na plecach całą reprezentację.
456:  Mygliście kojarzę to nazwisko.
458:  Mam wrażenie, że głównie z reklam.
460:  Obstawiam, że to jest dobry piłkarz.
466:  Dobrze, moi drodzy.
469:  Nie będziemy się ruszać jeszcze z tego menu.
471:  Cóż się dzieje w waszych życiach, prócz jakichś piłek krągłych, kopanych?
475:  Powiedzcie mi, że się dzieje coś interesującego.
478:  Astray prosi o wspierające jamniki.
480:  Pierwszy raz od dawna jest chora.
482:  Moi kochani, wiecie co robić?
483:  Zawsze, jeżeli któryś z naszych czatowników drogich lub trybutariuszy lub widzów stałych lub niestałych prosi o wspierające jamniki,
492:  Na wsparcie rusza na wszystkich swoich czterech łapach siostra Pratchett.
497:  Siostrę Pratchett wywołujemy kodem JAM112 na czatach.
500:  Laura wspiera od jednego miesiąca, pisze, kto by się jakąś piłką przejmował, gdy jest jamnik, prawda?
507:  Swoją drogą jamniki grające w piłkę nożną to jest coś, co bym obejrzał.
510:  Więc to jest challenge dla czatu.
512:  Jeżeli znajdziecie taką animację, w której jamniki grają w piłkę nożną lub powiem więcej, jeżeli ktoś tego słucha, projektuje gry wideo i zaprojektuje grę, w której jamniki kopią piłkę, zagram w tę grę.
523:  Tydian, dzięki za wsparcie od 13 miesięcy i jamnika wspierającego.
528:  Niech to wybrzmi.
529:  Jeżeli ktoś zaprojektuje grę, w której jamniki grają w piłkę nożną, ja zagram w tę grę.
534:  I to będzie pierwsza gra sportowa w życiu, w którą zagram.
537:  Okej, wyłączając bardzo krótki epizod, kiedy w latach 90. razem z kumplem graliśmy w kosza.
546:  Cyfrowo oczywiście.
547:  Nie pamiętam, jak to się nazywało, coś NBA, ale pamiętam to hasło.
552:  Yeah, it's in the game.
554:  Maś, witamy w gronie Trybutariuszy.
557:  Aśku też choruje.
559:  Moi drodzy, wspierający Jamniki non-stop, moi drodzy.
563:  Jamnik bawi się w piłku z żółwiem.
565:  Znam ten film, Karneval Mephisto.
569:  Gdzie my jest, co się dzieje?
570:  Czy ktoś pamięta, co się działo?
573:  18.00 i ciemno, jak może być dobrze, prawda?
576:  Ja się cieszę, Maćku i Kiskierko, dziękuję Ci za wsparcie od dwóch miesięcy, ale dla mnie to jest super.
583:  Gdzie wysłać jamnika z piłką?
585:  Bardzo proszę wysłać to na kanał Jamniki w Holistycznej Agencji Eskapistycznej i mnie oznaczyć.
592:  Tak jest.
593:  Moi drodzy, jesteśmy znowu w Detroit.
595:  Pada deszcz.
605:  Deszczyk pada, nic nie świeci, Adam Jensen nie ma dzieci.
609:  To jest pierwsza dobra informacja tego dnia.
611:  Gangal, dzięki za wsparcie od dziesięciu miesięcy.
613:  Nie mam pomysłu, więc jamnik niech będzie chwała.
616:  Nie masz w ciebie pojęcia, jak ja czekam na Elden Ringa.
619:  Aaa, kto jest zwiadowcą?
627:  Otóż Adam Jamsen jest... Baton energetyczny cyberblasta!
633:  Jak dawno nie było!
635:  Żebyśmy pamiętali, że tu byliśmy.
637:  Ja wiem, że ziejąca dziura w...
640:  Dlaczego nie mogę przejść przez tę dziurę?
643:  Okej, pudło mieści się w dziurze.
645:  Teraz wiemy, że tu byliśmy.
646:  Witam wspiera od 10 miesięcy, ma jamnika w awatarze i pisze witam.
651:  Witam jest nie tylko jamnikodzierżcą, ale jest również przekleństwem Michała Rusinka.
656:  Wyobraźcie sobie witam, nie tylko pisze witam na czacie, ale również...
662:  Ma witam nick, więc żeby powitać witam, trzeba było powiedzieć witam, witam.
667:  I Michał Rusinek wtedy odpala się na orbitę z wściekłości.
672:  Powiększenie magazynka broni, tym razem do karabinu bojowego.
675:  Wiem, nie wierzycie w to, co się dzieje.
677:  Nadia Lewi się cieszy, że jest baton energetyczny cyberblasta, jako że Nadia Lewi przed streamem tuż rzekła i już wiem, po co było to pudełko.
688:  Otóż Nadia Lewi tuż przed scenem rzekła, że gdyby ktoś ją spytał, o czym jest Deus Extreme Revolution, powiedziałaby, że o batonach energetycznych Cyberblasta.
696:  Arrora pisze, że zaczęła prowadzić swoje pierwsze lekcje indywidualne z grafiki.
