🔴 Strategiczna środa — THE ALTERS oraz MECHABELLUM Livestream
🔗 https://www.youtube.com/watch?v=R_tSku77Wq8

201:  Dzięki.
521:  Wszystkich najserdeczniej przy dźwiękach, a raczej tuż po dźwiękach z K9, Cyberpunk'a 2077, z Phantom Liberty, a teraz grałem dalej, ale w one persona, ponieważ magentowy dzisiaj dzień, dzisiaj gramy w najbardziej magentową grę tego roku.
537:  To znaczy V-Altes, witam wszystkich, najserdeczniej mi jest Emotionless, Pademifernes, Julia Żądłak, Prismatic, Sofia, Wesper, Wessago, Szczęśliwy Syzyf, Pademifernes, Knur Maciek, Wesper, Szafirowa, Buraczki Cukrowe oraz Czerwony Lis, Ania Szymańska, Serenox, Jerz Erlenwaldu, Lon Cz.
556:  R665, pierwszy raz Ciebie przeczytałem właściwie, Ludonardis, Astray, Grzegorz, Wendek1, Kupka Zdubki, Kolos, Longinex12, Sweetpalp oraz Tomasz Kowalczyk, Saturnel, Rafał Piórkowski, Nerus, Wesper, Jerzy.
574:  I Nerus jeszcze raz, bo nie wiem dlaczego dwa razy czytam znowu to samo.
578:  Właśnie, Sofia Melanfa oraz Bonifacy.
581:  Wszyscy, którzy się dziwią dlaczego gramy od tak wczesnej pory, ja też się dziwię, ale to dlatego, że niebawem Pyrkon, w związku z powyższym czasem, jest wszystkim uwinąć wcześniej.
589:  Mi tu witamy serdecznie Pralinkę, Funcie, Korwalik, Trzyncan, Hajuz, niech będzie powitane Temki, Dziolt i Tarael, Arcykomtur, Klaudia, Bejnar, Szymon Drzymała, S88 Art, Wesper, Marcin, Kamil R, Undead, Hedgehog, Jakub Korczak, dziękuję za wsparcie od ośmiu miesięcy, drzem dobry, Indeed.
607:  Wszyscy pstali i nie pstali, bywalcy Steamu, wszyscy, którzy przybyli o tak wczesnej porze, przepraszam raz jeszcze, ale...
624:  Wszystko wskazuje na to, że od godziny 18, czyli tej standardowej, jeszcze sobie może trochę pogramy w Altes, nie wiadomo, może to będzie dobre i będziemy grać przez cały czas, ale chcę jeszcze Wam dzisiaj koniecznie pokazać grę Mechabellum.
634:  Dlatego dzisiejsza środa jest strategiczna, bo będzie dużo strategii, tak należy.
639:  Ksawery Szał, Spaczony Matematyk, niech też będą powitani.
642:  Emeriusz, Szymon Kucharski oraz Estetik i MKS Kruk, Diobuń, Szymon Zajdel.
