Wielka ucieczka — THOREK IRONBROW livestream #2 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=J7t_63q-mDg

2:  Witam wszystkich!
23:  z powagą należną ludowi Da'ui w świecie Warhammera Fantasy, trawestacją najpiękniejszej z pieśni, jaką zrodził lore krasnoludzi.
33:  Dziękuję wszystkim za przybycie tłumne, witam wszystkich, którzy będą przybywać do nas wkrótce i wprowadzenie taktyczne, bo oto jesteśmy w grze wymagającej taktycznego i strategicznego myślenia.
48:  Ten stream, co możecie prześledzić, przypatrzywszy się temu, co się działo ostatnim razem, nawiedzają bez przerwy rebelie, z którymi się usiłujemy jakoś uporać.
60:  My mieliśmy chyba najcięższą z bitew, jakie zdarzyło mi się stoczyć, przynajmniej w tej kampanii Warhammerowskiej, na sam koniec streamu i zostały nasze siły uszczuplone w sposób obrzydliwy i straszliwy.
73:  Musimy coś z tym fantem zrobić.
76:  Pojawiały się na Discordzie naszym, holistyczna agencja eskapistyczna, zapraszam, link w opisie.
81:  Pytania dotyczące tego, jak radzić sobie w sytuacjach złych w Warhammerze Fantasy i bardzo dobrze, właśnie dzisiaj świetnie się do tego nadajemy, z naszą kampanią, której poszło wszystko, co mogło pójść źle właśnie w ten sposób.
94:  Po pierwsze można sprawdzić w ten sposób, że jest obecność wojska w Lamii, więc tam na pewno nie będziemy zdążać.
99:  Z kolei Marag został podbity przez tężeż frakcję, ta frakcja nazywa się bodajże Srebrny Zastęp, to są wąpierze, z wąpierzami sobie poradzimy, ale na wszelki wypawek,
112:  Zrekrutujemy sobie tutaj, wykorzystując te mechaniki, które zostały wprowadzone w dodatku obecnym, w momencie jak krasnoludy Daui, ściśle mówiąc, są wkurzeni, wściekli, dostajemy możliwość rekrutowania jednostek zabójców gigantów.
126:  Więc zrekrutujemy wszystko, co możemy, żeby mieć jakąś obstawę.
130:  Weźmiemy sobie wspaniały młot niebios, czyli żyrobombowiec.
134:  Tak, Daui w świecie Warhammera mają dostęp do lotnictwa.
137:  Jakby tego było mało.
139:  I myślę, że...
141:  Ta armia powinna sprawić, że będzie nam łatwiej się uporać z tymi zagrożeniami.
145:  Szczęść, Sigmar!
147:  Bardzo podoba mi się to określenie, które się pojawiło na czacie.
151:  I teraz tak, myślę, że jeżeli się przemieścimy tutaj, to możemy być zagrożeni lamią, więc przeniesiemy się tu, maksymalnie w tę stronę.
162:  I użyjemy, o właśnie, tej funkcji, to znaczy trybu podziemnej drogi.
168:  Co sądzę o formatowaniu pamięci w radzieckich maszynach obniżeniowych ku chwale omnisjasza?
173:  Wszystko co jest ku chwale omnisjasza jest znakomitym rozwiązaniem.
178:  Myślę, że na sam początek to jest tyle, moi drodzy.
182:  Nie będziemy się specjalnie tutaj opierdzielać w Lybaras.
186:  Lybaras to jest prowincja, którą musimy podbić, bo właśnie...
189:  Wprowadzenie.
190:  Court of Lybaras, czyli Szlachta Lybarasu, atakuje nas z północy.
194:  Z kolei na południu wypowiedzieli nam wojny jasztur o ludzie.
197:  To nigdy nie jest dobre rozwiązanie, więc będziemy musieli sobie z tym jakoś poradzić.
201:  Witam, witam na czacie.
204:  Przechodzimy spokojnie do drugiej tury.
207:  Spokojnie mówię dlatego, żeby samemu nie spanikować.
209:  O, proszę bardzo, okazuje się, że ktoś tutaj zaatakował Marak.
215:  Hmm...
217:  Raseta też będzie oblężona, ale tutaj sobie powinniśmy poradzić.
220:  Zobaczcie, jaką niesamowitą armię mamy.
224:  Więc zrobimy może w ten sposób.
225:  Przeniesiemy się tutaj, żeby móc szybko przejść do Marag, jeżeli zostanie podbity przez Colt of Liberas, a tak sądzę.
237:  Tutaj sytuacja jest pozytywna, to znaczy mamy mury.
240:  Mury sprawiają, że ten garnizon będzie bardzo ciężko zdobyć.
244:  Tutaj jest tak samo.
246:  W tym momencie musimy koniecznie być na przynajmniej trzecim albo czwartym poziomie, bo od tego momentu można zacząć rekrutować rzeczy, które nas interesują do naszego Doomstaka.
256:  Generalnie rzecz biorąc, w armiach krasnoludzich najlepiej mieć cztery oddziały gromowładnych, czyli piechoty dystansowej najlepszej możliwej, muszkieterów innymi słowy.
264:  Jeden oddział żelaznych smoków lubię też mieć.
266:  i przede wszystkim Tana, albo jakiegoś Master Engineer, który też jest możliwy do rekrutowania teraz od trzeciego poziomu.
275:  Szczęść Sigmar, takie fikuśne powitanie, którego używam odgrywając postać kapłana Sigmara w Warhammer Fantasy, cieszę się, że się spodobało.
282:  Pewnie, ja bardzo lubię w ogóle tego rodzaju światotwórcze inwencje dotyczące takich określeń, z których wydawałoby się, że się nie da w żaden sposób zastąpić w polszczyźnie.
293:  więc musimy bezwzględnie wybudować, myślę, warsztat oblężniczy i warsztat majsterkowicza, jak to źle brzmi, warsztat inżyniera brzmi lepiej.
304:  Witam, witam i teraz, i teraz co, moi drodzy, co?
308:  Tutaj możemy coś niby zbudować, ale nie łudźmy się, natychmiast ktoś to będzie chciał podbić, więc na wszelki wypadek to wycofamy sobie to dostępne ulepszenie osady, to jest nam niepotrzebne i...
323:  Tak, co tutaj możemy ulepszyć jeszcze?
326:  Prędkość.
326:  Prędkość jest zawsze dobra.
328:  Bo krasnoludy są wolne, gnuśne.
331:  Krasnoludy nic tylko myślą o tym, żeby się napić piwa, jak to przystało na porządnych inżynierów.
337:  Czy grałem w Greedfall?
339:  Tak i kocham tego RPGa.
341:  Nie słuchajcie wszystkich, którzy mówią złe rzeczy o tym RPGu, ponieważ to jest RPG AA, tak?
347:  Czyli to nie trzeba tutaj oczekiwać drugiego Wiedźmina, albo drugiego Deus Ex Human Revolution, albo Dishonored.
353:  To jest RPG studia Spiders, m.in.
356:  odpowiedzialnego za grę Technomancer, świetna gra steampunkowa swoją drogą i trzeba to traktować, myślę, bardzo na luzie.
364:  Jeżeli zatopimy się w tę historię, a to jest historia kolonizacji wyspy, rzadki przypadek fantasy XVIII-XVII wiecznej, to możemy mieć dużo frajdy.
376:  Przejdziemy sobie tutaj, żeby złapać trochę tego replenishment znakomitego i może sobie zdołamy coś innego.
381:  Nie, nie zdołam nic zrekrutować.
386:  Krasne ludy są wolne, bo czerwony sztandar zobowiązuje.
389:  Faktycznie, mamy czerwony sztandar.
391:  Proszę, proszę.
393:  Witam, witam.
394:  Ultimate Spaghetti, powiada, przybywszy na stream.
397:  Ja już się pochwalę, że za pierwszym wishem razy 10 wypadła Ayaka.
400:  Czy to jest ta postać pięciogwiazdkowa?
402:  Bo mnie wypadła też postać pięciogwiazdkowa dzisiaj, ale niestety nie wypadła Janfej.
406:  Rozmawiamy o Genshin Impact.
407:  To dla wszystkich, którzy są zainteresowani tym, czemu mówimy o takich dziwnych rzeczach naraz.
416:  O, jest herbatka, wprawdzie nie jest to, krasnoludzie, piwo.
422:  Boże, oparzyłem się, ale herbatka jest dobra, bo zielona.
427:  Wypowiedziano wojnę.
429:  Im dłużej zajmują twardzieli Grimgora, tym lepsza dla nas jest to informacja.
434:  Od czego zacząć książkową przygodę z uniwersum Warhammera Fantasy?
437:  Bardzo dużo ludzi poleca zacząć od przygód Gotreka i Feliksa i one chyba są najlepiej... A, to już zmądrzał Krzysztof, bo usłyszał tyle razy na streamie.
450:  Zastanawiam się, czy utrzymanie dla wszystkich jednostek długobrodych.
454:  Długobrodych, ale to jest... Nigdy nie pamiętam, czy to jest nazwa jednostki długobrodzi.
459:  Bo jeśli tak, to jest to nam niepotrzebna.
463:  Jeśli nie, to jest to nam nie... To nie jest nazwa jednostki, to jest nam bardzo potrzebne.
469:  Nie stać nas na to.
470:  Musimy w takim razie pakować wszystkie pieniądze wzrost.
475:  Ja chciałem Ayake i dostałem Yanfei.
477:  Zamień się ze mną!
481:  A jaka to pięciogwiazdkowa nowa?
482:  No to zdecydowanie mam właśnie ją.
486:  Dobrze, schowamy się tutaj, żeby mieć jeszcze... Krasnoludy potrzebują mieć jak najwyższy replenishment rate.
492:  Mieliśmy ostatnio inwencję na streamie, jak ładnie przetłumaczyć replenishment, ale ja oczywiście już zapomniałem.
500:  Długo brodzi ta jednostka?
501:  Okej.
504:  Witamy, witamy!
508:  Hmm, jeżeli długo brodzi to jednostka, to nam nie jest potrzebna ta legendarna budowla na razie w takim razie.
513:  Bo jeżeli chodzi o jednostki i piechoty krasnoludziej, to jest tylko i wyłącznie jedna, która się liczy i co to Iron Breakers.
520:  O, jak mi przykro, że Imperium będzie mieć problem z chaosem.
524:  Jak by to powiedzieć?
525:  Baaaaa!
535:  bardzo nas to obchodzi, bo jesteśmy tak daleko, więc się nie będziemy tym przejmować kompletnie.
542:  Tak, tak, Genshin zresztą będzie dzisiaj ogrywany, nie oszukujmy się, tego się nie da uniknąć.
546:  Wiecie co, myślę sobie, że zamiast żebyśmy dawali garnizonowi łatwy zwycięstwo, my sobie złapiemy parę leveli, bo wypadałoby dla naszego Toreka Żelaznej Brrrrwi.
560:  O, wiedziałem, że to jest Court of Liberals, świetnie, nie przejmujemy się tym kompletnie.
566:  Cieszę się, Pietrek Rysujący, że się załapałeś na live'a, a jesteś widzem kanału od jakiegoś czasu.
574:  Zdarzają nam się owe live'y, zdarzają, jak najbardziej.
578:  Czy chcemy się bawić w śmieszną bitwę?
580:  Ależ oczywiście, że chcemy się bawić w śmieszną bitwę.
584:  Dziwni ci Skaveni jacyś brodaci, prawda?
587:  Nietypowa sprawa.
589:  Ja bardzo tęsknię za Skavenami, żeby nie było, ale już tak dumstakowaliśmy Iki tym klą, że trzeba tutaj było jakieś wyzwanie się wreszcie pokusić.
603:  To będzie pod warunkiem, w takich sytuacjach jest jedna opcja, to znaczy wykorzystać krasnoludzią zdolność do bicia się w nieskończoność.
613:  Myślę, że powinniśmy to wygrać.
616:  Dzień dobry, dzień dobry.
622:  Q&A, bardzo dobre rysowania, och, ja się cieszę.
625:  W ogóle jest dużo swojego drogo teraz, znaczy dużo, coraz więcej różnych kanałów, na których rysują właśnie youtuberzy, to cudowna sprawa.
633:  Ja się załapałem w którymś momencie na Ergo Josh'a, który ma setup budzący mokre sny u każdego gamera.
642:  Co robi krasnolud, gdy widzi, jak Imperium i Chaosowi podczas bitwy skończyły się strzały?
647:  Oczywiście, że wyciąga organki.
652:  Pyta obydwie strony, czy chcą kupić.
653:  Hahaha, złośliwe.
655:  Piękne.
658:  Tak, Skaveni są zawsze na zapas, jeżeli kampania się okaże zbyt trudna.
662:  Chat słusznie szyci, bo robiliśmy jeden restart ostatnio.
668:  Oj, dziękuję za komplement dotyczący głosu.
672:  Spodziewałem się, że to jest głównie kwestia mikrofonu.
674:  Długo wybierałem swoją drogą.
677:  Są dwie typy ludzi.
678:  Taki, którzy potrzebują mikrofony kardioidalne, pojemnościowe, czyli łapiące głos zewsząd.
685:  To jest wtedy, kiedy ma się dobrze wytłumione pomieszczenie.
687:  I tacy, którzy potrzebują mikrofonów dynamicznych, kierunkowych.
690:  Chyba ja jestem tą drugą grupą.
695:  No, wygramy to, moi mili.
696:  Bez żadnego problemu.
700:  Dziękuję za powodzenia.
701:  Powodzenia się przydadzą.
703:  Czy w Warhammera 40K też pogrywam?
705:  Oczywiście.
706:  Nawet mamy zaplanowane na niedzielę, chociaż jeszcze Was o tym nie informowałem, ale będzie zapowiedź dosłownie albo dziś, albo jutro.
714:  W niedzielę ogrywamy finał Warhammera 40K Mechanicus.
718:  Natomiast jeżeli pytacie o Warhammera figurkowego, to wciąż jeszcze się nie zajawiłem nim.
722:  Znaczy ja się bardzo nim zajawiłem, ale nie grałem nigdy osobiście.
728:  Tak, typ mikrofonu w dużej mierze zależy od warunków, to jest prawda.
731:  Od razu mówię, najlepsze wytłumienie, jakie sobie można zrobić w pokoju, to są książki.
737:  Bo te wszystkie pianki, które... teraz Elgato sprzedaje pianki za jakieś 120 dolarów za cztery bodajże, koszmar absolutny, ale to się opłaca tylko i wyłącznie wtedy, jeżeli ktoś nagrywa w garażu.
748:  A jeżeli ma się książki wokół, to jest to przepiękna sprawa.
754:  Zakład o 100 litrów piwa Daiwi, że przez cały live nie będzie restartu?
758:  Przyjmuję ten zakład!
761:  Dlaczego ten tchórzliwy Rydwan nie chce się z nami bić?
765:  To jest dzień jak co dzień u Daiwi.
767:  Krasnoludy na swoich małych, krótkich pęcinach usiłują ścigać Rydwan Króla Grobowców, a Królu Grobowców spierdziela.
779:  Grupa brodatych dresów znęca się nad starszym panem na wózku.
784:  Cudowne podsumowanie naszej dzielnej bitwy, w której jeden starszy pan na wózku, prawdopodobnie jakieś 900 tysiąc lat licząc w latach królów grobowców, urżnął 72 z naszych dresów daui.
804:  Ooo, tak.
807:  I tym samym...
809:  Myślę sobie, że jeżeli stłumimy rebelię, to możemy ruszać powoli z tą naszą nową armią i spróbować pokonać Court of Liberals.
817:  Kracznoludy, doceniam na czacie odniesienie, tutaj by się przydał give I know that reference z Kapitanem Ameryką.
829:  Kto ginie?
829:  Tylko jedna jednostka?
832:  Nie będziemy się nawet specjalnie przejmować tym.
836:  Przecież jest ta cudowna kwestia Gimliego, prawda, do której się odwołujecie, mianowicie, że krasnoludy są ekspertami w sprintach na krótkie dystanse.
845:  Przepiękna sprawa.
848:  Nie ma takich, obawiam się, sympatycznych kwestii u samego Tolkiena.
854:  Przepraszam wszystkich fanów Tolkiena.
857:  Ale naprawdę Jackson był znakomity.
861:  Wnerwieni górnicy dyskutują o zakończeniu strajku ze starym pracownikiem zarządu.
866:  Ewidentnie, słuchajcie, mamy, gramy, gramy krasnoludami, które reprezentują słuszne racje klasowe.
876:  Kazuhan Kazahenka!
878:  Tak!
880:  Tak jest!
881:  Przed chwilą w radiu słyszałem, że otworzyli Muzeum Żołnierzyków w skali 1-32, postacie historyczne Templariuszy i postacie z Warhammera.
887:  Serio?
888:  Gdzie, w którym muzeum i dlaczego mnie tam jeszcze nie ma?
891:  I wracamy sobie, moi mili, powolutku.
895:  Tutaj do Lybarasu.
896:  I czy jesteśmy w stanie... Za cztery tury mamy namiar na ramięsznik naszych cudownych wypalaczy.
904:  Czy mogę polecić jakieś fajne podcasty, które można składać, jak się gra w ESO?
908:  Ja ostatnio bardzo chętnie słucham, jeżeli lubisz podcasty technologiczne, Lou Leiter, to jest ten gość od Unbox Therapy, robił znakomitą rozmowę z Peterem McKinnonem, a dzisiaj dosłownie słuchałem sobie z Daviem Lee.
922:  Znakomicie poprowadzone.
925:  A bardziej pod lore tego, w co gramy, Lutin.
929:  Przychody, przychody, przychody, potrzebujemy więcej przychodów.
936:  Krasnoludy to też spec od piwo, choć nie wiem jak w Warhammerze wygląda kultura piwa, jeśli piją lagery to słabo.
941:  Tutaj moi drodzy, w tym miejscu, nie wiem czy kiedykolwiek zdobędziemy tę osadę, ale tutaj jest browar, który jest założony przez tamtameczny ród krasnoludzi.
953:  Powiem wam, że to była dobra decyzja z tą osadą w Rasetrze.
957:  Na początku streamu zrobiliśmy ryzykowny ruch, to dla wszystkich, którzy by chcieli grać właśnie na mapie Mortal Empires, mianowicie zaczynamy tutaj w Karak Zorn i tutaj pierwszy nasz przeciwnik to jest klan Morse, z którym się bardzo ciężko gra i myśmy zrobili ryzykowny ruch w postaci podbicia Rasetry.
976:  Oczywiście klan Morse nas tutaj dojechał, nawet Ba zdobył Karak Zorn, ale później wszystko odbiliśmy.
983:  Muzeum jest w Toruniu, owosz.
986:  Muzeum Żołnierzyków.
987:  Piękna sprawa.
989:  The South Path słusznie komentuje, że wszyscy potrzebujemy większej... większych przychodów albo, jak to się mawia, zdywersyfikowania portfolio przychodów.
1002:  Browar Bugmana, tak jest, dziękuję za podpowiedź.
1004:  W Browarze Bugmana tutaj można rekrutować zresztą jednostki dystansowe DAW i strażników.
1017:  Teraz tak, to jest działanie bohatera.
1022:  Nam nie jest potrzebne działanie bohatera, to jest trochę bez sensu.
1027:  Pradawna uraza, nie mistrz kowadła, nie, na razie inwestujemy w szybkość.
1034:  No dobrze, zrobimy tak, że tutaj się jeszcze zasadzimy, wiem, że wystawiam waszą cierpliwość na próbę, ale nie chcę stracić tej armii absolutnie.
1044:  I później podbijamy cel urazy naszej.
1050:  Specjalne miściciele z głównej armii nazwę wymazywacze uraż, gdyż na pierwszym streamie często mieli po 300 zabójstw.
1056:  Tak jest!
1057:  A czy my w ogóle jest... Ojej, my możemy zmieniać nazwę, to jest... To jest wspaniała... Wiecie, że ja nie wiedziałem, że można zmieniać nazwę jednostek?
1069:  To jest przerażające, czemu ja tego nie wiedziałem?
1075:  Ależ przepiękny pomysł, dziękuję.
1077:  Mamy teraz oto wymazywaczy uraz.
1080:  Świetna sprawa.
1082:  Czemuż ja tego nie wiedziałem?
1083:  Wędrowiec, instynkt górnika, murarz.
1091:  Czy my będziemy go wykorzystywać?
1092:  Nie, ten koszt może być, to jest tylko dla... Nie, do budynków stolicy prowincji, bez przesady, nie będziemy aż tak chytrzy.
1100:  Tutaj będzie niebawem też rebelia, dobrze.
1102:  Szybko idą nasze tury.
1104:  Awe!
1104:  Awe!
1110:  Rocka słuchałem kiedyś, ale mi się w pewnym momencie znudził, mam go na liście, pewnie wrócę do niego.
1114:  No Rock robił podcasty, przecież ja szczerze powiedziawszy wolałem zawsze słuchać Rocka solo niż z tym kompanem jego.
1121:  Oczywiście też mogę polecić inne podcasty, mianowicie z Bez Schematu, ale to egoistycznie polecam, bo często ja jestem ich gościem, ale robimy taką serię, jak nie oglądaliście, o światotwórstwie z Radkiem Pisulą z Napisów Końcowych, no i właśnie z Bartkiem Filipem Malinowskim z Bez Schematu i Yours Truly.
