🔴 Niedomag Iamnix w Majuli | DARK SOULS II Livestream #1
🔗 https://www.youtube.com/watch?v=DoZiMf7phI4

46:  Dzięki za oglądanie!
181:  Muzyka Muzyka Muzyka
234:  Błąd.
237:  Popełniamy, moi drodzy, zasadniczy błąd!
242:  I cieszę się, że możecie być tego błędu świadkami.
246:  Witam serdecznie wszystkich przybyłych.
248:  Marta F., Rafał Loewa, Jędrzejczyk, Niestatystyczna Zły Czarownik, Grusam Gru, Tomasz Kowalczyk, Agnieszka Saran, Karol Itka, Ja, Rafał L. Politko, Paweł Demifernes, Piórek, Nieproszony, Hamster, Cugowski, Czerwon Lisb, Jednoręgi Madenata, Prendo, Karol Kowal, Adam Stopczyk, Luminarius, Igrzegorz Sikora, Mr. Dżinos, Ara Gawrońska, Evil, Płonąca Pyrka,
276:  I Harry Osborne, i Garbus 94, i Aleksandra, i Betonowy Beton, Katarzyna, i... Radosław Malko, Panda WPS, Andriu Jo, Maciok, Natalia, Fajny Robert, Bartosz Pstrągowski, Venzant Fire, Kambriana...
291:  Bądziorno, Knecht, dawnych Klecht, Adam Stopczyk, Vemzant, Fae, Maciok, Emilia Wojdyło, Hania, Joanna Maślankiewicz, Marta F., witam serdecznie, Wiejskiego Buraka w ronie wspierających, Jamniki na powitanie, Katarzynę takoż witam, Omniscient, Omniscient, przepraszam, Reader, Jevven, Deflipper, Jamuelcha, Kapłankas, Alenstein, Jesa, Sikorka, Kruk, Kruczycień, Bardariusz, Smender, Kreatom, Jak, DXB, Witold, Tududu,
320:  DarkSus4224, Eric Greenlove, Okside, Jacek Witek i Dariusz Smender, dziękuję za wspieranie od jednego miesiąca.
330:  Ja panu nie przerywałem, niech też będzie powitany.
333:  Kosmic, Magpie i Czarna Kuzka, witajcie najserdeczniej.
338:  Moi drodzy.
341:  Dark Souls 2 ma to do siebie, że jest w nim muzyka w menu głównym.
347:  To niezwykłe, wiem.
349:  To niestety koniec zalet tej gry.
