Wampiry, na które nie zasłużyliśmy | CASTLEVANIA — SEZON 4 (recenzja)
🔗 https://www.youtube.com/watch?v=r0hjXkjvB94

1:  Castlevania na Netflixie zachwyca mnie i nie będę tego ukrywać od co najmniej trzech sezonów.
5:  Serial ten ma bowiem w sobie absolutnie wszystko tego, czego potrzebuję do szczęścia.
9:  Potężnych magów władających żywiołami, wampirów władających magią śmierci i łowców wampirów.
16:  dysponujących artefaktami magicznymi, więc jest wystarczająca ilość magii na centymetr kwadratowy i do tego jeszcze znakomicie zaprojektowany świat i w warstwie audiowizualnej narracyjnej frapujący bohaterowie i świetne sceny akcji, których nie powstydziłaby się gra Dark Souls.
32:  Czegoż chcieć więcej?
33:  No otóż znakomitego finału tej serii.
36:  Czwarty sezon Castlevanii, miło mi to powiedzieć, taki finał dostarcza.
41:  Wracamy oto do Targowisze, miasta dokładnie tego samego, co w dzisiejszej Rumunii, w świecie fantastycznym Dark Fantasy, w którym to mieście, kościół, pali na stosie żonę Wlada Tepesza, Lisy Tepesz, od czego to rozpoczyna się cały serial i zarazem ma to oczywiście straszliwe konsekwencje, z którymi zmagają się nasi protagoniści, to znaczy Trevor Belmont, łowca wampirów i spadkobierca legendarnego klanu Belmontów, zresztą zmagający się z legendą owego szklanu,
68:  następnie Magini Ognia, Saifa Blnadesz, której nawet wybaczam to, że się nazywa tak, że ciężko jest to wymawiać, i wreszcie syn Wlada Tepesza oraz Lizy Tepesz, czyli Alucard.
82:  I oczywiście...
84:  W tym sezonie dostajemy także nowego antagonistę, i to antagonistą tym jest sama śmierć, czy sam śmierć.
91:  Nie będę spoilował dokładnie o co chodzi, ale to też nie oznacza, że nie wracają antagoniści, którzy są typowi dla tej serii.
97:  A zatem nie tylko demony, wampiry i istoty z piekła rodem.
102:  Nie, negatywnym, najgorszym bohaterem serii Castlevania są sami ludzie, źli plebani, niegodziwi zarządcy,
111:  Sprzedajni kupczykowie i po prostu źli ludzie, którzy mimo, że mają do czynienia ze światem, który jest niemiły dla wszystkich i mimo, że powinny jednoczyć zagrożenie, siły chaosu i piekła zsyłane na ziemię, mimo to czynią sobie zło i nie potrafią ze sobą współpracować, albo zatrudniają się u wampirów jak...
133:  mistrzowie kuźni, żeby wykuwać dla nich legiony nieumarłych, albo po prostu czynią sobie zło na co dzień nawzajem.
141:  I muszę powiedzieć, że byłem bardzo zbudowany tym, że czwarty sezon Castlevanii nie poszedł w taką łatwą, tanią epickość.
150:  I owszem, będziemy mieli tam zdecydowanie najwięcej widowiskowych walk z całej serii, ale te walki wszystkie będą czemuś służyć.
157:  I konkludowane są one bardzo...
159:  No właśnie, pozytywnym finałem, nie będę zdradzał oczywiście dokładnie, co się w nim dzieje, natomiast jest to dla mnie bardzo budujące, że nie postawiono na tanią efekciarskość i chwyty na zasadzie takiego, że ohoho, nikt się tego nie spodziewa, w związku z powyższym zrobimy coś, co jest absolutnie idiotyczne i nielogiczne.
178:  No i wreszcie, w serii napotkamy też bardzo dużo smaczków i odniesień kulturowych, które być może sprawią, że osoby, które nie grały na przykład w legendarną Castlevania Lord of Shadows, zainteresują się tym uniwersum właśnie dzięki serialowi.
191:  No, wspomnę chociażby hrabiego Saint-Germain'a, który pojawia się tutaj.
195:  A jest to stały bywalec literatury i kultury, że wspomnę i Damę Pikową Puszkina i Sandmana Nielegajmana, więc tak, zdecydowanie polecam absolutnie wszystkim Castlevanię, którzy cenią sobie po prostu dobrą sztukę.
210:  Dobrze opowiedzianą historię, której towarzyszy zarazem znakomita warstwa audiowizualna.
216:  No i cóż, zdecydowanie dojrzały ton, który różni tę produkcję nie tylko i wyłącznie na tle innych animacji w Polsce kojarzonych z takim dziecinnym przekazem, ale w ogóle na tle innych produkcji fantastycznych, także tych aktorskich.
230:  Zdecydowanie polecam.
232:  Czwarty i wszystkie poprzednie sezony Castlevanii od dzisiaj w całości można już zapoznać się z tą serią na Netflixie.
239:  I do następnego.
