Ostatnie kuszenie Bezosa | RINGS OF POWER (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=_R5IYOTbjDc

0:  Teoretycznie powinienem się cieszyć.
3:  Powinienem być zadowolony, że się mogę znowu trochę powyzłośliwiać, bo przecież mało mi czterech live'ów, podczas których staraliśmy się omawiać wszystkie błędy, nieścisłości i problemy na bieżąco w Rings of Power.
17:  Powinienem wreszcie uśmiechać się złośliwie, bo będzie okazja do wytknięcia ferii, problemów i niekompetencji, ale szczerze?
27:  Zmęczony jestem.
29:  Zmęczony jestem tym, że tak dużo osób nagle zaczęło się interesować zupełnie niespodziewanie fantastyką, bo zobaczyło w tym interes zasięgowy, że można sobie poużywać na czymś, co w zasadzie jest żałosnym i żenującym spektaklem, co w każdych innych okolicznościach zostałoby przez krytyków filmowych zdezawuowane, skrytykowane i
57:  określone mianem najgorszej możliwej rozrywki, jaką sobie można wyobrazić, przeciętnej, generycznej i zaprojektowanej przez ludzi, którym się wydaje, że można wszystko kupić.
69:  Że można kupić artyzm, że można kupić geniusz, że można kupić pomysł i kupić zaangażowanie widzów i fanów.
77:  I przykro mi, jak patrzę na to wszystko, ponieważ zdaję sobie boleśnie sprawę, że być może, jeśli faktycznie korporacje zorientują się, że ten
86:  Model finansowy nie działa.
89:  Rings of Power może być jednym z ostatnich w seriali fantasy, w który władowano tyle pieniędzy, bo władowano w to tyle pieniędzy po nic.
99:  Serial bowiem oddano niedoświadczonym scenarzystom, zarówno J.D.
103:  Payne, jak i Patrick McCain za sobą mają wyłącznie...
106:  Star Trek Into Darkness, a całość nie powinna o tyle dziwić, że unosi się nad nią widmo Jar Jar'a Brahmsa i Bat-Robot, stojącego za równocześnie upadkiem jednej z moich ukochanych franchise, to znaczy Gwiezdnych Wojen w postaci niebołazika pobudki, przepraszam, Skywalkera odrodzenie.
131:  filmu, który pozostawił niesmak na ustach wszystkich tych, którzy w świat Gwiezdnych Wojen byli w jakiś sposób zainwestowani.
138:  I zanim w ogóle zacznę mówić Wam o tym, bezspoilerowo dla wszystkich tych, którzy jakimś cudem Rings of Power nie widzieli, co w tym serialu jest nie tak, pozwólcie, że rozstrzygnę trzy kwestie, które są najważniejsze.
150:  Pierwsza,
152:  Podobno serial spotkał się z hejtem ze strony fanów.
156:  Wiecie, jak przeglądałem reakcje na teasery i trailery, to zauważyłem w nich co innego.
162:  Nie było w nich rasistowskich bluzgów, nie było wyzwisk w stosunku do scenarzystów, a była inteligentna, intertekstualna gra, w której fani nie bez złośliwości konfrontowali śmieszną...
175:  w pewnym sensie również żenującą narrację marketingową twórców Rings of Power z tym, co dostaliśmy w serialach i teaserach rzeczonych, a więc zapowiedział czegoś zgłamiałkiego i nieinteresującego i niemającego wiele wspólnego ze Śródziemiem.
191:  Nie widziałem tam żadnego hejtu w każdym razie.
195:  To, co zobaczyłem, to po raz kolejny w życiu przejawy różnorodnej uprzedzeń i stereotypów wobec społeczności fanowskiej traktowanej jako całość, gdy tymczasem fandom, jak każda grupa społeczna, jest bardzo zróżnicowana i nie wszyscy fani zachowują się w ten sposób, jak chciałby to widzieć Amazon.
214:  Druga rzecz.
215:  Nie jestem w stanie zrozumieć, dlaczego tak wiele osób zaczęło bronić megakorporacji znanej z wyzysku pracowników, zwłaszcza komentatorów lewicowych, którzy powinni raczej patrzeć podejrzliwie na wszystko to, co jest udziałem wielkiego kapitału robione i starać się dokonywać sprawiedliwej i uczciwej wiwisekcji produktów nam w ten sposób oferowanych.
238:  I wreszcie ostatnia kwestia, review bombing, czyli wystawiania masowego ocen.
243:  Jedyne oceny masowo wystawiane, jakie widziałem i co do których mam zastrzeżenia, to jest 10 na 10.
249:  Wystawiane przez krytyków, którzy obejrzeli dwa odcinki serialu, a potem mieli część lność mówić, że ludzie nie mają prawa się wypowiadać na ten temat, póki całości nie zobaczą.
258:  Wiecie co?
259:  Ci krytycy też nie mieli prawa się wypowiadać na ten temat, zwłaszcza w perspektywie tego, co zobaczyliśmy.
264:  I niezależnie od naszych ocen, moi kochani, na pewno, na pewno,
267:  Pewno to nie był serial 10 na 10, czyli tak, jak ja bym go czytał, nie znoszący ocen numerycznych, arcydzielny, wspaniały, będący wzorcem dla innych, tak jak Breaking Bad, Mr. Robot, Severance czy Black Mirror, do których ten serial Rings of Power po prostu nie dostaje.
285:  I zaczniemy może od kwestii najważniejszej.
288:  Jak widzieliście pewnie na miniaturze, przekreśliłem Lord of the Rings nad Rings of Power, ponieważ jak widziałem ten serial i oglądałem starając się nie popaść w znużenie, tak widziałem owszem piękne plenery, widziałem starannie dobrane lokacje i widziałem rozmach scenograficzny z pewnymi pomniejszymi usterkami, natomiast nie widziałem tam śródziemia.
314:  Co to oznacza widzieć śródziemię?
317:  Oznacza to zobaczyć rozpoznawalne lokacje, zobaczyć rozpoznawalne postaci, zobaczyć rozpoznawalne artefakty, wszystko to słowem, co może stanowić łącznik między serialem a światem.
329:  Wtedy, kiedy nie mamy materiału źródłowego, ponieważ Rings of Power to nie jest adaptacja.
336:  Nie może to być adaptacja, bo nie ma źródła, moi mili.
338:  Może być to jedynie twór zależny, inspirowany światem, osadzony, jak mawiamy często w odniesieniu do narracji fantastycznych, w już znanym uniwersum.
350:  I w takich sytuacjach zwykle wprowadzamy, jeśli już, nowe postaci, nowe wątki, ale staramy się zachować balans między tym, co znane, a tym, co nieznane, na przykład kierując nasze kroki w stronę lokacji jeszcze nie zapoznanych, w stronę wątków, które nie zostały wyeksplorowane.
367:  I jeśli mówimy już o wątkach, serial ten cierpi nad ich nadmiarem.
371:  to tak jakby twórcy chcieli wcisnąć tutaj równocześnie maksymalnie dużo odniesień do świata Tolkiena, który sobie lekceważą zarazem, co jest dość niekonsekwentne, a równocześnie zaproponować własne postaci.
383:  O wiele lepiej by to wyszło, gdyby zamiast tejże strategii obrano raczej inną, skupiając się na nowych postaciach, opowiadając nam nowe, pasjonujące historie osadzone w świecie, który już znamy i poszerzając ten świat, prowadząc nas w rejony dotąd niewyeksplorowane, do Haradu, do Run,
402:  Być może w kolejne sezony to zrobią, ale tu już zmarnowano ten potencjał.
406:  Jest bardzo dużo również problemów natury fabularnej.
409:  Wielokrotnie mamy do czynienia z magicznymi teleportacjami bohaterów z jednego miejsca na drugie, z końmi, które pojawiają się znikąd, ponieważ nie były przetransportowane drogą morską z Numenoru, z Galadrielą, która płynie w pław przez kilkaset kilometrów i nikogo to nie dziwidzi.
427:  i z wieloma innymi kłopotami, za które każdy inny serial zostałby skrytykowany z góry na dół.
433:  Nawet postaci, które moglibyśmy znać i kojarzyć z legendarnią, Celebrimbor, legendarny twórca pierścieni, władzy dla elfów, Elrond, którego nie trzeba przedstawiać, czy Galadriela, będąca główną postacią tego serialu, a zarazem najmniej interesującą, co jest problemem, tudzież inne postacie,
453:  Znane już bardziej zagorzałym fanom postaci, jak chociażby Gil-Galad, czyli król Noldorów z okresu II ery, albo Al-Pharazon, władca Numenoru, czy księżniczka Muriel, to są wszystko postaci, które mogłyby zagospodarować znacznie więcej czasu ekranowego, a przede wszystkim nie być tak potwornie jednowymiarowe.
472:  I co zabawne,
474:  Cała narracja Amazonu dotycząca tego, że fani będą atakować różne postaci z uwagi na rasistowskie ich pobudki upada wobec faktu, że jedne z najciekawszych postaci, jakie zostały wprowadzone do tego serialu, oryginalnych, właśnie postaci grane przez aktorów odmiennej karnacji i koloru skóry, a może właśnie...
495:  To chodziło o to, żeby przekierować całą naszą dyskusję na ten wątek, podczas gdy mogliśmy w 100% skoncentrować się na innych kwestiach albo przedstawić świat Tolkiena takim, jakim on jest.
506:  To nie jest świat multietniczny, tylko to jest świat sprzed kolonizacji, sprzed wędrówek ludów, w którym rasy różnokolorowe są po prostu w różnych miejscach świata, bo nie miały szansy się ze sobą jeszcze spotkać.
519:  To jest naprawdę aż tak proste.
521:  Nie będę natomiast koncentrował się na wypunktowywaniu wszystkich problemów na linii Lord of the Rings, Rings of Power i Lord of the Rings, czy Świat Śródziemia, bo zrobiłem to już w wzmiankowanych live'ach.
534:  Jeśli jesteście tym zainteresowani, to postaram się je podlinkować.
538:  To, co mnie najbardziej w tym wszystkim boli, to fakt, że mamy do czynienia ze światem, którego się nie spodziewałem w odniesieniu do tak znanej marki, tak dużego IP, intellectual property, jakim jest Władca Pierścieni, tylko nie trzeba nikomu przedstawiać.
554:  Ten serial jest tak przeciętny, tak generyczny, że nawet nie zorientowaliście się, że w kadrach, które wam pokazywałem w trailerze, znalazły się ujęcia z amazonowego koła czasu.
567:  To jest najlepsze świadectwo tego, że mieli rację ci fani, którzy mówili, że to nie jest Śródziemie, bo nie rozpoznawali tego charakterystycznego stylu, który się krył za gigantyczną pracą, jaką wykonano przy trylogii Jacksona i późniejszej trylogii o wiele słabszej Hobbita.
586:  Tu nie chodzi o zgodność z materiałem źródłowym, bo jako się rzekło, nie ma tego materiału źródłowego, nigdy nie powstała żadna powieść, tak samo jak w przypadku fantastycznych zwierząt i jak ich znaleźć, nie było żadnej powieści, był bestiariusz.
599:  Fantastyczne zwierzęta jakie znaleźli Uta Scamandra.
602:  Tak samo i tutaj mamy do czynienia z kroniką historyczną, która została pospiesznie spisana przez Tolkiena i skompilowana przez Christophera Tolkiena, ale do niej nawet Amazon nie zyskał praw.
612:  Amazon zyskał prawa do appendixów, uzupełnień do Władcy Pierścieni, więc to się nie mogło udać i ludzie, którzy znają to uniwersum na to wskazywali.
621:  Nie mówili, nie dajemy szansy tej opowieści.
624:  Nie mówili, nie dajemy szansy showrunnerom, mimo że nie są doświadczeni.
627:  Nie mówili, nie podoba nam się gra aktorska źle wykastowanych aktorów, bo nawet jej wcześniej nie poznali.
633:  Ale wiecie, na czym polega problem?
635:  Teraz mogą to powiedzieć.
636:  Ponieważ nie zagrali aktorzy w sposób fascynujący i frapujący.
641:  Być może aktor grający Halbranda, czy aktorka grająca księżniczkę Dize, albo aktor grający Durina.
649:  Może oni...
651:  dali faktycznie popis umiejętności i ratują ten serial.
654:  Może relacja Harfootów, które są ludem pierwotnym wobec Hobbitów i prawdopodobnie jednego z istarich, który spadł z meteorytu na Ziemię.
667:  Może to było czymś, co ratowało ten serial, ale nie ratowało go od dłużyzn fabularnych, od cięć pospiesznych, na które ten serial potwornie cierpi, jak również nadużawanego na modłę teledyskową slow motion.
680:  Jakość produkcyjna tutaj nieprawdopodobnie kuleje i nie jestem w stanie zrozumieć, jak to jest możliwe do osiągnięcia w produkcji tak kosztownej.
689:  To chyba byłoby najlepsze, mam wrażenie, do zainteresowania się po stronie wszystkich komentatorów lewicowych, to znaczy zastanowienie się nad tym, czy warto trwonić takie pieniądze w takim czasie, w jakim teraz żyjemy, na tego rodzaju kiepskie produkcje, które nawet ludziom nie dają ucieczki i eskapizm.
709:  No i wreszcie najgorsza rzecz, o której zresztą wszyscy zaczęli mówić w którymś momencie w odniesieniu do tego serialu, to znaczy, że on się nie klei, nie opowiada żadnej spójnej historii, jest zbyt wielowątkowy, miota się między z jednej strony krytykowaniem podejścia fanowskiego, w którym byśmy tropili nieścisłości, a z drugiej strony wymaganiem od nas, widzów fanowskiej wiedzy, bo ktoś, kto nie wie, kim jest Izildur, Morgoth, czym są Silmarille, kim był Celebrimbor,
737:  Czym jest Balrog?
738:  Nie dowie się tego z tego serialu, a więc nie jest on dobrym wprowadzeniem do świata śródziemia.
744:  bo po pierwsze nie jest to ślad Śródziemia, a nawet te elementy ze świata Śródziemia, które są zaczerpnięte, są zaczerpnięte z błędami, częstokroć błędami merytorycznymi.
753:  Czasem rozbudowywane są wątki, które są całkowicie niepotrzebne, jak na przykład historia powstania Mithrilu.
759:  Rudy, która nie ma żadnego znaczenia absolutnie w uniwersum, natomiast tu nagle urasta do rangi lekarstwa, które ma wyleczyć całe Śródziemie.
767:  Nawet zwroty fabularne.
770:  których wam odkrycia daruję, żeby unikać spoilerów, się nie udało.
774:  Natomiast oczywiście najgorszą częścią całego serialu i całej opowieści jest postać wiodąca, czyli Galadriela.
781:  Nie dość, że nie przypominająca Galadrieli filmowej w żaden sposób, to jeszcze zagrana przez najbardziej bezwyrazową aktorkę, jaką kiedykolwiek w życiu spotkałem, dysponującą arsenałem pięciu min, których używa wymiennie
792:  i być może jedną z najbardziej antypatycznych postaci, jakie kiedykolwiek poznałem w całym uniwersum Śródziemia i tak wliczam absolutnie wszystkich, także tych wprowadzonych całkowicie niepotrzebnie przez Petera Jacksona.
805:  Lord of the Rings Rings of Power zatem popełnia błąd, którego bym się nie spodziewał w ogóle po tego rodzaju marce.
812:  Mianowicie tworzy opowieść nudną i przeciętną.
816:  I to chyba najgorsze jest, co można było zrobić Tolkienowi, którego twórczość może i nie jest na dzisiejsze czasy.
823:  Może jest zbyt szlachetna, może zbyt nieprzemijalne wartości przedstawia.
829:  ale na pewno jest wyrazista, na pewno jest oryginalna, na pewno jest nieprawdopodobnym osiągnięciem w kulturze, biorąc pod uwagę też to, że to Tolkien wymyślił słowo fantazy i to Tolkienowi udało się całkowicie zmienić obraz elfów w kulturze.
843:  Zatem ta ekranizacja jest po prostu przeciętna, nie jest zła, nie jest na wskroś zła.
851:  nie jest na pewno dobra, a już na pewno nie jest arcydzielna, ale jest nieskończenie i nieznośnie wprost przeciętna, nużąca do tego stopnia, że człowiek kochający fantastykę jak ja odczuwa fizyczny ból musząc zająć stanowisko wobec tego serialu i widząc jak wiele osób jedzie cały czas na zasięgach Rings of Power tylko po to, żeby się podpiąć pod znany temat, a nie po to, żeby faktycznie wyrazić swoją opinię, która jest doedukowana, która ma coś wnieść dla widzów.
880:  Nie mogę polecić osobom, które nie widziały tego serialu, a chciałyby zobaczyć coś dobrego w fantastyce, akurat Rings of Power, mogę polecić Carnival Row, mogę polecić Mroczne Materie, mogę polecić jakikolwiek inny serial science fiction, seriali fantasy wielu nie mamy, ale tego z czystym sumieniem polecać nie mogę, bo jest to produkcja stworzona wyłącznie po to, żeby pieścić i łechtać ego Jeffa Bezosa
905:  A nie po to, żeby nakręcić po prostu dobrą opowieść i opowiedzieć historię, która sprawi, że będzie zrealizowane to, co jest dla fantasy najważniejsze, czyli ta ucieczka, która sprowadza nas do domu.
