🔴 RINGS OF POWER | Recenzja odcinek po odcinku (ze spojlerami) #1
🔗 https://www.youtube.com/watch?v=Ra4WpZINxb8

49:  muzyka muzyka muzyka
146:  Dzięki za oglądanie!
177:  Dzięki za oglądanie!
302:  Pomyślałem, że na powitanie Was wszystkich postaram się
310:  pokazać w kilkanaście sekund, na czym będzie polegał trud recenzencki, który będzie stał przed nami teraz co tydzień.
321:  Powaga tej sytuacji być może zostanie dla Was zilustrowana tym, że wykorzystam w tym celu TikToka.
344:  Więc tak, moi kochani, to jest nasze zadanie teraz, które będzie stało co tydzień po każdym odcinku.
353:  Będziemy starali się pokazać pewne takie, wiecie, drobne, małe ryski, takie...
361:  takie cieniusieńkie rysunie na wybitnym materiale, który został przygotowany przez fantastyczną ekipę Amazonu.
376:  Wybitnym, ponieważ jak wpiszemy
380:  Rings of Power, Tomatometer, moi drodzy, na Rotten Tomatoes, to zobaczymy coś, co nie powinno absolutnie w was jakichkolwiek wątpliwości pozostawiać.
393:  Ja wam pokażę, na czym polega.
395:  To znaczy, 83% wybitnych krytyków zadecydowało w naszym imieniu, jak ma nam się podobać ten serial.
403:  My już wiemy, że to jest wiarygodna ocena, tak?
409:  Witam wszystkich, którzy przybyli na nasze refleksje, z którymi teraz się możemy dzielić, moi drodzy.
416:  Z tego względu możemy się dzielić, że jak powszechnie wiadomo, serial Rings of Power od Amazonu już wyszedł.
424:  Mamy pierwszy odcinek, mamy drugi odcinek, na szczęście jeszcze nie ma trzeciego i następnych, ale to nas wszystkich czeka.
431:  I ja jestem w tej szczególnej pozycji, że równocześnie uważam się za fana fantastyki i fana prozy J.R.R.
438:  Tolkiena, ale nie jestem człowiekiem, i od razu to zaznaczę, który będzie strzegł świętości oryginału.
444:  Ba!
445:  Ci z was, którzy mnie znają, wiedzą dobrze, mam nadzieję swoją drogą, że muzyka słyszalna,
450:  iż ja nic nie pamiętam, w związku z powyższym ja nie mogę strzec godności, oryginalności, czystości oryginału, ponieważ nie jestem dobrą osobą, są mądrzejsi ode mnie, są Tolkieniści, którzy to zrobią.
465:  Ale ponieważ jestem fanem i równocześnie mam jakieś wyobrażenie na temat świata,
471:  JR Tolkiena, czyli Middle-earth, a ściśle mówiąc Ardy, ponieważ Arda jest planetą, na której się to wszystko rozgrywa, a jest zresztą taka hipoteza, że Arda to tak naprawdę prediluwialna Ziemia, czyli przedpotopowa, to jednak będę mógł
488:  Zaryzykuję taką tezę.
490:  Oceniać, czy ta reprezentacja jest adekwatna.
493:  I zanim przejdziemy, moi kochani, do recenzji, muszę jedną rzecz naprostować.
498:  To znaczy, przez ostatnie miesiące słyszałem bardzo naganne wypowiedzi w stosunku do fanów.
506:  wypowiedzi osób, które nie są zainteresowane Tolkienem, a z jakichś względów uznały, że Władca Pierścieni jest dla nich.
512:  No, przepraszam najmocniej, jeżeli ktoś nie jest zainteresowany Tolkienem, to nie jest targetem, prawda?
517:  Ja na przykład nie jestem targetem Breaking Bad i mogę powiedzieć, że uważam zdanie na temat Breaking Bad, że o, że każdy powinien zobaczyć Breaking Bad, bo to najwybitniejszy serial na świecie, za snobistyczne,
530:  ale równocześnie nie przyjdę do kogoś, kto obejrzał wszystkie odcinki sezony Breaking Bad i na przykład teraz będzie oceniał jakikolwiek follow-up w postaci Better Call Saul czy tego filmu, który wyszedł i będę mówił, że nie, nie, bo wiesz, bo to powinno być inaczej zupełnie, ta postać powinna wyglądać inaczej.
545:  Nie, no nie masz racji.
546:  Jesteś snobem jelitystą, bo tylko ci się Breaking Bad podoba.
550:  Nie, będę słuchał tego, co ma ten człowiek do powiedzenia, ponieważ obejrzał wszystkie odcinki w odróżnieniu ode mnie, zna się na tym troszeczkę lepiej.
556:  Więc ta...
558:  Pogarda, która jest w stosunku do ludzi, którzy mają większą wiedzę na temat legendarium Tolkienowskiego jest niepokojąca.
564:  I teraz chciałem wam wyjaśnić, dlaczego wszyscy, którzy mówili, że casting do tego serialu jest zły, że nie zapowiada się dobrze worldbuilding, czyli światotwórstwo i że fotosy, które są pokazywane w trailerach nie są adekwatne, mieli rację.
580:  Wiecie, dlaczego mieli rację?
582:  Muszę zniknąć, ponieważ przygotowałem dla was specjalnie grafikę.
588:  Raz na zawsze ustalmy, że przedpremierowa ocena czegokolwiek będzie miała sens w dzisiejszym czasie, kiedy mamy trailery, kiedy mamy grafiki, kiedy mamy plakaty, kiedy mamy tournée postaci, które chodzą po wszystkich różnych studiach i mówią, że I will be playing a black dwarf of color, tak?
610:  Nic więcej na temat tej postaci.
613:  Nawiasem mówiąc, zdziwicie się, jaka będzie moja ocena tej księżniczki, więc czekajcie, jeżeli jesteście zainteresowani.
619:  Więc w czasach, w których jest tak dużo informacji na ten temat, mamy prawo wypowiadać się na temat castingu, zanim obejrzymy serial.
626:  Mamy prawo się wypowiadać na temat projektów koncepcyjnych i grafik koncepcyjnych, zanim obejrzymy serial.
631:  Mamy prawo wypowiadać się na temat trailerów, zwłaszcza jednego traileru, gdzie jest taka...
635:  piękna piosenka rockowa, która tak świetnie pasuje, jak zresztą słyszycie, dobrałem wyłącznie rocka progresywnego do tego live'a, ponieważ wiadomo, że bardzo pasuje do fantasy.
645:  Nic to, że rock progresywny będzie pasował raczej do urban fantasy i na tym polega rozróżnianie estetycznych konwencji różnych od siebie.
653:  Kontynuując, można także oceniać zgodność z lore, czyli zgodność z informacjami na temat tego świata, które to informacje i teraz być może to będzie z
664:  Zadziwiające dla niektórych recenzentów, ale te informacje, moi kochani, nie są tylko u Tolkiena.
671:  One są też w trylogii Władcy Pierścieni Petera Jacksona, w grach Middle-earth Shadow of Mordor, gdzie po raz pierwszy dostajemy Klebrimbora, nawiasem mówiąc, równocześnie w jednej z najlepszych gier RTS, czyli Battle for Middle-earth 2.
687:  Tam budowane są nasze wyobrażenia na temat świata.
690:  W tych miejscach wiecie dlaczego?
693:  Z bardzo prostego powodu i żeby wyjaśnić ten prosty powód, teraz muszę i obiecuję, to będzie ostatnia rzecz, którą zrobię, jeżeli chodzi o tryb naukowy.
702:  Muszę wam pokazać to, w jaki sposób należy do narracji światotwórczych fantastycznych w moim przekonaniu podchodzić.
712:  I teraz proszę uprzejmie.
716:  Książce na temat światotwórstwa, światotwórstwa nie w jednym medium, nie w literaturze, tylko w ogóle światotwórstwa, które macie, jak to się fachowo mówi, transmedialnego, czyli w różnych mediach, na różnych platformach medialnych, będzie to trailer, będzie to plakat, będzie to gra wideo, będzie to film i będzie to książka, liczy się, jakbym zaznaczał co się liczy, to się liczy.
741:  To się liczy, przestrzeń i miejsce, to gdzie jesteśmy, nie liczy się co się będzie działo, czyli fabuła i nie liczy się kto jest zaprezentowany, czyli bohaterowie.
753:  To mieliście w narracjach, w których dominuje fabuła, w narracjach światotwórczych.
760:  Ergo Tolkien, będziecie mieli Gwer, czyli gdzie, przestrzeń i miejsce jako kluczowe, encyklopedię, czyli lore jako preferowaną reprezentację, powrót do znajomego świata.
771:  No niesamowite!
773:  No niesamowite, że fani, którzy byli na premierze Władcy Pierścieni filmowego, no niesamowite, że oni chcieli wrócić do świata Władcy Pierścieni takim, jakim go pamiętają.
786:  No niebywałe!
787:  Kto by przypuszczał?
789:  Idąc dalej.
792:  tu jest ta gęstość, to chodzi o to, że jest dużo informacji, tak?
795:  Jak porozmawiacie z Tolkienowskimi lormistrzami, będziecie mieli dużo informacji.
799:  I charakterystyczne jest też to, że będziecie mieli wiele tekstów i różne media.
804:  W związku z powyższym, jeżeli ktoś chce analizować świat Władcy Pierścieni, to musi znać wszystko w obrębie tego świata.
810:  I wiecie, kto jest takim człowiekiem?
812:  Otóż fan.
813:  Nie recenzent, który obejrzał tylko serial, ale fan, który zna te wszystkie elementy.
819:  I on będzie reagował...
821:  nerwowo w momencie, w którym Galadriela nie będzie wyglądała jak Galadyra, w którym Elrond nie będzie wyglądał jak Elrond, w którym Lindol będzie wyglądał identycznie jak Valinor i inne tego typu rzeczy.
831:  Więc to miejmy wyjaśnione, ok?
833:  Że ja nie oceniałem, moi kochani, serialu Rings of Power Amazonu i dlatego nie mieliście ani jednego streamu na tym kanale,
840:  przed emisją serialu, w odróżnieniu od wielu innych klanów na YouTubie, ponieważ cały czas zachowywałem trzeźwość myślenia w zakresie tego, co ten serial nam przyniesie w tych innych aspektach, których nie oceniamy.
854:  W aspekcie gry aktorskiej, scenariusza, fabuły z dialogami, narracji, projektu świata narracji, kinematografii, a więc tego, w jaki sposób ten
863:  Świat jest stworzony filmowo, narzędziami filmowymi, jaka jest praca kamery, jaka jest reżyseria itd.
869:  Następnie jakość produkcyjna, co możemy już domniemywać po trailerach, ale nie możemy tego domniemywać w pełni w momencie, w którym nie obejrzymy serialu i na samym końcu oprawa dźwiękowa i muzyka.
881:  Więc jeżeli ktoś ma problem intelektualny z oceną tego, dlaczego fani zanim obejrzeli serial się wypowiadali, to możecie sobie zescreenować ten slajd i przekazywać.
