Fantasy, jakiej ze świecą szukać | CARNIVAL ROW — SEZON 1 & 2 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=KPxoNnP9auo

0:  Carnival Row.
1:  Serial tak niszowy, że nawet nie ma polskiego tłumaczenia tytułu i może i dobrze.
6:  Moje osobiste odkrycie 2019 roku, jeden z powodów, dla których warto było wykupić subskrypcję Amazon Prime, przypominam, że tym powodem absolutnie nigdy pod żadnym pozorem nie było Rings of Power, a...
21:  Czym jest Carnival Row?
23:  To jest serial wyjątkowy.
24:  Jeżeli miałbym mógł Wam w skrócie opisać jednym zdaniem, to powiedziałbym, że jest to połączenie Mentalisty, Shadow and Bone i pod pewnymi względami jeszcze Sandmana, więc jeżeli lubicie którykolwiek z tych seriali, to od razu już mogę mówić, że należy rzucić wszystko i zacząć oglądać pierwszy sezon, który wyszedł już czas jakiś temu, jako się rzekło, i teraz napocząć już sezon drugi, który wychodzi w cotygodniowych, dwuodcinkowych partiach.
49:  Jakie jest założenie światotwórcze tej rzeczywistości?
52:  Oto jesteśmy w realiach neowiktoriańskich, nazwijmy to, w toku rewolucji przemysłowej.
59:  W związku z powyższym oczywiście pojawią się obowiązkowe elementy steampunkowe, pojawią się sterowce, ale pojawi się także nowoczesna broń i klasowe społeczeństwo, w którym, co ciekawe, na szczycie, bo mamy tak jak zawsze w tego rodzaju settingach fabrykantów, bogatych magnatów,
76:  i generalnie białych imperialistów, natomiast im niżej schodzimy po tej drabinie klasowej, tym więcej napotykamy nieludzi.
85:  Elfów, fe, czyli wróżki, pisze się przez dywtong fa-e, następnie
91:  wszelkich innych istot magicznych, jakie sobie jesteście w stanie wyobrazić, poczynając od centaurów, a kończąc na trollach.
98:  I tak jak i w innych narracjach tego rodzaju, jak chociażby w Rzekach Londynu Bena Aranowicza, całość spaja narracja kryminalna, oto Orlando Bloom fantastyczny wciela się w rolę inspektora, konstabla, który ma rozwiązywać zagadki morderstw.
114:  Oczywiście, że wszystkim chodzi o to, żeby
117:  zrzucić winę za kolejne popełniane zbrodnie na nieludzi i podsycić tym samym napięcia społeczne.
123:  Natomiast to, co się dzieje w drugim sezonie, absolutnie mnie wzięło z zaskoczenia, bo ni mniej, ni więcej, moi drodzy, alibaby do czynienia z reprezentacją czegoś na wzór rewolucji bolszewickiej.
135:  Więc jeżeli chcieliście takiego połączenia kiedykolwiek fantazy, dobrze, naprawdę świetnie rozpisanych intryg politycznych, walki o prawa społeczne i jeszcze do tego wszystkiego ślicznych,
146:  świetnie zrealizowanej fantasy, z dobrym budżetem, ze świetną choreografią walk, z dobrymi efektami specjalnymi i kostiumami, i także przepiękną nastrojową muzyką, to Carnival Row jest, no już nie tyle dla was, ale jest w ogóle pozycją absolutnie obowiązkową.
162:  I może, żeby nie było tak, że tylko Krzysztof się zachwyca,
166:  Podsunę Wam opinię człowieka, który swoją drogą w tej książce zdefiniował fantastykę miejską i urban fantasy, tzn.
173:  Andrzeja Sapkowskiego, który to w wywiadzie z Marcinem Zwierzchowskim powiedział o tym serialu następująco.
182:  Ciekawy jest tu Carnival Row w kontekście nowych produkcji fantasy, o których mówi Sapkowski, w żadnym serialu jak dotąd nie dano nam takiego koktajlu fantasy, new year, steampunku i noir.
193:  Noir to jest ta konwencja kryminału mrocznego, w którym wiecie, ten detektyw w prochowcu, pykający sobie fajeczkę, oczywiście w strugach deszczu.
202:  rozwiązuje różne zagadki.
204:  Powiedzmy, że taką postmodernistyczną wersją noir było Sin City.
208:  Ksapkowski kontynuuje, że jeżeli chodzi o te istotne tematy, o których zdecydowaliśmy się rozmawiać, tematy polityczne, to wygląda tak, jakby twórcy serialu zdecydowali się nadrobić wszelkie zaległości.
218:  Mamy tu pełen program,
219:  Wróżki ze skrzydełkami, feerze czone, inni nieludzie uciekają przed rasistowskimi prześladowaniami, by trafić pomiędzy nie mniejszych rasistów.
226:  Stoją najniżej hierarchii, wykonują najniższe posługi, a ich pracodawcy czują się w prawie wykorzystywać je seksualnie.
232:  Nawet ci z nieludzi, którzy się wybili są pariasami.
235:  Mieszane związki stają się obiektem prześladowań.
238:  Na koniec, dla ukoronowania, wszyscy nieludzie trafiają do getta za druty.
244:  Ciekawe, czy następny sezon natchnie optymizmem.
246:  Oj, Andrzeju, pan Andrzeju Sapkowski, zdecydowanie nie jest to natychający optymizmem sezon, ale nie mniej przez to dobry.
256:  Myślę, że spośród wszystkich polecajek, które miałem dla was na przestrzeni dwóch lat, ta jest chyba kierowana dla ludzi poszukujących najambitniejszego fantasy.
265:  Więc powiedzmy, że tak jak peryferal dedykowałem wszystkim tym, którzy szukali w science fiction czegoś więcej, tak Carnival Row zdecydowanie rekomenduję każdemu, kto trochę tęskni za poziomem politycznych intryg w grze o tron i również poziomem realizacji kinematograficznej, no i za świetnym aktorstwem, bo zarówno Orlando Bloom wspomniany, jak i Cara Delevingne, która się wciela w jedną z Fe,
289:  no dają nieprawdopodobny popis kunsztu aktorskiego i dla nich samych warto to zobaczyć, a poza nimi jest jeszcze plejada świetnych, swoją drogą głównie brytyjskich aktorów.
298:  Absolutnie rekomenduję, więc wszystkim poszukującym czegoś więcej w obrębie fantasy, a przede wszystkim tym spośród was, którzy są troszeczkę rozczarowani, tak delikatnie rzecz ujmując, tym co Amazon Prime by zdarzało się, że tam w ostatnimi czasy serwował.
313:  Do następnego.
