Co Dalej z Mobbingiem na UAM? | Prof. dr hab. Robert Kmieciak, Krzysztof M Maj | Magazyn Reporterów
🔗 https://www.youtube.com/watch?v=LEV3IAP-9lw
RK (Prof. dr hab. Robert Kmieciak)
SM (Szymon Majchrzak)
KMM (Krzysztof M. Maj)

270:  S03 - Dzisiaj karbary są ściekiem komunikacyjnym.
272:  S03 - Słuchamy i chcemy być wysłuchani.
274:  S03 - Budynek stoi tylko i wyłącznie na słowo honoru.
277:  S03 - Magazyn Reporterów, Radia Afera.
280:  S00 - Jeszcze dzisiaj zaapelujemy do wszystkich dyrektorów, żeby zamknąć już szkoły, przedszkola.
285:  S00 - Każdy poniedziałek o 20.00.
291:  SM - Cześć ekipo Radia Afera.
293:  SM - Słyszałam, że nagłaśniacie sprawę tego, co dzieje się na Wydziale Anglistyki UAM.
298:  SM - Jeżeli nadal chcielibyście zgłębić ten temat, to chętnie anonimowo podzielę się swoją historią.
304:  SM - Lata spędzone na WA uważam za najgorsze w moim życiu.
308:  SM - To był całkowicie stracony czas w panice i psychicznej tyrradzie.
313:  SM - Czas, którego nikt mi nie odda, a który odbił się na moim zdrowiu psychicznym i fizycznym.
318:  SM - Pozdrawiam was serdecznie bardzo, ale to bardzo dziękuję, że ruszyliście tę sprawę.
325:  SM - To fragment jednej z kilkunastu wiadomości, którą otrzymaliśmy po opublikowaniu reportażu Marii Lewandowskiej o nękaniu studentów na Wydziale Anglistyki UAM oraz magazynie reporterów, w którym omawialiśmy ten temat.
338:  SM - Skala problemu okazała się większa niż przypuszczaliśmy.
341:  SM - Program w całości lub we fragmentach obejrzeliście ponad ćwierć miliona razy, a komentarzy i osobistych relacji o tym, co dzieje się na uczelni również nie brakowało.
353:  SM - Z tego powodu dzisiaj wracamy do tej sprawy.
373:  SM - Za kilka minut porozmawiamy o tym, co dzieje się na Wydziale Anglistyki, a także o tym, co moim, ale przede wszystkim waszym też zdaniem, co przebijało się w różnych wypowiedziach, jest źródłem problemu.
387:  SM - A więc o sposobie zgłaszania nadużyć, ten w opinii autorów programu, po prostu nie działa.
