THE LAST OF US odc. 3 | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=1oQD0C7QyGs
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
TN (Tomasz Nowakowski, Ubieram Się na Czarno)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

8:  BFP - Mili, witajcie na naszym... Mili, witajcie... O, przepraszam, bo mam pogłos siebie.
16:  BFP - Na naszym spotkaniu wieczornym, omówieniu i analizie odcinka trzeciego, tym razem The Last of Us.
24:  BFP - Wszystkich, którzy są z nami, oczywiście uprzedzamy, to będzie spotkanie, na którym będziemy rozmawiali ze spoilerami, chociaż nie będziemy wybiegali naprzód, zarówno w serialu, jak i grze, więc zachowajmy również
36:  BFP - Witam serdecznie.
37:  BFP - Dobry wieczór.
38:  BFP - Cześć.
57:  BFP - Panowie, ja zastanawiałem się, jak zacząć ten odcinek, bo ostatnim razem, tydzień temu, ja i Tomek już widzieliśmy przedpremierowo ten epizod trzeci i mówiliśmy, to naprawdę jest jeden z najwyżej ocenianych przez nas odcinków w tym sezonie.
75:  BFP - 11 na 10.
76:  BFP - I to daliśmy też obaj, że będą pękały dupcie.
80:  BFP - Ale muszę przyznać, że nie spodziewałem się tego, co nastąpiło i takiego wylewu homofobicznych i pełnych mowy nienawiści komentarzy, które pojawiły się pod moją recenzją.
95:  BFP - Konsultowałem to wcześniej z Krzysztofem i bardzo mądrze powiedziałeś i dziękuję Ci za to przyjacielu.
101:  BFP - że miejsce ścieku jest w Rynsztoku, a my tutaj zbudowaliśmy specjalnie jacuzzi dla nas, żeby nam było przyjemnie.
107:  BFP - Nam i tym wszystkim 800 osobom, które teraz są z nami i pewnie większej ilości osób, które do nas jeszcze dołączą i nie ma sensu wpuszczać tego ścieku do naszego jacuzzi, żeby psuć nam zabawę.
119:  BFP - Więc nie będę przytaczał tych komentarzy.
121:  BFP - Jeżeli chcecie, to możecie zobaczyć je na Instagramie w mojej relacji.
125:  BFP - Nie spłynęły po mnie, tak jak ściek,
128:  BFP - Ale chciałem tylko na wstępie powiedzieć jedną rzecz.
132:  BFP - My oglądamy serial, w którym ludzie zmieniają się w grzyby.
136:  BFP - Pękają im czaszki, wyrasta z nich grzybnia i zdarza się, że nawet takie pęknięte czaszki z grzybnią na wierzchu całują kobiety.
144:  BFP - I to jest okej.
145:  BFP - Ale jak widzimy dwóch mężczyzn, którzy się całują, to już jest fuj, oble, nie, gejoza.
151:  BFP - Takich komentarzy było bardzo wiele.
153:  BFP - I myślę sobie, że jeżeli faktycznie są takie osoby, a są i to nie są trolle, to to jest dobra pora, żeby przestać oglądać ten serial.
162:  BFP - Bo...
163:  BFP - Będzie jeszcze wiele rzeczy, które będą dla was ciężkie do przełknięcia, a naprawdę nie macie co czekać na drugi sezon.
169:  BFP - Jakby obiecuję wam, że nie znajdziecie tam tego, czego szukacie.
172:  BFP - Jakby these are not the droids you are looking for.
175:  BFP - I ten serial nic nie straci na tym, jeżeli odejdziecie.
178:  BFP - My poczujemy się lepiej, wy pewnie poczujecie się lepiej, a ten serial wciąż będzie hitem i będzie miał się znakomicie.
184:  BFP - Więc również ostrzeżenie dla wszystkich, jakby bez schematu jest miejscem na różnorodne opinie, na różnorodne wrażliwości, ale
192:  BFP - homofobia i mowa nienawiści nie jest opinią, nie jest różnorodną wrażliwością, jest po prostu sierpem i młotem.
200:  BFP - I to będzie banowane, bo nie ma na to miejsca.
204:  BFP - Przepraszam za tak minorowy początek, panowie, ale chciałem to na samym początku powiedzieć, żeby też antycypować, co może się ewentualnie dziać na czatach.
213:  BFP - Oddaję wam głos, bo chciałbym posłuchać waszych wrażeń na temat tego odcinka, bądź też również odnieść się do tego, co przed chwilą powiedziałem.
219:  BFP - Krzysztofie.
221:  KMM - Ja chciałem powiedzieć, że w tym kontekście, o czym powiedziałeś, że uderzyło mnie bardzo, jak ludzie na autopilocie komentując, przyzwyczaiwszy się na przykład do tego, że jak wielokrotnie powtarzaliśmy na tym kanale, czy Netflix, czy HBO robi pinkwashing, to znaczy wyciera sobie agendą społeczności LGBTQ mordy, po to, żeby zarobić sobie tanie kredisy społeczne u ludzi, a przy okazji robi...
245:  KMM - kiepski serial i ludzie na autopilocie zaczęli komentować.
247:  KMM - To za każdym razem, kiedy widzą dobrze zrealizowaną reprezentację.
251:  KMM - I przypominam sobie, jak były informacje odnośnie do tego, że będzie Gladiator 2 i ludzie powiedzieli, że pewnie będą geje.
258:  KMM - Starożytny Rzym, geniusze.
260:  KMM - Tak, jakby możecie się tego spodziewać.
263:  GW - Byli tak miłośni z miałopłci, moi drodzy.
264:  KMM - Tak jest.
265:  KMM - Jeszcze polecam... Zasięgnijcie do historii.
267:  KMM - Erotyki Flaviusza Filostratosa również, jeżeli ktoś nie wierzy.
271:  KMM - I generalnie nadrobienie sobie zaległości z ostatnich kilku tysięcy lat rozwoju cywilizacji.
277:  KMM - Wszelako, co powiedziawszy, ja uważam, że powinniśmy się skupiać cały czas niezmiennie na krytyce aspektów narracyjnych, produkcyjnych i tak dalej, przy absolutnym uwzględnieniu także tego, że tego rodzaju głosy po prostu, jeżeli się pojawiają,
292:  KMM - to odsyłam do etymologii słowa homofobia, bo to chciałem, żeby wybrzmiało.
295:  KMM - Homofobia nie jest, kochani, wyzwiskiem, a jest używana jako wyzwisko.
299:  KMM - Homofobia jest diagnozą.
301:  KMM - Fobein greckie oznacza paniczny lęk, obrzydzenie, strach.
305:  KMM - Jeżeli ktoś czuje tego rodzaju uczucia, widząc całujących się mężczyzn,
309:  KMM - to Rado jest jedna, lekarz.
312:  KMM - Tak jak w przypadku każdej innej fobii, ja mówię to śmiertelnie poważnie, homofobia nie jest wyzwiskiem i dużym problemem środowisk lewicowych jest niestety to, że uczyniono wyzwiska z dwóch diagnoz, faszyzmu i homofobii.
