THE LAST OF US odc. 9 FINAŁ | Omówienie i Analiza
🔗 https://www.youtube.com/watch?v=InCexO5WMJ8
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
GW (Grzegorz Wątroba, Okiem Deva)

7:  BFP - Ja zwykłem te nasze poniedziałkowe spotkania zaczynać od słów
13:  BFP - Drodzy, witajcie, albo szanowni, dobry wieczór, mili.
19:  BFP - Witajcie, ale tym razem zacznę od słów mili.
21:  BFP - Morda mi się cieszy i nie przestaje się cieszyć.
26:  BFP - Chociaż to już nasze ostatnie spotkanie omawiające finałowy odcinek The Last of Us, dziewiąte nasze spotkanie.
33:  BFP - Nasze, czyli Grzegorz Wątroba z Okiem Dewa.
37:  BFP - Dobry wieczór Tobie.
37:  BFP - Dobry wieczór.
39:  BFP - Krzysztof M. Maj.
41:  BFP - Nie z okiem Newa, ale też dobry wieczór.
43:  BFP - Ale jak zawsze rozjażony, jak zawsze beka toczona ze mnie, kiedy się pojawiamy, bo tak już po prostu się przyjęło wedle naszej, a właściwie waszej dobrej tradycji.
54:  BFP - I witam wszystkich, którzy w tym momencie z nami są na żywo.
58:  BFP - Kochani, dziękuję, że dołączacie do nas ten ostatni raz i dziękuję, że byliście z nami przez te ostatnie osiem poprzednich tygodni.
69:  BFP - Chciałbym powiedzieć to, co zawsze mówię, czyli że nie będziemy spoilowali tego, co wydarzy się później, ale nic już się nie wydarzy później.
75:  BFP - W sensie mamy oczywiście The Last of Us Part II, które myślę pozostanie poza zakresem naszej dzisiejszej dyskusji, ale to już jest to, to już jest koniec i nie ma już nic.
86:  BFP - Możemy dzisiaj rozmawiać o wszystkim, ale preferowałbym, żebyśmy skupili się na The Last of Us.
92:  BFP - Bardzo szybko.
94:  BFP - 10 lat temu chciałem wybiec z domu w czerwcu 2013 roku i krzyknąć do wszystkich, ludzie, ludzie, błagam, wysłuchajcie mnie, bo zagrałem w najlepszą grę w moim życiu.
104:  BFP - I byłem pod wielkim wrażeniem tego, co zrobiło ze mną The Last of Us.
109:  BFP - I wiem, że w ciągu ostatnich kilkunastu godzin, być może 10 milionów ludzi, poczuło to samo albo poczuło coś w tych okolicach.
118:  BFP - I w międzyczasie, kiedy to się działo, Michel, ja...
122:  BFP - i Ki Kwan dostali Oscary za najlepszy mój film 2022 roku, czyli Wszystko Wszędzie Naraz.
130:  BFP - Co za złote czasy i dobre czasy dla jakościowej popkultury.
135:  BFP - Chciałbym, żebyście wy zaczęli od swoich impresji po tym finale, który jest polaryzujący i Krzysztofie chciałbym, żebyś zaczął.
142:  KMM - Ja zacznę od wierszyka.
143:  KMM - To już koniec Rzek Soliter wyglądając z czterech liter.
146:  KMM - To jest mniej więcej takie uczucie, jakie mam.
149:  KMM - To znaczy cały czas czekałem na coś, dostałem fangę w nos, zagrali mi na tym nosie na scenie, potem jeszcze kopnęli w żyć i zaczęli się zachwycać.
158:  KMM - Moim zdaniem jeden z najgorszych odcinków całego sezonu.
161:  KMM - Będę bardzo ostre stanowisko zabierał, ale zabieram je z perspektywy człowieka, który stara się zapomnieć o tym, że jest to wierne oddanie tego, co się dzieje w grze.
170:  KMM - Patrzę na to wyłącznie z perspektywy serialu i dynamiki i dramatyzmu relacji, która była budowana, ponieważ wiem, że za moment zobaczę na czacie, Krzysztof, chcę zombie i akcja, to jest serial o relacjach międzyludzkich.
183:  KMM - Boże, dziękuję, nie wiedziałem!
186:  KMM - Ja tyle...
187:  KMM - Tak długo oglądam ten serial, jeszcze nie zrozumiałem, że on jest o relacjach międzyludzkich.
191:  KMM - No więc wiem, że on jest o relacjach międzyludzkich, tylko że cały czas są takie same i nie zobaczyłem niczego, co by zatrząsło fundamentami mojej oceny tej postapokaliptycznej rzeczywistości.
203:  KMM - co by sprawiło, że jakoś dramatycznie właśnie zmieniłem zdanie co do postaci Joella.
208:  KMM - Do niej będę mieć najwięcej swoją drogą zarzutów.
211:  KMM - No i przede wszystkim na sam koniec, to znaczy to jest akurat taka sama krytyka, którą mam wobec gry, to znaczy no ten człowiek zachował się jak ostatni kretyn, ale to jest jakby rzecz związana nie z serialem, tylko już z moją oceną świata i tego w jaki sposób
223:  KMM - powinno się rozpisywać intrygę w klimatach post-apo.
227:  KMM - Tu jest już kwestia dyskusyjna, prawda?
229:  KMM - I to jest obszar interpretacji.
230:  KMM - Natomiast ja się skupiam na tym dzisiaj, będę się skupiał na fabule, będę mówił mało o świecie.
235:  KMM - Okej.
236:  KMM - Grzegorz?
239:  GW - Ja, jako osoba, która przeszła wielokrotnie obie części,
246:  GW - Jako gracz jestem usatysfakcjonowany, gdyż mamy dokładnie to samo zakończenie, te same wnioski, niektóre sceny są wręcz jota w jotę z grą, więc oddaję to faktycznie istotę materiału źródłowego i to mnie poniekąd cieszy.
262:  GW - Cały czas wydaje mi się już od trzeciego odcinka, ale to już zostało chyba finalnie nabudowane w siódmym, mogę powiedzieć, że to jeżeli chodzi o interpretację, o adaptację gier wideo, to dostaliśmy najlepszy produkt w historii do tej pory, jeżeli chodzi o adaptację.
280:  GW - Jeżeli chodzi o serial, mam bardzo dużo generalnych uwag do niego pod wieloma względami, natomiast muszę przyznać, że na pewno nie mam uwag do jakości produkcyjnej i do trzymania się HBO tradycji, do zadręczania kobiet w ciąży.
296:  GW - Ale poza tym jest to...
302:  GW - Tak jak mówię jako adaptacja serial bardzo dobry tudzież wybitny można powiedzieć miejscami jako serial generalnie jest po prostu dobry coś takiego.
315:  BFP - No ja nie mogę się doczekać tej naszej dyskusji w takim razie bo ja odkąd obejrzałem ten serial
325:  BFP - Wykształciłem sobie sporo uwag krytycznych, które jutro pojawią się w takiej mojej finalnej recenzji i dobra nic nie chcę spoilować, natomiast będą pewne wątki co do których być może
340:  BFP - Mieliśmy być striggerowani, mieliśmy być spolaryzowani.
343:  BFP - I bardzo mnie zastanawia, ile z tych rzeczy wyjdzie właśnie po tych dwóch przeciwległych punktach, w których się znajdujemy ja i ty Krzysztofie.
352:  BFP - I ile jest w tym właśnie pewnej kwestii wrażliwości, wyczucia moralnego i tego, co ja w swoim eseju nazywam starcie między deontologizmem a utylitaryzmem czy konsekwencjalizmem, jeżeli chodzi o moralność wyborów.
367:  BFP - a ile jest w tym faktycznie krytyki tego, że ten serial coś zrobił nie tak.
372:  BFP - I ja nie widzę do końca, co zrobił nie tak, ale perspektywa osoby, która nie grała w gry może być tutaj absolutnie bezsenna, bo jej nie posiadam i warto by było być w nią wyposażonym.
381:  BFP - Więc panowie, zacznijmy od pierwszej sceny, na którą czekałem cały serial.
387:  BFP - To znaczy ja wiedziałem, że ona się pojawi w tym sensie, że widziałem jeszcze w pierwszym zwiastunie,
393:  BFP - Dosłownie urywek z Ashley Johnson, która grała oryginalnie w grze Ellie, co jest naprawdę niezwykłe dla fanów szczególnie.
402:  BFP - I która trzyma w dłoniach noworodka, więc można było się domyślać, że zagra tym razem swoją matkę, czyli zagra Annę, która to w grze pojawiała się wyłącznie w postaci scyzoryka, który nosi Ellie i wyłącznie w postaci listu, który pozostawiła swojej córce.
420:  BFP - I ja pamiętam, co napisał do mnie Tomek, którego dzisiaj z nami nie ma, a który będzie w przyszłym tygodniu.
425:  BFP - Tomek napisał, co HBO ma z tymi porodami, które nas traumatyzują.
431:  BFP - Przypominam, że z Tomkiem również robiliśmy omówienie Rodu Smoka.
434:  BFP - Pozdro Tomek.
436:  BFP - Tak, rzeczywiście jest to dość mocne.
442:  BFP - ale rozumiem, dlaczego ta scena, dlaczego to wszystko pojawia się dokładnie w tym momencie.
