Dlaczego Uciekamy do Innych Światów? | ESKAPIZM
🔗 https://www.youtube.com/watch?v=4x794OViL7I
KMM (Krzysztof M. Maj)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
JM (Jaga Moder, Legendystka)
DS (Dominika Skoczeń, Czerw Fantastyczny)

20:  BFP - Fikcja i fantazja.
23:  BFP - Nieprawdziwe światy, do których uciekamy na różne sposoby, chociaż wcale niekoniecznie z lęku przed czymś albo dlatego, że nie mamy alternatyw.
32:  BFP - Robimy to dlatego, że daje nam to przyjemność, dlatego, że znajdujemy tam inspirację, dlatego, że czujemy się tam przyjemni.
38:  BFP - lepiej, ale nie zapominamy o tym, gdzie chcemy wrócić.
42:  BFP - O tym dzisiaj będziemy rozmawiali, o różnych formach eskapizmu we wspaniałym, doborowym towarzystwie, bo witam ze mną dzisiaj Jagę Moder, czyli legendystkę.
54:  JM - Cześć.
56:  BFP - Dominikę Skoczeń, czyli czerwia fantastycznego.
59:  DS - Cześć, jak zawsze, bardzo miło mi tutaj być.
62:  BFP - i Krzysztofa M. Maja.
65:  BFP - Witam wszystkich zgromadzonych.
67:  BFP - Witajcie drodzy.
68:  BFP - To jest poniekąd kontynuacja, a może trochę taki spinoff prelekcji, którą mieliśmy przyjemność we trójkę.
79:  BFP - To jest Bezjagi, która dzisiaj szczęśliwie do nas dołącza.
85:  BFP - zorganizować w Krakowie i pomyśleliśmy fajnie by było podzielić się tą dyskusją także z osobami na żywo, nie tylko tymi, które przyszły wtedy tam na miejsce, ale także tymi, które dołączą dzisiaj do nas online i spróbować może skierować te dyskusje w zupełnie nietypowych kierunkach i w nietypowe tory.
105:  BFP - I żeby zacząć od nietypowych torów,
108:  BFP - To jest pierwsze pytanie, które chciałbym zadać każdemu z was na rozgrzewkę.
111:  BFP - I chciałbym zacząć od ciebie, Dominiko.
113:  BFP - I to jest pytanie, żeby była jasność do wszystkich z was.
116:  DS - Jaki jest... No nie, to oni mają czas się zastanowić, a ja nie.
119:  DS - Tak, właśnie o to chodzi.
121:  BFP - Ale to jest najlepsze.
122:  BFP - Nikt nie będzie wiedział, kogo wskaże przy kolejnym pytaniu.
126:  BFP - I nie oczekujcie, że będzie na przykład zgodnie z ruchem wskazówek zegara.
130:  BFP - Jaki jest pierwszy świat...
133:  BFP - do którego, nie chcę powiedzieć uciekliście, ale w którym się znaleźliście, ten nieprawdziwy świat, chociaż tu też można postawić znak zapytania, który zatrzymał was na dłużej.
143:  BFP - Dominiko.
144:  DS - No właśnie, dobrze, że dodałeś to na dłużej, bo tak w zasadzie, jak o tym myślę, no to takie pierwsze światy nieprawdziwe to były już przecież takie jakieś książeczki dla dzieci i bajki, które rodzice nam czytali, przynajmniej ja zawsze się tak strasznie angażowałam w to, co słucham, wszystko sobie wyobrażałam, tak się stresowałam o losy tych głównych bohaterów.
161:  DS - Nie wiem, czy ten kopciuszek faktycznie odzyska swój bucik, no nie, czy te złe siostry może jednak...
168:  DS - jednak wepchną tam jakoś swoje wielkie stopy, to jest w ogóle uciskanie ludzi z dużymi stopami, chciałam powiedzieć, ta bajka.
175:  DS - No ale jakby się tak poważnie zastanowić, to ja już to na moim kanale nieraz mówiłam, więc moi stali widzowie to oczywiście wiedzą, ale pierwsza taka poważniejsza
185:  DS - historia, w którą się wciągnęłam, taka większa, no to to były oczywiście smoki jesiennego zmierzchu, czyli Dragonlands, czyli Dungeons and Dragons.
194:  DS - I to było w sumie, nie wiem, czy wcześnie, czy późno, może wy powiecie, jak to jest waszym zdaniem, ale tam pamiętam, że to była gdzieś jakaś okolica początków podstawówki, tam jakieś te pierwsze klasy.
205:  DS - To faktycznie pamiętam, że chodziłam z tą książką pod pachą do szkoły i jak mam jakieś takie dość wyraziste wspomnienie, że byliśmy na wycieczce w parku, to inne dzieci zbierały kasztany
215:  DS - A ja otworzyłam sobie książkę na ławce i czytałam, co się dalej dzieje z tymi bohaterami.
219:  DS - Po prostu mnie to zachwyciło.
220:  DS - Te wszystkie smoki, potwory, gobliny, elfy, orki, tam orki, nie orkowie chyba, orki i tak dalej i tak dalej.
229:  BFP - Orki z Majorki.
231:  DS - Tak.
232:  DS - No bardzo dobrze.
233:  DS - To jest książka moim zdaniem bardzo dobrze napisana.
236:  DS - Cały cykl, bo to jest cykl kroniki, gdzie mamy grupę przyjaciół.
240:  DS - Jeśli ktoś z was nie kojarzy tej książki, którzy się spotykają po pięciu latach rozłąki i liczą na takie spokojne spotkanie, gdzie opowiedzą sobie, co im się przydarzyło przez te pięć ostatnich lat.
251:  DS - To jest w ogóle bardzo grupa taka złożona z różnych członków.
255:  DS - Jest nam oczywiście
256:  DS - No taka drużyna RPG, no nie oszukujmy się, no mamy czarodzieja, mamy tanka, mamy tam kogo tam jeszcze, no już nie pamiętam, ale w każdym razie taka typowa drużyna RPG, no nie?
266:  DS - I liczą na taki spokojny wieczór, a okazuje się, że nie, że jest wywołana burda w knajpie i muszą niestety pomóc takiej niewinnej kobiecie, która okazuje się mieć przy sobie magiczny przedmiot, którego wszyscy w mieście poszukują, a w mieście rządzą teraz niedobrzy ludzie.
282:  DS - więc muszą się wmieszać, no i oczywiście nie wymieszają się z tej historii przez następne cztery tomy, ale strasznie dobrze jest to... Mówimy o eskapizmie dzisiaj, więc tak naprawdę nie tylko o świecie przedstawionym, tylko o wszystkich elementach, które składają się na dobrze opisaną historię i moim zdaniem tam wszystkie elementy bardzo dobrze grają, czyli mamy bardzo wyraziście zarysowane postaci, bohaterów, z których każdy ma inny charakter i co jest w ogóle najpiękniejsze, to te charaktery są często ze sobą sprzeczne.
312:  DS - Więc naprawdę, bohaterowie, przepraszam, tu mi się... Coś zrobiła dziwnego, twoja kamera nagle... Ale widzicie dalej moją głowę, prawda?
321:  BFP - Tak, widzimy.
322:  DS - A bo mi się strasznie grzał laptop, musiałam podłożyć... Krzysztof zhakował ci kamerę.
327:  Tak.
327:  DS - To ten fake Krzysztof próbuje się tutaj dołączyć do naszej dyskusji.
332:  DS - W każdym razie to jest w ogóle super i to pokazuje od razu dobre umiejętności właśnie tworzenia dobrej historii, że mamy bohaterów ze sprzecznymi charakterami, którzy mimo to są przez sytuację w jakiś sposób zmuszeni do tego, żeby współpracować.
345:  DS - I wtedy od razu czyta się to strasznie ciekawie, no nie?
348:  DS - Bo po pierwsze nie wiemy, czy im się w ogóle uda osiągnąć ten cel, bo może się po drodze gdzieś pokłócą i się rozpadną, więc ta dynamika jest naprawdę fajna.
355:  DS - Więc bohaterowie są naprawdę wyraziści, historia jest bardzo ciekawa, no i świat jest opisany naprawdę dobrze.
361:  DS - Te opisy w ogóle są... To jest jedna z nielicznych książek, gdzie ja lubię czytać opisy.
366:  DS - Myślę, że to dużo mówi.
367:  BFP - To ja szybko rzucę okiem na to, co pisały czaty, bo to rzeczywiście jest takie pogrzebanie trochę w bardzo wczesnych wspomnieniach i niektórzy piszą Wybrzeże Mieczy, czyli Baldur's Gate albo po prostu Forgotten Realms.
380:  DS - Forgotten Realms oczywiście też, tak.
383:  BFP - Niektórzy, a nawet liczni piszą Harry Potter, Hogwart, niektórzy piszą Śródziemie, ale jest jedna osoba i to jest Wagnard, który napisał Świat Doliny Uminków.
395:  BFP - I ja muszę tylko powiedzieć, że to wygrzebało wspomnienie z mojej głowy, bo ja pamiętam, że mój pierwszy eskapizm
404:  BFP - To był eskapizm z dużego pokoju do kuchni, gdzie odwróciłem się do ściany i nie patrzyłem na telewizor, ale naprawdę nie mieliśmy wtedy wielkiego mieszkania, bo pojawił się statek widmo w odcinku wyprawa do latarni morskiej.
417:  BFP - Tak się nazywa ten odcinek.
418:  BFP - Ja byłem straumatyzowany.
419:  BFP - To był mój prawdziwy eskapizm, tylko to był dosłowny eskapizm.
423:  BFP - Więc czekam na wasze jeszcze sanktuarium, Star Wars, Władca Pierścieni.
429:  BFP - Jak było u ciebie, Jaga?
430:  BFP - Pierwszy świat, do którego chciałaś uciec i zostać tam na dłużej.
434:  JM - To była Ronia, córka zbójnika.
437:  JM - To jest bardzo dobra książka.
439:  S03 - Wieki jej nie czytałam.
442:  JM - To była naprawdę taka pierwsza książka, którą tak mocniej zapamiętałam, bo ona już, wiecie, nie była z takimi obrazkami, jak to dzieci czytają sobie, że więcej obrazka niż tekstu.
453:  JM - Jeszcze co prawda czytała mi to mama, dlatego że ja sobie nie radziłam za bardzo wtedy z czytaniem, bo miałam tam bodajże 5 lat, coś koło tego.
463:  JM - I ja pamiętam, że byłam zachwycona, bo nie dość, że Ronia była taką dziewczynką, która była bohaterką z krwi i kości, ona miała sprawczość, ona miała przygody i była taka naprawdę z charakterkiem.
477:  JM - Nie to, co bardzo dużo takich dziewczęcych bohaterek z książek dla dzieci.
482:  JM - No i jednak ona po pierwsze buntowała się przeciwko swoim rodzicom, więc to też miało taki walor intrygujący dla mnie.
490:  JM - Ale wszystko działo się w takim niesamowitym, tajemniczym świecie.
493:  JM - Lesie, w którym było pełno jakichś bardzo dziwnych stworzeń.
497:  JM - Pamiętam, że to były wietrzydła, mgłowce, jakieś szaruchy, jakieś takie różne tajemnicze stworzenia niebezpieczne.
504:  JM - No i jednak, bo...
