Edukacja – wielki reset? | dr Krzysztof Maj | Głos Kongresu Obywatelskiego
🔗 https://www.youtube.com/watch?v=Ra98wNn-dho
KMM (Krzysztof M. Maj)
MS (Miłosz Szymański, Głos Kongresu Obywatelskiego)

0:  MS - Dzień dobry Państwu, nazywam się Miłosz Szymański, a to jest głos Kongresu Obywatelskiego.
13:  MS - Dziś porozmawiamy sobie o reformie edukacji, ale nie takiej, jaka się aktualnie dzieje, tylko takiej, jaką chcielibyśmy mieć.
21:  MS - A rozmawiać będzie z nami pan dr Krzysztof Maj z Katedry Technologii Informacyjnych i Mediów Wydziału Humanistycznego AGH.
29:  MS - Dzień dobry Panu.
30:  KMM - Dzień dobry, witam wszystkich słuchających.
33:  MS - chciałbym zacząć od tego, że reforma edukacji, podobnie jak reforma zdrowia i paru innych jeszcze gałęzi naszego życia, to jest coś, na co każdy ma swój pogląd i niezależnie od tego, co ta czy inna władza zrobi, to i tak będzie oczywiście źle.
50:  MS - Prace domowe są?
52:  MS - Źle.
52:  MS - Prac domowych nie ma?
53:  MS - Też źle.
54:  MS - Prac domowych jest tylko trochę?
56:  MS - Także źle.
58:  MS - Więc nie chciałbym się skupiać na tym, co
61:  MS - aktualny czy poprzedni, czy jakikolwiek przyszły rząd mógłby proponować, ale nad tym, jak w Pana przekonaniu, powinna wyglądać edukacja, zarówno na tym niższym szczeblu, jak i tym wyższym.
75:  MS - W związku z tym chciałbym zacząć może od tego,
78:  MS - W tej chwili według wszelkich rankingów PISA na przykład Polska wypada przyzwoicie.
85:  MS - Druga dziesiątka mniej więcej.
87:  MS - Są takie kraje jak Finlandia czy Singapur, które wypadają wielokrotnie lepiej, ale nie jest najgorzej.
93:  MS - W związku z tym są rzeczy, które robimy dobrze i są rzeczy, które robimy źle.
97:  MS - Chciałbym w takim razie zacząć od tego, żeby zdiagnozował Pan, co w Pana przekonaniu dziś robimy dobrze, a co robimy źle.
105:  KMM - To może zacznę od tego, że w tym samym rankingu PISA jesteśmy na miejscach od końca, szóstych, piątych, czwartych, jeżeli chodzi o poziom szczęścia, satysfakcji, kreatywności też wkrótce, ponieważ ma być kreatywność mierzona niestety o zgrozo w tych samych rzesz rankingach, więc problem polega na tym, że cała opinia publiczna powołuje się na 50% tego rankingu.
131:  KMM - Nie powołuje się natomiast na tę część, która jest ważna,
134:  KMM - I teraz zabawne jest to, że dzieje się to w realiach, kiedy mamy dostęp do wiedzy bez żadnego problemu, natomiast nie mamy dostępu do opieki psychologicznej i psychiatrycznej.
144:  KMM - To jest ta kluczowa różnica, więc z mojej perspektywy jako człowieka, który uczy ludzi od pierwszego roku studiów w górę w zasadzie, więc bardzo blisko maturzystów,
155:  KMM - Najbardziej kluczową kompetencją, jaką sobie jestem w stanie wyobrazić, to jest kreatywność, umiejętność szybkiego docierania do informacji, weryfikowania źródeł informacji, nie parafrazowania, czego uczy szkoła i mówienia własnymi słowami, tylko cytowania,
171:  KMM - i weryfikowania cytatu, następnie zderzania cytatu z innej wypowiedzi z cytatem z kolejnej wypowiedzi.
177:  KMM - Więc to są takie kompetencje, można byłoby już powiedzieć naukowe, ale równocześnie my jesteśmy w stanie je kształtować właśnie dlatego, że w odróżnieniu od
186:  KMM - typowego dziecka z wiejskiej rodziny w XIX wieku, my dzisiaj, niezależnie od tego, gdzie się rodzimy, mamy dostęp do tego, do czego tamto wiejskie dziecko nie miało w XIX wieku.
198:  KMM - Czy mamy dostęp 24 na 7 do informacji?
201:  KMM - Powiedziałbym wręcz, że tych informacji jest za dużo i nasz mózg się uczy je przesiewać.
206:  KMM - Cała idea, jeżeli byśmy sobie wyobrazili tradycyjnie wykształconego polihistora i erudyty z XIX wieku,
212:  KMM - dzisiaj, usiłującego przyswajać Twittera, to jego mózg byłby do tego nieprzystosowany.
217:  KMM - To znaczy, on by usiłował wszystko zapamiętać i skończyłby katastrofalnie.
222:  KMM - Skończyłby jak Sawant, który zapamiętuje wszystko i musi się uczyć zapominania.
227:  KMM - Dzisiaj natomiast, my mamy już wypraktykowane
230:  KMM - odfiltrowywanie informacji, ale problem polega na tym, że nie za bardzo wiemy, co filtrować wtedy, kiedy przedstawia się nam wyłącznie informacje najlepsze i najkorzystniejsze, czyli to, co sufluje nam szkoła.
241:  KMM - Dostajemy 100% informacji do zapamiętania i przychodzimy do tego z mózgami wytrenowanymi przez media społecznościowe i przez internet do tego, żeby filtrować wszystkie informacje i wysupływać 5%.
252:  KMM - W związku z powyższym całe strategie szkolne opierania się na koncentracji, czytania, mnemotechnice, wielokrotnego powtarzania, robienia zadań domowych itd., itd., itd.
261:  KMM - są kant ściany rozbić.
263:  KMM - Natomiast strategie oparte na tworzeniu map myśli, budowaniu sobie i rozbijaniu na kamienie milowe dużych projektów, łączenia ze sobą różnych rozproszonych danych w jedną bazę danych,
275:  KMM - cross-referencingu, czyli przeszukiwania różnych zestawów danych i łączenia ich ze sobą, to są kompetencje wymagane do trenowania i niestety ich nie trenujemy.
285:  KMM - Więc prawda jest taka i to jest niefajna prawda, że reforma edukacji nie jest do przeprowadzenia przez populistów, którzy będą mówili, że
292:  KMM - o, zlikwidujemy trzy godziny matematyki i wprowadzimy teraz cztery, a inni powiedzą to nie, to zlikwidujemy historię i wprowadzimy historię Polski teraz, a jeszcze wprowadzimy narodową historię Polski, a potem wprowadzimy katolicką historię Polski, a potem wprowadzimy lewicową historię Polski, świecką historię Polski i najlepiej jeszcze, żeby tych historii Polski było siedem, a nie tylko jedna.
310:  KMM - To są projekty, które można byłoby w tak satyryczny sposób przedstawić,
315:  KMM - Mniej więcej na przestrzeni ostatnich 30 lat w polskich deformach oświaty, czy oćmiaty, jak ja mówię, złośliwie, ponieważ ona raczej oświecenia nie przynosi.
324:  KMM - A to, co należałoby właśnie zrobić, to niestety zacząć ćwiczyć te kompetencje miękkie i robić rzeczy nieoczywiste i zastanowić się nad...
332:  KMM - Tym, jaka jest struktura dzisiejszego mózgu, w jakich potrzebujemy potrzeb, łączyć neurodydaktykę do nauczania i wnioski z niej płynące.
340:  KMM - Profesor Marek Kaczmarczyk na przykład znakomicie to popularyzuje i przedstawia na różnych konferencjach.
345:  KMM - No i wreszcie, to powiem już złośliwie, ostatnie 40-50 lat rozwoju pedagogiki, ponieważ to, co mówię ja w tym momencie i to, co mówi większość osób
354:  KMM - opowiadających się za reformą polskiej edukacji, Stowarzyszenie Umarłych Statutów, Dopamina Lab, Instytut Zwinnej Edukacji, Mikołaj Marcela, dużo jest tych osób już na szczęście, Przemek Staroń, którzy się na ten temat wypowiadają, to są truizmy z podręczników pedagogiki z ostatnich właśnie 20-30 lat.
370:  KMM - Maria Montessori to nie jest osoba, która funkcjonowała w zeszłym roku.
