Spieramy się o filmową DIUNĘ
🔗 https://www.youtube.com/watch?v=sq1zcDmAuFw
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)
MG (Marcin Giełzak, Dwie Lewe Ręce)

16:  BFP - Liza Nalgaib!
17:  BFP - Liza Nalgaib!
18:  BFP - Witam was bardzo serdecznie na niezwykle... Marcin, jesteśmy już, live, halo.
24:  BFP - Macham do ciebie.
26:  BFP - Witam was na niezwykłym wydarzeniu na Bez Schematu, ponieważ dzisiaj do dyskusji zaprosiłem dwóch moich przyjaciół.
36:  BFP - Jeden z nich to Marcin Jełzak, który współprowadzi podcast i vloga, chociaż to już są za słabe i za małe słowa jak na dwie lewe ręce.
45:  BFP - To już jest coś znacznie więcej, więc powiedziałbym inicjatywę dwie lewe ręce we spół z Jakubem Dymkiem, Marcinie.
51:  MG - Dobry wieczór.
53:  MG - Wiesz co mówią ludzie na naszym Discordzie, niewidzialne im mam prawdziwej lewicy.
59:  BFP - Ajatollah dobrego smaku.
60:  BFP - I Krzysztof M. Maj, prowadzący vloga Krzysztof M. Maj, człowiek, który wchłonął fantastykę
67:  BFP - uciekając do kieszonkowego wymiaru i przetrawia ją do dzisiaj.
73:  BFP - I możecie na jego kanale czuć jego wyziewy przyprawowe właśnie z tej przetrawionej fantastyki.
81:  BFP - To był zły obraz, który właśnie stworzyłem, myślę, oczami i uszami.
85:  MG - Jako ajatollah dobrego smaku potwierdzam.
88:  BFP - Krzysztofie, dobry wieczór.
89:  BFP - Przynajmniej nie użyłeś słowa miazmaty.
91:  BFP - Witam wszystkich najserdeczniej.
93:  BFP - I ja witam wszystkich, którzy do nas dołączają do naszej dyskusji o Dune'ie.
97:  BFP - Będziemy dyskutowali o obydwu częściach filmowych, bo ciężko jest na to patrzeć jak na osobne filmy, mimo że to są osobne filmy, to jednak integralna całość.
107:  BFP - Będziemy też rozmawiali o książkowej Dune'ie.
110:  BFP - Zaznaczę, że będą spoilery, bo inaczej być nie może i zaznaczę, że mamy dość interesującą konfigurację, ponieważ ja i Krzysztof idąc na drugą część Dune'y Deni Wilneva
123:  BFP - znaliśmy już całą treść książki.
126:  BFP - Marcin, idąc na filmową Dune, był w połowie książki.
130:  BFP - Dobrze mówię?
132:  MG - Tak, tak, drogi za połową.
134:  BFP - Więc tak naprawdę doświadczyłeś zakończenia tej historii w wersji filmowej, zanim doczytałeś ją w wersji książkowej.
140:  BFP - Ale chciałbym zacząć od pytania, które do was kieruję.
144:  BFP - Jaka była wasza pierwsza styczność w ogóle z uniwersum Duny?
147:  BFP - Jak najdalej mielibyście sięgnąć pamięcią?
150:  BFP - Bo ja pamiętam, że znalazłem trochę obskurnie wyglądające okładki dwóch książek Mesjasza Duny i Duny u moich dziadków w pokoju mojego stryja, barona Harkomeno.
163:  BFP - Jak było w waszym przypadku, Krzysztofie?
