PRZEtłumacze #117 - Twórca światów: Krzysztof M. Maj o narracji i języku
🔗 https://www.youtube.com/watch?v=GHjPYClqMBk
KW (Kacper Wawrzak, Diuna Language Services)
KMM (Krzysztof M. Maj)

2:  KW - Podcast napędza Biuro Tłumaczeń DUNA.
9:  KW - Przetłumaczę.
10:  KW - Podcast o tłumaczach, tłumaczeniach, językach i komunikacji.
17:  KW - Cześć!
18:  KW - W kolejnym odcinku podcastu Przetłumaczę wita Was Kacper Wawrzak.
22:  KW - Moim dzisiejszym gościem jest Krzysztof M. Maj, badacz humanistyki cyfrowej, groznawca, autor, redaktor, tłumacz i youtuber.
32:  KW - Rozmawiamy o medium, które liczy sobie już pół wieku.
36:  KW - O światotworzeniu narracji języku w grach wideo.
43:  KW - Najbliższą godzinę spędzicie w arcyciekawej opowieści.
47:  KW - Zapraszam.
51:  KMM - Nazywam się Krzysztof Maj, pracuję na Wydziale Humanistycznym Akademii Górniczo-Kłótniczej, Katedra Technologii Informacyjnych i Mediów, a tak naprawdę zajmuję się światami, których nie ma.
60:  KMM - Im bardziej nieistniejące, tym lepiej i podróżuję przez różne światy, gier, filmów, seriali, książek, trochę korzystając ze swojego wykształcenia literaturoznawczego wcześniej, a chyba w większym stopniu nawet z pasji do fantasy i science fiction, którą kształtowałem od najmłodszych lat.
77:  KMM - No i podobno jeszcze robię filmy na YouTubie, zdarza mi się czasem w każdym razie i sporo streamuję.
82:  KW - Krzysztof, bardzo dziękuję za to, że udało się nam spotkać, że pojawiłeś się w podcaście Przetłumaczę.
88:  KW - Będziesz nam dzisiaj tłumaczył coś.
91:  KW - Zaraz się okaże, co takiego.
93:  KW - Może najpierw spróbujmy porozmawiać o tym, czy my tak naprawdę się teraz spotykamy, czy ten wirtualny pokoik, to on istnieje, czy już możemy mówić o jakimś świecie, który właśnie tworzymy tutaj we dwóch.
108:  KMM - To jest o tyle ciekawe, że chyba wszyscy filozofowie i socjologowie i teoretycy, którzy zajmowali się ludzką kreatywnością, od psycholożki kognitywnej Michelle Ruth Bernstein, która pisała o wordplay, czyli światogrze.
122:  KMM - To jest tak trochę gra w podchody.
124:  KMM - Po...
125:  KMM - teraz polecę kontrowersyjnie, Jordana Petersona, który mówił, wpierw uprzątnij swój pokój, a potem zajmij się swoim życiem.
131:  KMM - Niezależnie jak widać od afiliacji politycznej i od backgroundu psychologicznego czy poznawczego, mówili o tym samym, że stworzenie przestrzeni wokół nas i świata ma niebagatelne znaczenie.
142:  KMM - Ja akurat mam to szczęście, że przestrzeń, w której się znajduję, mogłem zaprojektować od zera sam i po mojej prawej ręce znajduje się mapa świata Warhammera fantasy, 4 metry na 2 metry.
154:  KMM - wydrukowana w zasadzie, no po co, tak?
156:  KMM - Skoro to nie jest świat fizycznie istniejący, to jest świat, który istnieje sobie na licencji Games Workshop, świat Warhammera, orków, drukich, czyli Dark Elfów, Elfów, Barbarzyńców, Kitaju, czyli odpowiednika Cesarstwa Chin, a nawet
173:  KMM - zimnokrwistych jaszczurów.
175:  KMM - No cóż taki świat robi w moim domu?
178:  KMM - I najprostsza odpowiedź na to pytanie jest taka, że to jest przestrzeń, w której nie tylko się dobrze czuję, nie tylko ona dobrze tam wygląda na nagraniach na YouTubie, bo to jest pomniejsza sprawa, ale to jest przestrzeń pracy mojej, twórczej, która mnie stymuluje jakoś.
191:  KMM - Taką samą funkcję dla mnie pełnią książki, którymi się zawsze lubiłem otaczać, mimo że wolę je czytać w formie cyfrowej.
198:  KMM - I starałem się, żeby każdy element przestrzeni, którą mam w domu, właśnie pełnił taką funkcję, to znaczy albo przenosił mnie do innego świata i regenerował, albo był skorelowany z tym, co aktualnie robię.
210:  KMM - To są też wnioski, które wyciągnąłem z czasów wcześniejszych, studencko-młodzieńczych, gdzie mieszkałem na tylu metrach kwadratowych, na ilu się mieszka w takim czasie.
220:  KMM - Niestety bardzo często z uwagi na kryzys mieszkaniowy w dalszym ciągu mieszkamy na tych 9 czy 12 metrach.
226:  KMM - I miałem przemieszane przestrzenie.
227:  KMM - To znaczy z jednej strony była to przestrzeń odpoczynku, z drugiej pracy, z trzeciej zabawy, z piątej nudzenia się, z czwartej sprzątania, z piątej gotowania.
236:  KMM - I oczywiście czasem nie mamy wyjścia, ale jeżeli przeniesiemy te nawyki dalej, to może być problem później.
243:  KMM - Najprostsze rozwiązanie jakie jest, to podzielić sobie przestrzeń taką małą nawet na sektory i nigdy na łóżko nie wchodzić z laptopem do pracy.
251:  KMM - Jeżeli siadamy do stołu i tam jemy, to wtedy nie bierzemy ze sobą telefonu.
255:  KMM - Wiesz, takie najprostsze rzeczy, które jednak w stu procentach wiążą się z tym, czym ja się zajmuję zawodowo, to znaczy sztuką tworzenia wyobrażonych światów, gdzie każdy element musi mieć swoją funkcję.
266:  KMM - Bo jeżeli tworzysz fikcyjny, sztuczny, nieistniejący świat, to człowiek może go sięgnąć jedynie przez dane medium.
273:  KMM - To jest jedyne okno dostępowe.
