Recenzja 2. sezonu "Love, Death + Robots" – triumf czy niewypał? Analiza odcinek po odcinku
🔗 https://www.youtube.com/watch?v=mQlqJRe0Kms
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

0:  BFP - Love, Death and Robots, czyli Miłość, Śmierć i Roboty, drugi sezon.
6:  BFP - Będzie starcie, Krzysztofie, bo oczywiście przejdziemy sobie odcinek po odcinku i zrobimy recenzję każdego z nich, no bo w końcu antologia na to zasługuje.
14:  BFP - Każdy odcinek to inny świat, inna historia.
19:  BFP - Ja wiem, że ty oceniasz pozytywnie ten sezon.
22:  BFP - Tak jednym zdaniem wrzuć rękawice i powiedz dlaczego.
29:  KMM - Powiem Ci tak, ja mam pewne kryteria, wedle których od dawna oceniam fantastykę i dla mnie zawsze, i to nie będę ukrywał, priorytetem było to, jak jest odmalowany świat i czy jego estetyka jest miła oku, miła duszy, a w dalszej kolejności zastanawiam się nad tym, w jaki sposób została opowiedziana historia, która jest osadzona w tym świecie.
50:  KMM - I podobało mi się w tym sezonie bardzo to, że miałem best of all words, w tym sensie, że dostaliśmy bardzo dużo różnych settingów, zróżnicowanych pod względem wizualnym, z których niektóre odcinki dostarczały nam rzeczywiście takiej poetyckiej wizji świata niemalże, która była, no, głęboka filozoficznie.
72:  KMM - I to jest jeden przypadek odcinka zamykającego, do którego pewnie dojdziemy.
76:  KMM - Natomiast inne były
77:  KMM - płytkie, ale fabularnie, narracyjnie płytkie, co nie oznacza, że były płytkie w wersji wizualnej, nie dostarczały mi przyjemności.
85:  KMM - Podszedłem, krótko mówiąc, bardzo hedonistycznie do tego serialu, dokładnie tak samo jak do pierwszej części.
90:  KMM - I traktowałem to jako pewne uzupełnienie też, przyznaję od razu, antologii, która otwarła tę serię, która, nie oszukujmy się, była otwarciem nieprawdopodobnie mocnym.
104:  KMM - I dlatego też starałem się nie porównywać, nawet jak już obejrzałem i zacząłem się zastanawiać nad tym i przygotowywać do naszej rozmowy, starałem się nie porównywać drugiej serii i pierwszej serii.
113:  KMM - Tylko traktować je jako dwie uzupełniające się całości.
116:  KMM - I ta ocena wypadła u mnie pozytywnie.
