NOLAN pod lupą. Omawiamy wszystkie filmy Christophera Nolana
🔗 https://www.youtube.com/watch?v=qEUNkx2FElE
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
MK (Marcin Kończewski, Koń Movie)
BFP (Bartosz Filip Malinowski, Bez/Schematu)
RP (Radosław Pisula, Full Frontal Pisula, Napisy Końcowe)

0:  BFP - Chyba trzeba było kilku lat bez schematu i takiego składu, żeby wreszcie podjąć ten temat.
5:  BFP - Christopher Nolan i cała jego twórczość wzięta na ruszt przez pięciu młodych, ambitnych muszkieterów.
16:  BFP - Czterech było maksymalnie.
18:  BFP - Czterech było, ale niech będzie.
20:  BFP - Ja jestem Richelieu, to dlatego.
24:  BFP - W takim razie niech będzie czterech muszkieterów i Richelieu.
27:  BFP - W tym uniwersum wszystko jest możliwe.
30:  BFP - No i pomyśleliśmy, dlaczego by nie.
32:  BFP - Weźmiemy na warsztat wszystkie filmy Nolana dzisiaj, ale zrobimy to po nolanowsku, czyli zaczniemy od końca.
40:  BFP - Panowie, nie przedłużając, a właściwie przepraszam, bo jeszcze nie powiedziałem, jest z nami gościnnie Marcin Kończewski, polecamy śledzić fanpage Koń Movie, jest z nami Radosław Pisula, polecamy śledzić Full Frontal Pisula, napisy końcowe, a teraz przechodzimy do rzeczy.
56:  BFP - Tenet.
59:  BFP - Ktoś coś chciałby zacząć?
60:  BFP - Nie, ja powiem tak.
61:  MK - Od czego?
63:  MK - Początku czy końca?
64:  MK - To wszystko jedno przecież.
66:  MK - To wszystko jedno, tak.
67:  BFP - Najbardziej bliskotliwy, głupi film, jaki w życiu oglądałem.
71:  BFP - Znaczy on rzeczywiście zmusza nasze szare komórki na zasadzie mamy dla was szaradę, ale niekoniecznie ma coś do przekazania.
80:  BFP - I gra w tak otwarte karty,
83:  BFP - A może tak bardzo wywraca wszystkie klocki, które są w ramach tej szarady, że na przykład postać, jaką gra Sir Michael Caine, po prostu jest Sir Michael.
93:  BFP - Albo postać, którą gra John David Washington, dobrze pamiętam jego imię?
98:  S08 - Chyba tak.
100:  BFP - Gra po prostu protagonistę i ktoś do niego się zwraca per protagonista, tak wprost, nawet nie łamiąc czwartej ściany.
106:  GW - No tak.
107:  GW - Ale to generalnie w ogóle ten film jest taką kwintesencją tego, o czym sobie marzył Nolan, czyli przeintelektualizowany film, w którym depersonalizuje główne postacie, w których bawi się czasem, bo to już jest nie pierwszy raz, w którym wydaje mu się, że wszystko, co opisuje, ma swoją bazę w nauce, a w momencie, kiedy człowiek się skupi chociażby na chwilę, to się okazuje, że większość rzeczy nie ma sensu.
133:  GW - Także ta szarada jest na zasadzie takiej, że popatrz,
136:  GW - Zagraj w szachy, ale kartami obrazującymi bierki.
140:  GW - Dosłownie to jest coś takiego.
144:  GW - Kartami Magic the Covering.
145:  BFP - Ale tego nawet nie zrozumiałem.
148:  BFP - Marcin, bo ty oglądałeś wczoraj.
150:  BFP - Marcin się mówił, że będzie odcinek bez schematu, trzeba się przygotować.
154:  MK - Trzeba powtórzyć, bo pierwszym problemem z tenetem jest to, że kompletnie go nie pamiętałem.
162:  MK - A głównie nie pamiętałem chyba pod względem tego, kim były te postacie i zaskoczę was.
169:  MK - Obejrzałem wczoraj i dzisiaj i nic się nie zmieniło.
176:  MK - Nadal nie mam pojęcia, kto jest do końca tam kim.
181:  MK - Nie mam pojęcia, do czego oni zmierzali i dlaczego robili to w ten sposób.
185:  GW - I dlaczego do tyłu.
186:  MK - I dlaczego do tyłu.
188:  RP - I najgorsze, nie słychać ich w ogóle.
190:  RP - Polscy zabrali się do rozwiązywania sprawy, nie?
194:  RP - Cofamy się do tyłu, później do przodu, później do tyłu, później po ścianie przejdziemy, nie?
198:  RP - To jest esencja tautologii, jakiejkolwiek.
201:  RP - Ale ja ten film naprawdę lubię w dziwny sposób.
205:  RP - W sumie nie wiem nawet czemu, ale on mi sprawił dużo przyjemności.
207:  RP - Ty wiele filmów lubisz w dziwny sposób.
208:  RP - Tak, w taki, wiesz, bo to był ten pierwszy film, który był oczywiście po tej przerwie covidowej, który można było w kinie zobaczyć i jak poszedłem go oglądać, to się czułem jakbym go oglądał 6 lat.
218:  RP - Bo on się ciągnął, ciągnął.
219:  RP - Ja nie wiedziałem, gdzie on dąży w ogóle.
220:  RP - Nie wiedziałem, co te postacie robią.
222:  RP - Wiem, że tam był... W ogóle Nolan jest takim wielkim dzieciakiem, który robi te filmy tak, jak chciałby zawsze oglądać.
