WSZYSTKO, WSZĘDZIE, NARAZ - ale z Krzysztofem M. Majem  | ZMIANA PERSPEKTYWY
🔗 https://www.youtube.com/watch?v=3jqToqZqn30
DS (Dominika Skoczeń, Czerw Fantastyczny)
KMM (Krzysztof M. Maj)

0:  KMM - To byłby ten rzadki crossover między, jak to się nazywało, Fifty Shades of Grey a Harry Potter.
8:  DS - O, pętać go, kiełznać.
11:  KMM - W ogóle to jest dystopia, dystopie są bardzo sympatyczne.
16:  S01 - O Boże, ktoś mnie atakuje, proszę szybko, tutaj jest atak.
19:  KMM - Bardzo prosta sprawa, potrzebna ci wejść do czyjegoś przyrodzenia i potem wybuchnąć.
24:  DS - Wiesz, że widziałam za mało filmów z żartami o kupie, żeby docenić żarty o kupie.
28:  KMM - Znaczy inaczej, ja myślę, że gdyby na przykład ktoś był proktologiem, to mógłby docenić to bardziej.
33:  KMM - Był bardzo kiepski dowódź.
35:  KMM - Szlam popatrzył.
36:  KMM - Byłabyś zachwyconym człowiekiem, ja też do końca życia.
38:  KMM - To jest ten jungowski archetyp cienia.
40:  KMM - Piotr, pokraśko.
42:  KMM - A potem masz anime, które też są w Udyum Gachi.
45:  DS - O, masz 10 rodzajów makaronu, ale każdego już próbowałeś?
47:  KMM - Tak, no można byłoby w ten sposób.
49:  KMM - Umberto jako miał taką złośliwą odpowiedź w takich sytuacjach, że można porozmawiać z krową przydrożną.
54:  DS - Rada jest taka, żeby nie mieć w plecu.
57:  DS - Nic nie masz, nie było łatwo.
59:  KMM - Dlatego trzeba wtedy częściej myć zęby.
62:  DS - Jest taka dziewczyna, która próbowała myć częściej zęby i zaczęła jej krpawić dziąseł.
65:  KMM - Bo nie wolno.
66:  KMM - Jest się zębem, który popieprza pastą Colgate.
70:  KMM - I to jest fantastyczny przykład właśnie tej fantastyki, która jest, no nazwijmy to, lewicowa dla wszystkich tych, którzy reagują nerwowo na przymiotnik lewicowy, a już na pewno lewą rękę ciemności.
80:  KMM - Ja też pokazuję... Nie, to było...
83:  KMM - To było coś zupełnie innego.
85:  KMM - To było Lives of Pie czy coś takiego.
88:  KMM - American Pie?
89:  KMM - Natomiast w tym konkretnym przypadku superbohaterów zauważmy, że są skrajnie obrzydliwe.
94:  DS - Ale niektóre były trochę mniej odrażające.
96:  DS - One Piece Pie.
97:  KMM - Przepraszam.
98:  DS - Nie, to jest inna saga.
100:  DS - Drodzy Państwo, Tejano jest oparta na opowieści godnej inspektora Gadżeta.
104:  KMM - Oczywiście.
107:  KMM - Polski czytelnik, PRL-owski, porządny obywatel nie może być deprawowany taką burżuazyjną literaturą.
112:  KMM - Jak mnie szlag jasny trafił.
115:  KMM - Dzisiaj słyszymy, że jak będziemy YouTube'a oglądać, to będziemy życiowymi utracuszami i kretynami, więc wiecie.
