Czy podział na literaturę wysoką i masową ma sens? - dyskusja z @KrzysztofMMaj
🔗 https://www.youtube.com/watch?v=9sO7jV7tUyA
KMM (Krzysztof M. Maj)
TLM (Tadeusz Lemiesz-Wrocławski)

0:  TLM - Jeszcze puszczam tutaj na Facebooka.
6:  TLM - OK.
10:  TLM - I teraz tak.
20:  TLM - I...
26:  TLM - No nie, już chyba mi mówi, że... No dobra, ale zobaczymy.
29:  TLM - Puścimy na próbę i go live.
40:  TLM - Tak, powinno pokazywać już.
45:  TLM - Momencik.
46:  TLM - O!
52:  TLM - Coś rozłączyło chwileczkę, a nie, jest, jest obraz, no to klikam go live.
65:  TLM - Ok, fantastycznie, to chyba jesteśmy już na żywo.
71:  TLM - Witam serdecznie widownię i witam pana Krzysztofa, Krzysztofa tutaj z nami z kanału Krzysztof M. Maj.
80:  KMM - Witam serdecznie, dzięki za zaproszenie.
83:  TLM - Proszę dać znać tutaj na czacie, proszę drogiej widowni, czy jest mniej więcej płynny obraz, czy jest bardzo taki slideshow, bo już miałem problemy niestety z tym internetem, ale mam nadzieję, że pociągnie.
99:  TLM - Natomiast też było ostatnio tak, że zaczynał się tak trochę klatkując, a potem jakby...
107:  TLM - tak jakby się rdza starła z tych trybów i potem już było gładziej.
111:  TLM - Więc jeśli na razie jest średnio, to proszę jeszcze zawiesić osąd o jakości streama na parę minut i zobaczymy potem.
124:  TLM - Natomiast tak, mam monopol na internet, wyprosiłem mojego współlokatora, więc powinno być tym lepiej.
133:  TLM - No więc dzisiaj, tego przyjemnego tutaj wieczoru, spotykamy się właśnie z Krzysztofem Majem, ażeby omówić temat jakże palący, jakże kontrowersyjny, mianowicie czy podział na literaturę wysoką i masową ma sens.
151:  TLM - I wybrałem taki tytuł, a nie inny, dlatego że jest najbardziej ogólny, jaki przyszedł mi do głowy.
156:  TLM - Mamy tutaj trochę
158:  TLM - więc zapewne poruszymy również w wszelkiej maści te tematy pokrewne, zahaczymy o fikcję gatunkową, o gry wideo może nawet uda nam się zahaczyć, więc naprawdę pole mamy tutaj dosyć szerokie do rozmowy, do debaty.
177:  TLM - Natomiast, tak jak się zgodziliśmy, postaramy się nadać tej wymianie nieco formalny schemat, żeby, dla większej klarowności po prostu, żeby dobrze zrozumieć argumenty drugiej strony.
193:  TLM - Uznałem, że no, umówiliśmy się na to, że najpierw każdy ze stron dostanie 5 minut na przeprowadzenie takiego
202:  TLM - argumentu, opening statement, czyli przedstawienie swojej pozycji pokrótce w jakieś 5 minut.
210:  TLM - Następnie druga strona również opowie swoje argumenty w ciągu 5 minut.
216:  TLM - Następnie będzie 10-minutowy segment tak zwanego cross, czyli pierwsza strona zadaje pytania drugiej, a druga
224:  TLM - odpowiada nie wdając się za bardzo w taką swobodną wymianę, bo na to będzie trzeci segment, który będzie najdłuższy, gdzie już nie będziemy sobie zaprzątać głowy jakąś zbytnią moderacją i będziemy mieli swobodną wymianę myśli.
239:  TLM - Natomiast jeśli będą mieli Państwo jakieś pytania, natomiast na razie, no cóż, nie będę w stanie czytać po prostu czatu na bieżąco.
249:  TLM - No właśnie, już widzę tutaj posty, że zacina, natomiast chciałbym tylko się dopytać, czy zacina wyłącznie obraz, czy zacina również dźwięk, bo jeśli nas nie słychać, to już mamy problem, a jeśli tylko nam trochę ścina, jak nam się głowy ruszają, no to jest mniejszy problem.
268:  TLM - Więc proszę dać znać.
271:  TLM - A ciebie, Krzysztofie, spytam, czy masz może jakąś preferencję, kto miałby startować, jeśli chodzi o opening statement.
279:  KMM - Możesz zaczynać, jako gospodarz nie mam z tym najmniejszego problemu.
282:  TLM - Dobra, to w takim razie jeszcze poczekam momencik na potwierdzenie, że słychać nas przynajmniej dobrze, bo tutaj...
293:  TLM - A czy może masz możliwość odpalenia ze swojej strony streamu i zobaczenia?
301:  TLM - Czy widzisz płynnie, czy słyszysz głos płynnie?
306:  KMM - Jasne, mogę to zrobić, tylko wyciszę swój mikrofon na moment, żeby nie sprzęgało.
310:  TLM - Dobra.
352:  KMM - Szczerze powiedziawszy widzę przycięty obraz faktycznie, to znaczy jest ścięty całkowicie obraz, natomiast...
361:  KMM - Natomiast dźwięki słychać.
364:  TLM - Dobra, jak dźwięki słychać, no to w takim razie przeproszę Państwa na tę chwilę za tnący obraz i zobaczymy, czy on się poprawi w dalszej części, natomiast jeśli słychać przynajmniej nasze głosy, to proszę to potraktować względnie jak taki podcast i tak tutaj nie będzie się, nie wiadomo co działo na ekranie.
388:  TLM - No dobra, to w takim razie zaczniemy naszą rozmowę i przejdziemy do opening statement tutaj z mojej strony, więc 5 minut, ja to wcześniej liczyłem z timerem, nie powinienem dużo przekroczyć, więc...
406:  TLM - Nie powinno się zaczynać od więc.
408:  TLM - Czy podział na literaturę wysoką i masową ma sens?
411:  TLM - Żeby rozwikłać te kwestie, powinniśmy wpierw przyjrzeć się znaczeniom słowa podział.
415:  TLM - Słowo to można rozumieć w sposób dwojaki, w sposób społeczny i w sposób taksonomiczny.
421:  TLM - Jako społeczny podział oznacza mechanizm opresji czy kontroli, wyraz niesprawiedliwości czy roszczeniowości jednej grupy ponad inną.
430:  TLM - Alternatywnie w znaczeniu taksonomicznym podział można rozumieć bardziej potocznie.
436:  TLM - Tego znaczenia używamy mniej więcej na co dzień, czyli dzielimy np.
439:  TLM - jadalne rośliny na warzywa i owoce, spektrum tęczy na 7 kolorów.
444:  TLM - Wszystko co nas otacza jest podzielone na specjes i genera, czyli część wspólną i część rozróżniającą.
450:  TLM - I te podziały oczywiście są arbitralne, kulturowo umotywowane, po prostu stanowione tak dla wygody, różnią się wśród różnych społeczeństw itd.
459:  TLM - Mają jednak pragmatyczną wartość, bo pozwalają lepiej, trafniej i szybciej ubrać nasze myśli w słowa, a dobra komunikacja jest oczywiście podstawą każdego udanego pożycia międzyludzkiego.
471:  TLM - Więc tutaj mój rozmówca rozumie rozróżnienie literatura wysoka a masowa wyłącznie w pierwszym znaczeniu, jak się wydaje, a ja przeważnie w drugim.
480:  TLM - Podczas tej debaty postaram się udowodnić, że zachwycanie się Homerem, Dantem, Szekspirem czy Dostojewskim, czy też wkładanie porasenty Mickiewicza i Prusa do kanonu elektroszkolnych
490:  TLM - nie jest koniecznie spiskiem finansowej elity czy jakiejś kliki katolicko-konserwatywnej, której jedynym celem jest pranie mózgów i podwyższenie własnego statusu czy czegokolwiek takiego.
501:  TLM - W większości przypadków wielkie dzieła są za takowe uznawane z bardzo dobrego powodu, a każdy czytelnik skłonny włożyć wysiłek w przeczytanie i analizę danego tekstu zdołałby ów powód odkryć i potwierdzić.
514:  TLM - Mój rozmówca w mnogich swoich filmikach wydaje się forsować narratywy, jakoby zwolennicy literatury byli snobami siedzącymi sobie w wieży z kości słoniowej, oderwanymi od problemów codzienności.
527:  TLM - Wielokrotnie podkreśla klasowy wymiar podziału, o którym rozmawiamy, że rzekomo promocja literatury pięknej, muzyki klasycznej,
534:  TLM - uczęszczanie do muzeów itd.
536:  TLM - jest alienująca dla osób uboższych, ci więc z musu przymusu kierują się do kultury masowej jako jedynego źródła rozrywki, zaś te wspomniane elitystyczne snoby wymieniają na to przydercze uśmiechy i klepią się po plecach.
551:  TLM - Jeśli jednak opuścimy świat wyobraźni Pana Maja, spotkamy się z zupełnie innym stanem rzeczy.
558:  TLM - Bariera finansowa np.
560:  TLM - udziału w kulturze wysokiej to jest według mnie absurd.
563:  TLM - To prawda, że książki w księgarniach są drogie, całe szczęście są też najczęściej kiepskie.
568:  TLM - Ciężko jest dostać faktycznie dobrą książkę w Empiku.
572:  TLM - I nie opłaca się ogólnie ich czytać.
574:  TLM - Za to używane klasyki literatury można dostać za dosłowne grosze.
578:  TLM - Tutaj mam kilka przykładów dla Państwa, żeby potwierdzić, ile można dostać dobrej literatury.
585:  TLM - Tutaj jest cała seria Wojny i Pokoju, to stoja za 10 złotych, 1500 stron.
591:  TLM - Nie wiem, tutaj mam jakiegoś Balzaka, 500 stron za 5 złotych.
595:  TLM - A to mój ulubiony...
597:  TLM - listy wybrane Marksa za złotówkę, 700 stron.
601:  TLM - Więc to, że wymaga jakiegoś wielkiego kapitału, wciągnięcie się w literaturę wysoką jest dla mnie naprawdę bardzo dziwnym stwierdzeniem.
612:  TLM - A nawet gdyby ktoś musiał sobie od ust odejmować, żeby zebrać te nikłe sumy, które tutaj wymieniłem za te książki, no to musimy pamiętać, że istnieją biblioteki.
621:  TLM - gdzie można praktycznie za darmo sobie czytać do upadłego klasyki.
629:  TLM - Dalej, muzyki klasycznej można słuchać gdziekolwiek i na czymkolwiek, a płyty muzyki klasycznej i jazzu na płytach CD czy winylowych są najtańszymi ze wszystkich, jakie można kupić używanych, gdyż jakoś nikt ich nie chce i po prostu ludzie oddają za pół darmu.
645:  TLM - A na przykład w wernisaże, w galeriach sztuki w 90% są darmowe i nawet dostaje się tam darmowe przekąski i wino.
655:  TLM - Więc naprawdę to nie jest jakaś wysoka bariera do tej wysokiej sztuki czy wysokiej literatury.
663:  TLM - Natomiast teraz chciałbym powiedzieć trochę o sednie tej różnicy między tą literaturą wysoką i masową, a dla mnie jest to cel przyświecający ich pisaniu i czytaniu.
673:  TLM - Media masowe konsumuje się przeważnie dla rozrywki i relaksu, kulturę tą wyższą z pobudek estetycznych lub intelektualnych.
682:  TLM - Ponadto podział ów nie ma sensu, jeśli spojrzymy wyłącznie na dzieła współczesne.
688:  TLM - Jak zauważył mój rozmówca w ostatnim filmiku o Oldze Tokarczuk, najpierw Szekspir pisał dla mas i dopiero później został jakby odkryty i przejęty przez uczonych jako taki autor właśnie dla tej elity, dla tych intelektualistów.
703:  TLM - Natomiast zaczął oczywiście jako pisarz dla mas.
706:  TLM - I to nie jest rzadkie zjawisko.
709:  TLM - To, że autor jest popularny, to nie świadczy nic o wyższości ani niższości jego dzieł.
715:  TLM - Właściwie nic nie mówi nam o jakości tego dzieła.
719:  TLM - Natomiast tym, co o tej wartości przesądza, jest dla mnie próba czasu.
724:  TLM - Dekady argumentacji, interpretacji właśnie tych uczonych i recenzentów filtrują niejako tę literaturę marną i oddzielają tą, która pozostaje, która się utrzymuje w tym dyskursie i dlatego możemy ją nazywać ponadczasową.
741:  TLM - O tym, czy współczesne seriale, gry i filmy mają wartość wykraczającą ponad tymczasową modę, możemy jedynie spekulować, bo możemy ufać swoim opiniom, co prawda jest to tylko opinia jednego człowieka, podoba nam się serial i nie możemy być przekonani, że jest to ponadczasowy serial, dlatego że nam się podoba.
761:  TLM - Gusta są bardzo różne i ciężko jest dojrzeć, czy jest coś faktycznie wartościowego, ponadczasowego właśnie w tym jakimkolwiek dziele kultury.
771:  TLM - Do klasyków literatury, dla klasyków niemodność jest zaś zaletą, która świadczy o jakimś estetycznym jądrze odpornym na erozję kultury przez te wszystkie lata, kiedy były obecne w dyskursie.
784:  TLM - Kultura masowa nie jest więc uniwersalna, tylko powszechna, jest dostosowana do gustów i klimatu politycznego współczesności.
792:  TLM - Wszystkie te rzeczy oczywiście przemijają.
795:  TLM - Sięgając po klasykę, nie tylko spotkamy się z perspektywą totalnie oderwaną od realiów naszego życia, ale także będziemy mieć pewność, że zagłębiamy się w dzieło, które całe pokolenia znawców uznały za warte podkreślenia.
807:  TLM - Czyli podsumowując, klasyka przede wszystkim komunikuje nieprzemijalne prawdy i może być czytana z przyjemnością, zaś fikcja gatunkowa przede wszystkim czyta się z przyjemnością i może komunikować nieprzemijalne prawdy.
822:  TLM - Takie są moje tutaj otwierające argumenty.
824:  TLM - Dziękuję bardzo za wysłuchanie i oddaję tutaj mównicę panu Krzysztofowi.
832:  KMM - Ja mam nadzieję, że nie oczekujesz ode mnie odczytu akademickiego, bo takich nawet nie robię na swoich wykładach, więc postaram się złożyć równie składnie swe myśli.
