The Game Changer | Krzysztof Maj | TEDxAGHUniversity
🔗 https://www.youtube.com/watch?v=CyI7-C4gPYg

14:  Dzień dobry Państwu.
16:  Wita nasz ostrzał fajnej placówki Fundacji Nebiusa prowadzonej przez Waleriana Mengska ze strony sił Dominium jego ojca, czyli Arcturusa Mengska.
29:  I to jest narracja, którą Państwu tutaj przedstawiłem, natomiast dobrze wiem, że większość z moich kolegów literaturoznawców czy kulturoznawców zredukowałaby całą tę scenę, którą tutaj Państwo widzą, piękną, homerowską, patetyczną, dobra.
42:  Pił, pił, pił, pił, gra wideo.
45:  I to jest niestety rzecz, z którą muszę się mierzyć.
49:  Przedstawiając się również Państwu, bardzo dziękuję za przedstawienie mnie w tak wielu słowach, ponieważ to się rzadko zdarza zwykle.
56:  Pierwsza rzecz, którą muszę tłumaczyć, to to, dlaczego jestem Krzysztof M. Maj.
60:  To znaczy muszę tłumaczyć, że to dlatego, że Krzysztof Maj był reżyserem serialowego Wiedźmina i nie chce mieć żadnych związków.
66:  A po drugie, no jednak mimo wszystko trzeba mieć awatar, jak się gra, prawda?
71:  W związku z powyższym stąd właśnie taki wybór, ale to oczywiście nie ostatni problem.
75:  Przecież problemem jest też to, że słowo groznawca, no nie jest słowem zbyt znanym.
80:  Często jestem prezentowany jako grozoznawca i tłumaczę, że gry wideo bywają przerażające, ale nie zawsze.
86:  No i jeszcze jest druga, w zasadzie trzecia kwestia związana z moim dossier, to znaczy...
91:  zajmuje się fikcyjnymi światami, czyli światami, których nie ma.
94:  To już jest połączenie straszne.
95:  Nie dość, że jesteśmy na uczelni technicznej i Wydział Humanistyczny jest znany jako Wydział Gier i Zabaw, to jeszcze do tego wszystkiego pracuje tam człowiek, który zajmuje się światami, których nie ma.
105:  To już jest absolutna przesada.
107:  Ale oczywiście ta historia ciągnie się o wiele dalej i zaczyna się, proszę państwa, na studiach i na studiach doktoranckich, kiedy rozkład mojej pracy wyglądał mniej więcej w ten sposób,
117:  Wzmianka o Oldze Tokarczuk jest dlatego, że studiowałem na polonistce na Uniwersytecie Jagiellońskim.
121:  Znowu oczywisty związek z grami wideo.
124:  No i tutaj już pojawił się ten komponent właśnie growy.
128:  To znaczy mimo, że doktorat pisałem o tworzeniu fikcyjnych światów, to jednak mimo wszystko to granie w gry wideo było istotnym elementem, ponieważ tylko i wyłącznie dzięki temu mogłem zapoznać się z medium, które ma światotworstwo i wytwarzanie fikcyjnej rzeczywistości wpisane
143:  w swoje absolutne centrum.
145:  Nie da się zagrać w grę wideo, nie da się zaprojektować gry wideo, jeżeli nie zaprojektujemy w fikcyjnej przestrzeni.
152:  Jest zupełnie inaczej niż w innych mediach, o czym za moment.
155:  No i gdybym miał dzisiaj powiedzieć, jak to wygląda, to wygląda troszeczkę inaczej.
158:  To znaczy mam to szczęście, jestem na tyle uprzywilejowany,
161:  że wciąż mogę grać w gry wideo, mimo że wykładam na uczelni i muszę robić to wszystko, co wykładowcy, czyli przejmować się durnymi punkcikami, indeksami hirsza i tak dalej, i tak dalej, publikować, jeździć na konferencje, generalnie rzecz biorąc sporo, ale dzięki temu właśnie, że mogę zajmować się tym, co mnie pasjonuje, to ten rozkład wygląda dobrze.
182:  W ten sposób.
183:  To znaczy ta pasja, ta nauka i to medium łączą się w jedno.
189:  I to prowadzi mnie do tego, z czym się chciałem wszystkimi państwem i słuchającymi nas przez sieć podzielić.
195:  A mianowicie jesteśmy w takiej rzeczywistości, w której praca i rozrywka to jest coś zupełnie innego.
203:  Ja jestem w takiej rzeczywistości, w której to jest jedno i to samo.
206:  Nie uważam, że tracę czas na przykład grając w grę wideo, albo że to jest właśnie czas zabawy, ponieważ to mi się może za moment przydać do jakichś badań.
214:  I to samo starałem się wypracować w odniesieniu do wszelkich innych form rozrywki.
218:  Jeżeli oglądam Netflixa, to być może mój mózg się teraz regeneruje i będę w stanie zrobić więcej.
223:  Więc mówienie sobie samemu, że robię coś złego,
227:  jest autocierpiętnictwem i nie ma żadnego sensu, bo możemy sobie wytworzyć tego rodzaju ekosystem pasji.
234:  Postarałem się taki mieć jeden slajd, taki coachowy LinkedIn'owy, żeby pasowało do formuły TEDx'a.
239:  No więc jeżeli sobie rozpoczniemy od właśnie tego, co nas pasjonuje, no w moim wypadku to są gry wideo, możemy później płynnie przejść do tego, co nas interesuje zawodowo i czym się zajmujemy.
251:  Może być to na przykład produkcja wideo równie dobrze, albo
254:  projektowanie grafik koncepcyjnych czy studiowanie na kierunku artystycznym, a później możemy iść jeszcze dalej w toku tej profesjonalizacji.
