Popkulturowe TOP 2021. Najlepsze filmy, seriale i gry wg Bez/Schematu
🔗 https://www.youtube.com/watch?v=orC4wIAD1FU
KMM (Krzysztof M. Maj)
GW (Grzegorz Wątroba, Okiem Deva)
BFP (Bartosz Filip Malinowski, Bez/Schematu)

0:  BFP - Ostatnia porcja bez schematu w tym nieszczęsnym roku.
3:  BFP - Jest ze mną Grzegorz Wątroba, który reprezentuje Polski Gamedev.
7:  BFP - Jest ze mną Krzysztof M. Maj, który reprezentuje vloga Krzysztof M. Maj.
11:  BFP - Jestem ja, your host Bartosz Filip Malinowski and welcome to Squid Game!
16:  BFP - Który może się pojawić dzisiaj w naszym zestawieniu Topek Popkulturalnych 2021.
21:  BFP - Zasada jest taka.
25:  BFP - Mamy cztery kategorie, filmy, seriale, gry i inne i w te inne możemy czy mogliśmy wrzucać sobie komiksy, książki, muzykę, ale każdy z nas wybiera jedną topkę z tej kategorii i dwie wzmianki honorowe.
45:  BFP - Jako że będzie trochę tego materiału, to pozwolę sobie zacząć, panowie, i narzucę trochę formułę, żeby pokazać wam, jak można być zwięzłym.
55:  BFP - Zacznę od filmów.
57:  BFP - I przypuszczam, że sporo osób mogłoby oczekiwać, że powiem Dune'a, biorąc pod uwagę... Nie?
63:  BFP - Nie?
64:  BFP - Okej.
65:  BFP - Biorąc pod uwagę moje i Krzysztofa zachwyty nad tym dziełem, ale powiem The Father.
73:  BFP - Ojciec.
76:  BFP - Floriana Zalera.
77:  BFP - To jest tak naprawdę film z 2020 roku, ale w Polsce premierę miał w 2021.
82:  BFP - To jest zasłużony Oscar dla wybitnego Antonego Hopkinsa, ale to jest obraz, który wydaje mi się jednym z najciekawszych horrorów, jakie w życiu obejrzałem.
91:  BFP - To jest dla mnie horror.
92:  BFP - To jest horror pokazujący
96:  BFP - utratę siebie, zatracanie poczucia logiki, sensu rzeczywistości, która nas otacza z perspektywy osoby cierpiącej na demencję, być może Alzheimera.
108:  BFP - I często nadużywam tego słowa imersja.
114:  BFP - Ale Denis Villeneuve osiągnął imersję w taki, a nie inny sposób, za pomocą zabiegów wizualnych, za pomocą światotwórstwa najwyższej półki.
126:  BFP - W przypadku The Father ta imersja budowana jest w niezwykle minimalistyczny sposób, bo mamy niemalże scenę teatralną, ale przez proste zabiegi montażowe, przez proste, czy proste, no wybitnie zagrane reakcje aktorskie,
142:  BFP - na pewne sytuacje, mamy takie poczucie, jakbyśmy byli równie zdezorientowani, co główny bohater tego filmu.
148:  BFP - Więc był to film, który zrobił na mnie kolosalne wrażenie.
151:  BFP - Nie miałem okazji jeszcze mówić o nim na bez schematu.
155:  BFP - I jednocześnie chcę też powiedzieć, że ma jedną z najlepszych linijek dialogowych, jakie w życiu słyszałem w jakimkolwiek filmie.
161:  BFP - To jest jedna z ostatnich rzeczy, które wypowiada Anthony Hopkins, biorąc pod uwagę, że coraz bardziej zatraca siebie w rzeczywistości.
169:  BFP - Czuję, jakbym tracił wszystkie liście.
171:  BFP - I feel as if I'm losing all my leaves.
175:  BFP - To jest zdanie, które zapamiętam do końca życia.
177:  BFP - Więc The Father.
179:  BFP - I honorowe wzmianki.
181:  BFP - Na Rauszu Tomasa Winterberga, który jest także film z 2020 roku, a w Polsce miał premierę w 2021.
188:  BFP - Przepiękny film z Matsem Mikkelsenem.
190:  BFP - Tragikomiczny o nie tyle uzależnieniu alkoholowym, ile o potrzebie poczucia sensu i oparcia w innych osobach w życiu i potrzebie terapii.
202:  BFP - No i druga honorowa wzmianka to Dune'a Denis Villeneuve'a, bo jest to wspaniały spektakl i jest to uczta światotwórcza, którą z Grzegorzem i z Krzysztofem mógłbym rozkładać jeszcze na czynniki pierwsze w całej serii odcinków.
218:  BFP - Ale mogę tylko powiedzieć, że będzie na początku stycznia 2022 jeszcze jeden odcinek o Dune'ie, ale bardzo nietypowy, bez schematu.
227:  BFP - I tyle zostawiam.
228:  BFP - Grzegorz, Twoje filmy.
