Poznajcie Alarielle Promienistą — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=6BBjvSNm6_s

119:  KONIEC!
271:  Witam wszystkich!
274:  Witam w jakże wspaniałym dniu!
278:  W dniu, w którym wracamy do świata Warhammera Fantasy, w którym będziemy walczyć elfami o przetrwanie!
287:  u boku Alariel Promienistej, pani na Ulfłanie, która strzeże świata przed chaosem!
294:  Witamy serdecznie Midra, pierwszy stream, jamniki dla Ciebie, Palitkeusz, Bądziorno, Grabal, Pebes1990, Bigos, Pakucza, Flaminguel, Maja Dudkiewicz, Piotr Danisz, Jesa, Ewa Jędrzejczyk, Cuki, Cubane, Frejrax, Nabuchodonozor,
311:  WZDŁŁŻONY, VOXMORTIS, ANNA GRACZYK, JAMNIKOWY PIERUK, CRUNCHY PUNCHY, DIT FIREBONE, ONION OF ONION, RACIAVELI, ANIA KAŚMIERCZAK, IM FREEDOM 66, ROSH, MATT PETTERSON, GRIM LUCAS MD, MANDOLINA AND GROGU, SUSY DEMON, SALEM FALCO, KRZĄSZCZ, NGWIKTIM, GRABAL, Michał Kędzierski, Julia Berezińska, SARDAUKAR, MAŁA MAŁAMI,
339:  Elwinna, Tomasz Adamski, Ryku.pl, Dominik, Kosiba, Likoja, Suzyna, Kaja, Grabal, Patrycja, Antkowiak, Radosław, R, Pralinka, Ewa, Filippa,
353:  Della Mela, Nikon, udało się przeczytać, Guni3353, Victim, Anna Graczyk, Jus, Jakoi, Szept Cieni, Daniel Mazur, Paweł Skrzynia, Kolagen33, Kolegen33, Przepraszam, Krecikk, Siwy Dym, Człowiek Kultury,
377:  I wszyscy zgromadzeni, moi drodzy widzowie, stali i nie stali kanału w świątecznym dniu, wolnym dniu, co ważne, wolnym dniu, po którym następuje następny wolny dzień i jutro.
388:  W zasadzie już dzisiaj jest Dungeons & Dragons Honor Among Thieves.
393:  Zamierzam obejrzeć, zamierzam zrecenzować, dlatego jutro nie będzie streamu, więc dzisiaj streamujemy póki się da, moi drodzy.
399:  Tak długo, jak tylko możemy i jak tylko ja podołam bez pożywienia.
404:  Bez pożywienia, tak.
405:  Podołanie bez pożywienia zawsze jest problematyczne.
408:  Mam nadzieję, że się dobrze macie, kochani.
411:  Gra nam już muzyka z Warhammera.
416:  Epicka!
417:  Bo jakżeby inaczej!
418:  Do pierwszego crusha!
421:  Nie, nie.
422:  Dzisiaj, dzisiaj nie ma crushy.
425:  Nie ma crushy żadnych, moi drodzy.
428:  Absolutnie żadnych.
429:  Jeszcze do tego wszystkiego, szybkie info.
432:  Mianowicie obejrzymy sobie, moi drodzy, żeby było lore'owo i klimatycznie, bo wiem, że Warhammer nie dla wszystkich jest jasny.
439:  The Warden and the Punch, piękną animację na kanale, którą musicie subskrybować, jest przepiękny absolutnie.
445:  Engaging Bear, angażujący się niedźwiedź, dobrze?
449:  Więc zostawcie suba, to jest 23 tysiące subskrypcji, to jest skandal, jak na to, jak to jest piękne i wspaniałe.
455:  I druga informacja ważna.
457:  Cały czas, moi drodzy, jest nasza zrzutunia, którą to zrzutunie polinkuję wam jak zawsze w stosownym miejscu.
465:  Zrobię to w tym momencie i napiszę nasza skarbonka, żebyście pamiętali o tym, że mamy taką skarbonkę, bo obiecałem, że mimo końca Hogwarts Legacy będziemy dalej zbierać, aż ten próg osiągniemy.
477:  Nic, jeżeli chcecie się pozbyć namolnego Krzysztofa, który będzie o tym przypominał, wiecie co robić!
484:  Alariel świetlista.
486:  Mówiłem i ostrzegałem.
489:  Powiadałem, że będziemy grać wysokimi elfami.
494:  Wieczna Królowa sprawuje funkcję wybranej kapłanki Iszy w świecie śmiertelników od początku Złotej Ery.
500:  Podczas gdy tytuł Króla Feniksa istnieje zaledwie od sześciu i pół tysiąca lat.
504:  Haha, zaledwie.
505:  Wieczne Królowe rządząc zarania dziejów.
507:  Alariel to jedenasta Wieczna Królowa od czasów Eneriona.
510:  Dlatego Tyrion krzyczy, Ero Venerion, dziedzic Eneriona.
514:  Jej opadające włosy przypominają złotą chmurę, jeżeli nie wierzycie.
518:  Proszę bardzo!
519:  Złota chmura!
521:  Wielki kok!
523:  W zasadzie końska grzywa.
524:  Nie wiem, jak się nazywa ta fryzura.
526:  Wybaczcie!
527:  A jej niezmierzone i nieprzemijające piękno potrafi poruszyć do łez samych nieśmiertelnych bogów!
