🔴 Dworce Chaosu — WARHAMMER 3 Chaos Dwarves #3
🔗 https://www.youtube.com/watch?v=V9gILzy_Yq4

348:  KONIEC
452:  Witam wszystkich!
454:  Przy środzie wyjątkowy stream środowy!
458:  Jest on wyjątkowy tak bardzo, że do niuchacza dzisiaj... Przepraszam, do Jamnika dzisiaj dołącza niuchacz!
465:  Najprawdziwszy niuchacz!
467:  Pluszowy niuchacz, który jest większy od Jamnika, witam wszystkich najserdeczniej po tym wspaniałym spoilerze.
473:  Pusieńka Śnieżna, Jakub Olfier, Guni, Dawid Wojacki, Kairos Franczyznia, Yuki, Sanne, Sanji, Gosia Ośka, Czarownik Iwanow, Kwak Art albo Kwak Art, jednoręki bandyta Karolina Busk, który miała urodziny, więc prosimy od Tybutariuszu, Jamniki Urodzinowe, Bierny Obserwator, Barlok,
492:  pseudoartystka Lilith Rose, Jakub Olwier, Lucifer, Dzip879, Raciaveli, Bear, Mikołaj Borer, Winogrona Czerwone, Erard, Nirjam Nikomata, Atar Dziata, nichinistyczny ateista Szepcieni, Noop, Eustache Motyka, Dawid Wojacki, Ashtray, Tomasz Bergander,
514:  Rui Carre, Kapłanka Chaosu Ślimakwe, który mówi przedmaturalny live, a zatem powodzenia dla wszystkich podczas ostatniego bezsensownego egzaminu, który będziecie mieli.
525:  Żartuję, jeszcze są studia.
527:  Daret Suki, Grim Lukas, Bigos, Kambriana, Bratek Dylowski, serdecznie powitańsko dla wszystkich, Prawdziwy Mlaskun, Ewa Jędrzejczyk, Palitkeusz, Marcepan Szczeciński, Natan Kosek, Majraf Aweran,
544:  Adrian, Avlinus, Monika Czech, Pan Pomidor, Atomowy Gość, Darek Kociniak, Goblin Lil,
555:  Moi drodzy, Kacper Ełtry butuje, za co dziękuję, Maurycy Groteska, Winogrona Czerwone, Przemek Woźniak, Simmes, Hałas, Akura Mendoza, upierdliwy, witamy was wszystkich najserdeczniej.
565:  Moi drodzy, jeszcze raz, niuchacz!
569:  Mówiłem, że będzie niuchacz jeszcze, ale nie sądziłem, że taki.
573:  Podziękowania raz jeszcze dla wspaniałego darczyńcy, dzięki któremu mam niuchacza.
577:  Moi drodzy, without further ado, jak zwykle, nie będę nic więcej mówił,
582:  Zaczynamy grańsko, zaczynamy radosny eskapizm, zaczynamy Warhammera, nie 40 tysięcy, a Warhammera Fantasy w jednej słusznej wersji, jaką jest Warhammer Fantasy Old World w Total Warze.
598:  Niuchacz jest wspaniały.
601:  Absolutnie wspaniały.
602:  Nie śledzę Kacprze, The Elder Scrolls Online.
606:  Konsekwentnie nie śledzę.
608:  Ole Kustre też witamy serdecznie.
610:  Prawda, że niuchacz jest piękny?
611:  Niuchacz jest absolutnie przepiękny.
612:  Teraz nigdy nie będziecie wiedzieć, kiedy będzie niuchacz, a kiedy jamnik.
618:  Taka prawda.
620:  Gra RTS z mechaniką ekonomiczną, Age of Empires, AK Warhammer dla osoby lubiącej StarCrafta 2 i Company of Heroes.
628:  Hmm, ekonomia.
629:  To jest, to jest pewien problem, żeby była dobra ekonomia.
633:  Wiesz co, w The Abillions jest całkiem niezły system ekonomiczny.
637:  Tak mi się wydaje, Adrianie.
638:  Niuchacz ma pieniążka, mogę umrzeć szczęśliwy?
641:  Tak!
641:  Niuchacz ma pieniążka.
643:  Co więcej, moi drodzy, na tym pieniążku, czekajcie, powiększę trochę, jest napisane Bank Gringota, nie żartuję.
649:  Niuchacz, przestań, przestań.
651:  Rozewrzyj łapy, pokaż pieniążek.
654:  That's what she said.
655:  Hehe.
659:  co będzie na naturze, to nie jest dobre pytanie do mnie.
661:  Przypominam, że ja z matury z języka polskiego dostałem 20%, a potem dostałem doktorat z tej samej dziedziny, więc jeszcze raz duże wyrazy podziwu dla tego, jak bardzo został zjebany ten system.
673:  Moi drodzy, dokonujemy dla tych wszystkich, którzy nie wiedzą, o co chodzi, ekspansję w ramach zbrojnego zastępu ZAR.
681:  Zar na grunt!
682:  Zar na grunt, zresztą został przez nas skonfederowany.
685:  Mamy plan jeszcze zrobić ostatnią konfederację, to znaczy z Legionem Asgorfa, ale jeszcze nie zrobimy.
690:  I jeszcze musimy zrobić konfederację z Akolitami Haszuta.
694:  Proszę, proszę.
695:  Gdzie są Akolici Haszuta?
696:  Nawet nie wiem, gdzie są Akolici Haszuta, widzicie?
699:  To jest niesamowite.
700:  Prawdopodobnie już nie żyją.
704:  Krzysztofie, ty serio?
705:  Nie dość, że masz miesiąc ze swojego nazwiska, to jeszcze zaczynasz się od weekendu.
709:  PRAWDA?
710:  Jakubie, dziękuję za wsparcie od 8 miesięcy.
712:  Jamnik Szczęśliwy z Towarzystwa Niuchacza.
714:  Prawda?
714:  Absolutnie.
719:  Jeszcze coś mi umknęło.
720:  Nie, już mi nic nie umknęło, na szczęście.
722:  Czat na żywo jest włączony.
723:  Dobrze.
724:  Akolici Haszuta nie żyją.
726:  Jakie to smutne.
