Ucieczka z jurnego więzienia — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=N5fBiaemcYU

131:  KONIEC!
246:  Muzyka Muzyka
315:  KONIEC
378:  Witam, witam wszystkich zgromadzonych na najbardziej dwuznacznym lubieżnym i jurnym streamie, podczas którego będziemy czycić Selanesa.
395:  Witam D2, Bono Nufrego, Istotę Żyjącą, Mikę, Jamnikowego Piechura, Julkę Opaczewską, Kawuji, Red Angel, Dark Noir, Murek, Rnesta, Szymona Streczka, Nufrego, Pusię, JJ, Straszliwego, Grimhog, Spuja Proklusna, Arcykolega, Dreke Zul, Piotra, Ray, Antoniego Grele,
419:  Aure Slabokoksze, Pawła Mateje, Szymona Rogowskiego, Omyka Pudelosa, DJ Ozauro.
428:  Bardzo złośliwego człowieka, Smocini, Eidi, Justyna Nekol, The Witch, Kira i Kusi, Vespera, Michała Est, Vegariego, Grimhoga, Bartka Litowskiego, Mrówę, Solderic i wszystkich, którzy przybyli, wszystkich, którzy nie przybyli takoż, wszystkich, którzy będą nas oglądać w tak zwanym międzyczasie.
453:  Moi drodzy, dziś się będą dziać rzeczy...
459:  Dzisiaj będziemy na przykład czytać rzeczy, sztukę poznawania mężczyzn, niebezpieczeństwa onanizmu, a także afrodyzjak zewnętrzny.
483:  Zobaczymy, na co padnie.
485:  Zobaczymy, kto padnie i zobaczymy, kto powstanie.
489:  Zapraszam was.
491:  Zniżam się do poziomu naszych biednych, nieszczęsnych przeciwników.
496:  I będziemy walczyć, moi drodzy.
498:  Będziemy walczyć jako Slanesz.
500:  Będziemy uwodzić.
502:  Będziemy zwodzić i będziemy... Nie będziemy zwodzić.
512:  Chociaż nie, dobrze, to jest zbyt dobry dowcip, żeby go spalić na sam początek.
517:  Jakkolwiek wszystkie fortece mają mosty zwodzone, Slanesz ma mosty wzwodzone do swojej fortecy.
525:  Tak jest, tak jest, moi drodzy.
527:  Ja tymczasem zamknę Spotify, żeby nam nie przeszkadzał.
529:  Kochani...
531:  Prosta sprawa, co robimy.
532:  Odpalamy kampanię.
534:  Odpalamy nową kampanię.
535:  Odpalamy kampanię w imperiach śmiertelnych.
537:  Jaki tam Sigmar?
539:  Absolutnie nie.
540:  Wyuzdany Slaanesh.
542:  Tak!
547:  Ten sam kolor mamy!
550:  Czy ten stream to błogosławienie dla wszystkich wracających do dociennej patologii?
553:  Proszę się nie przejmować tym, co będzie jutro.
555:  Należy żyć dniem dzisiejszym.
559:  Jaki azazel, jaki azazel.
562:  Slanesz startuje, moi drodzy, w bardzo radosnym miejscu, to znaczy może deprawować elfy.
569:  Deprawowanie elfów jest fantastyczne, więc nie martwcie się, nie będziemy powtarzać kampanii, którą zaczynaliśmy mniej więcej w tych okolicach, będziemy mieć zupełnie inną kampanię.
579:  Możemy deprawować albo wysokie elfy, albo niskie elfy, moi drodzy.
584:  A potem, żeby pójść do jurnego więzienia, zagramy najbardziej cnotliwość wszystkich frakcji.
590:  To znaczy, Volkmar the Grim najprawdopodobniej.
594:  Niech jeden z bohaterów nazywa się Sascha Grey.
596:  Przepraszam najmocniej, przepraszam was najmocniej.
599:  Nie ma innej możliwości.
601:  Biorąc pod uwagę zbliżającą się premierę Rings of Sour, czyli Kwaśnych Pierścieni, a także to, że gramy dzisiaj z Laneszem, nasz bohater to będzie Dildo Baggins.
611:  Więc nie ma innej możliwości, moi drodzy.
617:  Ulfuan to prawdziwy wyspiarski raj, podobno stworzony specjalnie dla elfów wysokiego rodu.
625:  Nic dziwnego zatem, że nie unikną uwagi potęg zza morza.
631:  To miejsce przepełnione niesamowitą magią, gdzie niepojęta moc zostaje okiełznana i zniesiona na łagodnych wiatrach za sprawą wielkiego wiru.
644:  który ściąga nadmiar magicznej energii z całego świata, uniemożliwiając demonom wdarcie się całymi hordami do wymiaru śmiertelników.
657:  Dildo Waggins jest lepszy, przyznaję, Nadio, tak.
660:  Będzie Dildo Waggins.
662:  Hahaha!
664:  Piękne.
665:  To miejsce od wieków było łakomym kąskiem dla prymitywów ze Starego Świata lub co gorsza dla demonów, dla których elfie dusze stanowią najwspanialszy przysmak.
693:  Ależ oczywiście, że chcemy dostać z tobą sekstazy, znaczy ekstazy na Kari.
699:  Ekstazy.
701:  Dostajemy na sam początek kultystkę Slaanesha i już wiemy, już wiemy, że będzie to dildo vagins.
711:  W zasadzie dostajemy kultystku Slaanesha, bo wszystkie jednostki Slaanesha są niebinarne, moi drodzy.
717:  Witamy szalonego szatana w gronie trybutariuszy!
720:  Jakżeż adekwatnie!
721:  Poproszę o lubieżne jamniki na czatach!
725:  Dużo lubieżnych jamników!
730:  O tak...
732:  Cóż za muzyka.
733:  W Wolf One jeszcze nigdy nie było takiej muzyki.
735:  Zobaczcie, możemy jako slaneszy wywierać gorszący wpływ.
739:  Gorszący wpływ polega na tym, że w którymś momencie da się zwasalizować jakąś frakcję.
745:  Tak, w przypadku innych rodów chaosyckich możemy mieć przykielne manifestacje, które będą nam zapewniać różnego rodzaju bonusy,
752:  Natomiast piekielny czy gorszący wpływ widzimy w menu dyplomacji Slaanesh, mianowicie przez deprawowanie wstrętnych elfów jest w stanie stronić od wojaczki i zajmować się tym, co najbardziej ceni i waszej bujnej wyobraźni zostawiam dojrzenie tego, co to będzie.
779:  Dobrze.
781:  My divine master!
785:  Zwiększymy mobilność.
789:  Dobrze.
791:  Kaplica Kurnosa.
792:  Cóż tutaj możemy mieć?
793:  Oddanych grasantów.
794:  Grasanci są beznadziejni.
798:  Jedyne, co będziemy rekrutować, jedyne absolutnie, będą to demonetki.
804:  Gdzie są demonetki?
807:  Tutaj nie ma demonetek?
813:  Co się stało?
814:  Jak to nie ma demonetek?
816:  Rozwój jest tak czy siak nam potrzebny, ale zaraz, zaraz.
818:  Nie no, tu są demonetki, ja po prostu jestem ślepy.
821:  Dobrze, że tego nie zburzyłem.
824:  Byłoby to bardzo niedobre.
827:  Przeraziłem się właśnie, że nie ma demonetek.
