69 000 SUBSKRYPCJI DLA SLAANESHA — WARHAMMER 3 IMMORTAL EMPIRES
🔗 https://www.youtube.com/watch?v=rB9atL7RQ-4

688:  Chcieliście żądzy?
691:  No to ją macie!
693:  Skumbr je w tomacie, bąk!
695:  Witam serdecznie wszystkich na najjurniejszym ze streamów!
701:  Dzisiaj oto wieża...
704:  Moja przeniosła się w wyniku koniunkcji sfer do wymiaru demonicznego, wymiaru boga chaosu, żądzy pożądania wciurności i jurności Slaanesza.
721:  Pusz, Skryty Żubr, Sagano96, Kuba, Bigomeza, Piotr Z, Greenaxe66, Biurek, Ewa Jędrzejczyk, Just Random, Greenslime, Kajetan, NixNix, Dominik Koziba, Piotr Danisz, Czarci, Pomiot, Ola Nowicka, Rafael,
744:  Marian Kowalski, bądźcie...
764:  powitani Lofrana, Kagralt, Suzy, Tajamont, Jesioł, Szaman, Dzikich Bobrów, Skryt, Żubr, ponownie Zeju, Jeden, Dwa, Trzy, Jeden, Ignivus,
778:  Tomasz Bergander, Roflex Fander, czyli Grzemot, Pepe1990, Pusia Okrusia, Nadia Lewiosa i reszta moderatorów
793:  sknutami flagelacyjnymi, skorymi do tego, żeby batożyć wszystkich niechędogich na czatach, niesrogich do chędówstwa, Nabuchodonozor, Wzedłużony, Majczu, Pikczu, Pepeuszko, Natach, Mitrjam, Gniewki, Naredel, Biesi, Czart, Murtylmruwa, Cuki, Cubane,
820:  Vanny, Valentine, Lucas, P, Sekares, Radosław, Woltyn, Rojwan, witaj, Allison, Poland, Nicole, Zapała, witajcie wszyscy, moi drodzy, Pepe, Łóżko,
836:  Jest Jamnikłajem!
839:  Pepełuszko podarował wsparcie!
841:  Więcej wyznawców!
844:  Jamnesza na czacie!
845:  Mortir!
847:  Zły Czarownik!
848:  Matt Peterson!
850:  Bortowa Pomarańcza!
851:  Czerwony Lis!
852:  Mrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
863:  Witajcie moi drodzy, gramy dzisiaj w Warhammera, dziękuję jeszcze raz za wsparcie.
869:  kanału za 69 tysięcy subskrypcji memicznych i jeżeli podobała się wam animacja, którą oglądaliśmy na początku, mega wam polecam.
880:  Piękny, lore'owy kanał Engaging Bear, czyli niedźwiedź, który chce się zaangażować.
887:  Mianowicie tutaj możecie zobaczyć przepiękne machinimy, czyli filmy, anime lub animacje, które są osadzone w danym świecie.
896:  Na przykład może być to świat Warhammera Fantasy, jak
898:  Krzyczycie, Grzysztof, bo ja nie rozumiem tej gry.
902:  Proszę bardzo.
903:  Proszę, możecie zrozumieć od razu grę.
906:  I przy okazji, dziękuję bardzo Jamnikowemu Piechurowi.
910:  Jamnikowy Piechur jest Jamnikłajem.
