🔴 Klanbracia na wakacjach w Lustrii — WARHAMMER 3: IMMORTAL EMPIRES Skaven #2
🔗 https://www.youtube.com/watch?v=VW3-zg-Dwp0

34:  Dzięki za oglądanie!
95:  Muzyka Muzyka
228:  P-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-p-
256:  Witam wszystkich przybyłych dzisiaj!
258:  CzerwonyLizbear, IamFreedom66, Zornarin, Miejto Ściwy, WieszczPingw, Flaminguel, Szwagier, Batrus, Murek, Kazarkoł, Adept, Jawniczego Ognia, Simba, Szini, Piotr, Ray, Ewil, Kim, Wojtek, Pstrzlasz, Nevemo, Wesper, El, Cigano, Bartolomeusz, Elberf, Dziewięcioogoniasta, Ewa Jędrzejczyk, Pomelo, Cimeris,
278:  Mephisto, Majref Aweran, Szwagier Bierny, Obserwator Potwór z Podłóżka, Karol Korol, Sara Gawrońska, Kaja Hubert, 606 Okazje, oh yeah!
290:  Czerwony Lis, Jacek 79100, X403, Flaminguel, Nadia Lewica, reszta naszych wspaniałych moderatorów, Mikołaj Trąd, Bartłomiej Westfalewicz, Brontos Astrey, Julian, Rikrit Bloodfelth,
307:  Szwagier, Krystian, Bartłomil, Milczarek, Sagano96, Gnomeus albo Nomeus, nigdy nie wiem jak się czytać, Viridian102, Drakon94, i Asar, jak również Kot Ryszarda i wszyscy przybyli po najnowszym odcinku, dla każdego coś przykrego.
326:  Mówiliśmy o maturach i o szkole w chmurze, jak ktoś nie widział, to polecam, bo jest bardzo wesoło, jest bardzo wesoło.
333:  Most czwarty, Sanderson, pozdrowienia serdeczne, Palitkeus, pseudoartystka, Serenox, miły pantik, tak, to były dwa różne niki, Fanny Walentajny, szalony szkodnik, szalony szkodnik, klan brat lub klan siostra, tak.
349:  Tak, dobrze, good, Matt Peterson, Lucifer, fany Valentine, Victim, Kacper, Kuzak, Hurgo i Bryszardo, moi drodzy, zanim w ogóle zaczniemy Warhammerzenie, zanim zaczniemy rzeczy, zanim zaczniemy szczury, to moi drodzy...
