🔴 Dom beznadziei | BALDUR'S GATE 3 Livestream #21
🔗 https://www.youtube.com/watch?v=FAr8-LxW6bI

11:  Dziękuje za oglądanie.
191:  Cześć.
192:  General Kenobi!
231:  Witam wszystkich.
233:  Witam wszystkich niedzielną porą, kiedy wybieramy się do Baldur's Gate 3, ażeby umknąć ze świata, w którym Samuel Pereira się poniewiera.
243:  Witajcie wszyscy najserdeczniej.
244:  Tomasz Kowalczyk, Sławek, Trafomen, Astray, Lejnat X, Posolona, Marjorie, Valkyrie Val, Longinex12, Gerwazy1, Prężny, Magrosoł,
258:  Raven, Arwen, Winchester, Arkadiusz, Cybulak, Golczuk, Gumek, Wyznawca Rogatego, Szczura, Susie Diamond, Jurand Zespychowa, Anetka, Kożuch, Balrok72, Akerie, Ciocia Krystynka, SRB, Anetka, Brendo, Serenox, Tektro, Enimx, Jędrzej, Jaśmin, Aredel, Cheris, Mortil, Grimho, Ksiarzasty, Momo, Zapominajka, Wyspę, wszyscy, którzy tęsknili za Baldurem, moi drodzy.
284:  Krzysztof też tęsknił za Baldurem, żeby nie było po prostu dużo gier było do dokończenia.
288:  Kontynuując, Marcin Łochowski niech będzie powitany oraz i Hazerką Piekielnojamniczego Ognia, i Czerwony Lis, Ennea Gramor, i Hania, i Metal Boy, i Kapłanka Chaosu.
303:  Wszyscy przybyli, moi drodzy.
305:  Dziś jest piątek.
307:  Ja powiedziałem niedzielną porą.
309:  Jeżeli ktoś sugerował przez jeden moment, że nie będzie literówki, pomyłki albo fuck upu, to znaczy, że nie bywa na tych streamach, moi drodzy.
317:  Piątek to niedzieli początek, tak jest, SRB niech będzie powitany Marcin Bogusz, Korwux, Korax, Robert Fajny, 227, Rafał Piórkowski, Łukasz G, Martyna oraz, oraz jeszcze na początek przewinę, bo Cordemon dołączył do grana wspierając, za co bardzo dziękuję, a w zasadzie odnowił wspieranie, Jesus26, jamnicza kapłanka z Allenstein, która prosi o potężne jamniki wsparcia, jamniki wsparcia dla jamniczej kapłanki z Allenstein, natychmiast moi drodzy!
342:  Pisze, że mama po świętach idzie do szpitala, sprawa poważna, dlatego się nie zapuszcza do krainy Ferunu.
347:  Moi drodzy, najserdeczniejsze jamniki dla jamniczej kapłanki z Allenstein, która nam cały czas towarzyszy, moi drodzy.
354:  I teraz potrzebuje naszego wsparcia Lejnat X, Sandra i Gerwazy 1, niech będą powitani.
360:  I Momo, i Bartosz Kędzierski, i Luka Senpai, Szeptucha oraz...
366:  Wszyscy, którzy się znamy, jamniczyli dla jamniczej kapłanki z Allenstein.
370:  Młotko, Karolka Płonąca-Pyrka i Marcin Łochowski.
373:  Dzisiaj się długo witamy, moi drodzy.
375:  Wyznawca Rogatego Szczura i Lotrana i Radosław Rrrr.
379:  Kowalowi dziękuję za dołączonego na wspierających.
381:  Krome Egis, witam serdecznie.
382:  Marianka Błaszka, jak również.
384:  Oraz Joannę Maślankiewicz, Arwen Winchester, Pralinkę, Ryszarda i wszystkich przybyłych.
389:  Moi drodzy, to oznacza, że to powiedziawszy mogę niniejszym.
395:  Odpalić Baltus Gate 3.
398:  Czekaliśmy na ten moment.
399:  Znaczy Krzysztof czekał na ten moment bardzo.
402:  Jak zawsze będziemy sprawdzać w moim mini, czy jest dobrze z poziomami dźwięku i tak dalej.
407:  Jeżeli byłoby coś nie tak, to dawajcie mi znać na bieżąco.
410:  A!
411:  I szybkie info.
412:  Mianowicie, moi drodzy, jest już trzeci, ostatni stream deck zakupiony, dzięki czemu będziemy mogli wykorzystywać większą niż do tej pory liczbę muzyki, dźwięków, co na przykład oznacza, że wraca jamniczy swing...
427:  I inne rzeczy, do których się przyzwyczailiśmy, byliśmy, więc przepraszam, że to tyle trwało, ale czekamy, aż streamdek przyjedzie.
433:  Możemy kontynuować.
435:  Czyli idziemy odwiedzić Rafał.
436:  Dzisiaj kończymy quest po questie, moi drodzy.
439:  Na początek Orin.
441:  Pamiętam, że z Orin było coś.
442:  Musimy dokończyć quest Baala, to jest ważna sprawa.
445:  W niedzielę o tej porze będzie Krzysztof ścinał karpia z rodziną.
448:  W niedzielę też mamy stream.
449:  Nie wiem tylko, czy o 18 czy o 20.
451:  Zobaczymy, moi drodzy.
452:  W zależności od tego, jak się wyrobię i będzie coś specjalnego.
457:  Jest nam animacja od Baldurów Świąteczna i Baldurowa, od Larianów, przepraszam.
462:  Jeżeli jest, to po prostu nam wrzuć na linka do Holistycznej Agencji Skarpistycznej, link w opisie, lub na czaty, ponieważ ja prawdopodobnie nie będę mógł tego odpalić na YouTubie, niestety.
473:  Proszę bardzo, sielsko i anielsko.
475:  Czy jest dobrze, moi drodzy, dźwięk gry?
478:  Czy jest słyszalny?
479:  Bo u mnie jest dobrze.
482:  To jest informatyczne, u mnie dobrze.
484:  Co mamy do zrobienia?
485:  Bo jest piękna muzyka baldurowa.
486:  Tak jest, jest z nim w Wigilię, nie inaczej, moi drodzy.
490:  O, widzicie?
491:  Uratuj ofiarę Orin.
493:  Ofiaruj uratę Orin, tudzież.
496:  Wiemy już, jak uzyskać dostęp do świątyni Bala, ale Orin nie będzie zadowolona, że zlikwidowaliśmy Trybunał Mordu.
501:  Co się faktycznie stało?
502:  Zamordowaliśmy Trybunał Mordu.
504:  Musimy dotrzeć do świątyni, uratować jej ofiarę, zanim się o tym dowie.
509:  Dobrze.
512:  Trzeba zmienić na Niedomaga Jamniksa.
513:  Właśnie!
514:  Przed streamem, moi drodzy, przyznam się wam do tego, zmieniłem szaty Niedomaga Jamniksa.
519:  Niedomag Jamniks teraz wygląda jak porządny Mak Ognia.
523:  Nie ma to tamto.
524:  Niedomag Jamniks wygląda właściwie.
526:  Wiecie co?
527:  Wiecie co?
530:  Uczcimy to.
532:  Uczcimy to, jak tylko się znowu połączę z aplikacją.
536:  A zobaczycie, co będzie w niedzielę.
538:  Możliwe, że będą Daxosy, możliwe, że nie.
540:  Na pewno będą w przyszłym tygodniu.
542:  Zobaczymy.
544:  Proszę bardzo.
545:  Świętujemy.
546:  Czerwień na pięknym obliczu niedomagają nixa.
550:  Nie inaczej.
553:  Raczej, raczej nie inaczej.
556:  Piękna szata.
557:  Czy można zmienić jej kolor?
