🔴 Ser w Koloseum | HOLLOW KNIGHT Livestream #13
🔗 https://www.youtube.com/watch?v=ZsDHsb9ogrg

38:  Bapa nada.
40:  Muma, deseret?
44:  Moby dys.
45:  Opum sanjo.
48:  Oooo!
49:  Ty!
50:  Oooo!
52:  Mupo!
53:  Zrozumiesz wszystko?
55:  Idziesz?
56:  Chcesz?
57:  Co chcesz?
59:  Zrób kąt!
61:  O kurwa, nie?
63:  Bama!
65:  Boryson?
66:  Gdzie?
68:  Opal.
70:  Wielmi ardryt.
72:  Lito.
74:  Kaciel.
75:  Lijosoki.
76:  Helmadelka.
78:  Kumanja?
80:  Oj, merma.
83:  Baja rasi?
86:  Ela, re?
102:  Zopa, Ela, merma.
105:  Biaku, fia.
107:  Jaja.
126:  Mhm.
128:  Mhm.
132:  Mhm.
133:  Mhm.
133:  Mhm.
133:  Mhm.
133:  Mhm.
148:  Akomania.
149:  Chwej zumakonkon.
152:  Merma.
153:  Piagura.
155:  Elare.
156:  Trominba.
158:  Pianerof.
160:  Aha...
192:  Aaaa... Aaaa... Melemu... Aaaa... Aaaa... Melemu... Aaaa... Aaaa... Melemu... Aaaa... Aaaa... Melemu... Aaaa... Aaaa...
221:  Aaaa... Kielisaka... Kurikuri... Aaaa... Muuu... Kari... Zawane no... Kuna... Patu... Aaaa... Aaaa... Aaaa... Aaaa... Melemuuu... Aaaa... Aaaa... Melemuuu...
254:  Aaaa... Aaaa... Kielisaka... Kurikuri... Aaaa... Muuu... Kari... Zawane no... Kuna... Patu... Aaaa...
271:  Chciałabym zapoznać się z Panią.
276:  Chciałabym zapoznać się z Panią.
282:  Chciałabym zapoznać się z Panią.
291:  Chciałabym zapoznać się z Panią.
301:  Iku, iku, mara!
305:  Mera, mera, ako!
310:  Rumas!
311:  Fafundo!
316:  Doma, doma, doma, doma, doma!
319:  Doma, doma!
322:  Doma, doma, doma, doma, doma!
326:  Ale jop!
326:  Ale jop!
327:  Ha ha ha!
327:  Ale jop!
327:  Łop!
327:  Jop!
328:  Łop!
328:  Jop!
328:  Łop!
328:  Ło ha ha!
328:  Uribama!
329:  Ha ha ha!
329:  Ha ha ha!
330:  Joroma!
330:  Na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na
417:  Niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam, niam
443:  Witam wszystkich przy najbardziej szalonej z muzyk, jakiej kiedykolwiek jeszcze słuchaliśmy, jak jesteście zainteresowani tym złotem absolutnym.
450:  To leciało to z YouTubów.
452:  Witam wszystkich najserdeczniej, moi drodzy, na naszym melemuowym streamie.
457:  Niech będzie wszyscy powitani, jak oto Frost Soul Dawid Wojacki.
462:  Smakowity Pishinger, Bij Gomeza, Julia Żądłak, Frost Shouse, Joglol, Bij Gomeza i Buczytany, Michał Pęksa, Złodziej Uliczny, Podwodnobrody, Pan Skorpion i reszta naszych wspaniałych moderatorów, Asia, Foksiguen, Kafin, Jaolin, Artur Motyka, dziękuję ci serdecznie za trybut, niech będzie podpalony, MLEMU!
483:  Co wy ze mną robicie?
484:  Odpalam się znowu.
485:  Anżelika Karolina Jurewicz, Matfanika O.O., Kajka Mróz, Manorox, Skarpety Szatana, Agnieszka Saran, Szymon Wróblewski, Histeryczny Historyk, Krzysztof S. i Alzaria, Wiktoria Głowacka, Małgorzata Piłat, Marziawks, Miltiwi, Wojciu Kaczmarek, Oktariel, Tudikwe Pod.
503:  Borowiczek, Jesz Serlenwaldu, Ekskajer, Kain.
506:  Kainowi serdecznie dziękuję swoją drogą za bycie Jamnikołajem wcześniej.
511:  Kain za Jamnikołaju i podarował wsparcie, ale nie wiem już komu, ponieważ wcześniej na czatach było bardzo dużo melemu.
518:  I witam serdecznie Luki Lager i Wyznawcy Rogatego Szczura, Julu, Rudy Lis, Istota Żyjąca, Trzycan, Cuki Tsubane oraz...
528:  Złodziej uliczny, szare eminencje zachwytu, Michał Pęksa, dziękuję Jackowi Palachowskiemu za odnowienie wspierania, jesteś już na poziomie takim samym jak Baltasar Geld, którym przede wszystkim będziemy niebawem grać, niebawem co w tym miejscu oznacza, po Pyrkonie, o tym za moment, Pyrkon mnie przeraża, Alizan Imperium, Kazia Kazanowska, Nerus, konsumer kaloryferów.
551:  Przepiękny nick, uwielbiam.
554:  Matwa Nika, o, piszę, że przeczytałeś pierwszy raz, o, na końcu mojego nicku.
