COVIDioci i negacjoniści nauki | Dla każdego coś przykrego #3
🔗 https://www.youtube.com/watch?v=7cJnA7iHXZw

0:  Nie zliczę ile razy słyszałem, że nazwanie kogoś idiotą jest obrazą, a nie diagnozą.
8:  Tymczasem, co ciekawe, etymologia słowa idiota wskazuje na coś, co będzie tematem dzisiejszego odcinka dla każdego coś przykrego, a mianowicie na skupienie na samym sobie, egotyzm.
22:  Na wyłączenie ze zbiorowości, na myślenie tylko i wyłącznie o własnym dobru.
27:  I to jest dokładnie to, co oznaczało greckie idiotes w opozycji do polites.
32:  Polites odwoływało się do tego, co związane ze zbiorowością, ze wspólnotą, z myśleniem społecznym, a idiotes...
39:  do tego, co było tego przeciwieństwem.
41:  Dzisiaj więc, jak mówimy idiota, oczywiście myślimy ignorant, głupiec, człowiek niewykształcony, ale powinniśmy sobie zdawać sprawę z tego, co oznacza głupota.
51:  Zwłaszcza głupota w odniesieniu do epidemii, w odniesieniu do pandemii i tego, co zaczęli właśnie głupcy i idioci nazywać plandemią,
64:  Czy jakimś spiskiem, który gdzieś tam krąży.
69:  I tak jak mieliśmy spisek żydowski, później spisek masoński, spisek finansjerów, spisek heliocentryczny, z którym walczą płaskoziemcy.
82:  No rozumiecie, to są spiski, celowe, zakulisowe działania zmierzające do tego, żeby ustanowić nowy ład i oczywiście podporządkować sobie tych maluczki, zwłaszcza tego Edzia z cmentarnic rozmokłych, który wszystko rozgryzł, on już wszystko rozumie, wiecie, on...
101:  miał objawienie i on przejrzał to, on zobaczył to wszystko.
106:  Te wszystkie machinacje zakulisowe, KGB, NSA, on to wszystko widzi, widzi te połączenia, które tam sobie są.
114:  Wszyscy takie, tak, neurony powinny płynąć w mózgu, tak piu, piu, piu, to jemu płyną, tak, właśnie te bity informacji z jednego węzła do drugiego.
124:  Dlaczego w ogóle dzisiaj o tym mówię?
128:  Dlatego, że jak powinniśmy
131:  można na samym początku sobie powiedzieć, istnieje coś takiego jak pandemia choroby COVID-19, którą wywołuje SARS-CoV-2.
142:  I teraz...
144:  Zostało niedawno, żeby nie było, na łamach bardzo prestiżowego czasopisma, to znaczy The Lancet.
150:  To jest czasopismo, które nie pozwala sobie na publikację czegokolwiek, co mogłoby podpadać pod fake newsy, pod szerzenie paniki, propagandy.
158:  Czasopismo jest recenzowane, cenione w środowisku.
161:  Jeżeli opublikuje się na jego łamach coś, co nie zyskuje konsensusu społeczności naukowej, następuje tzw.
168:  retraction, czyli wycofanie artykułu zła.
171:  Więc umówmy się, że
173:  Te fakty, na których będę bazował, żeby ustalić pole, w którym będziemy się poruszać, są jak dotąd niepodważalne dla każdego, kto nigdy nie publikował na przykład na łamach lancetu albo nie ma stosownych tytułów naukowych w tym względzie.
190:  I opublikowano następujący konsensus naukowy na temat pandemii COVID-19.
199:  Po pierwsze, to co wszyscy wiemy, SARS-CoV-2 rozprzestrzenia się przez bezpośredni kontakt, to znaczy większe kropelki śliny, wszelkiego rodzaju kichnięcia, kaszlnięcia, tego typu rzeczy.
213:  No i oczywiście chodzi również o transmisję, która jest dłuższa, to znaczy jeżeli rzeczone kropelki spadną na jakąś powierzchnię, my tej powierzchni dotkniemy i następnie nastąpi transmisja z naszych rąk do ust chociażby, to wówczas również się zarazimy.
228:  Następnie cechą tegoż wirusa jest to, że ma wysoki poziom infektywności, to znaczy szybko zaraża.
238:  A zatem...
240:  ponieważ jest to również wirus nowy, nie można go porównywać z sezonową grypą.
245:  A ileż razy słyszeliście ludzi, którzy mówią, że tyle ludzi umiera na grypę, jakoś nie było rabanu, znaczy był raban, bo były szczepionki na przykład, bo właśnie ludzie umierają na grypę, więc wymyślono szczepionkę, żeby ludzie na nią nie umierali, więc był raban.
260:  Ale tak, ale grypa ma większą zaraźliwość, jest przerażająca.
263:  A co?
265:  Gdzie?
266:  Dzisiaj widziałem na Facebooku, jak ktoś właśnie mówił, że no byłem w szpitalu.
