RADEK RAK z nagrodą Nike! | Dla każdego coś przykrego #1
🔗 https://www.youtube.com/watch?v=7I-nYXRsLBA

1:  Co roku o tej porze przeżywam ten sam koszmar.
5:  Mianowicie są ogłoszenia Nagrody Literackiej Nike, którą z sobie znanych względów zawsze nazywałem Nagrodą Adidasa, starając się pokazać, że nie ma ona nic wspólnego z tym wizerunkiem nagrody, jaki lansuje się w mediach.
18:  To znaczy, że to jest prestiżowe, że to jest wybitne.
25:  To jest w ogóle wyrocznia, której wszyscy powinniśmy słuchać, wiedząc o tym, że co roku uczone głowy, krytycy literatcy, literaturoznawcy zbierają się w swoim gronie i niby wielcy uczeni mandaryni w świątyni Szaolinu
44:  objawiają nam prawdę i dzięki temu wiemy, co czytać.
48:  Bo przecież nie wiedzielibyśmy, co czytać.
51:  Ale oddalmy tę ironię, bo przecież jest sporo ludzi, którzy nie wiedzą, co przeczytać.
56:  I to jest całkowicie normalne, tak samo jak nie wiemy, na co pójść do kina albo co obejrzeć na Netflixie albo jaką grę kupić na Steamie i wtedy sięgamy do recenzji.
66:  Albo właśnie do nagród.
68:  do wyników nagród, bo nagrody literackie generalnie są po to, żeby nie tylko zwiększyć sprzedaż książek, jak to bardzo często się rozgrywa, albo zwiększyć sprzedaż jakiegokolwiek tytułu, ale są też po to, żeby dać instrukcję odbiorcom, kupującym, żeby wiedzieli, jak głosować portfelami.
88:  I tak się złożyło, że przez większość czasu, jak była przyznawana nagroda Nike, a jest to mniej więcej od, zajrzyjmy sobie na historię, którą przygotował TVN24, nie ma product placementu, od 1997 roku, wtedy przyznawano nagrodę Nike za takie oto,
109:  No właśnie, nie do końca powieści.
112:  Na razie powiedzmy sobie dla uproszczenia teksty.
116:  Oczywiście nie zmienia to faktu, że wielokrotnie wspominano o tym, że to jest nagroda za najlepszą książkę roku.
124:  Teraz uwaga.
126:  niezależnie od gatunku literackiego.
129:  Taka jest oficjalna wersja przynajmniej, bo jak spójrzymy sobie tutaj na tę listę, to będziemy mieli na przykład takie rzeczy jak reportaż, ponadto reportaż, biografia, esej,
148:  Nie wiem, czy wspominałem o reportażu, ale był wcześniej.
152:  Są powieści, owszem, ale to są powieści bardzo szczególne.
155:  To znaczy, Jana Bator...
158:  Myślę, że powinna być osobna nazwa dla tego gatunku, na przykład, co czytasz, czytam Batora nowego, bo ja nie jestem w stanie, będąc literaturoznawcą, zaklasyfikować w jakikolwiek sposób Ciemno prawie noc, tudzież jakiejkolwiek innej powieści Anny Bator.
170:  Jeżeli chodzi o pozostałe rzeczy typu Olga Tokarczuk, typu Andrzej Stasiuk, typu Wojciech Kuczok, typu Jerzy Pilch, no były to rzeczy, które czytałem na studiach i...
182:  Nie chciałbym wrócić do tego czasu, bardzo bym do tego czasu nie chciał wrócić, bo zastanawiałem się, jak czytałem te książki wtedy i jakim sposobem można myśleć, że komuś się poleci to do lektury i ten ktoś wybierze to ponad Netflixa.
197:  Bo ja bym nie wybrał.
199:  Nie jestem statystycznym czytelnikiem.
202:  Naprawdę, gdyby ktoś powiedział mi, że albo mogę sobie wybrać tę chińską torturę, która polega na tym, że takie
210:  Plum na plecy i to nas torturuje, bo nie możemy wytrzymać.
213:  Albo żebym przeczytał jeszcze raz taką wybitną książkę Wiesława Myśliwskiego o tym, że dawniej była wiś i w tej wsi był pokój, bo był pleban, bo był sołtys, bo byli ludzie, którzy sobie pomagali, ale nynie pokoju nie ma, bo pojawił się asfal.
238:  I ten asfalt przeciął wiś na dwie części.
244:  I teraz samochody były takie szu, szu, szu przez tą wiś.
252:  I nie ma pokoju, albowiem nie mogą ludzie z jednej strony wsi na drugą stronę wsi przejść.
258:  I w tej we wsi pokoju teraz nie ma, albowiem jest ta szosa z tym siu.
