Bale maturalne to PRUSKI wymysł | Dla każdego coś przykrego #52
🔗 https://www.youtube.com/watch?v=fa749pX4m6c

0:  Studniówki.
2:  Najbardziej niepotrzebna impreza, jaką możemy mieć w życiu, więc pasuje, ponieważ odbywająca się przed najbardziej niepotrzebnym egzaminem, jaki odbywamy w życiu, to znaczy na 100 dni przed maturą.
13:  Ktoś mógłby powiedzieć, że to troszeczkę nie pasuje, taka zabawa radosna całej społeczności szkolnej, maturalnej, a jednocześnie odbywająca się w...
24:  realiach polskiego rygorystycznego systemu oćmiaty, gdzie trzeba nadzorować, gdzie trzeba karać, gdzie trzeba dyscyplinować i rugować z życia towarzyskiego i społecznego jakiekolwiek przejawy zabawy.
36:  No zadziwiające jest to dla wszystkich, którzy nie wiedzą i nie wierzą w to, jak daleko sięgają i zapuściły korzenie tradycje pruskie w polskim systemie oćmiaty.
46:  Oto jak możemy przeczytać, sama tradycja tego nieszczęsnego poloneza studniówkowego zaczyna się, moi drodzy, no nie zgadniecie absolutnie, właśnie w Prusach.
56:  Mianowicie, jak czytamy w tym tekście, współcześnie celebrowany polonez studniówkowy wynika przede wszystkim z faktu odbywania egzaminów dojrzałości, które po raz pierwszy prowadzono z inicjatywy Wilhelma Humboldta w 1812 roku w Prusiech.
70:  Właśnie.
71:  Od 1834 pruski egzamin dojrzałości stał się dwuczęściowym egzaminem pisemnym i ustnym dla osób starających się o przyjęcie na studia.
81:  Zasmuca mnie, jak niewiele zmieniło się od 1834 roku, ale wciąż mam nadzieję, wciąż mam nadzieję, że polski system edukacji wróci do tradycji egzaminów na studia, które nie będą się przejmowały z jakimiś śmiesznymi procencikami z matury, ale jest to, obawiam się na razie, marzenie ściętej głowy.
101:  I wreszcie bale studniówkowe, które były powiązane z tym egzaminem dojrzałości, miały w oczywisty sposób, wiecie, podnieść jego prestiż, bo to był taki nie tylko ostatni moment, kiedy można było pokazać się, a zastawić się, ale równocześnie, haha, można było także...
118:  dokonać swego rodzaju popisu uczniowskiego, co wiązało się także z tym, że w tamtych czasach taniec był elementem nauczania w szkołach.
125:  Tak więc tak, temu służą studniówki.
128:  To jest taki ostatni moment, kiedy możecie się popisać nie tylko umiejętnością wykonywania poloneza, który oczywiście się trenuje w
136:  wcześniej na WF i naturalnie, że WFIści będą przyznawać złe ocenki wszystkim tym, którzy nie chcą tego robić, a inni, nawet jeśli złych ocenek nie będzie, będą na nas patrzeć z marsową miną.
147:  To jest mało.
148:  Ważne jest też to, żeby się popisać na studniówce tym, czy w wieku 19 lat masz już wybranego partnera życiowego, no bo wiadoma sprawa.
157:  Trzeba na ludziach wybierać presję w tej kwestii, z pewnością dzięki temu będą mieli zdrowe i wspaniałe relacje międzyludzkie, zadzierzgnięte już w 19 wiośnie swojego żywota i z pewnością dlatego właśnie również będą wybierać mądrze i wcale nie jest tak, że będą wybierać jakiegokolwiek partnera, byleby tylko się móc
176:  przed kimś, no właśnie, pokazać ładnie i pochwalić, ale przecież to nie jest jedyna rzecz, którą się chwalimy na balu studniówkowym, naturalnie i oczywiście będziemy się też chwalić tym, ile zarabiają nasi starzy, albo ile sami zarabiamy, jeżeli mamy już taką jakimś cudem możliwość, że w obdobie zadań dobowych, przygotowań do matury i generalnie, nie wiem, może dwóch godzin, które zostają nam na zjedzenie posiłków i czterech maksimum godzin, jakie zostają nam na sen, jeszcze
204:  wykonywać jakąkolwiek pracę zawodową.
205:  Jeśli tak, chapeau bas z mojej strony.
207:  Jeśli nie, to wszystkich nas dotyczy problem, który jest podnoszony co roku na łamach prasy.
211:  To znaczy, że ceny studniówek z roku na rok rosną, ponieważ to nie jest już tak, że sobie robimy w szkole, ohoho, we własnym zakresie jakąś imprezkę, że rodzice pieczą ciasta, ludzie sobie pojawiają się w normalnych strojach.
225:  Nie, nie, nie, to już jest normalna, komercyjna impreza.
228:  900 złotych bilety wstępu, 600 złotych bilety wstępu, 595 złotych
