Lista lektur do matury? Zlikwidować | Dla każdego coś przykrego #11
🔗 https://www.youtube.com/watch?v=ZjD-SPSYuS8

1:  Co roku mniej więcej o tej porze system edukacyjny ponosi klęskę.
5:  Klęskę, ponieważ po raz kolejny, kolejnego roku nie udaje się zlikwidować egzaminów maturalnych, a z nimi kompletnie irracjonalnych, bezsensownych i kompletnie, ale to kompletnie niedostosowanych do obecnych realiów list lektur maturalnych.
21:  które w dalszym ciągu, pomimo nastania XXI wieku i ery cyfry, zdominowane są przez prozę i poezję oraz dramat i tyle, a zatem wyłącznie literaturę.
37:  Co więcej, lista rzeczonych lektur szkolnych zdumiewa mnie rok rocznie, ponieważ przypomina ona jako żywo listę lektur z zakresu historii literatury na studiach polonistycznych.
50:  Praktycznie nie różni się ona od tych pozycji, które są oznaczane jako obowiązkowe.
56:  Ale to nie jedyne zastanawiające podobieństwo.
59:  To jak sobie przejrzymy listę lektur obowiązującą na nadchodzący egzamin maturalny, już pomijam facepalm, który wiąże się z obecnością Bogurodzicy, która jest zabytkiem piśmiennictwa i artefaktem językoznawczym raczej niż utworem, który by cokolwiek wnosił do naszej erudycji czy obeznania kulturowego, no bo to jest de facto modlitwa i nic więcej, hymn powiedzmy,
83:  który nic nie mówi o naszej rzeczywistości.
86:  Natomiast cała reszta to jest historia literatury i to jeszcze w dodatku naprawdę nie literatury XX wieku w większości przypadków.
95:  Z XX wieku, czy mamy dość niewiele jak widać na tejże, XIX wiek zdecydowanie dominuje, co nie powinno dziwić.
106:  Hugh Kenner w artykule The Modernist Canon powiedział bardzo znane zdanie i moim zdaniem idealnie opisujące tę sytuację.
114:  Canon nie jest listą.
117:  Kanoń jest narracją.
120:  Co to znaczy?
121:  Jaką narracją?
122:  Otóż poprzez takie, a nie inne układanie listy lektur
126:  modelujemy polityczne i światopoglądowe oczekiwania wyborców.
132:  Oczywiście.
134:  Dlaczego każda partia polityczna, która przychodzi, pierwsze co robi, jeżeli chodzi o deformę edukacji, no to oczywiście ingeruje w kanon lektur i zaczyna go zmieniać i nagle się okazuje, że musimy mieć takiego wybitnego pisarza jak Jan Paweł II na przykład na liście lektur, albowiem koniecznie i albowiem powody.
152:  Względnie okazuje się, że nagle przyjdzie opcja lewicowa i będziemy musieli czytać nie daj Boże Sylwię Hutnik.
159:  I tak dalej, i tak dalej.
161:  Co jeszcze mnie uderza w tej liście?
164:  Wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze, wiersze.
169:  Przepraszam, czy wspomniałem o wierszach?
171:  Są głównie wiersze, poezja, która naprawdę, no nie chcę wszystkich miłośników poezji martwić, ale odeszła do lamusa już nawet, nawet nie możemy powiedzieć, że odchodzi do lamusa.
182:  Ona już bardzo dawno odeszła do lamusa.
186:  I weźmy pod uwagę, że my tu jesteśmy w matrioszce lamusowej, bo w zasadzie poezja jest lamusem lamusa, gdyż to literatura już odchodzi do lamusa w tym sensie, że nie dominuje na rynku poezji.
200:  medialnym.
201:  Nie jest to jedyne medium, które konsumujemy, ba, stwierdziłem, że jest to medium, które najrzadziej konsumujemy, a mimo, że jest to egzamin dojrzałości, dla wielu ludzi zresztą zamykający ten etap życia, w którym mają najwięcej styczności z kulturą.
216:  Nie mamy tutaj ani filmów, ani seriali, ani gier wideo, ani anime, ani mangi, ani komiksów,
228:  Już nie mówię o dziełach i utworach internetowych typu memy i tak dalej.
234:  Oznaczę to krótko mówiąc, że ktoś uznał w którymś momencie, że tylko i wyłącznie literatura stanowi o erudycji.
242:  I właśnie tutaj przechodzimy do tego cytatu, który Wam podałem.
245:  Kanon nie jest listą, jest narracją, jest narracją...
249:  który uważa, że nie ma innych mediów ponad literaturę.
252:  I jeszcze do tego wszystkiego usiłuje sprzedawać tę narrację innym ludziom, kształtować ich oczekiwania i kształtować ich wyobrażenia na temat kultury.
261:  Zatem niech, przynajmniej na poczet dyskusji o listach lektur, nauczyciele i pedagodzy przestaną używać startego argumentu, że tak, ten biedny, biedny Józio z rodziny patologicznej, gdyby nie szkoła,
277:  on nie miałby styczności z kulturą.
280:  Nie, nie, nie z kulturą, moi mili, tylko z drobnym wycinkiem kultury, który ktoś kiedyś, osobliwie w XIX wieku, bo względem tego listy lektor specjalnie się nie zmieniły, uznał za obowiązujący i uznał za wartościowy z perspektywy wyznawanego światopoglądu i także oczywiście upodobań politycznych.
303:  Najzabawniejsze w tym wszystkim jest to, że jak spojrzymy na to, jak wygląda egzamin ośmioklasisty, zresztą słusznie przez wszystkich jest podnoszone, że w ogóle on się nie powinien obecnie odbywać, ale już to zostawmy.
313:  Mianowicie, jak spojrzymy na listę nazwisk, to ona jest praktycznie identyczna względem tego, co się pojawia na maturze, to znaczy dalej dominuje XIX wiek i dalej dominuje poezja.
326:  a także ramotki w postaci komedyjki Zemsta czy opowieści wigilijnej, którą można przyswoić w postaci dowolnej adaptacji filmowej z moim zdaniem rosnącym pożytkiem.
338:  I w zasadzie jedyna czytalna rzecz na tej liście to jest Antoine de Saint-Exupéry, Mały Książę.
343:  I poza tym rzeczy, które moim zdaniem mają już wyłącznie wartość historyczną i powinny być czytane przez studentów polonistyki czy innych kierunków literaturoznawstwa.
355:  No i teraz przechodzimy do clou całej sytuacji.
357:  To znaczy, jak to się stało, że nagle zaczęliśmy układać tego rodzaju listy i kanony?
363:  I przede wszystkim, co to w ogóle oznacza kanon?
365:  Wiecie, że lubię szukać znaczeń słów, których używamy i które uznajemy za oczywiste.
370:  No i kanon to jest bardzo stare słowo, mianowicie starogreckie i oznacza standard mierniczy.
376:  Ale rzecz się...
378:  W bardzo interesujący sposób związała również z historią szkolnictwa, zwłaszcza na terenach Polski.
384:  Otóż na przełomie XIX i XX wieku była taka cudowna kara dla uczniów, mianowicie brało się linijką po ręce, taka bardzo dobra...
394:  Praktyczna metoda wychowawcza, wiadomo, jeżeli sobie nie radzimy z jakimś żywym stworzeniem, to należy je troszeczkę pobić.
402:  Nie zaszkodzi, wzmocni się skóra, będzie wytrzymalsza i tak dalej i tak dalej.
406:  No, w każdym razie, bito dzieci po rękach drewnianymi linijkami.
411:  Wiecie, jak nazywały się te linijki?
415:  Canon.
417:  One się nazywały kanon, bo kanon to jest przyrząd mierniczy, standard mierniczy.
421:  I jak macie w języku angielskim ruler jako linijka, to nie jest to rzecz przypadku, że również ruler to władca.
431:  Język angielski zachował ten związek kanonu jako pewnego standardu, który ktoś wyznacza i dyskursu władzy.
440:  Bo to za każdym razem chodzi o to, żeby, tutaj zacytuję Mickiewicza, mieć rząd dusz, żeby sprawować władzę za pośrednictwem słów.
450:  I tu leży pies pogrzebany.
452:  Bo nagle się okazuje, że ta narracja, którą sobie sprzedajemy, a konto matur, że tak, że wszystkich trzeba jednakowo wykształcić, że muszą być erudytami i znać polską kulturę, sprowadza się tak naprawdę do tego, że nie, muszą znać ten wycinek polskiej kultury, który będzie nam, rządzącym, władzy, potrzebny do skutecznego egzekwowania takiej, a nie innej linii politycznej.
476:  No i niespodzianka, niespodzianka.
479:  Jeżeli mamy chóra patriotyczne, polonocentryczne narracje na liście lektur i poezje opiewające wszystkie nasze porażki, których doświadczyliśmy przez te dziesięciolecia czy stulecia,
492:  No to niespodzianka, jakie mogą mieć poglądy ludzie później, których sobie wychowamy.
496:  No czyżby nie prawicowe i patriotyczne?
498:  Oczywiście, że część się wyłamie, część zobaczy, że to jest, no brzydko mówiąc, bullshit i że jest bardzo dużo innych odmian literatury.
507:  Wspomnę całkowicie niereprezentowalny na tej liście kryminał, thriller, powieści sensacyjne, by nie wspomnieć oczywiście o moich ulubionych nurtach fantastycznych.
517:  których w ogóle, powtórzmy, nie ma.
520:  Więc znów, jeśli ktoś wam mówi, że listy lektur są po to, żebyście mieli rozeznanie w kulturze, to jest bzdura.
531:  Wierutna bzdura.
533:  Bo jego ideą i intencją nie jest to, żebyście mieli rozeznanie w kulturze, tylko żebyście mieli rozeznanie w jego kulturze.
542:  W jego światopoglądzie, w jego upodobaniach politycznych.
546:  Kanon nie jest listą.
549:  Kanon jest narracją.
552:  I musimy, jeśli w ogóle chcemy się przejmować kanonami, nauczyć się je czytać.
557:  I przede wszystkim zadawać pytania.
559:  Dlaczego nie ma filmów?
560:  Dlaczego nie ma seriali?
561:  Dlaczego nie ma gier wideo i innych mediów?
563:  Skoro to o nich rozmawiamy.
566:  Kanony literackie wzięły się też stąd, że oczywiście było to klasistowskie, prawda?
570:  To znaczy arystokracja i mieszczaństwo, których stać było na książki.
574:  Kiedyś już na vlogu wspominałem, że książkę kupowano za dzisiejszy ekwiwalent drogiej karty graficznej, parę tysięcy złotych na dzisiejsze, sztuka.
582:  W związku z powyższym to nie jest tak, że stać było kogokolwiek na taki towar luksusowy.
588:  To dziś zresztą wraca.
589:  Tak nawiasem mówiąc, książki stają się coraz to bardziej drogie.
593:  Ale to nie jest nic dziwnego, ponieważ równocześnie tanieją inne formy medialne.
598:  A ja zawsze lubię powtarzać, że prawda jest taka, że gra wideo na przykład jako medium audiowizualne jest najdoskonalszym medium w tym sensie, że to w grze wideo jesteście w stanie obejrzeć film, obejrzeć serial, przeczytać komiks i przeczytać książkę.
612:  W książce nie zrobicie żadnej z tych rzeczy.
614:  W książce możecie wyłącznie przeczytać książkę.
617:  Koniec.
618:  I nie jest rzeczą przypadku, że wielu pisarzy i twórców fantastyki, którzy zdawali sobie właśnie z tego sprawę, że ciężko jest zwizualizować sobie świat tylko i wyłącznie w materii tekstu, uciekali się do grafik koncepcyjnych, do ilustracji, do fikcyjnych alfabetów, map.
634:  Nieprzypadkowo w 516 roku Thomas More zamieścił w utopii mapę i fikcyjny alfabet.
641:  Jest to jedna z pierwszych powieści fantastycznych w tym sensie.
644:  No i właśnie, dlaczego wam o tym wspominam?
646:  No przede wszystkim dlatego, że przeświadczenie o tym, że tylko i wyłącznie literatura powinna być na takiej liście, jeżeli już w ogóle ją układamy, jest nieprawdopodobnie demodę, przestarzałe.
657:  Dziś powinniśmy włączać inne media i dawać ludziom rozeznanie w tym, jaka jest oferta kulturalna i co rzeczywiście jest najwartościowsze.
665:  No i tutaj może przejdę do przykładu pozytywnego, to znaczy właśnie nieprzypadkowo wspomniałem o fantastyce, bo prawda jest taka, że pytanie, które pojawia się najczęściej na grupkach poświęconych literaturze fantastycznej, brzmi przeczytałem jedną książkę z tego gatunku, chciałbym przeczytać następne.
683:  I na to pytanie odpowiedział Andrzej Sapkowski, formułując swój własny kanon w leksykonie rękopis znaleziony w Smoczej Jaskini.
693:  I tam czytamy następującą rzecz.
696:  Andrzej Sapkowski pisze, poniżej podaje kanon fantasy 85 pozycji, które każdy szanujący się miłośnik gatunku znać powinien.
704:  Zwracam uwagę, że oprócz kryterium absolutnej wartości literackiej, która to wartość jest zresztą pojęcie bardzo, ale to bardzo subiektywnym, w ustaleniu listy kierowałem się również kryterium wagi i znaczenia, jaki dany tytuł dla gatunku posiadał, jak również sposobów, jakie płyną na gatunku rozwój.
