Stracone pokolenie?! Dlaczego szkoła jest po nic | Dla każdego coś przykrego #9
🔗 https://www.youtube.com/watch?v=_LyvL0wfO5M

1:  Stracone pokolenie.
4:  Takie określenie usłyszałem parę razy w odniesieniu do pokolenia byłoby nie było uczniów, młodzieży szkolnej i studentów, którzy już od niespełna roku przez całą pandemię COVID-19 uczęszczają na zajęcia zdalne, gniezdząc się przed komputerami i walcząc o dostęp do internetu z rodzeństwem, z rodzicami i generalnie borykając się z mnóstwem problemów.
28:  I muszę powiedzieć, że pierwszy raz, jak usłyszałem to określenie, to rozwścieczyło mnie ono i za każdym razem denerwuje mnie ono w równym stopniu.
35:  Bo zadaję sobie bardzo podstawowe pytanie.
38:  W ogóle skąd ten dyskurs utraty?
40:  Skąd to pojęcie?
41:  Czy to, nie wiem, uczniowie coś utracili, czy też oni są utraconym pokoleniem dla kogoś?
47:  I przede wszystkim, co jest tak wysoko wyceniane przez nauczycieli, pedagogów i wszystkich...
54:  odpowiedzialnych za taki, a nie inny kształt edukacji podstawowej, średniej i wyższej w Polsce.
61:  Pewien trop odnalazłem w artykule, który się ukazał już stosunkowo dawno temu na łamach Dziennika Gazety Prawnej.
68:  E-Szkoła promuje pięknych i bogatych oto portret uczniów z rocznika COVID-19.
73:  Jest to dobry artykuł w tym sensie, że naświetla problem, który mnie też często umykał, to znaczy bardzo łatwo jest mówić o pożytkach płynących z nauczania zdalnego, z internetu, z kursów sieciowych itd., itd.
86:  w sytuacji, w której dysponuje się high-endowym komputerem i wysokoprzepustowym internetem.
92:  Tak, wtedy wygodniej jest istotnie o tym mówić.
95:  O czym zapominamy jednak to to, że w Polsce przynajmniej kilkadziesiąt procent populacji niestety wciąż nie ma dostępu do tego rodzaju udogodnień i boryka się z wykluczeniem technologicznym i wykluczeniem cyfrowym, obok oczywiście wykluczenia ekonomicznego.
112:  I ten problem podejmuje artykuł w bardzo dobrym stopniu, natomiast to, co mnie zaniepokoiło w nim, to to,
120:  Co jest wskazywane jako problem?
122:  Bo nie jest wskazywane jako problem to, że uczniowie nie mają możliwości korzystania ze źródeł internetowych i przez to szkolnictwo jest uboższe, bo zauważmy, że pandemia nie byłaby potrzebna do tego, żeby odkryć coś takiego, nie?
134:  Znaczy to moglibyśmy mówić już w sytuacji całkowicie normalnej nauczania stacjonarnego, które powinno być wzbogacane o elementy cyfrowe na wszystkich możliwych etapach, ale nie.
145:  Tutaj mówimy o tym, co się dzieje tu i teraz, w trakcie pandemii.
150:  I zwróćmy uwagę na to, jak argumentacja się przedstawia, okej?
154:  Ogółem poziom wykształcenia roczników covidowych, czytamy, może być niższy i twierdzi tak 80% ankietowanych.
160:  Nauczyciele, z którymi rozmawialiśmy, przekonują, że znajdzie to odbicie w wynikach tegorocznego egzaminu uśmioklasisty.
167:  Widzicie już, dokąd zmierzamy?
168:  I widzicie już, gdzie leży problem?
171:  Problem leży w tym, że ważny jest egzamin.
176:  Nie jest ważne to, kto co umie, nie jest ważne to, o czym się pasjonuje, ważny jest egzamin.
181:  A więc ważna jest ewaluacja poziomu wykształcenia i procentu przyswojenia podstawy programowej.
190:  Kompletny absurd zaczyna się za moment.
194:  Mamy już za sobą prawie rok zdalnego nauczania, zdarza mi się porównywać ten stan do sytuacji wojennej, gdy dzieci wypadają z edukacji, mówi w rozmowie prof. Krzysztof Biedrzycki z Wydziału Polonistyki UJ.
206:  No muszę powiedzieć, że trzeba mieć tupet, żeby porównać sytuację pandemii, w której mamy internet i mamy środki elektroniczne i powinniśmy inwestować w to, żeby redukować właśnie wykluczenie technologiczne i cyfrowe teraz ze zdwojoną energią, skoro dysponujemy czymś, czym nie dysponowali ludzie, którzy musieli przetrwać wojnę.
233:  Staram sobie wyobrazić się, co by powiedział mój dziadek albo moja babcia, którzy przeżyli wojnę, na takie mędrkowate zdanie.
242:  I oni w trakcie tej wojny radzili sobie z edukacją i to bardzo dobrze.
246:  Potem musieli podjąć pracę.
248:  Ciężko było o tę pracę w powojennej Polsce.
252:  Cokolwiek ciężej niż obecnie.
254:  I to pokazuje właśnie, gdzie się podziały te nasze priorytety i o czym rozmawiamy.
263:  I wracamy do egzaminu.
264:  Wypadają źle, powrót uczniów do szkół nawet na chwilę mógłby poprawić sytuację.
269:  I tutaj zastanawiam się dlaczego.
271:  Dlaczego powrót uczniów do szkół mógłby poprawić sytuację?
275:  Cały czas w tym artykule wszyscy ankietowani, dyrektorzy, pedagogowie, nauczyciele powracają jak mantra do tego samego i powtarzają to, że wszystko zostanie rozwiązane w momencie powrotu do szkół i wszystkie problemy znikną.
291:  Ba, na sam koniec tekstu mamy taką infografikę.
295:  I teraz proponuję, żeby sobie wychylić kielicha za każdym razem, jak padnie odniesienie do egzaminu, albo do oceniania, albo do wartościowania i ewaluowania, we wszystkich pytaniach tutaj zadanych na infografice.
307:  Czy można na jakiej podstawie stwierdzić, że poziom wiedzy obecnych roczników będzie niższy od poprzednich?
314:  Słupeczki, niższy, wyższy.
316:  Czy powstanie większe rozwarstwienie między najlepszymi a najgorszymi uczniami?
320:  To jest akurat temat artykułu, więc tego nie zaliczamy jako punkcik.
324:  Czy powstanie, jakie to będzie miało przełożenie na wyniki egzaminów?
328:  Proszę bardzo, wracają.
329:  Czy powrót jeszcze raz uczniów ósmych klas do szkoły pomógłby w przygotowaniu do egzaminu?
335:  Jak Państwo oceniają poziom edukacyjny obecnych ósmoklasistów w porównaniu z poprzednimi rocznikami?
340:  Czyli znowu porównujemy wyniki, wykresiki kołowe, kolorowe, słupkowe z tymi, które były w zeszłym roku i sprawdzamy nie ludzi, tylko numerki i procenty.
350:  Następnie, czy powrót jeszcze teraz uczniów z klas maturalnych do szkoły pomógłby w przygotowaniu do egzaminu?
356:  4.
356:  Czy widać po nich skutki edukacyjne wydarzeń z ostatniego półtora roku, przerwy związane ze strajkiem plus przejście na naukę online?
364:  Tu nie zaliczałem punktu, bo nie ma wzmianki o egzaminach albo wartościowaniu czy ocenianiu.
368:  czy pogłębił się podział po edukacji online na tych, co radzą sobie zdecydowanie lepiej i na tych, co sobie radzą zdecydowanie gorzej.
375:  Prawda?
375:  Już mamy podział cudowny.
377:  Jeżeli były prowadzone u Państwa próbne egzaminy dla ósmych klas, to jak wypadłyby w porównaniu z zeszłym rokiem?
382:  Tu dwa punkty zaliczane, bo nie dość, że są egzaminy, to jest jeszcze zestawienie z zeszłym rokiem.
387:  gdzie było widać różnicę.
388:  Dalej.
389:  Jak państwo oceniają zmiany w oczekiwaniach na... no, no, na co, na co?
393:  Na egzaminy dla ósmej klasy, dziewiąty punkcik i jeszcze jak państwo oceniają zmiany w oczekiwaniach na egzaminie maturalnym.
400:  Znaczy ja nie wiem, czy trzeba tutaj jakiegokolwiek więcej komentarza, ale chyba...
405:  Dla wszystkich powinno być jasne, gdzie należy problem, tak?
408:  Znaczy problem należy w tym, że mówimy cały czas o egzaminach, mówimy cały czas o ocenach i uważamy, że w momencie, w którym ludzie wrócą do szkół, wszystko będzie w porządku.
419:  Gdzie ta logika przestaje mieć sens?
423:  No nie wiem jak wy, ale ja pamiętam, że swojej edukacji, jak to po tych siedmiu, sześciu różnie bywało godzinach, wracałem do domu z ciężkim tornistrem, popierdalając sobie i z tego ciężkiego tornistra potem wyjmowałem ciężkie podręczniki, zeszyty, ćwiczenia i smarowałem zadania domowe przez jakieś cztery godziny.
446:  I w zależności od tego, czy to była podstawówka, czy gimnazjum, czy liceum, bo ja jeszcze tym trójstopniowym trybem szedłem,
453:  to ten czas się proporcjonalnie wydłużał.
457:  Aż w końcu nie miałem czasu absolutnie na nic i paradoksalnie teraz, przy dwóch etatach i nauczaniu uniwersyteckim, robieniu różnych rzeczy hobbystycznie, znajduję wiele więcej czasu na odpoczynek, niż gdy znajdowałem, gdy nie miałem życia, rodziny, pracy, edukowania, sześciu tysięcy więcej hobby niż wtedy.
481:  Pamiętam jak dzisiaj, że jedyna rzecz, na którą miałem czas, to obejrzenie filmów telewizji, którą jeszcze wtedy miałem w domu o 20, dwie godzinki i już później padałem spać.
492:  I teraz powiedzcie mi, jak z tym obrazem zszywa się informacja o tym, że ludzie nie będą mieli kompetencji społecznych, że nie będą mieli możliwości zadzierzgania kontaktów z rówieśnikami, że wreszcie...
509:  Pozbawienie ich szkół sprawi, że nie będą się przygotowywać do egzaminów.
512:  Ale wait a minute, wait a minute.
515:  Jeżeli dostawaliśmy tyle zadań domowych, jeżeli 60% pracy, tak circa, na oko, było i tak wykonywane przez uczniów albo przez korepetytorów opłacanych przez rodziców, bo pamiętajmy, że te różnice ekonomiczne to nie pojawiły się w trakcie COVID-u, bo wcześniej też były podziały na uczniów, w których stać było na korepetycje i na uczniów, w których nie stać było na korepetycje, eee?
539:  to jeżeli zsumujemy sobie te wszystkie aktywności poboczne, o których sobie opowiadamy teraz, to naprawdę wyjdzie te 60%, myślę, że bez żadnych problemów.
549:  A co robi w takim razie szkoła przez te wszystkie lekcje, które są, prawda?
553:  No, szkoła przygotowuje do zrobienia zadań domowych i później do egzaminów.
559:  Więc jeżeli byśmy usunęli dwie rzeczy ze szkolnictwa, ocenianie i egzaminy, to w tym momencie szkoła jest po nic.
568:  I wiem, teraz skrzywdzę wszystkich nauczycieli, którzy robią to z pasji, ale hej, ja też nauczam z pasji, w związku z powyższym mi wolno.
