Mania tytułowania | Dla każdego coś przykrego #46
🔗 https://www.youtube.com/watch?v=4q8dHng_K0w

0:  Ludzie utytułowani dzielą się na dwie grupy.
2:  Tych, dla których rzeczony tytuł czy stanowisko jest po prostu kolejną pozycją w CV, czyli Curriculum Vitae.
11:  No i tych, dla których jest to jedyne osiągnięcie życiowe.
15:  No i teraz możemy sobie odpowiedzieć, moi drodzy, na dwa pytania w tym odcinku dla każdego coś przykrego.
20:  Ile osób z tej drugiej grupy spotkaliśmy w życiu w Polsce, a ile z tej pierwszej?
25:  No i drugie pytanie, dlaczego jest tak, że w szkolnictwie tak dużo ludzi musi podbijać sobie bębenek i ego napominaniem, ale, ale, ale, ale do mnie należy mówić, panie profesorze.
41:  Co jest o tyle oczywiście za pewne, jeżeli wychodzi z ust magistra.
45:  I to tylko dowodzi, że w Polsce mylnie, jak się uważa, wcale nie ma tylko systemu pruskiego edukacji, to znaczy wiecie, tego, w którym się szkoli przykładnego obywatela, tornister przy ławce, salut do nauczyciela i tak dalej, i tak dalej, dzwonki, 45 minut lekcji, wszyscy to znamy na pamięć.
63:  Ale jest też to system ruski, które jest świadectwo mianowicie wpływu Związku Socjalistycznych Republik Radzieckich na naszych ziemiach, który zaznaczył się chociażby w tradycji mówienia, panie kierowniku, panie inżynierze, do każdej napotkanej osoby, ponieważ właśnie ludzie uznawali, no że muszą zadbać o swoją klasę, ponieważ jakiejkolwiek innej klasy nie ma.
87:  Nie mieli.
87:  I na tym polega naczelny problem i myślę, że dzisiaj, kiedy jesteśmy w realiach usieciowionych, gdzie w sieci praktycznie każdy może grać dowolną rolę, wychodzi to ze zdwojoną jaskrowością.
100:  I trudno się dziwić, że coraz częściej pojawiają się różnego rodzaju wypowiedzi prasowe i artykuły naukowe dotyczące absurdalnej sytuacji, w której magister uczący w szkole średniej wymaga tego, żeby mówiono do niego prawdę.
113:  superprofesorze, tak?
114:  Jestem oburzony profesorowaniem w pierwszym liceum, mówi ojciec uczennicy, która opowiadała mu historię, jak to jeden z nauczycieli oczywiście upomniał koleżankę, tak?
123:  Zapukała do pokoju nauczycielskiego i poprosiła panią X, jak to pani X?
126:  Przecież to powinna być pani profesor.
128:  W moim odczucie, pisze słusznie ten rodzic, jest to obłuda, która osłabia prestiż nauczyciela.
133:  I to jest, zauważcie, bardzo ciekawa rzecz, którą, no, rzekłbym, znamy z dawien dawna.
139:  To znaczy, jeżeli ktoś musi przypominać o tym, kim jest wszędzie,
143:  to oznacza, że najwyraźniej sam nie wierzy w prestiż wykonywanego zawodu, co pięknie kiedyś ujął Tywin Lannister.
155:  I właśnie, jeżeli nauczyciel musi przypomnieć o tym, że jest nauczycielem, że jest profesorem, to osłabia automatycznie prestiż swojego zawodu i sprawia, że popatrujemy tak na tego człowieka i myślimy sobie OK, OK, jeżeli musisz o tym przypominać, to znaczy, że
170:  Nic i tego, co robisz, nie świadczy o tym, że robisz to tak dobrze jak profesor, bo gdybyś to tak robił, to prawdopodobnie ten szacunek ludzi miałbyś niezależnie od tego, jak oni by do ciebie mówili, bo myślę, że to jest kluczowa sprawa.
185:  I bardzo ładnie to ujął Mirosław Bańko, profesor, który długie, długie lata udzielał odpowiedzi w poradni językowej PWN-u.
194:  kiedy właśnie na pytanie jednego z czytelników, jak się zachować w sytuacji, w której w liceum są dziwne pretensje ze strony nauczycieli, że nie tytułuje się ich jak należy i tak dalej, i tak dalej, profesor Bańko odpowiedział rezolutnie następująco, że po pierwsze sam pamięta tę sytuację ze szkoły i w taki sposób nauczyciele walczyli o swój autorytet, nie zna natomiast okoliczności zdarzenia i tak dalej, i tak dalej, ogólnie rzecz biorąc należy zachowywać szacunek, powiada, co przejawia się w doborze odpowiednich tytułów,
222:  ale zdanie, rozmawiamy z panią Iksińską, wypowiedziane do nauczycielki o innej nauczycielce, nie jest w żadnym wypadku niegrzeczne.
228:  Dużo tu zależy od znaków niewerbalnych i sygnałów wszelakiego autoramentu, barwy głosu, modulacji gestu, mimiki zachowania, szerszego kontekstu i tak dalej, i tak dalej.
237:  I uprzejmość czy grzeczność w żadnym wypadku zatem nie zależy od tego, czy użyjemy tytułu konkretnego, co jest znaczące, ponieważ językoznawcy już wypowiadali się na ten temat właśnie w kontekście współcześnie kształtującej się polszczyzny
252:  także tej, która rozwija się w przestrzeni medialnej, zwłaszcza mediów społecznościowych.
257:  Na przykład w artykule językoznawczym Urszuli Chwesiuk na temat form adresatywnych w mediach społecznościowych czytamy o tzw.
264:  honoryfikatywach.
265:  I o co chodzi z honoryfikatywami?
267:  Mianowicie zwroty, które są honoryfikatywne, to takie, które historycznie są związane z oddawaniem komuś honorów.
275:  Według Zenona Klemensiewicza, czytamy w tym artykule, użycie zwrotu honoryfikatywnego np.
280:  pan na przestrzeni wieków występowało w wypowiedziach względem osoby przełożonej, właściciela ziemskiego albo innej osoby, do której nie wypada zwrócić się po imieniu.
289:  W dzisiejszych czasach jest to często wybór wynikający z zasad savoir-vivre'u.
293:  Honoryfikatywność bowiem jest zawartą w treści wypowiedzi informacją o towarzysko-społecznej relacji między nadawcą i odbiorcą.
300:  I tutaj się zaczynają schody, ponieważ zaczynamy mówić nie o języku, tylko zaczynamy mówić o pewnych normach społecznych i zauważcie, że te normy społeczne w żadnym wypadku nie są związane z tym,
310:  co wymagane jest w murach ośrodku dystrybucji prestiżu i pogardy, którym incydentalnie jest zarówno szkoła w Polsce, jak i uczelnia.
318:  Mianowicie tego rodzaju relacja, która nie jest relacją poziomą,
322:  automatycznie wymusza dwuklasowość.
325:  Z jednej strony jest ta klasa wyższa, która wymaga tytulatury i z drugiej strony jest klasa niższa, która musi tytułować.
331:  Nadawca wypowiedzi zwracając się do adresata staje przed wyborem nadania mu wyższej lub niższej rangi społecznej.
337:  Co jest istotne, zwłaszcza w sytuacji, gdy chcemy unowocześniać miejsca pracy i zaprowadzać zarządzanie turkusowe chociażby, które polega na wypłaszczaniu tych relacji pionowych
353:  Jakiś poganiacz niewolników znachają.
355:  Chlast, chlast po grzbie.
357:  Szybciej pracuj, dowóż te majstrony.
361:  Kamienie milowe, szybciej, szybciej.
363:  Budujemy piramidę.
364:  Dlaczego budujemy piramidę?
365:  Nieważne, szef tak mówi.
367:  Chlast.
367:  kańczugiem.
368:  Dokładnie to samo niestety może powiedzieć nauczyciel, który nie umie w żaden sposób nadać autorytetu swoim wypowiedziom, na przykład pokazując przyznanie się do błędu, pokazując źródła, z których korzysta, dekonspirując się, że czegoś też nie wie, co automatycznie budzi szacunek u odbiorców.
389:  Lepiej zdecydowanie jest dawać
391:  Oceny niedostateczne to jest kolejny asumpt do tego, żeby przypomnieć, że w polskim prawie oświatowym wymagane jest wystawienie tylko jednej oceny końcowej.
399:  W związku z powyższym, jeżeli ktokolwiek robi sprawdzianiki i teściki i wpisuje numerki i wyciąga z nich średnią, to przysparza sobie sam pracy, ponieważ nie musi tego robić.
408:  Jeśli mówi, że musi, ponieważ zmusza go do tego ministerstwo, to kłamie.
412:  A zatem wystawianie ocen, dyscyplinowanie, karanie bardzo często właśnie służy temu, żeby podbić te relacje pionowo, gdy tymczasem w szkolnictwie skandynawskim regułą jest, że do nauczycieli się zwraca po imieniu normalnie i te relacje automatycznie zostały wypłaszczone.
427:  To jest powód, dla którego w różnego rodzaju korporacjach
430:  zastosowana została reguła zwracania się po imieniu, tylko problem polega na tym, że na przykład, gdy taki empik próbował do klientów mówić po imieniu, to ludzie się burzyli, no właśnie z tego względu, że w polszczyźnie jest ta nieszczęsna tradycja honoryfikatywna, tak, o której mówił Klemensiewicz, że
446:  był ten zwrot Pani, myśmy się przyzwyczaili do tego panowania, do tego stopnia, że jak czytamy w różnych gramotkach literackich takie zwroty jak Mos Panie czy Wasz Mości, to nawet już nie słyszymy tego, że to właśnie dokładnie chodziło o relację honoryfikatywną, w której ktoś miał się ukorzyć przez kimś, kto był w wyższej hierarchii społecznej, najczęściej był też arystokratą.
469:  No i żeby było śmiesznie, jak czytamy dalej w tym artykule, mimo istnienia ogólnie obowiązujących zasad doboru adekwatnych do sytuacji adresata, form adresatywnych w wyniku zmian społecznych, ustrojowych, technologicznych itd.
482:  muszą one dostosować się do zmieniającej się rzeczywistości.
484:  Na przykład użytkownicy polszczyzny przez długi czas strunili od stosowania zwrotu grzecznościowego pan, co ciekawe, właśnie ze względu na to, że w przeszłości utożsamiany był jedynie z właścicielem ziemskim.
495:  Jest to udokumentowane w pierwszej próbie normatywizacji zwrotów adresatywnych autorstwa Juliusza Grossego i Kamilimierza Nietzscha, to językoznawcy, w której nawoływali oni do porzucenia użycia pan na rzecz bardziej demokratycznego zwrotu wy.
507:  Również wielka zmiana, jaką było zakończenie II wojny spowodowała, że w dążeniu do osiągnięcia równości między ludźmi nowe władze
515:  ZSRR sięgnęły po zyskujące wyższą aprobatę zwroty typu obywatele, tak?
521:  Wy obywatelu się mówiło wtedy.
524:  No i tutaj mamy odpowiedź, moi drodzy, na ten podstawowy kłopot.
527:  To znaczy są różne zaszłości historyczne w polszczyźnie,
530:  które sprawiają, że premiowano właśnie panowanie wszystkim, mówienie w tenżeż sposób.
536:  Ja też od razu zaznaczę, bardzo długo w kontaktach ze studentami straciłem od tego, żeby zrezygnować z tej formuły, ponieważ tak mnie też nauczono.
546:  I dopiero jak przetestowałem w małych grupach to, że po prostu wszyscy do siebie mówimy na ty, a w większych grupach ludzie mogą zwracać się do mnie tak, jak chcą, to nagle zobaczyłem, że taki mały gest symboliczny dużo zaczyna zmieniać.
559:  Po prostu ocieplają się relacje w najnormalniejszy i najzwyklejszy ludzki sposób.
564:  Dokładnie tak samo, jak ocieplają się w momencie, gdy przejdziecie na ty z kimkolwiek.
569:  Oczywiście, że można w zależności od swoich poglądów nadawać temu rangę symboliczno-towarzyską bla bla bla, ale pamiętajmy, że miejsce pracy czy miejsce nauki jest taką przestrzenią, w której musimy się nauczyć, jeżeli w ogóle gdzieś,
584:  tego jak redukować dystans między różnymi ludźmi, między różnymi grupami społecznymi, zwłaszcza, że ten dystans potrafi naprawdę bardzo przeszkadzać.
592:  Kiedy natomiast te tytuły mają sens?
595:  Otóż moi drodzy, nie wiem czy wiedzieliście, sam się zdziwiłem, mianowicie istnieje coś takiego jak profesor oświaty i to jest faktycznie tytuł, który jest nadawany profesorowi, tu macie, czy profesorowi, nauczycielowi uczącemu w szkole, który w ten sposób staje się właśnie profesorem, tylko w takich okolicznościach.
613:  W skali Polski w 2021 roku 25 nauczycieli jedynie zyskało przywilej bycia tytułowanym profesorami.
624:  25!
624:  Nie w jednej szkole, tylko w skali Polski, więc jest to tytuł honorowy,
630:  który ma być świadectwem długoletniej pracy na rzecz oświaty.
634:  Zwykle to jest nadawane ludziom z 30-letnim stażem dydaktycznym, który naprawdę już wypromowali mnóstwo osób.
640:  I to jest nasz sposób wyrażenia właśnie szacunku w autentycznym wydaniu, a nie w wymuszony sposób, tak, to jest w liceum, gdzie ho, ho, ho,
650:  Pani profesor, nie pani profesor, jaka pani profesor, tak?
654:  Nie dostała takiego tytułu.
656:  Oczywiście jest jeszcze druga ścieżka pozyskania takiegoż, to znaczy można nabyć już nie tytuł naukowy na razie, tylko stopień,
667:  akademicki w wyniku edukacji.
670:  Od razu tutaj krótka dygresja, mianowicie jest straszny bałagan w Polsce z tą tytulaturą.
677:  Jeżeli chodzi o stopnie naukowe, są dwa, to znaczy jest to doktor, czyli ktoś, kto dostaje stopień doktora, ponieważ zrobił doktorat
687:  I ten stopień doktora jest nadawany przez określone organy, no przede wszystkim jest to Rada Doskonałości Naukowej, która opiniuje uprawnienia uniwersyteckie, a ściślej mówiąc uprawnienia Rad Dyscyplin Naukowych, które to Rady Dyscyplin Naukowych w toku głosowania nad rozprawą doktorską nadają tytuł doktora.
