Szkoły łamią prawo?! TO NIEMOŻLIWE! 😱 | Dla każdego coś przykrego #43
🔗 https://www.youtube.com/watch?v=CEqkCMUCqnc

0:  Oczywiście, że w edukacji są różnego rodzaju problemy, ale to są wyjątki.
7:  Zawsze się znajdzie jakiś zły nauczyciel, ale przecież generalnie wszystko jest w porządku.
13:  Być może faktycznie mamy przeładowane przedmioty, jest ich za dużo, ale przynajmniej wszystko odbywa się w zgodzie z polskim prawem.
25:  Nie tylko prawem oświatowym, ale także konwencją o prawach człowieka.
31:  Nabrałem was, nabrałem was.
34:  Przecież lubimy takie debaty, które pięknie pokazują, że dwie strony mają rację, że to nie jest tak, że tylko rrrrrradykalna wizja się sprawdza w odniesieniu do szkolnictwa.
47:  I wcale nie jest również tak, że Stowarzyszenie Umarłych Statutów opublikowało jakieś 300 stron empirycznych dowodów na ten temat, opierając się na jednej z największych ankiet
57:  pośród uczniów szkół podstawowych i ponadpodstawowych dotyczących łamania praw ucznia, a ściślej mówiąc, bo przecież nie wszyscy uczniowie prawa ucznia muszą znać, łamania postanowień z szkolnych statutów, które już wiele razy nagłaśnialiśmy na łamach serii Dla Każdego Coś Przykrego jako totalnie absurdalne, postaram się wam podlinkować ostatni odcinek na ten temat, ale dziś, dziś moi drodzy o raporcie.
82:  a także o tym to będzie w drugiej części materiału, co możecie zrobić, żeby realnie pomóc w polskiej oćmiacie, znaczy przepraszam, oświacie.
90:  Mianowicie polskiej oświacie pomóc może nie debata, która będzie równoważyć wszystkie zdania,
98:  ale konkretne zgłaszanie patologii, bo to dzięki wszystkim wam, którzy zgłaszaliście Stowarzyszeniu Umarłych Statutów właśnie je, powstał ten raport i w ogóle możemy go teraz przeczytać, a wierzcie mi, może się zjeżyć włos na głowie, jak się w niego zaczynamy zagłębiać.
115:  I od razu przechodzimy do rzeczy, bo wiem, że tutaj po to jesteście, zwłaszcza, że nie każdy ma czas na to, żeby przebrnąć na własną rękę przez 300 stron naprawdę porządnej, przygotowanej publikacji naukowej.
127:  Dlaczego publikacji naukowej?
129:  Bo nie jest to tylko rzecz będąca raportem socjologicznym pod redakcją Łukasza Korzeniowskiego, czyli prezesa Stowarzyszenia Umarłych Statutów, ale jest to publikacja napisana przez cały poczet prawników, zresztą Łukasz Korzeniowski jest prawnikiem, edukatorów, pedagogów, praktyków edukacji, w tym także tych, którzy już gościli na łamach programu.
