Niedomag Iamnix tańczy ze smokami | ELDEN RING Livestream #6
🔗 https://www.youtube.com/watch?v=zjrL_EOuvTM

25:  KONIEC
77:  Dzięki za oglądanie!
137:  Dzięki za oglądanie!
188:  Dzięki za oglądanie!
225:  © PTA & TVP
355:  © PTA & TVP
477:  Witam.
479:  Witam najserdeczniej w ten niedzielny wieczór.
484:  Witam wszystkich na czatach zgromadzonych, ale w pierwszej kolejności pozwolicie, że podziękuję za pierwszy w historii kanału trybut...
493:  Przed streamem od Alicji Pilitowskiej w formie roześmianego liska.
498:  Dziękuję serdecznie Alicjo i tymczasem witam serdecznie Brandil.
503:  Dobry wieczór.
504:  Witam Arkanum, witam Samawita, witam Kamila, witam Red Angel.
508:  Kulkę purr!
510:  Purowego Jamnika, witam, witam, witam Stalowego Guźca, Sukofild, Mike, Aleksandrę Sabinę, Brendo, Wiktima Michaliny, Urbaniec, witam Palitkę, arcykolegę Martynę Łopuszyńską, Onufrego, witam Kubę Świątkowskiego, witam Łukasza Bartoszewicza i prawie już rymuję, przy tym witam Dominikę Jamnik, otwórczynię Klimczak, witam Banuji, ja, witam Matt Perssona, Pawła Madeje, Juliusza, Taraela, witam Asgrima, Jorkana, Mota Kume,
539:  Przyczytałem dobrze.
540:  Ha!
541:  Paweł Pasiałkę nie będzie także powitany.
543:  Ejdi!
544:  Alicję takoż witam.
545:  Cieszę się, że ratuję twoje zdrowie psychiczne.
548:  Alcuna witam.
549:  Mirowskiego prodigiozynę.
552:  Żabcie witam.
554:  Witam wszystkich przybywających tylko na streamy z Elden Ringa.
558:  Witam wszystkich, którzy pytają, kiedy będzie Red Dead Redemption 2.
561:  Wkrótce.
563:  To znaczy, jak skończymy Elden Ringa.
564:  Witam Rebecca Cloud.
565:  Witam Gerwanta z Rewi.
566:  Witam Złego Czarownika.
568:  Bartosza, Monke, Konrada, Bajsarowicza, Unfiela.
574:  Mene, mene!
575:  Także wszyscy bądźcie powitani, moi drodzy.
580:  Już wiemy, co się teraz zbliża.
582:  Zbliża się Elden Ring.
583:  I jeżeli się zbliża Elden Ring, to niech będzie.
585:  O, tak!
592:  O tak, niech będzie zadość epickiej muzyce z wspaniałej gry z otwartym światem, która nie urze, że jest grą z otwartym światem jak na przykład XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
618:  Resztki herbaty New York, która jest w moich zapasach tylko dlatego, że kupiłem jej idiotyczną ilość, zanim żeście mi jej nie wykupili w całości z Five for Clocka!
630:  Nie powinienem być ambasadorem tej marki.
634:  Nie mówcie mi, że jesteśmy w jakichś 40% gry, bo dostanę ataku rozpaczy.
643:  Maturzyści kończą rok szkolny 28 kwietnia, więc trzy tygodnie tylko zostały na szczęście.
647:  Bardzo dobrze.
648:  Wszystkim maturzystom życzę, żeby jak najszybciej uporali się z tym czymś.
657:  Witamy Julkę Opaczewską tak już.
660:  Silny ból brzucha?
661:  O, jamniki dla Julki wyślijcie, kochani trybutariusze.
665:  Jamniki, zostało to udowodnione naukowo.
669:  Pomagają na ból brzucha.
670:  Dlaczego to zostało udowodnione naukowo?
672:  Dlatego, że niektóre nauki, na przykład nauki socjologiczne, robią takie wykresy, wiecie, różnego rodzaju, które to wykresy pokazują, że na przykład statystycznie, no nie wiem, co drugi człowiek jest Chińczykiem.
683:  I dobrze wiadomo, dla każdego, kto nigdy nie miał udziału w żadnych badajach naukowych, że jeżeli jest gdzieś wykres, to to jest prawda.
692:  Nieważne jaka jest metodologia, nieważne kto prowadził te badania, nieważne jakie to są badania, na jakiej próbie, nie!
699:  Jest wykres, jest nauka!
703:  Zdajcie uwagę na jakiej próbie, bo my w tym momencie moglibyśmy zrobić badanie statystyczne, które będzie na większej próbie niż połowa badań socjologicznych robionych w Polsce.
712:  And I shit you not.
715:  What I wish.
721:  Często słucham, pisze Adam, jakie jest moje stanowisko w danej sprawie.
724:  Chciałbym Cię spytać o moje plany na przyszłość.
726:  Co chciałbym jeszcze osiągnąć i o czym marzę?
731:  Bardzo trudne pytanie.
732:  Chyba najbardziej o napisaniu książki, ale takiej wiecie, dla ludzi.
736:  O projektowaniu światów i gier.
738:  Chyba o tym marzę najbardziej.
740:  Bo jeżeli chodzi o wszystkie plany naukowe, to ja już dawno wszystkie swoje osiągnąłem.
744:  Tak mniej więcej jak miałem 29 lat.
747:  więc w tym aspekcie jestem całkowicie spełniony.
753:  Dobra, tutaj jest ewidentnie coś na końcu, to znaczy moim zdaniem wkroczyliśmy z tej strony, ale to jest moje zdanie.
761:  I tam coś jest.
763:  Dlaczego mi się nie podoba intro z Peacemaker'a?
765:  Bo jest żenujące.
768:  Opis Pierścienia Niebieskiego, czy był czytany?
769:  Był czytany sam, był.
774:  Ominęły mnie niestety dwa strumyki przy Rebecka.
776:  Ubolewa w zasadzie.
777:  Czy mamy zaklęcia grawitacyjne?
782:  To jest zaklęcie!
783:  Potężne zaklęcie grawitacyjne!
786:  A już wiem, dlaczego nie mamy w wyposażeniu miecza.
788:  Ponieważ musieliśmy ściągnąć miecz.
791:  Teraz będzie działało.
793:  To jest zaklęcie grawitacyjne!
795:  Specjalna dedykacja dla Rebeki.
800:  Kiedy buduję tu dom?
802:  Jak najszybciej, jak najchętniej, moi kochani.
804:  To jest piękny świat.
805:  W ogóle ta arena, którą widzicie, jest areną moich zmagań zeszłodniowych z potężną ważką.
813:  Dajcie spokój.
818:  Tynisu, zakręcia grawitacyjne, twu nowomowa, stara, dobra magia ziemi.
823:  O!
825:  Nasze runy.
828:  Nasze zero run.
830:  Wiedziałem, że tu coś jest.
833:  Nie, jeszcze mroźne zakręcia nieodblokowane.
