🔴 Niedomag Iamnix walczy z plugawym Baylem — ELDEN RING: SHADOW OF THE ERDTREE Livestream #3
🔗 https://www.youtube.com/watch?v=WT4s_CP4YXc

144:  © PTA & TVP
292:  Dzięki za oglądanie!
332:  KONIEC
373:  Muzyka Muzyka
419:  KONIEC
533:  Muzyka
619:  Witam wszystkich najserdeczniej.
621:  To trzeci dzień już naszego pobytu w Królestwie Cieni, gdzie żywot maga się odmieni.
628:  Przez niedobory manę się odmieni.
630:  Prawdopodobnie witam najserdeczniej, moi drodzy, sobotnią wieczorną porą wszystkich zgromadzonych.
636:  Dzisiaj będziemy eksplorować, dzisiaj będziemy błąkać się bez celu i grzęznąć na bagnach.
642:  Nie mogę się zdecydować jeszcze na który z tych wariantów
645:  będzie nam przyświecać podczas dzisiejszych naszych ekskursji, ale zobaczymy, na pewno mamy sporo do nadrobienia, ale tymczasem do nadrobienia są przede wszystkim, proszę bardzo, jakiś segue Jaku Lajnusa Tech Tips, powitania, witam najserdeczniej Jakuba Dodowiaka, Grim, Lukasa, Mijoku, Nadymiana, Kajma, Pademi, Ferneza, Knur, Maciek, Dytfa, Ebon, Traszpanda, niech będą również powitani jako i PP1990, Memori,
667:  Melemuj, Manatur, Rutak, Jakub Wdowiak, Borowiczek, Pademifeles, Tare Neval, Mateusz Rudka, Szelmutka, Krystian, Dominika, Miel, Carek, Onufry, Magda, M1, Brendo, Małgorzata, Piłat, Vegari, Gajus, Flavius, Valerius, Konstantinus, Tomaszu, Omaszu, Iii, Płonąca Lilia, Faciek, Jacky Left, Biedroneczki, Somw, Kropeczki,
690:  i Muminak Ania1603, wysoce zaawansowana technicznie japońska toaleta, Krystian Vegary Brontos i Muminak Arkadiusz Cybulak, Lorelin Polpuliko, Ketrin Uzumaki, Krzysiek Oskwarek,
705:  Dominika Mielcarek, Jas Jeszcze, Sucha Woda do Rozpuszczania w Proszku, Najlepszy Sposób na Spożytkowanie Suchej Wody, Michał Nojwa, Remi Tern, Maateuszm, Jurameo49, Irena Knurmaciek, Karolina G, Fajerro, James Wade, Niestatystyczna, Jormungandr, Ulkiorra, Kacper Ozga, Piotr Kaczarny, Kielich Sleepy Deer,
738:  Arti Niezłomny, Ania Szymańska, Jaskrawy, Aredel, Piotr Rado i Tomasz Gimenez-Lisowski, Marian.
751:  Wszyscy stali i niestali widzowie kanału, wszyscy grający w Elden Ringa, wszyscy unikający spoilerów, wszyscy pokonujący bossów, wszyscy pokonujący bossów bez salmonów, wszyscy pokonujący bossów z salmonami,
765:  Philips bez schematu, którego tutaj nie ma, ale i tak go pozdrowimy!
769:  Cordi, Emil, TV, Karnak, Hal, Wojtek W, Dominika, Frienzyl, Onufry, FoodEmperor, którego też tutaj nie ma, ale którego udaje!
781:  Dzień dobry, moi drodzy.
783:  Dzisiaj, jak słychać, będę bardzo oszczędzał głos, ponieważ to już nie tylko trzeci dzień Elderingowania, ale także trzeci dzień gigantycznego przeziębienia, skutkiem którego brzmię tak, jak brzmię, czyli prawdopodobnie bardzo nosowa, a ściśle mówiąc, bardziej nosowo niż zazwyczaj.
799:  Rzeknąwszy to wszystko, wracamy do gierkowania.
803:  Nic nie farmiłem, ponieważ zaczął się sezon sesji.
806:  Trzeba było wymyślić, dzisiaj był taki dzień wymyślania pytań, moi drodzy, na egzaminy.
812:  Nie zaspoiluję wam, jakie pytania.
813:  Swoją drogą spaliłem sobie najlepsze pytania, jakie wymyśliłem dotychczas, powiedziawszy wam o nim, więc fajnie.
820:  Angelikę jeszcze witamy, Urbana i Harasland, i Wenzanta, i Jakubów obydwu.
826:  No, więc dzisiaj był dzień wymyślania pytań na egzaminy, bo egzaminy się zaczynają na AGH-u, przynajmniej u mnie, od najbliższego poniedziałku.
833:  No i ponadto, a jutro z kolei będzie dzień pisania opinii promotorskich.
837:  Więc ciężka sprawa.
838:  Wiecie, co ja odkryłem za to?
841:  Nie byliśmy tutaj.
844:  I zobaczyłem to na mapie dosłownie wtedy, jak sobie uświadomiłem, że jest tutaj.
847:  My się znaleźliśmy przy Szopie Artysty dlatego, że tu jest to wyjście, którym dostaliśmy się na Ziemię Pomiędzy.
854:  Natomiast ja z jakiegoś względu od razu pomknąłem tam, zamiast pójść tutaj.
857:  Więc trzeba to natychmiast nadrobić.
859:  I to też uczynimy.
860:  Arkadiusz Cybulak, dziękuję za trybut.
862:  Chwilę temu skończyłem DSy, Trójeczkę i tym samym Trylogię.
864:  Jak wrażenia?
865:  Powiedz mi, dziękuję ci za wsparcie kanału w międzyczasie.
869:  Czemu nie ma dźwięku z gry?
871:  Teraz już będziecie mieć dźwięk z gry.
872:  Dziękuję za informację.
875:  Jak samo poczucie?
876:  No średnio powiedziałbym.
877:  Nie lubię mieć zetkanego nosa.
879:  Czy wrzucimy jeszcze do Hollow Knight?
880:  Wszystko jest wstrzymane na okres premiera Elden Ringa.
884:  Cordi pisze, że wrzucił charytatywną licytację, gdzie niepraktyczny kartograf stawił dwumetrową mapę świata Warhammera w komentarzach do streamów.
892:  Wiecie co?
892:  To jak charytatywna sprawa i to jeszcze zaprzyjaźnionego z kanałem niepraktycznego kartografa, to polecam to waszej uwadze.
901:  Za istę Cordi wrzucił.
904:  Na drużynie Wiewióry, czyli ogólnopolskiej grupie RPGów, gdzie akcje są charytatywne z licytacjami, można wylicytować potężną mapę świata Warhammera od niepraktycznego kartografa, moi drodzy.
916:  Jest to tutaj informacja.
917:  W komentarzach do filmów Holistycznej Agencji Skapistycznej link jak zawsze jest.
921:  W opisie.
922:  Zgadliście.
923:  Może nawet kliknę w tę grupę, co tam.
925:  Zawsze się boję wejść na fejsa, ponieważ wiecie, wtedy mnóstwo ludzi może się pojawić i ja nie chcę ich zdoksować na streamie.
932:  Proszę bardzo.
933:  Drużyna Wiewióry.
934:  Nie jestem w tej drużynie, ale niebagatelna mapa jest do wylicytowania, moi drodzy.
939:  Nowa i praktyczna mapa naszego świata.
942:  Więc warto.
945:  Warto.
947:  Nie ma już wyjścia z toniu z reklamami, niestety nas miała, strasznie za to przepraszam, ale YouTube uniemożliwia to bardzo skutecznie, także w ten sposób, że przestał pokazywać streamy z wyłączonymi reklamami w ogóle, więc odkryłem właśnie, dlaczego część osób mówiła, że się nie pokazywały, no to właśnie dlatego.
966:  Tak jest oto sposób zmuszenia twórców do tego, żeby YouTube zarabiał, bo twórcy na tym nie zarabiają, to YouTube na tym zarabia.
971:  Szkoda, że nie czterdziestki.
972:  Jak wy sobie wyobrażacie mapę czterdziestki?
974:  Bo ja nie wiem.
975:  Jedyne, co ja mogę zrobić, to kontrolować w tym momencie frekwencje rzeczonych cholernych reklam.
981:  Co mogę uczynić?
984:  Gdzie my zdążamy?
986:  Gdzie my jesteśmy i dokąd zmierzamy?
989:  Tu jest las.
990:  Zwiedźmy ten las.
993:  Borowiczek, dzięki za wsparcie od 21 miesięcy.
995:  Poproszę o jamniki na wtorkowy egzamin z anatomii.
998:  Otrzymujesz je i otrzymujesz również życzenia powodzenia.
1004:  Proszę o wiele jamników dla Borowiczka.
1009:  Więc moi drodzy, ja mogę polecieć po prostu od bloka, bo ja, jak wiecie, jestem przeciwny reklamom.
1015:  Ja z reklam ten kanał się nie utrzymuje.
1018:  Więc wrzućcie sobie od bloka.
1020:  Najprostsza rzecz, jaką można zrobić.
1021:  Dobrze, tutaj nic nie ma.
1023:  Swoją drogą, był taki jeden zarzut, gdzieś mi mignął on.
1026:  Angelika, dziękuję Ci za odnowienie wsparcia.
1029:  Masz jamniki z powrotem.
1030:  Był taki jeden zarzut wobec dodatku.
1032:  Ja jeszcze tego nie zauważyłem, że jest pusty.
1035:  Odnosicie takie wrażenie, że jest pusty?
1040:  Co to było?
1041:  Słyszeliście ten dźwięk?
1045:  Potężny wróg?
1046:  Jaki wróg?
1047:  Nie ma tu żadnego wroga.
1049:  Więc nie wiem, czy odnosicie takie wrażenie.
1051:  Grzegorz pisze tak, niestety.
1055:  Kiszak też tak mówił, mówicie?
1056:  Kiszak jest o wiele dalej ode mnie, z oczywistych względów.
1060:  Tutaj nas nie było na pewno.
1062:  Na mapie jest to zaznaczone, popatrzcie, tutaj też jest coś zaznaczone na mapie, tutaj też nas nie było.
1066:  Więc myśmy przeszli tędy, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, ale nie szliśmy tą górną drogą.
1076:  No właśnie, chodzą mi o kun takie słuchy.
1078:  Ja na razie się nie wypowiadam, bo nie grałem w całość.
1081:  No to co ja mam mówić, czy jest pusty dodatek, czy nie?
1083:  Jak dla mnie content jest.
1084:  O, popatrzcie, tam coś łyska.
1086:  Łyska tam coś.
1087:  O, proszę bardzo.
