🔴 WIEDŹMIN (SEZON 3) — odcinek 1-2 | Recenzja ze spojlerami #1
🔗 https://www.youtube.com/watch?v=ZaSTOY_r21E

12:  Dziękuje za oglądanie.
197:  Spotykamy się tu dzisiaj ponownie w ważnej sprawie.
208:  W takiej sprawie, jak się spotkaliśmy przy F***ings of Power w sprawie fantasy i jej niegodnej reprezentacji.
220:  Ale zanim, moi drodzy,
223:  Pozwolicie, że oddamy głos mistrzom.
226:  Witam oczywiście wszystkich widzów, wszystkich przybyłych tutaj w Poważnej Sprawie Obronie Fantastyki.
231:  Mianowicie stwierdziłem, że zanim w ogóle zabierzemy się za omawianie dwóch pierwszych odcinków Wiedźmina Netflixowego sezonu trzeciego, oddamy głos absolutnej, niekwestionowanej mistrzyni.
245:  Mianowicie oddamy głos Lauren Schmidt-Hissrich, którą od dzisiaj i od zawsze będziemy nazywać Fistech.
254:  Trzeci sezon Wiedźmina ma być wierniejszy książkom.
257:  Czytamy w artykule.
260:  Lorenz Schmidt-Hissrich, którą będziemy nazwać Fistech, w najnowszym wywiadzie dla Collidera ponownie przyznała, że trzeci sezon Wiedźmina będzie wierniejszy książkom.
270:  Deklaracje te padły po raz pierwszy już kilka miesięcy temu, ale fani byli sceptycznie do nich nastawieni.
276:  Oczywiście wiemy, że fani nie mają racji.
280:  Teraz showrunnerka powtórzyła swoją obietnicę, przyznając, że czas pogardy był... ŁATWIEJSZĄ KSIĄŻKĄ DO ADAPTACJI!
291:  ŁATWIEJSZĄ!
295:  Ja myślę, że Lauren Schmidt History zasługuje na to, żeby czytać ją głosem Piotra Pokraśko.
303:  Trzeci sezon, zwłaszcza zaraz po drugim, jest znacznie bardziej bezpośrednią adaptacją.
308:  Ponownie tylko z podstawowej perspektywy scenariusza ta książka jest łatwa do adaptacji i tak naprawdę jest.
314:  Można ją podzielić na duże wydarzenia, jak wiele innych fabuł.
318:  Prawda jest taka, że oczywiście zawsze zaczynamy od książek, ale w wywiadach dużo razy powtarzam, że nie da się bezpośrednio przenieść kartki z książki na ekran.
328:  Generalnie przeniesienie kartki na ekran nie jest proste, ale myślę, że tutaj chodziło raczej o słowa w książkach, niemniej kontynuujmy.
337:  I myślę, że tak długo jak to robimy, dopóki staramy się angażować w tę historię w sposób, w jaki o niej chciał odpowiedzieć.
344:  Co tak naprawdę polega na zjednoczeniu rodziny, wtedy czuję, że jesteśmy na bezpieczniejszym terytorium.
354:  Wiedzieliśmy, że chcemy coś zrobić w tym sezonie, nie mówię coś, więc wykorzystaliśmy drugi sezon, nawet gdy zmieniliśmy historię, aby przygotować wszystkie rzeczy, o których wiedzieliśmy, że chcemy je teraz pokazać.
365:  Uważam, że dla mnie będzie wystarczająco ekscytujący i będzie zawierał wystarczająco dużo romansu, rodziny i serca.
376:  Ja myślę, moi drodzy, że...
396:  że to jest dobry wstęp, tak generalnie rzecz ujmując, ten wstęp uświadamia nam rzeczy.
407:  I jest ono tyle ważne, że jak zobaczycie sobie na Netflixa, będziecie na przykład chcieli odpalić Wiedźmina, pamiętajcie te słowa Loren Schmidt-Histrich o tym, że widzowie będą podekscytowani.
417:  Mianowicie jak wlazłem na swojego Netflixa i stwierdziłem, no zobaczę na głównej stronie pewnie,
425:  No, no będzie tutaj taka, wiecie, top 10 seriali w Polsce.
432:  Otóż Puszka Pandory, Czarne Lustro, Matka do Wzięcia, Glamorous, Outlander, Fałszywy Profil, Delete, Dorwać Mordercę, Jeszcze Nigdy oraz Titans.
448:  Myślę, że to jest dostateczny komentarz dla wszystkich tych, którzy by mówili, że nie można tak mówić, że fani nie mają racji, że dobrze wie Tomasz Bagiński, producenci Wiedźmina i Loren Schmidt-Histrich, którą będziemy nazwać Fizdę, jak sprzedawać content, jak sprzedawać Wiedźmina.
466:  Otóż także w kraju...
467:  w którym narodził się Wiedźmin Andrzeja Sapkowskiego, a przypominam, to jest ta książka, którą tak łatwo było zaadaptować, nie jest wyświetlany nawet na dziesiątej pozycji wśród topowych seriali, więc może zamknijmy od razu tę dyskusję dotyczącą tego, bo ja już widzę te nagłówki, że to się ma sprzedać.
484:  Otóż to się ewidentnie nie ma sprzedać.
487:  Wiedźmin jest po prostu na miejscu zerowym, ewidentnie.
490:  Z oburzeniem, moi drodzy, zacząłem ten live, zwłaszcza że, a w zasadzie recenzję live, zwłaszcza że Andrzej Sapkowski jest bliski memu sercu.
497:  I od razu muszę wam wyznać jedną rzecz.
499:  Obejrzałem wszystkie pięć odcinków, będziemy sobie teraz omawiali dwa i później kolejne, oczywiście zaraz też będę wyczytywał wasze komentarze z czatów, ale już teraz zaznaczę, że jeżeli wy myślicie, że to jest ekranizacja Czasu Pogardy, to informuję, że nie.
513:  To jest ekranizacja z pogardą Czasu Pogardy, bowiem są tutaj wątki z przynajmniej Krwi Elfów,
521:  Z Chrztu Ognia i z Czasu Pogardy są wymiksowane w taki sposób, że ja z moją pamięcią, a czytałem Wiedźmina w latach 90-tych, 2000-tych, ja nie wiem absolutnie nic, co się wydarzyło przez te pięć odcinków.
534:  W związku z powyższym musicie mi pomagać.
537:  Nie, nie obejrzałem dwóch, tylko na razie obejrzałem wszystkie pięć.
540:  Nie wiem...
540:  Absolutnie nic z tego, co się wydarzyło.
543:  Najzabawniejsze jest to, że ludzie mówią, że piąty odcinek jest najlepszy.
547:  Jest to tak zwana Tischnerowska trzecia prawda.
550:  Czyli wiecie, jest prawda, jest tysprawda, jest gównoprawda.
553:  I to jest ta trzecia Tischnerowska prawda.
555:  Więc ci z was, którzy nie widzieliście Wiedźmina w całości, przestrzegam, poczekajcie do 27 lipca.
562:  Wtedy będzie całość i obejrzyjcie sobie wtedy to...
566:  W taki sposób, żeby można było na przykład przewijać wątki, które mnie śmiertelnie nużyły.
570:  Sawa Sky, dziękuję za trybut.
571:  Henry upada pod ciężarem Netflixa po raz trzeci.
574:  Tak właśnie jest.
575:  Nie dziwię się, moi drodzy, absolutnie.
576:  Krótko mówiąc, obejrzałem już te pięć odcinków, że Henry Cavill zrezygnował.
580:  Wszystkich dołączających do grona trybutariuszy zbiorczowitym bardzo dziękuję.
584:  Niri, mi też dziękuję Ci za trybut serdecznie i sprawdzam, sprawdzam, moi drodzy, czy są jeszcze jakieś rzeczy dotyczące samego Wiedźmina, bo będziemy się starali, ażeby tematycznie to było utrzymane, żeby później się rzecz przydała wszystkim, którzy będą chcieli zapoznać się z opinią Moe na ten temat.
602:  A zatem jako fan Wiedźmina od razu mogę powiedzieć to, co wszyscy przewidywali i to, co ja również przewidziałem, zrobiwszy tę miniaturkę jakiś tydzień temu, mianowicie Wiedźmin od Netflixa jest awful,
613:  Nie jest w nim nic dobrego, nie przypomina ani Wiedźmina Growego, ani nie przypomina tego Wiedźmina książkowego.
