🔴 Ucieczka z Aquantanamo | GENSHIN IMPACT Livestream #9
🔗 https://www.youtube.com/watch?v=NDXLEV8Fe7s

12:  muzyka muzyka muzyka
51:  Muzyka
94:  Muzyka Muzyka
115:  Zdjęcia i montaż
158:  Muzyka
181:  Zdjęcia i montaż
233:  Muzyka
258:  Wszystkich najserdeczniej, moi drodzy.
260:  Mały falstart, ale co tam, z jamnikiem przynajmniej było.
264:  Zdekoncentrował mnie pikający telefon.
266:  Witajcie najserdeczniej, moi drodzy, w ten gęśinowy wieczór piątkowy.
272:  Prawda, że przepiękna muzyka.
273:  Witam Timmerys, Kinyo, Dalia, Mateusz Karpowicz, istota żyjąca na buchodnozor, wzdłużony szwagier, Vet Elise.
280:  Kuba Szymczak, Palitkeusz, Wojtek Pszczelarz, Grim Lukas, Danuta Trzaskowska, Istota Żyjąca, Szwagier, Justyna Neko, Impuls, Kalarus, Daneng, Daneng, jeżeli dobrze czytam, My Beloved, Ketrin Uzumaki,
295:  Szaweł Niewi, Frogett67, Parmedziano Reggiano, Marta Ewa, Matka Czterechlitku, Lucyfer, Longinex12, Szwagier był wyczytany, Ewulina Hirozatonie, Serenox, Witaj serdecznie, Muzek, Wiktor Wintel, Mateusz Karpowicz, Niestatystyczna, Wiridian102, Daniel C., Karolitka, Szwagier.
315:  Nadia Lewica, reszta naszych wspaniałych moderatorów, Szymon Nalewajko, Megvio, Wojtku Pszczelarzu, dziękuję za wsparcie od 13 miesięcy, wnioskuję o wincy i twierdzy, spokojnie, zbliżają się streamy wośpowe, wtedy robimy takie rzeczy, Temerair, Lawrence, Lonely Sonny, miły pan, Oskar Draus, dziękuję za 25 miesięcy wsparcia.
336:  Tu się przywitam, Kalispera, Susie Diamond, miły pan Niluzjon oraz potwór z podłóżka Nabuchodonozor wzdłużony, Avatar XS, Bodzio PB, Dalia i Kinio.
350:  Witajcie najserdeczniej moi drodzy, wiem gdzie były się dziwne rzeczy ostatnio na kanale, między innymi mieliśmy recenzję chłopów.
357:  Nie widzieliście...
358:  Przyznałem się, że dobra rzecz, dobra animacja, dobra muzyka, więc jak lubicie dobrą animację i dobrą muzykę, lubicie, bo oglądacie live z Genshin'a i nie widzieliście chłopów, to warto.
370:  Druga rzecz, były też podcasty z dwiema lewymi rękami i z Przemkiem Górczykiem nagrane w tym tygodniu.
376:  Dużo się działo, więc trzeba wreszcie poodpoczywać i pograć.
380:  Miraski, dzięki za wsparcie od 13 miesięcy, to już ponad rok jest.
383:  Cześć Krzysztof, cześć czaty.
384:  Przekazuję cześć Miraskiego dalej, moi drodzy.
387:  Ad astra, aby soskwe, pisze Santiago Lago.
390:  Haha, tak, tak, moi drodzy.
393:  W tak zwanym międzyczasie, szybkie wprowadzenie w to, co się, moi drodzy, dzieje w Gęślinach.
398:  To znaczy udało mi się, może ściszę muzykę gęślinową i włączę muzykę gęślinową.
404:  Więc szybki update jest taki, że udało się prawie już, prawie już, wylewelować Furinę.
410:  Mówiąc prawie mam na myśli to, że niestety wciąż nie mam jej talentów maksymalnych.
416:  To jest bardzo zasmucające, ponieważ nie odkryłem tego bossa i docencie ten fakt, zostawiam sobie do czasu odkrycia przez nas rzeczonego bossa, All-Devouring Narval.
427:  Chcielibyśmy z Narvańcem walczyć, moi drodzy, w tym czasie.
431:  Natomiast udało się mniej więcej już jakieś sensowne artefakty dla niej wydrobić.
436:  Na tyle sensowne,
438:  że dają jakiś tam boost.
441:  Jakiś jest boost, moi drodzy.
444:  Więc oczywiście może być lepiej, ponieważ Furina to powinna mieć, nie wiem, 80 tysięcy HP z uwagi na boosty, które daje, no ale cóż.
452:  Druga zastanawiająca rzecz jest taka, że odgrzebałem z pomroków dziejów Jhin.
459:  Nie mam pojęcia, jak to się udało, ale udało się również ją wylewelować tak, żeby nas leczyła.
464:  Jamnikowy piechurze dzięki za wsparcie od 25 miesięcy.
467:  Krzysztof, kiedy habilitacja?
468:  W swoim czasie.
469:  A wizard is never late.
471:  He always arrives on time.
475:  Obraz Krzysztofa staje się coraz ostrzejszy.
477:  Niedługo zobaczymy żyletkę w słuchawkach, pisze Nadia Lewi.
479:  Cieszy mnie to bardzo.
480:  Jest, moi drodzy, jeszcze druga kamera, ale nie będę spoilował.
483:  Czekam na obiektyw i wtedy zobaczycie pełen efekt.
486:  Krótko mówiąc, założenie jest takie, że jak będę patrzył teraz na was i czytał czaty, to będzie obraz z kamery, to ja bym patrzył wam prosto w oczy.
493:  W związku z powyższym będzie fajniejsza interakcja, mam nadzieję.
496:  Ketrin Uzumaki pisze, że wypełnia wypowiedzenie umowy o naukę z toksycznej uczelni.
499:  W przyszłym roku będę startować do kolegium da Vinci.
501:  Proszę, jamniki wsparcia, bo czeka mnie dopełnienie portfolio.
504:  Moi drodzy, wszystkiego najjamniczniejszego dla Ketrin Uzumaki.
507:  Mam nadzieję, że się uda wszystko.
510:  Jestem rozczarowana.
510:  Wish Disneya.
511:  Tell don't show, pisze Magda M1.
513:  Ja nawet nie wiem, o czym mówisz.
515:  Prawdopodobnie jest to jakaś nowa znowu rzecz, której ja nie znam.
