🔴 Bufonada, fanfaronada i arlekinada | GENSHIN IMPACT Livestream #15
🔗 https://www.youtube.com/watch?v=oGc7Qu2zgxo

89:  KONIEC
132:  Muzyka
177:  Muzyka
221:  Dzień dobry.
284:  Witam wszystkich zgromadzonych, by śledzić losy Arlechino, nowej postaci i by odkrywać regiony do wtóru wspaniałego śpiewu Signory, która nigdy, ale to nigdy nie zostanie zdetronizowana.
299:  Witam wszystkich najserdeczniej.
302:  Jamnik spadaczku, tak.
304:  Krzysztof S. Bądzior, Noczerwony Lis, Karolina Jurewicz, Michał Pęksa.
308:  Bądźcie powitani, Jerzy Serlenwaldu, Kaja Balrog, Grzegorz Sikora, Różowy Mak, Fox Igwen, Marcin Kowalski, Sara Gawrońska, Niedalis, Erenoks, Małgorzata Piłat, Anowel Figboj, Bądzior, Radar Wbigos, Padryk Jarecki, Todig Webad i Metal Son Destiny, Adam Morkowski.
324:  Witajcie najserdeczniej.
330:  Nie przyjmuje do świadomości i do wiadomości śmierci seniory.
334:  Nie ma takiej możliwości.
335:  Nowak, Aśków, witam serdecznie naszych moderatorów.
337:  Mintaj, Szeptucha, Kejn, Skarpety, Szatana, Wirra, Miłek, Zdziku, Łukasz G., Narufę, Marta, FPK, 044, Janci, Kazia Kazanowska, Jost Whiteley, Santiago Lago.
358:  Jukian, Wenzant, Grzegorz i wszyscy przybyli.
362:  Moi drodzy, będziemy odkrywać.
365:  Dzisiaj, to powiedziawszy, mogę radośnie powyłączać nasze świeczuchy, ponieważ nie będą już konieczne.
372:  Oszczędzanie prądu.
376:  Lecimy.
380:  Dobrze, mamy to moi drodzy.
383:  Genshinowanie czas zacząć.
384:  Dawno nie było Genshin Simpact, co by to nie mówić.
388:  Mam nadzieję, że się dobrze macie.
391:  Radosne Fonteyn nas wita.
393:  Miałem robić sam, ale stwierdziłem, że czemu by nie odpalić stream.
396:  Jak oceniam gameplay Arlecki?
397:  No, słabo.
399:  Widzicie, dobre wiadomości na początek.
