Na ratunek Ciri wszyscy się rzucili — WITCHER 3 Livestream #25
🔗 https://www.youtube.com/watch?v=agVyy0IDZ2I

3:  Ostatni raz.
5:  Prawdopodobnie, a może nie, a może nie?
8:  Słyszymy tę piękną kołysankę.
11:  Zaczynamy, zaczynamy główny wątek.
14:  Wreszcie!
15:  Kończyć!
16:  To są właśnie streamy Krzysztofa.
18:  25 części, a my dopiero zaczynamy kończyć.
22:  Witajcie wszyscy najserdeczniej.
24:  Nie wiem, ile potrwa ten finał, ale wiem, że będzie epicki.
27:  Wszystko ukończyliśmy, co mogliśmy i został
31:  został właśnie Kermoren, i została Ciri, i została Uma, witam wszystkich serdecznie, witam Klarę, witam Palitkę, witam Roberta, Tobiacon, witam Zgredka, Aleksandrę, Bartka, Aśku, Samawita, Red Angel, Jadwigę, Nemora, Prometa, Roberta, Kozi, Bartka, Mateusza, Olgę, Erin, Red Angel, Kamila, Elgion,
53:  Marceje, Prometa, Jako.
56:  Całą resztę witam stałych widzów streamu, witam Kupsona.
60:  Pan Karmazyn mi przemknął takoż.
62:  Ilona mi przemknęła również.
64:  Szoker.
66:  Witam Simona, Marmurencję i moi drodzy, witam każdego, który się tutaj zabłąkał, nie wiedząc, co to za strona internetu.
74:  Witam wszystkich, którzy nas będą słuchać podczas zapisu streamu.
78:  Witam wszystkich tych, którzy wyłączą się po chwili, zobaczywszy najbardziej przerażającą liczbę zaklęć Igni, jamników na czatach i innych dziwac, z których zaczęły słynąć powoli nasze streamy.
91:  Witamy też Dziabowskich, witamy
95:  Dominikę Klimczak, która zaprojektowała rzeczone wszystkie jamnicze emoji.
101:  Wszystkie.
103:  Każdą jedną.
106:  I witamy też zacne grono moderatorskie.
109:  Moi drodzy, without further ado, jak mawiają anglosasi, pora nie tylko zajamniczyć czatę, ale pora wreszcie wczytać grę.
122:  To był Avalach?!
124:  To był Avalach? !
153:  Nie wierzę.
155:  Gdzie my w ogóle jesteśmy?
157:  Gdzie my... Co się dzieje?
160:  Co się dzieje?
161:  Zobaczymy.
162:  Moi drodzy, kibicujcie, kibicujcie, żebym lamił dzisiaj epicko, to wtedy to nie będzie ostatni odcinek Wiedźmiński.
168:  Zobaczymy.
169:  Ale jutro, jutro się będą działy straszne rzeczy, więc ci z was, którzy mają krwiożercze zapatrywania na moje męki biedne, mogą jutro dla jego bolesnej męki
184:  przybyć na stream i zobaczyć, jak Krzysztof radzi sobie w Dark Souls z dokładnie takim samym buildem, jak w Wiedźminie.
193:  Kto by... Kto by przypuszczał, że tu będą Endriagi?
197:  Kto by przypuszczał, że tu będą Endriagi?
199:  Nie ja.
207:  Dlaczego Endriagi nie chcą płonąć?
213:  Płonie!
215:  Niech będzie podpalony!
219:  Tak!
224:  Witamy żółwika też, księdza krokodyla, Alkun.
228:  Szykuje się iście ogniście.
229:  Piekielna pizza z trzema papryczkami na jeden centymetrów, pisze Miłosz.
234:  Jedno piwo, złoty Feniks, ledwo gasi.
236:  Arcymag Gerwand w rękach Arcymaga Krzysztofa.
238:  Wieki wieków, na wieki wieków spaczeń.
242:  I Ikit, Ikit kibicuje nowej leksyce!
247:  Dobrze, nie będziemy już walczyć z tą ostatnią Endriagą.
250:  Zniszczymy tylko białe zające, ponieważ możemy.
254:  Skalowanie poziomu w tej grze nie przestanie mnie zadziwiać.
256:  Oto nieśmiertelny zając, który płonie, wszelako nie chce zginąć.
263:  Niesamowite.
266:  Witamy Barczyńskiego.
267:  Paulinę witamy też.
271:  Przybyliście w pełnej reprezentacji, moi drodzy.
274:  Mam nadzieję, że tydzień dobrze mija.
277:  Równocześnie wiemy, że wszystko mija, nawet najdłuższa żmija za Stanisławem Jerzym Lecem, więc nawet jeśli było źle, mam nadzieję, że teraz jest dobrze.
287:  Co ja robię?
287:  Przecież nawet nie sprawdziłem, gdzie jest quest, który nas interesuje.
290:  Towarzysze broni Skellige.
292:  Wpierw rozmawiamy z Myszoworem.
299:  Gdzie jest Myszowór?
300:  Myszowór jest tutaj.
307:  Witamy Wolfa.
309:  I kapitana Kwaczuchę, i Borówkę.
312:  Czy to ostatni stream, w którym przy przedstawieniu save'a będzie słychać umę?
316:  Tak.
317:  Chyba.
317:  Nie pamiętam, co się dzieje później w fabule, ale mam wrażenie, że tak.
323:  Stop!
324:  Ciii!
324:  No co?
324:  Ja bym się ucieszył.
333:  I ambient.
335:  Przepiękny, skenicki ambient.
340:  Zen.
344:  Nic się nie liczy.
345:  Jest tylko jaskinia i ambient.
354:  W Solsach powinien być taki ambient.
358:  Krzysztof byłby wtedy spokojniejszy.
364:  Witamy Klarę Kluczykowską.
375:  Powiedzcie mi, że to nie jest piękne.
378:  To jest piękne.
380:  Gdzie?
381:  Jak to nie słychać?
382:  Jak to nie słychać?
384:  Maksimum jest głośność.
388:  Sam Wit pisze, że w Soulsach ambientem są krzyki, wrzaski i cierpienia.
393:  Coś w tym jest.
395:  Coś w tym jest, moi drodzy.
398:  Nieustannie przypomina mi ta forteca Bastion w trzecim akcie trzeciej części Dark Souls.
406:  Czyli twierdza Bastionu, tak to się dziwnie nazywało.
408:  Bez sensu.
409:  Witamy Kingę Wolską.
412:  Moi drodzy.
414:  Czy ja dobrze idę?
415:  Mam wrażenie, że jesteśmy tutaj po raz pierwszy.
418:  Dlaczego wszyscy obnażyli miecze?
419:  Skandal.
420:  Cerys!
443:  Wasza królewska mość, czy zechcesz zamienić ze mną słowo?
447:  Geralt, daj spokój.
449:  Jestem tą samą dziewczyną co wcześniej.
451:  Poza tytułem nic się nie zmieniło.
454:  Czaty, a ściśle mówiąc trybutariusze, bardzo złośliwy człowiek prosi o zajamniczenie celem podniesienia na duchu.
460:  Mam nadzieję, że go nie zawiedziecie.
467:  A w tak zwanym międzyczasie odpowiadam na pytanie Szymona, czy mam czasem wątpliwości odnośnie swoich stanowisk na różne tematy, czy odczułam momenty, w których myślę sobie, może to ja się mylę, oni mają rację, na przykład przy kontrowersyjnych tematach.
476:  Jak sprawiasz, by takie chwile często się nie pojawiały i by wciąż uparcie stać po stronie swoich racji, co musiałoby się stać, żebym ustąpił, zmienił zdanie?
483:  Musiałbym usłyszeć przekonywającą argumentację po prostu, wystarczająco dużej liczby osób.
489:  Tak działa intersubiektywizm, nie?
492:  W momencie, w którym ja przeczytałem rzeczy, które wpływają na moją przekonywającą argumentację, to tak długo, jak długo nie otrzymam czegoś, co mi przeciwwarzy to stanowisko, to go nie zmieniam.
502:  Proste.
503:  Częste zmienianie stanowiska pod wpływem jednej opinii to jest klucz, wydaje mi się, doda się tego, żeby zatracić po pierwsze poczucie własnej wartości, a po drugie także być jak chorągiewka na wietrze albo kurek na kościele, jeśli ktoś lubi mickiewiczowskie aluzje.
520:  Jak tam sprawowanie rządów?
522:  Jarlowie nie dają ci w kość?
524:  Wszyscy są bardzo wyrozumiali i wierzą we mnie.
526:  Poza Lugosem oczywiście.
528:  Lugos jest szalony, to się nie liczy.
530:  Może jeszcze się do ciebie przekona.
532:  No nie wiem.
533:  Jest chyba jeszcze bardziej za piekło niż mój ojciec.
535:  Ale oczywiście będę próbować.
540:  Widzę, że nawet Klara się dołączyła do zajamniczania i Marta F., mimo że nie dysponują kolekcją jamników, uczyniły przyjemność bardzo złościwemu człowieku.
550:  Widzicie?
551:  Tak należy robić.
552:  Tak należy robić.
554:  Ochwalam to.
554:  Delikatną sprawę.
556:  Chcę cię prosić o pomoc.
557:  O co chodzi?
561:  Krach wspomniał cię Ciri, prawda?
562:  Znalazłeś ją?
567:  Jeszcze nie, ale jestem ochronny.
569:  W tym, że gdy ją znajdę, dziki gon może nas szybko namierzyć.
573:  Dlatego chcę z nią pojechać do Kermoren i tam wydać im bitwę.
579:  Szukam sojuszników.
584:  Ja nie mogę teraz opuścić wysp, ale dam ci mojego najlepszego wojownika.
590:  Hjalmara.
591:  Zgodzi się?
592:  To na pewno.
593:  I jeszcze ucieszy.
595:  Przecież go znasz.
597:  Cerys jest jak czaty.
598:  Co, szukasz Ciri?
602:  Czekajcie, piszecie, że ledwo słuchać grę?
603:  Co to się dzieje?
604:  Aaaa, wiem dlaczego.
611:  Teraz będzie lepiej, przepraszam was.
613:  Nie słyszeliście wcześniej Skelikskiego Ambientu?
617:  To wszystko przez to, że pokazywałem ostatnio na wykładach Wiedźmina i problem polega na tym, że Goexlar nie współpracuje z zoomem, bo po co?
632:  Więc trzeba było regulować głośność systemowo i zapomniałem przywrócić na 100%.
636:  Dzięki czaty za informacje.
642:  Krach chyba będzie bliżej, tak.
