Noc Długich Pazurów — WITCHER 3 Livestream #22
🔗 https://www.youtube.com/watch?v=J4cSjj_WcAQ

1:  Witajcie w Królestwach Północy.
4:  Dawno się nie widzieliśmy.
6:  Na tyle dawno bym miał dla was opowieści, ale te opowieści poczekają, bo przecież wpierw muszę powitać wszystkich zgromadzonych tu tłumnie, wszystkich widzów, wszystkich powracających widzów.
18:  I teraz odwrócimy na odmianę kolejność.
20:  Witamy Martę F., witamy istotę żyjącą, witamy Enigmę, Kacpra E. usłonego cukra, cukier, trudno to odmienić w osobowej formie,
30:  Fate2Black i całą resztę, jak również naszych drogich trybutariuszy, Kluchen, Muchen, Mateusza, Kamila, Babę Jagę, ONU44, Sarmowento, Samawita, Bartka, Piotra, Jimmy'ego Jakuba, Skruwipufis, Gretka, Palitke, Colorful Me, Prometa, Alkuna, Olgę, witajcie wszyscy najserdeczniej, witajcie Księże Krokodylu także i Kozi,
55:  Moi drodzy, co tu się nie odwianie pawliło w tak zwanym międzyczasie?
59:  Będę wiedzieć dla was przednie anegdotki z wczoraj, z niezapomnianego spotkania z fizykami na AGH.
65:  Pamiętajmy, spotkania z fizykami zawsze są niespotykane.
69:  Witamy także kapitana Kwaczuchę i Kazer Coe i Red Angel.
74:  Jesteśmy chyba w komplecie.
75:  Coś mi się tak widzi.
76:  Oj, coś mi się tak widzi.
77:  Kontynuujemy, moi mili.
79:  Wczytujemy...
82:  I wiemy.
82:  Czekamy na Rand.
84:  Na Wyspie Mgieł.
108:  Moi drodzy, niech Was nie zwiedzą te piękne okoliczności przyrody, ponieważ obiecałem coś czatom.
115:  Nie umiem wyjść z własnego domu, to nie powinno nikogo zdumieć.
119:  Obiecałem coś czatom.
121:  Obiecałem dwie rzeczy.
123:  Mianowicie opowiedziałem o tym, że gra jest maksymalnie podłośniona, już nie mogę bardziej, mogę z siebie troszeczkę zciszyć.
131:  Tak, tak, dzisiaj jak najbardziej, była kacpułeczka.
134:  Wczoraj otóż, moi drodzy, byłem na spotkaniu.
138:  Spotkanie miało dotyczyć gier wideo, więc pomyślałem sobie razem z organizatorami, świetny pomysł, pochodzimy sobie tak w tej chwili w Wiedźminie.
147:  Ale okazało się, że nie wiedziałem jednego.
150:  Nie wiedziałem, że na tymże spotkaniu będą równocześnie nauczyciele,
