Kraina tysiąca waśni — WITCHER 3 Livestream #24
🔗 https://www.youtube.com/watch?v=DnHkIKiOKjE

1:  Wiedźmin i sobota.
3:  I zacząłem specjalnie trzy minuty przed czasem, żeby mieć ten moment na po pierwsze zachwycenie się po raz kolejny wspaniałą muzyką Marcina Przybyłowicza, po drugie powitanie w naszym gronie wszystkich, którzy się zgromadzili jako to jamniczych trybutariuszy Mateusza z Gretka, z Krufi Pufi, Jimmy'ego Jakoba, Piotra Rado, Masmiksu, Hefestion,
29:  Mateusza Szumskiego, Jamnikowego Piechura, który otrzymuje ode mnie specjalne jamnicze pozdrowienia, Aleksandrę Żakiewicz, Jacka, Kamila, Daretsuki, Olgę, Janko Muzykanta, stałych widzów streamu takoż, Aśku widzę chociażby, jak kogoś jeszcze zobaczę, Karneval Mephisto widzę także, Kupsona widzę,
49:  I witam Was serdecznie.
50:  Witam także wszystkich, którzy przypadkowo trafili na ten stream, a nigdy nie zostali powitani.
56:  Ha!
57:  I witam wszystkich z przyszłości, którzy będą oglądać zapis tego streamu.
61:  A takoż wracam do powitania dla Samowento, Alkun, Mateusza Rutki, Moni Heczech,
66:  Jakubas, Wewe Dariusza i całej reszty.
69:  Marmurencję także witam.
71:  I moi drodzy, dziś o godzinie śmiesznej 21.37 będziemy mieli nową jamniczą emoji do wykorzystania.
80:  Mam nadzieję, że jesteście na to psychicznie przygotowani.
83:  Kontynuujemy.
84:  Nie było łatwe.
86:  Witamy Witama, Kamila, Seweryna Fatera, Prometa, Colorful Me.
96:  Wiled, Klare, Jako, 24, Wielkie Nieba, ilu się was zgromadziło dzisiaj?
103:  Mikas, Promet, ach!
106:  Spokojnie, spokojnie, teraz jest Wiedźmin, teraz jest imersja, wcześniej była Uma!
114:  Możemy porozmawiać z Pucybutem za dnia.
116:  Teraz tak, żeby wprowadzić wszystkich w to, co się dzieje.
119:  Wiem, teraz mamy to złe zakończenie krwi i wina, ale dokończymy złe zakończenie, żeby zakończenie złe było dokończone.
127:  A potem zloadujemy taktyczny sejf z Nocy Długich Ostrzy Szponów i dzięki temu będziemy doświadczać wspaniałej podróży do baśniowej krainy.
141:  Bardzo jestem głośno?
142:  To jest niespodzianka.
144:  Zciszam się w takim razie.
146:  Mam nadzieję, że teraz jestem ciutkę ciszej.
149:  Dajcie mi znać, ponieważ GoXLR ma to do siebie, że nie jestem w stanie rozgryźć, o ile to jest jedna kreseczka decybeli.
160:  Teraz cicho.
161:  Mam nadzieję, że teraz jest dobrze.
163:  Okej.
164:  Zróbmy złe zakończenie.
165:  Olejmy rozmowę z pucybutem.
167:  Nie będziemy olewać żadnych rozmów.
171:  Przez 24 godzin... odcinki, przepraszam, razy 6-7 godzin.
176:  Nie pominęliśmy żadnej rozmowy.
178:  Nie zrobimy tego teraz.
181:  W bajkowej krainie dopiero Serenoks będziemy?
183:  Dzisiaj będziemy w niej.
185:  Tarael przybył i wybywa.
187:  Co to jest, Taraelu?
189:  Ale pozdrowienia dla ciebie i tak.
194:  Gdzie jest to, czego szukamy?
197:  Witamy Marceiję!
199:  Mam nadzieję, że dobrze czytam, bo tak szlachetnie Elfio brzmi Twemiano.
204:  W gronie Trybutariuszy i Jamnikodzierżcy wiecie co zrobić.
208:  Spuścić ze mszy, ale to wszystko przez te jamnicze emoji, ze smyczy Jamniory!
217:  Prawda, że jest dublet fajny?
220:  Świetny jest i pasuje dla naszych uszu i nawet pod kolor są okularki, wszystko jest idealnie.
228:  Myślę, że to powinna być wybranka naszego serca.
231:  Pasujemy do siebie jak ulał.
234:  Absolutnie tak jest.
235:  I te fioletowe podwiązki, wszystko idealnie.
238:  Jaka talia w gwincie?
239:  Chyba wrócimy do Królestw Północy, bo przez jakiś czas mieliśmy inne rzeczy.
252:  E, to nie o nas!
253:  My mamy królicze uszy i okulary, jesteśmy bezpieczni.
258:  Jesteśmy całkowicie bezpieczni.
262:  O, tak.
264:  Jak miło powrócić do świata Wiedźmina.
266:  Moi drodzy, skoro się zgromadziliście tutaj, a jeszcze poczekam z ogłoszeniami drobnymi, ale na razie odsłaniam dla tych z was, którzy nie odwiedzają karty społeczności, ten sekret, że w poniedziałek się coś zbliża.
280:  W godzinie 16?
282:  Gleba lesowa jest znacznie bardziej zwarta niż czarnoziem.
287:  No właśnie, to samo zauważyłem.
289:  A z gliną to już najgorzej idzie.
291:  Witamy Oliwię, Kingę, Krzysztofa Mroczka, Monikę Majdak i całą resztę przybywających, stałych widzów.
299:  I do Pio witamy także.
300:  I Skawyńskiego Alchemika.
303:  Oj, oj, oj.
304:  I Liwię Jurkiewicz.
306:  Moi drodzy, porozmawiamy sobie z Regisem, prawda?
308:  Witaj, Geralt.
310:  Witaj, Geralt.
312:  Regis, rozmowa z tobą jest kontrproduktywna, tak oświadczam.
317:  Z mieczami!
319:  Witam, witam.
320:  To co, pucowanko?
322:  Brudne buty uwłaczają powadze profesji.
325:  Zapraszam.
325:  I profesorów.
327:  Chcemy o coś zapytać.
329:  Znowu?
330:  O, proszę bardzo.
331:  Ja popieram wolność słowa i wszelką informacją chętnie się podzielę.
336:  Ale czemu by nie... O, mały chłopczyk jest lepszy niż cały polski rząd.
341:  Może i rzeczywiście przydałoby się pastowanie.
345:  W takim razie ja również skorzystam.
348:  Mój znajomy mawiał, że buty powinny być zawsze tak czyste, jak dusza tego, kto je nosi.
355:  To tak a propos profesorów i ich brudnych butów.
357:  Ojej, to się nie skończy.
357:  To doskonałe hasło!
365:  Odpowiadam, odpowiadam.
367:  Magos nie widzi.
368:  Kłamstwo, Mateuszu.
369:  Wszystko widzę.
370:  Wszystko.
370:  The wizard is never late and sees everything.
374:  Chciałbym podziękować za polecenie mikrofonu.
375:  Cieszę się, że się przydaje.
376:  Bardzo się cieszę.
377:  Zabiliśmy Deltlaffa i jest to kanoniczne.
379:  Zabiliśmy Deltlaffa, ale nie jest to kanoniczne.
381:  Będziemy z nim walczyć jeszcze raz dzisiaj.
384:  Bardzo złośliwy człowiek pisze, że musi popcrunchować a propos pracy na olimpiadę.
388:  Bardzo współczuję, ale crunch nie jest dobry.
390:  Witamy Jadwigę.
391:  Tak jest, jest nowy Jamnior.
393:  Braksłów pyta, Krzysztof, jak było z twoją immersją, jak grałeś w tabelę palanka, bo musiałem zwrócić grę, nie mogłem się wczuć, błędy i niedoróbki bardzo przeszkadzały.
399:  Mnie nie tyle błędy i niedoróbki, ile to, że ten świat jest całkowicie pusty.
402:  Błędy robiły swoje.
405:  Niestety.
407:  W baśniowej krainie należy szukać ogników i iść za nimi.
411:  Czy baśniowa ekranina ma dwa rozwidlenia?
413:  Nie, zrobimy to, które się nadarzy nam i na które natrafimy.
417:  Nie będziemy rozmieniać się na drobne, ani rozdzielać włosa na czworo.
424:  Hawkeye obejrzane?
425:  To jest o łuczniku.
426:  Powiedzcie mi, jak będzie coś o magu.
428:  Ja mam problem w ogóle z serialami z MCU.
432:  Powiem Wam tak, miałem robić recenzję fundacji, ale jak zobaczyłem całą fundację, stwierdziłem, że trzy pierwsze odcinki są lepsze niż siedem pozostałych.
440:  No to moja poprzeczka jest i tak zawieszona bardzo wysoko, więc na Hokaja przyjdzie może czas, jak wszystko inne wyczerpię.
447:  Jak idą interesy?
449:  A dobrze, nie narzekam.
