O jedną balladę Jaskra za dużo — WITCHER 3 Livestream #7
🔗 https://www.youtube.com/watch?v=zaFDbGcnqS0

2:  Witajcie.
3:  Witajcie na Szlaku Wiedźmińskim.
6:  Witajcie w sobotę o 18.00.
8:  Punkt, chociaż pewnie jest przesunięcie, przy dźwiękach cudownej muzyki Marcina Przybyłowicza.
14:  Tym razem odpalił nam się fragment, który, mam nadzieję, że słyszycie to, jest przetworzeniem muzyki Killara do Draculi.
21:  Nie wiem, czy został wydany na płycie, ale ach, wspaniałości.
26:  Witam was wszystkich najserdeczniej.
28:  Przypominam, że jutro
31:  inaczej niż dziś.
32:  Nie będziemy się spotykać przy grze, tylko będziemy się spotykać na live z okazji startu wsparcia kanału.
40:  Dzień dobry.
41:  Zaczynamy.
42:  Kontynuujemy rozgrywkę.
48:  Triss potrafiła pomóc Geraltowi, tylko w inny sposób.
52:  Proszę!
53:  Jaskier się przedstawił!
55:  Dzień dobry, Jaskrze.
55:  Jaskrze!
56:  Ładnie brzmi to.
58:  W odmianie.
59:  Biedny, biedny Zoltan.
83:  Zoltanie, gdzie ty wybywasz?
85:  Chcę iść za Zoltanem.
86:  Zoltan, Zoltan, Zoltan.
91:  Zagrajmy w gwintach!
98:  No to grajmy.
101:  Tydzień mija bardzo dobrze, Jędrzeju, dzięki.
107:  Udało się ogarnąć część licencjatów.
111:  Dzieje się dobrze.
112:  Sesji wrześniowej nie ma, bo nie ma poprawek.
114:  Same radosne rzeczy.
116:  Dobra.
120:  Jeszcze, jeszcze nie zdołaliśmy zginąć!
122:  Jeszcze!
123:  Jeszcze!
124:  Ale to dlatego, że gramy w gwintach, więc jest szansa, że spektakularnie przerżniemy.
132:  Dobrze.
133:  Jest dikstra.
137:  Jest Dijkstra.
138:  Świetnie.
141:  Zobaczymy, czy orżniemy Zoltana Chivaya.
150:  Nie słyszałem o pomyśle zastąpienia ratowników strażakami.
154:  Nie brzmi to jak dobry pomysł.
160:  Zoltan wyprztykał się ze wszystkich swoich kart.
163:  Traktujemy to jako bardzo pozytywny sygnał.
172:  Skellige się wybierzemy w przyszłym tygodniu.
177:  Dziś jesteśmy śmierdzącym mieszczuchem.
180:  Siedzimy oto w Nowigradzie, będziemy siedzieć też w Oksenfurcie, może się wybierzemy do Velen na jakieś polowanko na potwory, jakieś małe zlecenie wiedźmińskie, kto wie.
192:  Dobrze, teraz to musimy wygrać.
200:  Przeciwnik spasował, ponieważ jest idiotą.
205:  Zoltan o jeden kufel machakamskiego za dużo.
218:  Dobrze, teraz czas wszystkie nasze karty wykorzystać w taki sposób, żeby Zoltan przerażnął.
229:  Uuuu.
229:  Czy to jest pani jeziora?
231:  Czy ja mogę podejrzeć tę kartę?
232:  Oczywiście, że nie mogę.
234:  Trudno.
245:  Co za świniobi!
247:  Odrażający kloacznik!
253:  Czy my możemy wskrzesić?
256:  Nie, nie możemy wskrzesić.
260:  Skandal.
266:  Można kliknąć, żeby zobaczyć opis karty.
269:  Dupa.
270:  Nie wychodzi.
271:  Obawiam się, że to zostało w pra... Jest!
272:  W prawym.
275:  To jest pani brokilonu.
276:  Myślałem, że pani jeziora.
286:  Mistrz Garwanty Rokko.
292:  Aaa!
294:  Da się!
296:  Dobrze.
303:  Ha!
304:  Nigdy się nie pyta kobiety o wiek, polityka o wyboru, a krasnoluda czy za dużo wypił.
309:  To prawda.
312:  Uuuuhuu!
314:  A cóż to za... To jest wiwerna.
316:  Albo jakiś inny bazyliszek.
319:  Co, co, co, co, co, co?
322:  O nie!
324:  Co to za dobieranie kart?
327:  Skandal!
332:  Gerard!
334:  Gerard z Rivi!
