Rumak z Doliny Rozpaczy | RED DEAD REDEMPTION 2 Livestream #14
🔗 https://www.youtube.com/watch?v=89Kbzi4P3Oc

168:  KONIEC!
331:  🎵🎵🎵
403:  muzyka
515:  Witam wszystkich na Dzikim Zachodzie!
519:  Jamniki są w modzie!
520:  Witam Adama Pabiańczyka, witam Mateusza Rutkę, witam Cezarię Magento, witam Brontosa Złego Czarownika, witam Aniu Uziu, Sandbox, Dworzenina, Adusa, Cytrusa, Seronoksa, Patryka Kulpoka, Volatile Skin, Renarta Erin, Urszule, Biernego Obserwatora, Bartega, Rekson, Agnieszkę Szabat,
541:  Beduina, Iskora, Krisho, Muminak, Kagralda, Radosława, Woltyna, Martynę Łopuszyńską, DJ Ozaura, Kupsona27, który przeze mnie gubił RedDeda, Willeda, Sammawita, Keromusa, Kingewolską, Sodarik, Nadje Lewi, Marka Molendę, Aleksandrę, arcykolegę Smoczyni, Sylwię S. ActiveTVs, Baku i wszystkich, którzy obejrzeli Obi-Wan Kenobi'ego i wszystkich, którzy
568:  Nie obejrzeli Obi-Wana Kenobi'ego i nastąpili mądrze!
571:  Sanji, dzięki za wsparcie od pięciu miesięcy!
575:  Witamy Miss Jesionkę, witamy Magdę M1, witamy doktora Flofa, witamy Falavan Man de Gevalian!
581:  Witamy Martusza Kubale, witamy wszystkich zgromadzonych!
588:  Prawdopodobnie przedostatni stream przed przeprowadzką do nowej wieży arcymagowskiej, tak!
596:  Wreszcie po trzech latach nieprzanego remontu.
601:  Witajcie wszyscy.
603:  Jakie biedne jawniki.
605:  Odmawiam, odmawiam potwierdzenia.
606:  Moi kochani, moi kochani, cóż przed nami dzisiaj będzie?
611:  Zapytacie.
613:  Śmierć nas nie dosiędzie, odpowiem.
616:  Tak.
617:  Mateusz pisze, że gdy ostatnio jechał skuterem, napotkał stojącego na ulicy dumnie wypinającego pierś jamnika.
623:  To musiał być piękny widok.
624:  Jamnik, nie zważając na swe gabaryty, postanowił zrobić barykadę na środku drogi.
628:  Powodem tej niespodziewanej kontroli był fakt, że jechałem dość rano, przez co narażałem panów jamnika na makabryczne obudzenie.
635:  Przed jamnikiem udeszczałem jamnik górą, chociaż dołem.
638:  Wasze historie są coraz piękniejsze.
642:  Co to za remont skoro trwał 3 lata?
