Mag prochowy wyrusza na Zachód | RED DEAD REDEMPTION 2 Livestream
🔗 https://www.youtube.com/watch?v=ksSGS9kAvK4

4:  Witajcie świątecznie dalej.
7:  Nadszedł ten wiekopomny moment, żebyśmy poznali historię odległego krewnego Artura Morgana.
16:  Nazywa się John Paul Morgan, w skrócie JP Morgan i jest magiem prochowym.
23:  Zobaczymy, dokąd powiedzi nas ta przygoda.
25:  Ja tymczasem przy ambientowych dźwiękach menu głównego Dead Mage Redemption 2.
30:  Witam serdecznie wszystkich.
32:  Witam na czatach gromadzących się zwolna.
35:  Witam, pozwolicie, pierwej trybutariuszy, jako to M.K.
39:  Mieczysława, Elzara, Hefestion, Babę Jagę, Marcina Marszałka, Mike, Księdza Krokodyla, Kluchenmuchen, Janko Muzykanda, Samuita Roberta Górskiego, Pawła Madeje, Fredylica, Ulio, Kacpera Tudruje.
52:  Jakuba Sadowskiego, Stachu Uchadza, Murek Ilty, Prometa Erin, Aśku i Stotę Żyjącą, Dziabowskich, Roksany i Patryka, zwykłego kolesia, Liwie Jurkiewicz, Lancisa, Kołzi, Jacka.
67:  Witamy stałych widzów streamu, Słonego Cukra, Kingę Wolską, Julię Opaczewską, witamy.
74:  Waniewskiego, takoż Maćka, Palitkę, moi mili.
78:  Ale się cieszę, że się tak tłumnie zgromadziliśmy.
80:  Witamy Żabcie, Filipa Lisa, Red Angel.
84:  Ha, jako już trybutuję, doczekałem się, ale będzie przygoda.
89:  Mam nadzieję, że niebawem będziemy mieć także stosownie kowbojsko-jamniczą emoji.
94:  Na razie musi wam wystarczyć magus ognia.
96:  Mateusza Rutka, Onagrusa, Kira Joke, także witamy serdecznie.
101:  Odin with me, Jelosłaga, Pana Karmazyna, Dragoneza, Michała Ciechańskiego.
105:  I pamiętajcie, moi mili, to nie jest prośba ode mnie, to jest prośba od widzów, to jest prośba także w stosunku...
112:  respektując za wszystkich tych, którzy będą słuchać zapisu streamu, nie spoilujcie na czatach, okej?
117:  Ja nie będę spoilował, ponieważ to jest literalnie moja pierwsza gra w Red Dead Redemption, w tę franczyzę, nie znam jej, oglądałem kiedyś na YouTube'ach dawno i nieprawda, więc błagam bez spoilerów, okej?
128:  Ja spoilery zapomnę, więc szkodzicie tylko samym sobie i społeczności.
133:  Więc, skoro mamy już za sobą te wszystkie rzeczy, jeszcze popatruję, czy kogoś nie pomijam.
138:  Severina Fattera chyba pominąłem, ale reszty nie.
141:  To moi mili, moi mili.
144:  Red Dead.
146:  Red Dead A1 też nie spojrujcie na wszelki wypadek.
149:  Zaczynamy.
150:  Oczywiście, jeżeli chodzi o ustawienia klawiszy, ja nic nie będę wiedział, więc miejcie dla mnie cierpliwość.
155:  Mam nadzieję, że tutaj WSAD zwykłe działa.
160:  Tryb fabularny.
163:  Tryb fabularny.
166:  Tryb fabularny.
168:  Działa.
170:  Witamy Dwimusa w gronie trybutariuszy, ale tryb imersyjny...
199:  Okej, nie wiem czy to jest cutscena, czy po prostu ekran ładowania, ale whatever.
204:  Haha, myślałem, że będzie cutscena.
213:  W roku 899 czasy bandytów i rewolwerowców chliły się ku końcowi.
218:  Kto by przypuszczał?
220:  Ameryka stawała się krainą prawa.
224:  Ekran ładowania to było, okej.
226:  Witamy Ty, Deanna.
228:  I Borówkę, i Morioanunana, i Mikasa, Cezaria Magento, Niri Mari.
234:  Nawet Zachód został w większości poskromiony.
237:  Czytamy.
238:  Bardzo mi się podoba to liternictwo.
244:  Ostało się kilka gangów, lecz były one ścigane przez władze i bezwzględnie niszczone.
258:  Rockstar Games Presents.
260:  To kiedyś była marka.
262:  Zobaczymy, czy dalej jest.
264:  A, teraz się strigeruje wszystkich.
268:  Nie żartuję, to nie jest CDPR.
270:  Uuuu!
272:  W ogóle, święta są.
274:  Wasze zdrowie.
278:  To jest dopiero tematycznie, nie?
281:  Whisky Aberlauer i Dziki Zachód.
297:  Abigail mówi, że umarł, Dutch.
298:  Musimy stąd przestać.
299:  Okej, Arthur nie patrzy, wysłałem go przed nami.
300:  Jeśli nie przestańmy, to wszyscy umrzemy.
317:  Jeśli jest maja, to wszystko będzie w maju.
320:  Oczywiście, że jest maja, zawsze jest.
322:  Arthur!
322:  Jakieś szczęścia?
341:  Czy to jest ten moment, kiedy uczymy się poruszania?
345:  Przepięknie to wygląda.
347:  Wprawdzie jest render, ale co tam.
349:  M oznacza mag u mnie, oczywiście.
352:  Przypominam, że gramy magiem prochowym, JP Morganem i nie próbujcie mi wmawiać, że jest inaczej.
361:  Weźcie go tutaj!
394:  Panie Gaskell!
394:  Zajmij się tym ogniem, szybko!
395:  Panie Julesie, weźmy wszystkie czujniki, które mamy.
399:  Panie Pearson, zobaczmy, co mamy w zakresie jedzenia.
403:  Davy jest umarł.
404:  Nie było nic więcej, czego byś mógł zrobić.
407:  Co będziemy robić?
408:  Potrzebujemy sprzętów.
421:  Zacznijmy od tego, że zostaniesz tu i będziesz się oczekiwał.
424:  Przedstawiłem John i Micah do skautu.
427:  Arthur i ja pójdziemy na wycieczkę.
430:  Zobaczymy czy znajdziemy jednego z nich.
433:  I to tylko za chwilę.
436:  Nie widzę jakichś innych wyborów.
441:  Słuchaj.
443:  Słuchaj mnie, Ollie, na chwilę.
446:  Mieliśmy... no, złe kilka dni.
452:  Uwielbiałem Davie, Jenny, Sean, Mac.
461:  Może byli w porządku.
463:  Nie wiemy.
464:  Ale straciliśmy niektórych ludzi.
465:  Teraz, gdybym mógł wyrzucić siebie na ziemię, w ich stan, to bym to zrobił.
474:  Ale...
482:  Wyjeżdżamy i znajdziemy coś do jedzenia.
485:  Wszyscy jesteśmy bezpieczni.
490:  Nie ma kogoś, kto nie podąża za nami, w trakcie jakiegoś powietrza.
497:  Gdy dojdzie do nas czas, to będziemy... Będziemy długo straceni.
503:  Przed nami było jeszcze gorsze niż to.
506:  Panie Pearsonie...
508:  Pani Grimshaw, potrzebuję, żebyś zmienił to miejsce w kamienicę.
512:  Możemy tu być kilka dni.
513:  A teraz wszyscy, wszyscy!
514:  Zatrzymajcie się!
516:  Bądźcie silni!
519:  Bądźcie ze mną!
520:  Jeszcze nie skończyliśmy!
527:  Dawaj, Arthur!
530:  W porządku!
537:  Nie mieliśmy czasu do pytań.
540:  Co naprawdę się stało tam na tym samochodzie?
550:  Zmieniliśmy was.
553:  To się stało.
553:  Chodźcie.
553:  Ej, potrzebujecie jeźdźców?
560:  O tak.
560:  Ej, panie Smithie.
561:  Zostawcie się na zewnątrz.
563:  Potrzebujemy tego rękawika.
568:  Czy This War of Mine będzie ogrywane?
571:  Szczerze powiedziawszy, nie znam nudniejszej gry.
577:  Okej, jest imersywnie.
579:  Mam nadzieję, że klatkaż będzie w porządku.
582:  A co jeśli ja chcę iść w innym kierunku?
584:  Nie mogę.
