Wielki powrót J.P. Morgana | RED DEAD REDEMPTION 2 Livestream #9
🔗 https://www.youtube.com/watch?v=_5x8opsofRU

330:  🎵🎵🎵
402:  muzyka
473:  muzyka
606:  Witam wszystkich, którzy się spodziewali, którzy się nie spodziewali, którzy przybyli tą świąteczną porą na
616:  Wielki powrót JP Morgana, najlepszego doradcy inwestycyjnego wśród magów i najgorszego maga wśród kowbojów.
624:  Witamy, witamy Martynę Łupuszyńską, Onufrego, Samawita, Mateusa de Kujawie, Kugli, Kiri, przepraszam, Mikke, Kapitana Pampkina, Magda M1, Wiktim, Anie Nowak, Mejmana, Fomke, Anie Kaźmierczak, Kacpra Kłosowskiego, Daniela Orła, Myslu Lepińskiego,
641:  Tomka Szklarza, Dygresywnego Wilka, Gangalfa, Igora, Sanji, Szulegiewon, Juliusza, Jamniki, Michała Blisknera Polaka, Zgretka, Krystiana Libera, Złego Czarownika, Szymona, Rzucawkę Wileda, Sukowfit Silver Angel, Nadia Lewi, Bewexa Witamy, Sukowfit Takosz, Stacha Wadca,
664:  Red Angel, dzięki za wsparcie od trzech miesięcy do gry w Synu Wilku.
668:  Niech będzie powitany Szumi72 i Arcanum, konduktor poznański.
672:  Adam Pabiańczyk, dziękuję za wejście na drugi poziom wspierania.
676:  Niech będzie podpalony.
678:  Sebulbe witamy takoż i Pawelito.
682:  Tomirę i Mejmana i Muminak i Kamil.
686:  Wszyscy niech będą powitani.
688:  Aśku niech będzie powitana.
689:  Moi drodzy, co to się będzie dzisiaj działo?
692:  Gra nam elektroswing Züle Gajego, czy jakkolwiek się go czyta.
697:  Tydiena witamy.
698:  Purpurowego Jamnika witamy.
699:  Agnieszkę witamy.
702:  Charakternika.
704:  Jeszcze wcześniej zauważyłem, że był z nami Jowialny Orangutan Optometrysta.
716:  Witam wszystkich radośnie!
720:  Witamy Agnieszkę, witamy Żabcie i Szeronoksa!
732:  I pan Pitu niech będzie też powitany!
744:  Tańczące z jamnikami, nie da się ukryć.
748:  Moi drodzy, deszcz tymczasem siąpi, skrzypce skrzypią, a dziki zachód dziczeje w oczekiwaniu na powrót jedynego człowieka, który może to wszystko skomentować.
769:  Moi drodzy, nie mam zielonego pojęcia, co się działo w tej grze.
772:  Nie mam zielonego pojęcia, jak sterować.
775:  ale na szczęście Red Dead Redemption 2 daje nam unikatową możliwość przeczytania dzienniczka i przeczytania gazety.
781:  Dzięki temu wszyscy będziemy wiedzieć, o co chodzi.
784:  Sekiro jest na prompce na streamie?
786:  Dobrze, dobrze.
787:  Bardzo dobrze.
790:  Witajcie wszyscy najserdeczniej.
793:  Red Dead Redemption oficjalnie powrócił.
795:  Chyba najczęstsze pytanie, jakie padało na czatach, to kiedy wróci Red Dead Redemption 2, więc dzisiaj sobie żartowałem na Discordzie, że nie zdziwię się, jeżeli padnie na czatach pytanie, kiedy będzie Red Dead Redemption 2.
811:  Nowy wpis w dzienniku.
813:  W ogóle teraz sobie uświadamiam, że chyba graliśmy ostatnio w Red Deada, jak nie miałem jeszcze upgrade'u karty graficznej, więc po upgrade'ie, moi drodzy.
825:  Mam nadzieję, że będzie jeszcze piękniej, bo już wyższych ustawień graficznych nie mogłem dać.
830:  Jest maksimum.
831:  O, już nie wiem, co zrobić.
833:  Dobrze, J chyba to był dziennik.
834:  Tak!
837:  Grafika jest na ultra.
838:  Absolutnie, wszystko na ultra.
841:  Gdzie KDS?
844:  Jaka to jest karta?
845:  3060 Ti.
845:  Okej, coś znaleźliśmy, moi drodzy.
854:  Okej, ja już wszystko wiem.
857:  Wreszcie wiem, co się działo w tej grze.
860:  No, znaleźliśmy głaz, który spadł z nieba.
863:  Dobrze wiedzieć, JP Morgan.
866:  Dziękuję niezmiernie.
868:  Strasznie chciałem to wiedzieć.
873:  Razem z czasem pojechałem szukać Trelawney'ego, który zatrzymał się w Rhodes.
877:  Czy jesteśmy w Rhodes?
878:  Zainteresowali się nim łowcy nagród, którzy chcieli go wykorzystać, aby dopaść nas i wziąć nam wszystkie pieniądze, które kradniemy, przepraszam, które alokujemy do innych portfoliów inwestycyjnych.
888:  Sprawy przybrały niemiły obrót i został trochę sponiewierany, ale zdołaliśmy go stamtąd wydostać.
893:  Obawiam się, że ktoś jeszcze może go szukać, więc zwrócił z nami do obozu.
900:  JP Morgan odkrywa grawitację, zobacz, zobacz jak.
906:  Tak było.
908:  Ciągle przychodzą kolejni, łowcy nagród, Pinkertoni, stróże prawa, gdziekolwiek nie pójdziemy, wszędzie wpycha się cywilizacja.
