🔴 Helheim i pierwsza z Walkirii — GOD OF WAR Livestream #3
🔗 https://www.youtube.com/watch?v=dD4akk7gd6Y

50:  Muzyka Muzyka Muzyka
146:  Muzyka Muzyka
175:  Dzięki za oglądanie!
358:  © PTA & TVP
566:  Witam wszystkich najserdeczniej zgromadzonych tu dziś, by razem z Kratosem o godzinie 16.00 mężnie prężyć muskuły i niszczyć przeciwne naturze monstra.
579:  Ja się przygotowałem bardzo dobrze, zjadłem dzisiaj sałatkę z serem pleśniowym i roszponką.
584:  Będę silny i będziemy walczyć.
588:  Witam najserdeczniej Jakub Wdowia, Katriona, Ola Kustra, Astra i Czajnik Gazowe, Fi i Pokazer, kołmak piekielnojamniczego ognia.
596:  Jak widzicie, już jesteśmy na ekranie startowym God of War.
598:  Nie ma żartów.
599:  Żartuję, jeszcze się powitamy troszeczkę, co?
602:  Urszula Giewon, Ola Kustra, Zgredek95, Xenofanes, Astray, CzerwonyList, Joglol oraz CrownCrow i RexKelion, który mówi, że już jest od tutaj dwóch lat i nie widział, żeby Krzysztof się tak jadł jakąś grą.
615:  I to jest racja.
616:  Holefik, Ola, Destiny, Dwegarik, Patryk Katprzyk, Katarzyna B., Gadziorro, Lucifer,
623:  Katriona, Misiek, Fajrens, Tom Old, Jakub Wdowiak, Karolina Ewelina, Arti Niezłomny, Szymon Zajdel, TheDoomBoy, Balrok72, Justin Piasecki, Jesioł, Joglol, jeszcze raz Ancim, Ola Kustra, też była chyba wyczytana z Gredek95 i reszta naszych wspaniałych moderatorów, Jysz z Erlenwaldu, Arkadiusz, Vegary, Danuta Trzaskowska, Kaja Kruszynka, Iska, która prosi o to, żeby jutro był też God of War, ale nie!
647:  Dzisiaj jest specjalnie wcześniej, żeby jutro mógł być Horizon, Nerichem, Dyktoforsia,
652:  wyznawca Rogatego Szczura, Bring Me Dog of War wrzeszczy, Zgredek95, który jeszcze wspiera 31 miesięcy, Ola Kustra pisze, my z Poetyka Popkultury dzisiaj grill, nie wiem czym jest Poetyka Popkultury, zakładam, że kanał na YouTubie fajnie się nazywa, Michał Mazur,
668:  Dziękuję Ci przy okazji, Olu, za wsparcie od 18 miesięcy już.
671:  Lorax i Martyna Sito i Nevrast i Alex Gry i Bajkuks03 i Czarnakuska i Miokun, Altiste, Majs, Maciej, Piurek, Mr. Genio, Darkov, Lady Melody, Erwin, PB1990, El Nino, Czar Mikołaj III, Jurmungandr, który nie jest Jamningandrem,
691:  Teduch Kaczyński, Kain, który był dwukrotnie Jan Nikołajem, dlatego niuch!
695:  Niuch!
696:  I dziękuję najserdeczniej Lupercal, Ania Szymańska, Kingypl8, Wedumboj, Włóczyki, jest swoją drogą gra Włóczyki, w którą gra Filip na bez schematu oraz bez życia, nie pamiętam, nie pamiętam gdzie, chyba na bez życia Filip teraz ginie w Dark Souls 3 z rąk Nameless Kinga, a nie żartuję, pokonał go już, niech gra nam Niklas Johansson!
730:  Musiałem wydobyć szybko jamnika, moi drodzy, nie ma tak.
734:  Darcie metali w stylu...
738:  Z Valhalla!
739:  O!
740:  Idealnie udało się, moi drodzy.
743:  Spirala Nienawiści, Dragomira, Rexkelion Czerwony List, ZW Laseromanta, Astaroth, Mortil, Michał Walczak, Szymon Nalewajko, Amrored, Gorgona, CapiCapri, Magdalena S, X403 i Darkov.
757:  Witajcie, moi drodzy, najserdeczniej.
759:  Lecimy do God of War.
760:  Nie ma już zabradziarzania, nie ma niczego.
763:  Wszędzie jest tylko Białystok, God of War i Valhalla.
766:  Tak jest.
768:  A, zgodnie z, moi drodzy, zgodnie z obietnicą, ponieważ było ostatnio, jak robiliśmy sondę dotyczącą tego, jak gramy, czy grałem po angielsku, czy grałem po polsku, było 50%.
779:  W związku z powyższym będziemy co stream zmieniać język.
783:  Nie żartuję.
783:  Dzisiaj będzie angielski, w przyszłym tygodniu będzie polski i tak będziemy lecieć.
787:  Kontynuuj.
788:  Jak nagra mnie zachwyca, muszę jeszcze, moi drodzy, szybko zebrać cholerne rodzynki w Genshinie.
794:  Mam nadzieję, że mi się to uda zrobić w tak zwanym międzyczasie.
797:  Krzysztof nie lubi barbarzyńców.
799:  Krzysztof, jeżeli chodzi o barbarzyńców, ma w dalszym ciągu ambiwalentny do nich stosunek, natomiast, powiedział Krzysztof cały czas usiłując przeteleportować się do cholernego Fontaine na telefonie, natomiast nie zmienia to faktu, że jeżeli chodzi o Kratosa, to Kratos jest tak zwanym wyjątkiem potwierdzającym regułę.
