🔴 Goooood boyyyy! — GOD OF WAR Livestream #1
🔗 https://www.youtube.com/watch?v=MuRWpmfDgoA

43:  KONIEC!
75:  Zdjęcia i montaż
102:  Dzięki za oglądanie!
480:  Jeśli coś zawdzięczamy Dragon's Dogmie, moi drodzy, dwa, poza dwiema godzinami sardonicznego śmiechu, to zawdzięczamy nową serię na kanale Dog of War,
497:  Będziemy grać krnąbrnym barbarzyńcom, zwalistym, zwaćcą karczychem i będziemy dyscyplinować kaszojada!
505:  Witam wszystkich najserdeczniej!
507:  Kazerkoł, Magpie, Kielnojamniczego Ognia, Ania, Kaźmierczak, Anonim, M, Sojwicz, Garm, NeverDie, Parmenziano, Redziano, Karol, Korol, Fany, Walentine, Grusam, Gru, Kinga, Wolska, Karo, Artinie, Złomny Wyznawca, Rogatego Szczura,
518:  Marcin Karolewski oraz Joglol, Darth Muffin, wszyscy, którzy się boją, że Krzysztof będzie drwił z Kratosa, nie, Krzysztof będzie roleplayował jako Kratos, haha!
527:  Chłopcze X403, Kafein, Kuba Wdowiak, Arti, Milord Mariusz, Płonąca Pyrka, Grzybnie Pierwotna, Dipsy, Agnieszka Brzozowska, miejsce na twoją reklamę, Misiek, Adam Borkowski, Kraken z Jeziora Wodzu, Eric Greenleaf,
539:  I Alejandra, i Xenofanes, Smoczini, Patryk, Szostak, Raciaveli, Venzant, Krone, Crow, Zderzacz Hadronów, Soljana, Asia, Piurek, Hadronex, Dante, Hayus, Polish Potato, Jamnicja, Skrajny Czarów, Żywy Ogień, Jacek, Witek, i PoSolona, Rex, Kelion, wszyscy nasi moderatorzy, Dyktoforcja, Czarmikułaj III, GenGreymej, Urszula, Giewon, Sara, i Artur Urbański, miałem powiedzieć Urtar Arbański, ale na szczęście udało się dobrze, Joglol, Erwin, Marcin Koronewski, oraz...
569:  Izabela Biernath, Krystian, Szuraks, Alazar, Simbaż, Inni i... I wszyscy!
585:  którzy będą chcieli śledzić Rosy Kratosa w straszliwych krainach pełnych potwornych monstrów, stali i nie stali widzowie kanału, subskrybenci, niesubskrybenci, wspierający, niewspierający, jam nikołaje, którzy mówią miuch jak Kain na przykład i Lukas P. wspierający od 17 miesięcy.
610:  Bawicie to pyta, o chuj chodzi z Jamnikiem.
613:  Jamniki są najlepsze, przekonasz się na tych streamach o tym, że są lepsze od Jormungandra, który jest Jamnian-gandrem tak naprawdę.
621:  Misiek, Arkadiusz, Cybulak, Astro i Cygor.
624:  Witam was serdecznie, Jacek, Kabalrok72, Apyr, Karol, Klapałtusz, Animomon i Miami oraz Vegary.
631:  i fany Valentine, Telomelanikon, Darth Bigos Agnieszka i Krzysiek i Nob oraz Chajus i po prostu witam najserdeczniej wszystkich.
643:  Moi drodzy, jeżeli za każdym razem będziemy się tak witać przy Kratosie, to skończy się to, moi drodzy, moim zdartym gardłem, mówię wam.
653:  A więc jednak, a więc jednak, jak widzicie, moi drodzy, macie dar przekonywania, a może to kapką, nigdy się nie dowiemy.
660:  Tak czy siak zaczynamy, zaczynamy z dużym uderzeniem.
664:  Oczywiście wszystko jest na ultra ustawione, jak żeby inaczej.
667:  Jamnio Boros gdzie?
669:  Większość jamników jest schowana z przerażenia w szufladzie.
672:  Tak samo jest schowana i skitrana tutaj manierka.
675:  Ona nie będzie potrzebna, ponieważ nie będziemy mieć many.
678:  Marek Nowak, dziękuję serdecznie za dołączenie do grona wspierających
681:  Z jamnikiem, masz teraz jamniki, jest to wspaniałe.
684:  Może to jej urok, może to o kapkom.
688:  Nowa gra, moi drodzy.
689:  Dubbing czy napisy?
691:  I widzicie, i to jest zabawna wiadomość.
694:  Okej, język mowy, portugalski, Brazylia oczywiście.
698:  Japoński, o Boże, z japońskim by było genialnie.
706:  O Boże, to byłoby, moi drodzy, tak, to byłoby legendarne.
711:  Japoński dublaż, wspaniałość.
713:  Więc napisy włączone jak najbardziej, język tekstu, język mowy.
717:  Zobaczymy następnym razem, moi drodzy, jeżeli będzie duża fronda na czatach i ludzie będą mówić, że chcą bezwzględnie dubbingu polskiego, możemy sobie wypróbować następnym razem, ale generalnie oryginał, powrót
730:  Chcę poinformować, że interfejs jest zaprojektowany względnie dobrze, jak na razie.
734:  Chłopcze, jidysz, koniecznie, łajtki, pisze Kinmaj i ma rację, dziękuję Ci za teoretycznie za trybut portugalski, norweski, tak, tak.
744:  Chcemy, chłopcze, polski dubbing najlepszy, polski dubbing świetny, japoński, precz z dublarzem, jak zawsze, jak zawsze, moi drodzy, rabini na czatach są zgodni.
754:  Jeszcze wyświetlę stero... O!
757:  A to jest miła odmiana.
760:  Czyli nie ma 484 różnych rzeczy.
762:  Dobrze, w porządku, zadowolonym.
765:  Odpalamy, moi drodzy.
766:  Grecki, żeby było lore accurate.
771:  Tak, moi drodzy.
773:  Tylko historyczna zrywka, wyzwanie.
776:  No weźmiemy wyzwanie, no nie można, niestety po Daxosach nie można już niczego innego zrobić.
781:  Włącz blokowanie celu na stałe.
783:  Co?
