🔴 Czy androidy marzą o jurnych wiezieniach | NIER: AUTOMATA Livestream #2
🔗 https://www.youtube.com/watch?v=Z-KCEAjXmEA

163:  Zdjęcia i montaż
194:  Witam wszystkich.
196:  Dawno nie było, moi drodzy, wyjątkowego streamu środowego.
201:  A wyjątkowy stream środowy jest wyjątkowy, dlatego też witam Samuita, Jakuba Zitkiewicza, Astrey, Przemka Majkowskiego, Bigomeza, Piotra Danisza, Neto, Bezbeka, Julkę Opaczewską, Maximus, dzielne grono moderujące.
214:  Nikt niech będzie powitany.
217:  Cóż za piękna okazja do powtórzenia tego podstawowego dowcipu, równie podstawowego Odyseusza.
224:  Ale i tak jest zabawnie.
228:  Liwantoziom, Robert Jancewicz, Kasiek, Alfatra, Pusia, Aneta Ostafin, Karkestorn, Istota Żyjąca, Bierny Obserwator, Bigos, Mateusz Fleischer, Katriona, Józ, Maximus, Ocelotka, Bear, Żółw Usunięto, Who Asked, Filip Walczyński, NostalgiaMegaFuka, MrSnorlax, witajcie wszyscy!
250:  Stream w środę i tydzień staje się niebo lepszy.
252:  To dlatego, że wciąż niektórzy szczęśliwcy mają ferie świąteczne.
258:  Nie, żebym ja miał, ale niektórzy szczęśliwcy mają.
261:  Marceje wita, Mungosta również, Wileda Magda M1, Sinzakiego, Seronoksa, Sansifera, Anedosyne Trifosforanu albo Trifosforana, Wojtka Pszczelarza.
273:  Wieszcza Pingwa, Etyrion, Marceje, ja sobie sam to robię, odmieniając wasze nicki, ja sobie sam robię krzywdę.
279:  Pakucza, Ola Teach Babies nie będzie powitana, Creepy Troll, Marcin Osmanak-Ragulak, Wilker, Robert Fine, Natalia, Masada1, Marcel Moundel, Renart, Skawiak, Anna, Przemysław Kopycki, Morisek, Jolosłog, Masada1, Szantimen, Falfus, Icaro, moi drodzy.
304:  Dwa razy zostałem powita na chałki, odpisze Marce.
306:  Nie oszukujmy się, moi drodzy, ja nie jestem osobą, która rozumie, w jaki sposób ludzie posiedli wybitną zdolność zapamiętywania rzeczy, które zdarzyły się jedną sekundę temu.
318:  To się fachowo nazywa pamięć krótkotrwała.
322:  Ja jej nie mam.
326:  Ja jej nie mam.
327:  Wiecie co, tak swoją drogą, zanim jeszcze zaczniemy, powiedział Krzysztof, maskując to, że tak naprawdę w tle uruchamia Neera automatę, czy Neera automatę, ciężko jest to odmieniać, więc obejrzałem sobie dzisiaj zupełnie nieoczekiwanie, biorąc pod uwagę fakt, że znowu się wkręciłem w Genshin'a, film na kanale Tectone, Tectone to jest streamer genshinowski, i film ten miał tytuł Anxiety.
352:  Szybko wam pokażę, o czym mówię.
355:  To nie jest jakiś kanał, który mega polecam w tym sensie, że to po prostu jest gracz Gęsina, więc jeżeli ktoś nie jest zainteresowany Gęsinem, to wiele wam ten kanał nie powie.
364:  Natomiast myślę, że akurat ten film jest niezły.
366:  Zresztą Tekton od jakiegoś czasu ma taki spree filmów, nazwijmy to jak widzicie, gdzie próbuje sobie coś przepracować.
375:  I akurat ten anxiety mnie poruszył w tym sensie, że
379:  Tekton powiedział, że za każdym razem jak włączał stream, ja tego kompletnie nie widziałem, ale to kompletnie jak słuchałem go, właśnie odczuwał niepokój, miała taki panik i tak dalej i tak dalej.
391:  Dla mnie to jest w ogóle niesamowite w tym sensie, że dla mnie streamy to dokładnie jest odwrotnie.
396:  To znaczy ja mogę w nieskończoność streamować i nie mogę tylko dlatego, że albo względy zdrowotne, albo praca.
403:  Natomiast dobrze jest sobie uświadomić, że nawet ludzie, którzy są weseli na pozór, mogą się z czymś borykać.
410:  To tak w ramach Food for Thought, moi drodzy.
413:  I druga rzecz, jeżeli chodzi o Food for Thought, bardzo wam polecam, ale to już polecam tak czysto edukacyjnie.
419:  Wyszedł nowy film na kanale Jonny Harris, który uwielbiam absolutnie.
424:  I tym razem jest to, moi drodzy, wiecie co, zamiast żeby iść na uczelnię, na studia kulturoznawcze na przykład i się dowiedzieć, czym jest postkolonializm, możemy sobie obejrzeć film How Europe Stole Africa So Quickly.
436:  i dowiedzieć się w takiej pigułce skondensowanej wszystkich najważniejszych rzeczy.
440:  Bardzo polecam.
441:  Zresztą to jest cała seria i jak jeszcze chcecie zobaczyć, jakie są możliwości Joanego Harrisa, to bardzo polecam też ten film o szwajcarskich bunkrach, ma 29 minut aż, ale polecam, naprawdę, dobre rzeczy to są.
454:  Gdzie czapka?
455:  No nie, moi drodzy, dni świąteczne, dniami świątecznymi, ja rozumiem, ale teraz już nie, teraz już minęło, minęło.
465:  Wszystko mija, nawet najdłuższa żmija.
469:  Krzysztof pamięta, że kiedyś byłem kapitanem półrudobrody.
472:  To prawda półrudobrody, pamiętam to.
476:  Prawa zwierząt i ich obywatelstwo?
478:  Wiesz co, prawa zwierząt to nie jest coś, o czym powinniśmy dyskutować.
482:  Bartolomeuszom po prostu są.
484:  Natomiast jeżeli chodzi o obywatelstwo, to jest fikcja prawna wymyślona przez śmieszny gatunek dwunogich organizmów, którym się wydaje, że są takie racjonalne i inteligentne i uporządkowane, a tak naprawdę to nie.
