🔴 Żaba the Hutt | JEDI: SURVIVOR Livestream #7
🔗 https://www.youtube.com/watch?v=UZigxrc_TJw

129:  KONIEC!
251:  KONIEC
428:  O nie...
507:  Zdjęcia i montaż
518:  Witam.
519:  Witam wszystkich.
521:  Witam wszystkich najserdeczniej.
523:  Witam w niedzielnym dniu odpoczynkowym.
528:  Witam na prawdopodobnie przedostatnim, biorąc pod uwagę, co nas czeka, streamie z Jedi Survival.
535:  Witam, zarazie, Jeep879, Borsuk, Gerwazy, Olakus, Lasuzi, Diamond, Pusieńka, Śnieżak, Asper, Sapkowski, Bierny Obserwator, Raciaveli, Gosia, Ośka, DziwnyTyp, Kingia, Noob, Grzegorz, Sikora, Elf,
546:  Rediaga, Pokymruwa, Aryafa, Kowcia1, NoOneRewampir, Mateusz, Andziak, Ślimakwe, Gazik.pl, MrSnorlax, TupTup, Krystian, Paula, HawaSakura, Astray, Sybin, Dave, Kacper, Kuzak, Maciej, Gorczyca, Krzysztof, Gębarowski, ZłyCzarownik, LukasP, Mandolinan, Grogu, Agnieszka, Brzozowska, Memori, Cuki, Tsubane, Sybin, SusieDiamond, Maja Dudkiewicz,
574:  Norax, Nephlin Owl, Arrora, Anatar, Megafuka, Vampir, Łukasz Stanisławczyk, Lewandowski M, Budowniczy Pylonów, Kingio, Emeriu, Dariusz Tokarczuk, Tsuki Tsubane, Jeep879, Kacper Kuzaak, Anatar Siwy Dym, Barok72, Wislu,
593:  i Templeton16, i Szwagier, i Catriona, Szymon Zajdel, Saf, Wojtek Pszczelarz, Grim Lukas, Palitkeusz, Maciej Korczyzanne, Roiven, Nevermole, Miłosz Czerwieński, Nabuchodonozor wzdłużony,
609:  Wymyślony przyjaciel Pani Foster, Zav the Clever One, cała reszta naszego grona moderatorskiego.
614:  Witam wszystkich stałych widzów i niestałych, wszystkich, którzy wpadli dzisiaj przez zupełny przypadek.
619:  Wszystkich wspierających, wszystkich niewspierających.
622:  Zerogetsu, takoż niech będzie powitany.
624:  Jacek79100, Jack Ryden, Urszula Giewon, Pink Duke, Obi to nie Kenobi, B Gomeza, Arwen Winchester, Odde Peer, Kumek,
