🔴 Ogień o rozwidlających się językach | DIABLO IV Livestream #6
🔗 https://www.youtube.com/watch?v=2qsSBlguTEA

37:  Dzień dobry.
246:  Dziękuje za oglądanie.
439:  © PTA & TVP
485:  Dziękuję za uwagę.
639:  Witam, ogniście!
641:  Witam po Pyrkonowo, witam z wspaniałym i jednym z wielu dzisiaj jamnikiem, jamnikiem ognistym, za którego serdecznie dziękuję, dziękuję wszystkim, którzy byli na Pyrkonie, którzy szaleli, strasznie dużo ludzi, a teraz...
655:  Teraz wracamy, wracamy do świata elektronicznego i cyfrowego.
659:  Witam serdecznie Mandolando Andor, X403, Damian Kajm, Ewil, Grim Lukas, Anna Taragata Warsińska, Ptyś Różowy, Szebulba, Robert Karskis, Doda Żyjąca, Maurycy Groteska, Fancian, Adrian Kellner, Kowcia1, Saganon96, Noob, Roflex Antitowicz,
677:  Józbi, Gomeza, Piotr, Cieśla, Michał, Jaksa, Utcen, Dariusz z Erlenwaldu, Wieszcz, Pingw, Karol, Korol, Dariusz, Kruszka, Your Sunshine, Jaksa, Utcen, Dariusz, Pełcio, Emeriu, Krystian, Astray, MagdaM1, MortylicuredDragons,
695:  Duka, albo ducha, nigdy nie wiem jak cię czytać, L0N3R665, prawie jak numer rejestracyjny straszliwego smrodojada, przepraszam, samochodu, samochodu, Bartłomiej Westfalewicz, Mardugożota P, Nieumiem w ludzi, dziękuję, przy okazji dołączenie do grona trybutariuszy, Miriam Nikomata, Abyr, Piotr Danisz, Rudy Lis, Jereks, Jukio San, Bookworm543, The Witch, Przemek Woźniak,
721:  Renard, któremu dziękuję serdecznie za bycie jamnikołajem dzisiaj.
725:  Tomasz Adamski, Jakoi, Daw, Dewa, Mortil, Dromen, po prostu jamnik.
730:  Megi1201, Atar, Jafa, Ślimakw.
733:  Och, wszyscy nasi wspaniali moderatorzy, Suzy, Diamond, Świętosław, Prozak.
738:  Boże, jest więcej, jest więcej wsparć teraz widzę od Renata, który podobnie jest Jan Mikołajem.
744:  Co się dzieje?
745:  Anna dołączyła, będąc naszą moderatorką, w etariusz Sebastian Szczerba, Bookworm543, wspomniana wcześniej, The Witch.
752:  Jakubek, po prostu Jamnik, tak oś wspomniany, Dariusz Kruszka, Mortil, Krzysztof Kowalski dołączyli do grona wspierających.
758:  Dzięki hojnemu Jamnikuławirowi, Renartowi, dziękuję, najserdeczniej witam Kangralda, Vesper, Pana Remixa, Kwakart, Xenofanes, Magda, imiennie jeszcze raz, Cenezie, Adkazarko, Adept, Jamniczego Ognia, Pepe Uszko, Aper, Słona Bułka,
772:  Brendo, Mortil Mamar, o Boże, jak dużo was, Jack Raiden123, Yus, Sil, Kumyeong, Yakoi, Serenox, Agnieszka, Saran, och, i wszyscy stali i nie stali bywalcy, moi drodzy, streamów, Yakoi stali widzowie, wspierający Trybutariusze i Jamnikołaje,
792:  Lucifer, szczególnie adekwatne biorąc pod uwagę, że gramy w Diablo, Viana, Gosia, Ośka, Saf, Misia, Pysia, Szymon, Zajdel, Tarjajel, Ogoniastaj, xxx, Anulinus, Nevemo.
806:  Och, krztusi się już Krzysztof, Maurycy Groteska, Ursula Giewon.
810:  Moi drodzy, w ogóle były niesamowite rzeczy na Pyrkonie, jeszcze dodam.
813:  Bo było więcej jamników i dzisiaj będzie prezentacja części z nich.
817:  Ale tylko części.
819:  Mianowicie, proszę bardzo, jaki ten jamnik jest piękny, ma cudowny ryj.
825:  Ten ryj wystawał z mojej torby, jak wracałem z Pyrkonu.
829:  Pyrkon był strasznym doświadczeniem dla kogoś, moi drodzy, który jest introwertykiem, bo 60 tysięcy ludu, ale prelekcje niesamowite.
838:  Było jakoś potwornie dużo ludzi na mojej prelce i wszystkich serdecznie pozdrawiam.
842:  Niestety nie wszyscy się dostali, ale to nie była moja wina.
849:  włóczkowy.
850:  Popatrzcie, jakim on jest jamnikiem, jakim on jest włóczkowym jamnikiem.
854:  Więc będzie dzisiaj dużo jamników, moi drodzy.
856:  Nie wiem nawet, do jakiego momentu dotarliśmy z naszą muzyką, ale pozwolicie, że tradycyjnie przyłączymy się na muzykę diablową, prawda?
863:  Pozwolicie, pozwolicie, że to zrobimy.
865:  A ja tymczasem założę sobie słuchawki, ponieważ zamierzamy dzisiaj, moi drodzy, grać i zamierzamy grać handogo, zamierzamy grać długo i zamierzamy grać za piekle oraz za żarcie, ponieważ byłem zbyt długo oddalony od komputera.
879:  Nie może tak być.
887:  Tak.
890:  Włóczko Mancja, piękne, Renart.
892:  Tak, moi drodzy, to jest Włóczko Mancja, oficjalnie.
894:  Ale nie, no tak zupełnie serio, autentycznie ja podziwiam, nie?
897:  Bo to jest zwarte, nie?
898:  Jeszcze wypełnione prawdopodobnie czymś.
